"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"IRF_Q6" "IRF_Q6" "IRF_Q6" "4/5" "165/7293" 1.24162405656433e-06 0.000108021292921097 9.67159791429056e-05 "Adar/Nrp1/Zbp1/Ube2l6" 4
"HNF1_01" "HNF1_01" "HNF1_01" "2/5" "120/7293" 0.00259931760451853 0.0713768472499169 0.0639066750936945 "Nrp1/Prickle1" 2
"HNF1_Q6" "HNF1_Q6" "HNF1_Q6" "2/5" "133/7293" 0.00318415773981296 0.0713768472499169 0.0639066750936945 "Nrp1/Prickle1" 2
"IRF7_01" "IRF7_01" "IRF7_01" "2/5" "162/7293" 0.0046926710299299 0.0713768472499169 0.0639066750936945 "Adar/Nrp1" 2
"LYF1_01" "LYF1_01" "LYF1_01" "2/5" "164/7293" 0.00480695151755435 0.0713768472499169 0.0639066750936945 "Nrp1/Prickle1" 2
"ICSBP_Q6" "ICSBP_Q6" "ICSBP_Q6" "2/5" "166/7293" 0.00492254118964944 0.0713768472499169 0.0639066750936945 "Adar/Zbp1" 2
"EVI1_03" "EVI1_03" "EVI1_03" "1/5" "26/7293" 0.0177034885176768 0.134839645175357 0.1207275709979 "Nrp1" 1
"RGAGGAARY_PU1_Q6" "RGAGGAARY_PU1_Q6" "RGAGGAARY_PU1_Q6" "2/5" "331/7293" 0.0187476141721858 0.134839645175357 0.1207275709979 "Nrp1/Prickle1" 2
"POU3F2_01" "POU3F2_01" "POU3F2_01" "1/5" "53/7293" 0.0358215908821482 0.134839645175357 0.1207275709979 "Nrp1" 1
"MEIS1AHOXA9_01" "MEIS1AHOXA9_01" "MEIS1AHOXA9_01" "1/5" "57/7293" 0.0384828601546989 0.134839645175357 0.1207275709979 "Nrp1" 1
"TTTNNANAGCYR_UNKNOWN" "TTTNNANAGCYR_UNKNOWN" "TTTNNANAGCYR_UNKNOWN" "1/5" "57/7293" 0.0384828601546989 0.134839645175357 0.1207275709979 "Nrp1" 1
"EVI1_02" "EVI1_02" "EVI1_02" "1/5" "70/7293" 0.0470914295604438 0.134839645175357 0.1207275709979 "Nrp1" 1
"MEIS1BHOXA9_01" "MEIS1BHOXA9_01" "MEIS1BHOXA9_01" "1/5" "73/7293" 0.0490692383570862 0.134839645175357 0.1207275709979 "Nrp1" 1
"KCCGNSWTTT_UNKNOWN" "KCCGNSWTTT_UNKNOWN" "KCCGNSWTTT_UNKNOWN" "1/5" "76/7293" 0.0510437617578123 0.134839645175357 0.1207275709979 "Prickle1" 1
"CCTNTMAGA_UNKNOWN" "CCTNTMAGA_UNKNOWN" "CCTNTMAGA_UNKNOWN" "1/5" "79/7293" 0.0530150038574236 0.134839645175357 0.1207275709979 "Prickle1" 1
"EVI1_05" "EVI1_05" "EVI1_05" "1/5" "96/7293" 0.0641235929298072 0.134839645175357 0.1207275709979 "Nrp1" 1
"LHX3_01" "LHX3_01" "LHX3_01" "1/5" "113/7293" 0.0751276892946221 0.134839645175357 0.1207275709979 "Nrp1" 1
"HNF1_C" "HNF1_C" "HNF1_C" "1/5" "118/7293" 0.0783444096966271 0.134839645175357 0.1207275709979 "Nrp1" 1
"RP58_01" "RP58_01" "RP58_01" "1/5" "119/7293" 0.0789866784006713 0.134839645175357 0.1207275709979 "Prickle1" 1
"AP3_Q6" "AP3_Q6" "AP3_Q6" "1/5" "123/7293" 0.0815521736231918 0.134839645175357 0.1207275709979 "Nrp1" 1
"FOXD3_01" "FOXD3_01" "FOXD3_01" "1/5" "124/7293" 0.0821926532789637 0.134839645175357 0.1207275709979 "Nrp1" 1
"HEN1_01" "HEN1_01" "HEN1_01" "1/5" "124/7293" 0.0821926532789637 0.134839645175357 0.1207275709979 "Prickle1" 1
"OCT1_03" "OCT1_03" "OCT1_03" "1/5" "124/7293" 0.0821926532789637 0.134839645175357 0.1207275709979 "Nrp1" 1
"E4BP4_01" "E4BP4_01" "E4BP4_01" "1/5" "125/7293" 0.0828327755740682 0.134839645175357 0.1207275709979 "Prickle1" 1
"AP4_Q6" "AP4_Q6" "AP4_Q6" "1/5" "127/7293" 0.0841119486804944 0.134839645175357 0.1207275709979 "Prickle1" 1
"POU1F1_Q6" "POU1F1_Q6" "POU1F1_Q6" "1/5" "128/7293" 0.0847509997908205 0.134839645175357 0.1207275709979 "Nrp1" 1
"STTTCRNTTT_IRF_Q6" "STTTCRNTTT_IRF_Q6" "STTTCRNTTT_IRF_Q6" "1/5" "129/7293" 0.0853896941384894 0.134839645175357 0.1207275709979 "Zbp1" 1
"PIT1_Q6" "PIT1_Q6" "PIT1_Q6" "1/5" "130/7293" 0.0860280318728984 0.134839645175357 0.1207275709979 "Nrp1" 1
"S8_01" "S8_01" "S8_01" "1/5" "130/7293" 0.0860280318728984 0.134839645175357 0.1207275709979 "Nrp1" 1
"IPF1_Q4" "IPF1_Q4" "IPF1_Q4" "1/5" "134/7293" 0.0885778196644428 0.134839645175357 0.1207275709979 "Nrp1" 1
"HEN1_02" "HEN1_02" "HEN1_02" "1/5" "136/7293" 0.0898505777619436 0.134839645175357 0.1207275709979 "Prickle1" 1
"LBP1_Q6" "LBP1_Q6" "LBP1_Q6" "1/5" "136/7293" 0.0898505777619436 0.134839645175357 0.1207275709979 "Prickle1" 1
