"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GATA1_03" "GATA1_03" "GATA1_03" "3/5" "149/7293" 8.11121051474733e-05 0.00746231367356755 0.00717201771830291 "Furin/Ube2f/Ltbp1" 3
"GATA1_02" "GATA1_02" "GATA1_02" "2/5" "137/7293" 0.00337557327376727 0.115907067892058 0.111398097287561 "Furin/Ube2f" 2
"CP2_02" "CP2_02" "CP2_02" "2/5" "162/7293" 0.0046926710299299 0.115907067892058 0.111398097287561 "Ltbp1/Ffar2" 2
"TATA_C" "TATA_C" "TATA_C" "2/5" "168/7293" 0.0050394377344373 0.115907067892058 0.111398097287561 "Ube2f/Ltbp1" 2
"YTTCCNNNGGAMR_UNKNOWN" "YTTCCNNNGGAMR_UNKNOWN" "YTTCCNNNGGAMR_UNKNOWN" "1/5" "31/7293" 0.0210790748375141 0.155002378298057 0.1489725374947 "Furin" 1
"CGGAARNGGCNG_UNKNOWN" "CGGAARNGGCNG_UNKNOWN" "CGGAARNGGCNG_UNKNOWN" "1/5" "41/7293" 0.0278024076353506 0.155002378298057 0.1489725374947 "Ube2f" 1
"MGGAAGTG_GABP_B" "MGGAAGTG_GABP_B" "MGGAAGTG_GABP_B" "2/5" "520/7293" 0.0439132574510428 0.155002378298057 0.1489725374947 "Furin/Ube2f" 2
"FXR_IR1_Q6" "FXR_IR1_Q6" "FXR_IR1_Q6" "1/5" "69/7293" 0.0464314291653478 0.155002378298057 0.1489725374947 "Ltbp1" 1
"CGTSACG_PAX3_B" "CGTSACG_PAX3_B" "CGTSACG_PAX3_B" "1/5" "92/7293" 0.0615192354391447 0.155002378298057 0.1489725374947 "Ltbp1" 1
"STAT3_02" "STAT3_02" "STAT3_02" "1/5" "92/7293" 0.0615192354391447 0.155002378298057 0.1489725374947 "Ltbp1" 1
"TAAYNRNNTCC_UNKNOWN" "TAAYNRNNTCC_UNKNOWN" "TAAYNRNNTCC_UNKNOWN" "1/5" "95/7293" 0.0634730462823234 0.155002378298057 0.1489725374947 "Furin" 1
