"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"IRF_Q6" "IRF_Q6" "IRF_Q6" "16/85" "165/7293" 4.63191953269441e-11 2.04267651391824e-08 2.04267651391824e-08 "Armcx6/Ddx60/Ifit2/Cd80/Parp12/Tlr7/Zbp1/Bst2/Rtp4/Irf9/Cxcl10/Adora3/Ifi35/Trim21/Ube2l6/Eomes" 16
"ISRE_01" "ISRE_01" "ISRE_01" "15/85" "163/7293" 4.22450535731709e-10 9.31503431288419e-08 9.31503431288419e-08 "Armcx6/Ddx60/Ifit2/Ifit3/Tlr7/Usp18/Zbp1/Bst2/Ddx58/Rtp4/Irf9/Cxcl10/Ifih1/Trim21/Mef2c" 15
"STTTCRNTTT_IRF_Q6" "STTTCRNTTT_IRF_Q6" "STTTCRNTTT_IRF_Q6" "11/85" "129/7293" 2.42813095767019e-07 3.42529328641997e-05 3.42529328641997e-05 "Lgals3bp/Ifit2/Ifit3/Usp18/Zbp1/Casp1/Bst2/Ddx58/Cxcl10/Trim21/Tap1" 11
"IRF7_01" "IRF7_01" "IRF7_01" "12/85" "162/7293" 3.10684198314736e-07 3.42529328641997e-05 3.42529328641997e-05 "Armcx6/Ddx60/Lgals3bp/Oasl1/Ifit2/Parp12/Usp18/Bst2/Ddx58/Cxcl10/Trim21/Tap1" 12
"ICSBP_Q6" "ICSBP_Q6" "ICSBP_Q6" "11/85" "166/7293" 3.03292282839042e-06 0.000267503793464035 0.000267503793464035 "Armcx6/Atp10a/Ifit3/Parp12/Tlr7/Usp18/Zbp1/Bst2/Ifi35/Ifih1/Tap1" 11
"IRF1_01" "IRF1_01" "IRF1_01" "8/85" "154/7293" 0.000400353344308384 0.0294259708066662 0.0294259708066662 "Usp18/Bst2/Ddx58/Irf9/Cxcl10/Trim21/Tap1/Gata3" 8
"FOXJ2_01" "FOXJ2_01" "FOXJ2_01" "6/85" "109/7293" 0.00163073019489892 0.0986730828382566 0.0986730828382566 "Id2/Sln/Mgll/Mef2c/Gnaz/Id1" 6
"HFH4_01" "HFH4_01" "HFH4_01" "6/85" "111/7293" 0.00178998789729264 0.0986730828382566 0.0986730828382566 "Id2/Mgll/Mef2c/Gnaz/Id1/Pparg" 6
"HNF3ALPHA_Q6" "HNF3ALPHA_Q6" "HNF3ALPHA_Q6" "6/85" "120/7293" 0.00265741582960652 0.13021337565072 0.13021337565072 "Sgk3/Mgll/Stap1/Mef2c/Gnaz/Id1" 6
"IRF2_01" "IRF2_01" "IRF2_01" "5/85" "85/7293" 0.00301872522714783 0.133125782517219 0.133125782517219 "Usp18/Bst2/Ddx58/Cxcl10/Tap1" 5
"HFH8_01" "HFH8_01" "HFH8_01" "5/85" "109/7293" 0.00865462971098613 0.337428667749676 0.337428667749676 "Id2/Mxra8/Marcks/Mgll/Nin" 5
