"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"TGACATY_UNKNOWN" "TGACATY_UNKNOWN" "TGACATY_UNKNOWN" "2/3" "380/7293" 0.00784359308060499 0.0894319336147353 0.077022717945705 "Sln/St3gal1" 2
"YTCCCRNNAGGY_UNKNOWN" "YTCCCRNNAGGY_UNKNOWN" "YTCCCRNNAGGY_UNKNOWN" "1/3" "44/7293" 0.0179930217148629 0.0894319336147353 0.077022717945705 "St3gal1" 1
"TAAWWATAG_RSRFC4_Q2" "TAAWWATAG_RSRFC4_Q2" "TAAWWATAG_RSRFC4_Q2" "1/3" "98/7293" 0.0397787335040958 0.0894319336147353 0.077022717945705 "Sln" 1
"FOXJ2_01" "FOXJ2_01" "FOXJ2_01" "1/3" "109/7293" 0.0441766867102098 0.0894319336147353 0.077022717945705 "Sln" 1
"TAL1ALPHAE47_01" "TAL1ALPHAE47_01" "TAL1ALPHAE47_01" "1/3" "131/7293" 0.052932265555425 0.0894319336147353 0.077022717945705 "Sln" 1
"NKX62_Q2" "NKX62_Q2" "NKX62_Q2" "1/3" "132/7293" 0.053328970833746 0.0894319336147353 0.077022717945705 "Sln" 1
"TAL1BETAITF2_01" "TAL1BETAITF2_01" "TAL1BETAITF2_01" "1/3" "137/7293" 0.055310835593997 0.0894319336147353 0.077022717945705 "Sln" 1
"HNF6_Q6" "HNF6_Q6" "HNF6_Q6" "1/3" "138/7293" 0.0557068763280968 0.0894319336147353 0.077022717945705 "Ffar2" 1
"HAND1E47_01" "HAND1E47_01" "HAND1E47_01" "1/3" "145/7293" 0.0584760626434738 0.0894319336147353 0.077022717945705 "Sln" 1
"ATF3_Q6" "ATF3_Q6" "ATF3_Q6" "1/3" "150/7293" 0.0604507347125597 0.0894319336147353 0.077022717945705 "Sln" 1
"AREB6_04" "AREB6_04" "AREB6_04" "1/3" "153/7293" 0.0616342116199956 0.0894319336147353 0.077022717945705 "Sln" 1
"TGACCTTG_SF1_Q6" "TGACCTTG_SF1_Q6" "TGACCTTG_SF1_Q6" "1/3" "157/7293" 0.063210634306788 0.0894319336147353 0.077022717945705 "St3gal1" 1
"HNF4_Q6" "HNF4_Q6" "HNF4_Q6" "1/3" "160/7293" 0.0643917919711411 0.0894319336147353 0.077022717945705 "Sln" 1
"CP2_02" "CP2_02" "CP2_02" "1/3" "162/7293" 0.0651786785743761 0.0894319336147353 0.077022717945705 "Ffar2" 1
"PXR_Q2" "PXR_Q2" "PXR_Q2" "1/3" "164/7293" 0.0659651238503044 0.0894319336147353 0.077022717945705 "Sln" 1
"ER_Q6_02" "ER_Q6_02" "ER_Q6_02" "1/3" "166/7293" 0.0667511279227204 0.0894319336147353 0.077022717945705 "St3gal1" 1
"USF_02" "USF_02" "USF_02" "1/3" "172/7293" 0.0691064941568409 0.0894319336147353 0.077022717945705 "Ffar2" 1
"TGAYRTCA_ATF3_Q6" "TGAYRTCA_ATF3_Q6" "TGAYRTCA_ATF3_Q6" "1/3" "308/7293" 0.121437400408371 0.148423489388009 0.127828842535128 "Sln" 1
"TAATTA_CHX10_01" "TAATTA_CHX10_01" "TAATTA_CHX10_01" "1/3" "413/7293" 0.160470526886713 0.176517579575385 0.152024709682149 "Sln" 1
"YTATTTTNR_MEF2_02" "YTATTTTNR_MEF2_02" "YTATTTTNR_MEF2_02" "1/3" "413/7293" 0.160470526886713 0.176517579575385 0.152024709682149 "Sln" 1
"TGACCTY_ERR1_Q2" "TGACCTY_ERR1_Q2" "TGACCTY_ERR1_Q2" "1/3" "645/7293" 0.24257950113345 0.254130905949329 0.218868722827173 "St3gal1" 1
"CTTTGA_LEF1_Q2" "CTTTGA_LEF1_Q2" "CTTTGA_LEF1_Q2" "1/3" "688/7293" 0.257184064462387 0.257184064462387 0.221498237336027 "Sln" 1
