"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"ISRE_01" "ISRE_01" "ISRE_01" "9/48" "163/7293" 8.86572960039055e-07 9.7175721435486e-05 9.7175721435486e-05 "Zbp1/Ifih1/Bst2/Rtp4/Tlr7/Ifit3/Ddx60/Ifit2/Usp18" 9
"IRF_Q6" "IRF_Q6" "IRF_Q6" "9/48" "165/7293" 9.82523907992263e-07 9.7175721435486e-05 9.7175721435486e-05 "Ube2l6/Ifi35/Zbp1/Bst2/Rtp4/Parp12/Tlr7/Ddx60/Ifit2" 9
"ICSBP_Q6" "ICSBP_Q6" "ICSBP_Q6" "9/48" "166/7293" 1.03378427059028e-06 9.7175721435486e-05 9.7175721435486e-05 "Atp10a/Ifi35/Zbp1/Ifih1/Bst2/Parp12/Tlr7/Ifit3/Usp18" 9
"STTTCRNTTT_IRF_Q6" "STTTCRNTTT_IRF_Q6" "STTTCRNTTT_IRF_Q6" "7/48" "129/7293" 1.85357640659007e-05 0.001306771366646 0.001306771366646 "Zbp1/Casp1/Bst2/Ifit3/Ifit2/Lgals3bp/Usp18" 7
"IRF7_01" "IRF7_01" "IRF7_01" "7/48" "162/7293" 8.02117612479708e-05 0.00452394333438555 0.00452394333438555 "Oasl1/Bst2/Parp12/Ddx60/Ifit2/Lgals3bp/Usp18" 7
"CEBPB_02" "CEBPB_02" "CEBPB_02" "5/48" "158/7293" 0.00361846229740171 0.17006772797788 0.17006772797788 "Aqp9/Pparg/Timd2/Rexo2/Efna5" 5
"TGCCAAR_NF1_Q6" "TGCCAAR_NF1_Q6" "TGCCAAR_NF1_Q6" "7/48" "409/7293" 0.0166260682196363 0.581437191114136 0.581437191114136 "Snx10/Rnf213/Znfx1/Tspan6/Lrrk1/Aqp9/Pparg" 7
"CDPCR3_01" "CDPCR3_01" "CDPCR3_01" "2/48" "31/7293" 0.017469275414276 0.581437191114136 0.581437191114136 "Tspan6/Pparg" 2
"CRGAARNNNNCGA_UNKNOWN" "CRGAARNNNNCGA_UNKNOWN" "CRGAARNNNNCGA_UNKNOWN" "2/48" "32/7293" 0.0185565060993873 0.581437191114136 0.581437191114136 "Tspan6/Gata3" 2
"FREAC7_01" "FREAC7_01" "FREAC7_01" "3/48" "105/7293" 0.0314163988418146 0.770169564542945 0.770169564542945 "Ch25h/Mgll/Efna5" 3
"HNF1_C" "HNF1_C" "HNF1_C" "3/48" "118/7293" 0.0421759407890617 0.770169564542945 0.770169564542945 "Aqp9/Timd2/Marcks" 3
"TTCYNRGAA_STAT5B_01" "TTCYNRGAA_STAT5B_01" "TTCYNRGAA_STAT5B_01" "4/48" "209/7293" 0.047833254585371 0.770169564542945 0.770169564542945 "Tspan6/Trim25/Nkg7/Tlr7" 4
"AAANWWTGC_UNKNOWN" "AAANWWTGC_UNKNOWN" "AAANWWTGC_UNKNOWN" "3/48" "128/7293" 0.0515611659323819 0.770169564542945 0.770169564542945 "Mgll/Efna5/Gata3" 3
"MTF1_Q4" "MTF1_Q4" "MTF1_Q4" "3/48" "150/7293" 0.075429909225401 0.770169564542945 0.770169564542945 "Mgll/Efna5/Marcks" 3
"PAX2_02" "PAX2_02" "PAX2_02" "3/48" "150/7293" 0.075429909225401 0.770169564542945 0.770169564542945 "Pparg/Mgll/Marcks" 3
"TCCATTKW_UNKNOWN" "TCCATTKW_UNKNOWN" "TCCATTKW_UNKNOWN" "3/48" "151/7293" 0.0766149452460016 0.770169564542945 0.770169564542945 "Tspan6/Trim25/Marcks" 3
"IRF1_01" "IRF1_01" "IRF1_01" "3/48" "154/7293" 0.0802198969845439 0.770169564542945 0.770169564542945 "Bst2/Gata3/Usp18" 3
"AP1_Q6_01" "AP1_Q6_01" "AP1_Q6_01" "3/48" "157/7293" 0.0838985830224621 0.770169564542945 0.770169564542945 "Snx10/Znfx1/Rexo2" 3
"STAT_01" "STAT_01" "STAT_01" "3/48" "160/7293" 0.0876496512634562 0.770169564542945 0.770169564542945 "Il18rap/Trim25/Nkg7" 3
"TCF1P_Q6" "TCF1P_Q6" "TCF1P_Q6" "3/48" "161/7293" 0.0889158543231318 0.770169564542945 0.770169564542945 "Pparg/Clpx/Efna5" 3
"STAT1_03" "STAT1_03" "STAT1_03" "3/48" "165/7293" 0.0940585170954342 0.770169564542945 0.770169564542945 "Sema4b/Znfx1/Gata3" 3
"STAT5B_01" "STAT5B_01" "STAT5B_01" "3/48" "165/7293" 0.0940585170954342 0.770169564542945 0.770169564542945 "Tspan6/Trim25/Tlr7" 3
"STAT1_02" "STAT1_02" "STAT1_02" "3/48" "174/7293" 0.106070418137549 0.770169564542945 0.770169564542945 "Sema4b/Znfx1/Gata3" 3
"IRF2_01" "IRF2_01" "IRF2_01" "2/48" "85/7293" 0.107420787565254 0.770169564542945 0.770169564542945 "Bst2/Usp18" 2
"TAAYNRNNTCC_UNKNOWN" "TAAYNRNNTCC_UNKNOWN" "TAAYNRNNTCC_UNKNOWN" "2/48" "95/7293" 0.129022476193201 0.770169564542945 0.770169564542945 "Mgll/Marcks" 2
"TNCATNTCCYR_UNKNOWN" "TNCATNTCCYR_UNKNOWN" "TNCATNTCCYR_UNKNOWN" "2/48" "96/7293" 0.13123691572186 0.770169564542945 0.770169564542945 "Znfx1/Tlr7" 2
"MSX1_01" "MSX1_01" "MSX1_01" "2/48" "101/7293" 0.142440102776932 0.770169564542945 0.770169564542945 "Nqo2/Nts" 2
"RTAAACA_FREAC2_01" "RTAAACA_FREAC2_01" "RTAAACA_FREAC2_01" "6/48" "548/7293" 0.148446415802506 0.770169564542945 0.770169564542945 "Hsh2d/Ifih1/Fgl2/Mgll/Clpx/Marcks" 6
