"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"IRF_Q6" "IRF_Q6" "IRF_Q6" "3/5" "165/7293" 0.000109997917079076 0.0135297438007264 0.0123892390815381 "Ifi35/Zbp1/Nrp1" 3
"HOXA4_Q2" "HOXA4_Q2" "HOXA4_Q2" "2/5" "149/7293" 0.00398191921347455 0.138824945611609 0.127122543264375 "Ltbp1/Nrp1" 2
"SMAD_Q6" "SMAD_Q6" "SMAD_Q6" "2/5" "158/7293" 0.00446804686509213 0.138824945611609 0.127122543264375 "Ltbp1/Nrp1" 2
"ICSBP_Q6" "ICSBP_Q6" "ICSBP_Q6" "2/5" "166/7293" 0.00492254118964944 0.138824945611609 0.127122543264375 "Ifi35/Zbp1" 2
"WTTGKCTG_UNKNOWN" "WTTGKCTG_UNKNOWN" "WTTGKCTG_UNKNOWN" "2/5" "299/7293" 0.0154307352598124 0.138824945611609 0.127122543264375 "Ltbp1/Nrp1" 2
"TGCTGAY_UNKNOWN" "TGCTGAY_UNKNOWN" "TGCTGAY_UNKNOWN" "2/5" "318/7293" 0.0173649630016792 0.138824945611609 0.127122543264375 "Sema4b/Nrp1" 2
"EVI1_03" "EVI1_03" "EVI1_03" "1/5" "26/7293" 0.0177034885176768 0.138824945611609 0.127122543264375 "Nrp1" 1
"POU3F2_01" "POU3F2_01" "POU3F2_01" "1/5" "53/7293" 0.0358215908821482 0.138824945611609 0.127122543264375 "Nrp1" 1
"TGTYNNNNNRGCARM_UNKNOWN" "TGTYNNNNNRGCARM_UNKNOWN" "TGTYNNNNNRGCARM_UNKNOWN" "1/5" "54/7293" 0.0364874599492185 0.138824945611609 0.127122543264375 "Sema4b" 1
"MEIS1AHOXA9_01" "MEIS1AHOXA9_01" "MEIS1AHOXA9_01" "1/5" "57/7293" 0.0384828601546989 0.138824945611609 0.127122543264375 "Nrp1" 1
"TTTNNANAGCYR_UNKNOWN" "TTTNNANAGCYR_UNKNOWN" "TTTNNANAGCYR_UNKNOWN" "1/5" "57/7293" 0.0384828601546989 0.138824945611609 0.127122543264375 "Nrp1" 1
"GTTGNYNNRGNAAC_UNKNOWN" "GTTGNYNNRGNAAC_UNKNOWN" "GTTGNYNNRGNAAC_UNKNOWN" "1/5" "61/7293" 0.0411382497959222 0.138824945611609 0.127122543264375 "Sema4b" 1
"RYTGCNWTGGNR_UNKNOWN" "RYTGCNWTGGNR_UNKNOWN" "RYTGCNWTGGNR_UNKNOWN" "1/5" "67/7293" 0.0451103312696791 0.138824945611609 0.127122543264375 "Sema4b" 1
"FXR_IR1_Q6" "FXR_IR1_Q6" "FXR_IR1_Q6" "1/5" "69/7293" 0.0464314291653478 0.138824945611609 0.127122543264375 "Ltbp1" 1
"EVI1_02" "EVI1_02" "EVI1_02" "1/5" "70/7293" 0.0470914295604438 0.138824945611609 0.127122543264375 "Nrp1" 1
"MEIS1BHOXA9_01" "MEIS1BHOXA9_01" "MEIS1BHOXA9_01" "1/5" "73/7293" 0.0490692383570862 0.138824945611609 0.127122543264375 "Nrp1" 1
"CGTSACG_PAX3_B" "CGTSACG_PAX3_B" "CGTSACG_PAX3_B" "1/5" "92/7293" 0.0615192354391447 0.138824945611609 0.127122543264375 "Ltbp1" 1
"STAT3_02" "STAT3_02" "STAT3_02" "1/5" "92/7293" 0.0615192354391447 0.138824945611609 0.127122543264375 "Ltbp1" 1
"EVI1_05" "EVI1_05" "EVI1_05" "1/5" "96/7293" 0.0641235929298072 0.138824945611609 0.127122543264375 "Nrp1" 1
"GTTRYCATRR_UNKNOWN" "GTTRYCATRR_UNKNOWN" "GTTRYCATRR_UNKNOWN" "1/5" "100/7293" 0.0667221653723287 0.138824945611609 0.127122543264375 "Sema4b" 1
"ATF_B" "ATF_B" "ATF_B" "1/5" "110/7293" 0.0731933501493659 0.138824945611609 0.127122543264375 "Ltbp1" 1
"LHX3_01" "LHX3_01" "LHX3_01" "1/5" "113/7293" 0.0751276892946221 0.138824945611609 0.127122543264375 "Nrp1" 1
"HSF_Q6" "HSF_Q6" "HSF_Q6" "1/5" "116/7293" 0.0770587973618791 0.138824945611609 0.127122543264375 "Ltbp1" 1
"OCT1_02" "OCT1_02" "OCT1_02" "1/5" "117/7293" 0.0777017827336491 0.138824945611609 0.127122543264375 "Ltbp1" 1
"HNF1_C" "HNF1_C" "HNF1_C" "1/5" "118/7293" 0.0783444096966271 0.138824945611609 0.127122543264375 "Nrp1" 1
"RP58_01" "RP58_01" "RP58_01" "1/5" "119/7293" 0.0789866784006713 0.138824945611609 0.127122543264375 "Ltbp1" 1
"HNF1_01" "HNF1_01" "HNF1_01" "1/5" "120/7293" 0.0796285889955969 0.138824945611609 0.127122543264375 "Nrp1" 1
"AP3_Q6" "AP3_Q6" "AP3_Q6" "1/5" "123/7293" 0.0815521736231918 0.138824945611609 0.127122543264375 "Nrp1" 1
"FOXD3_01" "FOXD3_01" "FOXD3_01" "1/5" "124/7293" 0.0821926532789637 0.138824945611609 0.127122543264375 "Nrp1" 1
"OCT1_03" "OCT1_03" "OCT1_03" "1/5" "124/7293" 0.0821926532789637 0.138824945611609 0.127122543264375 "Nrp1" 1
"PBX1_01" "PBX1_01" "PBX1_01" "1/5" "126/7293" 0.0834725406580711 0.138824945611609 0.127122543264375 "Ltbp1" 1
"CREB_Q4_01" "CREB_Q4_01" "CREB_Q4_01" "1/5" "127/7293" 0.0841119486804944 0.138824945611609 0.127122543264375 "Ltbp1" 1
"FOXJ2_02" "FOXJ2_02" "FOXJ2_02" "1/5" "127/7293" 0.0841119486804944 0.138824945611609 0.127122543264375 "Ltbp1" 1
"POU1F1_Q6" "POU1F1_Q6" "POU1F1_Q6" "1/5" "128/7293" 0.0847509997908205 0.138824945611609 0.127122543264375 "Nrp1" 1
"STTTCRNTTT_IRF_Q6" "STTTCRNTTT_IRF_Q6" "STTTCRNTTT_IRF_Q6" "1/5" "129/7293" 0.0853896941384894 0.138824945611609 0.127122543264375 "Zbp1" 1
"PIT1_Q6" "PIT1_Q6" "PIT1_Q6" "1/5" "130/7293" 0.0860280318728984 0.138824945611609 0.127122543264375 "Nrp1" 1
"S8_01" "S8_01" "S8_01" "1/5" "130/7293" 0.0860280318728984 0.138824945611609 0.127122543264375 "Nrp1" 1
"TAL1BETAE47_01" "TAL1BETAE47_01" "TAL1BETAE47_01" "1/5" "130/7293" 0.0860280318728984 0.138824945611609 0.127122543264375 "Ltbp1" 1
"TAL1ALPHAE47_01" "TAL1ALPHAE47_01" "TAL1ALPHAE47_01" "1/5" "131/7293" 0.0866660131434046 0.138824945611609 0.127122543264375 "Ltbp1" 1
"SMAD3_Q6" "SMAD3_Q6" "SMAD3_Q6" "1/5" "132/7293" 0.0873036380993223 0.138824945611609 0.127122543264375 "Ltbp1" 1
"HNF1_Q6" "HNF1_Q6" "HNF1_Q6" "1/5" "133/7293" 0.0879409068899248 0.138824945611609 0.127122543264375 "Nrp1" 1
"IPF1_Q4" "IPF1_Q4" "IPF1_Q4" "1/5" "134/7293" 0.0885778196644428 0.138824945611609 0.127122543264375 "Nrp1" 1
"SRF_C" "SRF_C" "SRF_C" "1/5" "135/7293" 0.0892143765720668 0.138824945611609 0.127122543264375 "Ltbp1" 1
"TAL1BETAITF2_01" "TAL1BETAITF2_01" "TAL1BETAITF2_01" "1/5" "137/7293" 0.0904864233831802 0.138824945611609 0.127122543264375 "Ltbp1" 1
"TGACGTCA_ATF3_Q6" "TGACGTCA_ATF3_Q6" "TGACGTCA_ATF3_Q6" "1/5" "138/7293" 0.091121913584841 0.138824945611609 0.127122543264375 "Ltbp1" 1
"CREB_Q2_01" "CREB_Q2_01" "CREB_Q2_01" "1/5" "139/7293" 0.0917570485159488 0.138824945611609 0.127122543264375 "Ltbp1" 1
"MYB_Q6" "MYB_Q6" "MYB_Q6" "1/5" "141/7293" 0.0930262531623882 0.138824945611609 0.127122543264375 "Ltbp1" 1
"TEF_Q6" "TEF_Q6" "TEF_Q6" "1/5" "142/7293" 0.0936603231755578 0.138824945611609 0.127122543264375 "Nrp1" 1
"CDX2_Q5" "CDX2_Q5" "CDX2_Q5" "1/5" "143/7293" 0.0942940385138493 0.138824945611609 0.127122543264375 "Nrp1" 1
"TBP_01" "TBP_01" "TBP_01" "1/5" "144/7293" 0.0949273993260773 0.138824945611609 0.127122543264375 "Sema4b" 1
"TCF11_01" "TCF11_01" "TCF11_01" "1/5" "144/7293" 0.0949273993260773 0.138824945611609 0.127122543264375 "Nrp1" 1
"NKX25_02" "NKX25_02" "NKX25_02" "1/5" "145/7293" 0.095560405761015 0.138824945611609 0.127122543264375 "Ltbp1" 1
"AREB6_01" "AREB6_01" "AREB6_01" "1/5" "146/7293" 0.0961930579673939 0.138824945611609 0.127122543264375 "Nrp1" 1
"RORA1_01" "RORA1_01" "RORA1_01" "1/5" "146/7293" 0.0961930579673939 0.138824945611609 0.127122543264375 "Nrp1" 1
"CRX_Q4" "CRX_Q4" "CRX_Q4" "1/5" "147/7293" 0.096825356093903 0.138824945611609 0.127122543264375 "Ltbp1" 1
"PITX2_Q2" "PITX2_Q2" "PITX2_Q2" "1/5" "147/7293" 0.096825356093903 0.138824945611609 0.127122543264375 "Ltbp1" 1
"CDC5_01" "CDC5_01" "CDC5_01" "1/5" "148/7293" 0.0974573002891915 0.138824945611609 0.127122543264375 "Nrp1" 1
"HFH1_01" "HFH1_01" "HFH1_01" "1/5" "148/7293" 0.0974573002891915 0.138824945611609 0.127122543264375 "Nrp1" 1
"SRY_02" "SRY_02" "SRY_02" "1/5" "148/7293" 0.0974573002891915 0.138824945611609 0.127122543264375 "Nrp1" 1
"GATA1_03" "GATA1_03" "GATA1_03" "1/5" "149/7293" 0.0980888907018653 0.138824945611609 0.127122543264375 "Ltbp1" 1
"MEIS1_01" "MEIS1_01" "MEIS1_01" "1/5" "151/7293" 0.0993510107735871 0.138824945611609 0.127122543264375 "Nrp1" 1
"MYB_Q5_01" "MYB_Q5_01" "MYB_Q5_01" "1/5" "151/7293" 0.0993510107735871 0.138824945611609 0.127122543264375 "Ltbp1" 1
"AREB6_04" "AREB6_04" "AREB6_04" "1/5" "153/7293" 0.100611717497089 0.138824945611609 0.127122543264375 "Ltbp1" 1
"HIF1_Q3" "HIF1_Q3" "HIF1_Q3" "1/5" "153/7293" 0.100611717497089 0.138824945611609 0.127122543264375 "Ltbp1" 1
"SOX5_01" "SOX5_01" "SOX5_01" "1/5" "154/7293" 0.101241541224332 0.138824945611609 0.127122543264375 "Nrp1" 1
"ZID_01" "ZID_01" "ZID_01" "1/5" "156/7293" 0.102500130151587 0.138824945611609 0.127122543264375 "Ltbp1" 1
"CREBP1CJUN_01" "CREBP1CJUN_01" "CREBP1CJUN_01" "1/5" "157/7293" 0.103128895648188 0.138824945611609 0.127122543264375 "Ltbp1" 1
"GATA4_Q3" "GATA4_Q3" "GATA4_Q3" "1/5" "157/7293" 0.103128895648188 0.138824945611609 0.127122543264375 "Nrp1" 1
