"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"IRF_Q6" "IRF_Q6" "IRF_Q6" "6/37" "165/7293" 0.000159134725972955 0.0443985885464543 0.0440551925588285 "Ddx60/Ifit2/Eomes/Tlr7/Parp12/Rtp4" 6
"IRF7_01" "IRF7_01" "IRF7_01" "5/37" "162/7293" 0.00124708441363543 0.0969823067327499 0.0962322077748093 "Ddx60/Ifit2/Lgals3bp/Tap1/Parp12" 5
"ISRE_01" "ISRE_01" "ISRE_01" "5/37" "163/7293" 0.00128183937818358 0.0969823067327499 0.0962322077748093 "Ddx60/Ifit2/Ifit3/Tlr7/Rtp4" 5
"ICSBP_Q6" "ICSBP_Q6" "ICSBP_Q6" "5/37" "166/7293" 0.00139042733667025 0.0969823067327499 0.0962322077748093 "Ifit3/Tap1/Tlr7/Atp10a/Parp12" 5
"STTTCRNTTT_IRF_Q6" "STTTCRNTTT_IRF_Q6" "STTTCRNTTT_IRF_Q6" "4/37" "129/7293" 0.00392751107710646 0.219155118102541 0.217460087006105 "Ifit2/Ifit3/Lgals3bp/Tap1" 4
"CEBPB_02" "CEBPB_02" "CEBPB_02" "4/37" "158/7293" 0.00803116049001917 0.349957524295851 0.347250816411277 "Timd2/Pparg/Rexo2/Efna5" 4
"NFAT_Q4_01" "NFAT_Q4_01" "NFAT_Q4_01" "4/37" "171/7293" 0.0105461238946181 0.349957524295851 0.347250816411277 "Fcrls/Mitd1/Tiam1/Eomes" 4
"CDPCR3_01" "CDPCR3_01" "CDPCR3_01" "2/37" "31/7293" 0.0106170704128532 0.349957524295851 0.347250816411277 "Tspan6/Pparg" 2
"CRGAARNNNNCGA_UNKNOWN" "CRGAARNNNNCGA_UNKNOWN" "CRGAARNNNNCGA_UNKNOWN" "2/37" "32/7293" 0.0112889523966404 0.349957524295851 0.347250816411277 "Tspan6/Gata3" 2
"MSX1_01" "MSX1_01" "MSX1_01" "3/37" "101/7293" 0.0142452475361318 0.397442406258078 0.394368431789755 "Nts/Nqo2/Eomes" 3
"OCT1_B" "OCT1_B" "OCT1_B" "3/37" "139/7293" 0.0328439007329612 0.653858195390786 0.648801001274389 "Ifit2/Cd86/Pim2" 3
