"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"CACGTG_MYC_Q2" "CACGTG_MYC_Q2" "CACGTG_MYC_Q2" "131/874" "665/7293" 1.24446881603053e-09 7.45436820802287e-07 7.16552044598631e-07 "Cops7a/Polr2h/Nudc/Rcl1/Ak2/Ankrd13b/Syncrip/Lrrc59/Ddx3x/Eftud2/Hspa4/Ncl/Eif4a1/Gps1/Sema7a/Zfp296/Pop1/Napa/Fkbp11/Polr3e/Tgif2/Cd3eap/Hspa9/Ptges3/Pwp2/Nol8/Acy1/Armc6/Mat2a/Ifrd1/Nr6a1/Eif3b/Ranbp1/Nr4a3/Wdr77/Josd1/Nat10/Hsp90ab1/Timm9/Srfbp1/Rrp15/Rbm19/Atf4/C1qbp/Hspe1/Akap1/Cad/Hyal2/Zfp771/Psme3/Relb/Serbp1/Gadd45b/Ifrd2/Mrto4/Dcun1d4/Adk/Bax/Stx6/Rps19/Eef1e1/Polr3d/Shmt2/Mtap/Timm8a1/Hspd1/Slc25a33/Pabpc4/Foxred2/Ltv1/Pus1/Il15ra/Trmt6/Gemin4/Timm50/Pa2g4/Fpgs/Rbbp7/Abcc4/Slc25a32/Nol6/Igf1r/Prps1/Ebna1bp2/Pprc1/Pes1/Aatf/Ampd2/Ube2cbp/Lyar/Timm10/Apex1/Rpia/Atad3a/Mtch2/Rrs1/Zhx2/Tnfrsf21/Qtrt1/Zfp593/Ipo4/Hsp90b1/Mthfd1/Cdk5r1/Ilf3/Abcb6/Atic/Snrpa/Mdn1/Sox12/Rexo2/Dpagt1/Odc1/Hmga1/Ppp1r1b/Tfrc/Hif1a/Tceal8/Mcm2/Bcl7c/Paics/Fen1/Arl2/Tspan4/Slc7a3/Ankrd17/Nthl1/Mapkapk3/Snx5/Lonrf3/Aldh18a1" 131
"MYCMAX_01" "MYCMAX_01" "MYCMAX_01" "43/874" "162/7293" 2.40509999536107e-07 7.20327448610639e-05 6.92415630243423e-05 "Nudc/Rcl1/Syncrip/Ncl/Gps1/Fkbp11/Cd3eap/Hspa9/Acy1/Armc6/Mat2a/Nr6a1/Ranbp1/Timm9/Cad/Zfp771/Psme3/Serbp1/Ifrd2/Rps19/Timm8a1/Pus1/Pa2g4/Slc25a32/Prps1/Pprc1/Ampd2/Lyar/Timm10/Atad3a/Zhx2/Qtrt1/Mthfd1/Ilf3/Etv4/Rexo2/Odc1/Hmga1/Tfrc/Bcl7c/Paics/Dazap1/Snx5" 43
"MYCMAX_B" "MYCMAX_B" "MYCMAX_B" "37/874" "172/7293" 0.000241870231734047 0.0386835295089028 0.0371845894760915 "Rcl1/Ncl/Sema7a/Spag9/Tgif1/Tgif2/Abce1/Acy1/Eif3b/Ranbp1/Nsun2/Zfp771/Serbp1/Etf1/Marcksl1/Rps19/Bzw2/Slc25a33/Eif5a/Rbbp7/Sec61a1/Tsen2/Pes1/Zfp36l1/Id1/Gfi1/Ilf3/Kpnb1/Sox12/Ythdf2/Cct5/Sdhb/Crabp2/Hmga1/Vapa/Dazap1/Snx5" 37
"SCGGAAGY_ELK1_02" "SCGGAAGY_ELK1_02" "SCGGAAGY_ELK1_02" "134/874" "848/7293" 0.000258320731278149 0.0386835295089028 0.0371845894760915 "Hat1/Cops7a/Polr2h/Nudc/Mrpl3/Tymp/Eftud2/Hspa4/Stoml2/Lzic/Eif4a1/Pex11a/Wars/Krr1/Atp2a2/Ddx1/Mrps10/Yrdc/Grwd1/Tmem33/Mrps18a/Uxt/Bcl2l1/Erh/Pdap1/Shq1/Sf3b4/Ppan/Usp16/Sf3a1/Stk40/Ube2f/Nol7/Hsp90ab1/Pdlim5/Rrp15/Rbm19/Pcbp1/Polr2f/Nasp/C1qbp/Slc25a17/Rps27l/Nsun2/Banf1/Rnps1/Psme3/Psma5/Prpf19/Dph2/Psmd12/Poldip2/Psmb7/Nup37/Slc12a2/Stx6/Polr3d/Mtap/Bzw2/Gosr2/Ercc1/Pabpc4/Psmd13/Eif5a/Nup155/Gart/Ltv1/Wdr74/Pus1/Trmt6/Ddx49/Eif1ad/Rps19bp1/Kti12/Gnl2/Pgam5/Ddost/Wdr55/Psmc4/Mtmr9/Sec61a1/Ebna1bp2/Chpf/Per2/Snrpb/Aatf/Polr3h/Timm10/Hccs/Tufm/Thg1l/Rrs1/Nars/Egr1/Ipo4/Lrrc41/Hsp90b1/Phb2/Gfi1/Actb/Tomm22/Fcf1/Tomm70a/Nudt5/Metap2/Rhoq/Ehd4/Ywhae/Slc31a1/Psmc2/Ythdf2/Extl2/Mark3/Cct7/Las1l/Hirip3/Nup107/Mrpl52/Pmpcb/Snx1/Dab2ip/Slc39a6/Ppil1/Alad/Cox5b/Sco1/Sumo1/Brcc3/Atp5a1/Cox17/Mrpl49/Srp19/Ankrd17/Nthl1" 134
"E2F_Q3" "E2F_Q3" "E2F_Q3" "30/874" "135/7293" 0.000515598848909865 0.0617687420994019 0.0593752779691992 "Abcf2/Ncl/Uxt/Mat2a/Ranbp1/Gch1/Prpf38a/Nasp/Slc25a3/Ung/Serbp1/Trmt6/Rbbp7/Prps1/Pelp1/Cdc25a/Kpnb1/Ints7/Tcp1/Cdca7/Mcm6/Tfrc/Usp1/Pola2/Mcm2/Tipin/Mcm4/Ppp1cc/Pcna/Mcm3" 30
"E2F_01" "E2F_01" "E2F_01" "13/874" "42/7293" 0.000875647436122195 0.0874188023728658 0.0840314293962879 "Ak2/Ranbp1/Nr4a3/Sfmbt1/Nasp/Marcksl1/Myc/Prps1/Eed/Mcm2/Mcm4/Pcna/Mcm3" 13
"GKCGCNNNNNNNTGAYG_UNKNOWN" "GKCGCNNNNNNNTGAYG_UNKNOWN" "GKCGCNNNNNNNTGAYG_UNKNOWN" "13/874" "44/7293" 0.00141846852989601 0.116235248787129 0.111731273326701 "Uxt/Abce1/Rnps1/Psme3/Coq7/Nup155/Pwp1/Ccdc86/Trak2/Psmb2/Nup133/Nupl2/Mrpl49" 13
"MAX_01" "MAX_01" "MAX_01" "33/874" "163/7293" 0.00155239063488653 0.116235248787129 0.111731273326701 "Nudc/Rcl1/Syncrip/Ddx3x/Fkbp11/Acy1/Mat2a/Atf4/Akap1/Cad/Psme3/Serbp1/Bax/Timm8a1/Pa2g4/Slc25a32/Prps1/Pprc1/Aatf/Ampd2/Timm10/Mtch2/Qtrt1/Mthfd1/Cdk5r1/Ilf3/Rexo2/Odc1/Hmga1/Tfrc/Fen1/Snx5/Lonrf3" 33
"MYCMAX_02" "MYCMAX_02" "MYCMAX_02" "33/874" "165/7293" 0.00191791818563602 0.121873016368097 0.117150584225199 "Polr2h/Rcl1/Syncrip/Hspa4/Gps1/Sema7a/Zfp296/Polr3e/Tgif2/Umps/Acy1/Mat2a/Cad/Psme3/Serbp1/Timm8a1/Pabpc4/Pa2g4/Igf1r/Pprc1/Ampd2/Timm10/Tnfrsf21/Mthfd1/Cdk5r1/Hdgf/Sox12/Naca/Dpagt1/Gpr65/Hif1a/Tmem109/Ankrd17" 33
"TCCCRNNRTGC_UNKNOWN" "TCCCRNNRTGC_UNKNOWN" "TCCCRNNRTGC_UNKNOWN" "29/874" "140/7293" 0.00203460795272283 0.121873016368097 0.117150584225199 "Bdh2/Krr1/Ptcd3/Tmem33/Cd3eap/Xpot/Usp16/Mrpl50/Mbp/Prpf19/Ifrd2/Psmd11/Eif5a/Gart/Foxred2/Pa2g4/Rps27a/Pes1/Rrs1/Prmt5/Plagl2/Abcb6/Rhoq/Rpp30/Kpnb1/Scamp4/Cyb5r1/Vapa/Vcl" 29
