"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"CACGTG_MYC_Q2" "CACGTG_MYC_Q2" "CACGTG_MYC_Q2" "66/365" "665/7293" 2.74317614078313e-08 1.5773262809503e-05 1.5773262809503e-05 "Cops7a/Polr2h/Nudc/Rcl1/Ak2/Ankrd13b/Syncrip/Ddx3x/Eftud2/Ncl/Eif4a1/Gps1/Zfp296/Pop1/Tgif2/Cd3eap/Hspa9/Ptges3/Acy1/Armc6/Ifrd1/Eif3b/Ranbp1/Josd1/Nat10/Hsp90ab1/Rrp15/C1qbp/Akap1/Cad/Hyal2/Zfp771/Psme3/Relb/Gadd45b/Ifrd2/Mrto4/Adk/Stx6/Rps19/Eef1e1/Shmt2/Timm8a1/Slc25a33/Pabpc4/Foxred2/Ltv1/Pus1/Trmt6/Gemin4/Timm50/Pa2g4/Slc25a32/Prps1/Ebna1bp2/Ampd2/Lyar/Timm10/Apex1/Rpia/Mtch2/Rrs1/Tnfrsf21/Hsp90b1/Mthfd1/Ilf3" 66
"MYCMAX_01" "MYCMAX_01" "MYCMAX_01" "25/365" "162/7293" 3.87875503854872e-07 0.000111514207358276 0.000111514207358276 "Nudc/Rcl1/Syncrip/Ncl/Gps1/Cd3eap/Hspa9/Acy1/Armc6/Ranbp1/Cad/Zfp771/Psme3/Ifrd2/Rps19/Timm8a1/Pus1/Pa2g4/Slc25a32/Prps1/Ampd2/Lyar/Timm10/Mthfd1/Ilf3" 25
"SCGGAAGY_ELK1_02" "SCGGAAGY_ELK1_02" "SCGGAAGY_ELK1_02" "72/365" "848/7293" 2.95064562721895e-06 0.000565540411883633 0.000565540411883633 "Hat1/Cops7a/Polr2h/Nudc/Mrpl3/Tymp/Eftud2/Stoml2/Lzic/Eif4a1/Pex11a/Wars/Krr1/Ddx1/Mrps10/Grwd1/Tmem33/Mrps18a/Erh/Shq1/Sf3b4/Stk40/Hsp90ab1/Rrp15/Pcbp1/Polr2f/C1qbp/Rps27l/Banf1/Rnps1/Psme3/Psma5/Prpf19/Poldip2/Nup37/Slc12a2/Stx6/Gosr2/Ercc1/Pabpc4/Psmd13/Eif5a/Nup155/Gart/Ltv1/Wdr74/Pus1/Trmt6/Ddx49/Eif1ad/Rps19bp1/Kti12/Pgam5/Ddost/Wdr55/Psmc4/Sec61a1/Ebna1bp2/Chpf/Per2/Snrpb/Polr3h/Timm10/Hccs/Tufm/Thg1l/Rrs1/Nars/Lrrc41/Hsp90b1/Phb2/Gfi1" 72
"GABP_B" "GABP_B" "GABP_B" "22/365" "191/7293" 0.000205196760645189 0.0294970343427459 0.0294970343427459 "Mrpl3/Lzic/Ddx1/Sf3b4/Ranbp1/Pcbp1/Banf1/Rnps1/Pigf/Eif5a/Nup155/Wdr74/Eif1ad/Ddost/Ebna1bp2/Chpf/Bag4/Per2/Phf6/Thg1l/Lrrc41/Phb2" 22
"MYCMAX_B" "MYCMAX_B" "MYCMAX_B" "19/365" "172/7293" 0.000925351624246531 0.106415436788351 0.106415436788351 "Rcl1/Ncl/Spag9/Tgif1/Tgif2/Abce1/Acy1/Eif3b/Ranbp1/Zfp771/Etf1/Marcksl1/Rps19/Slc25a33/Eif5a/Sec61a1/Tsen2/Gfi1/Ilf3" 19
"TCCCRNNRTGC_UNKNOWN" "TCCCRNNRTGC_UNKNOWN" "TCCCRNNRTGC_UNKNOWN" "16/365" "140/7293" 0.0016142606686985 0.154699980750273 0.154699980750273 "Bdh2/Krr1/Ptcd3/Tmem33/Cd3eap/Xpot/Mrpl50/Prpf19/Ifrd2/Psmd11/Eif5a/Gart/Foxred2/Pa2g4/Rrs1/Plagl2" 16
"MGGAAGTG_GABP_B" "MGGAAGTG_GABP_B" "MGGAAGTG_GABP_B" "41/365" "520/7293" 0.00221624253383671 0.180507307987854 0.180507307987854 "Hat1/Polr2h/Mrpl3/Syncrip/Lzic/Eif4a1/Grwd1/Tmem33/Tgif2/Erh/Sf3b4/Hspa8/Ranbp1/Mrps18b/Nme1/Hsp90ab1/Timm17a/Tnfsf11/Lcp2/Rnps1/Hyal2/Nme2/Etf1/Ercc1/Psmd13/Eif5a/Nup155/Wdr74/Ddost/Wdr55/Chpf/Bag4/Cdk8/Per2/Klhdc4/Tufm/Lrrc41/Phb2/Gfi1/Gfod1/Txn2" 41
"MYC_Q2" "MYC_Q2" "MYC_Q2" "14/365" "120/7293" 0.0025591186086645 0.180507307987854 0.180507307987854 "Cops7a/Nudc/Ak2/Ptges3/Nat10/Mrto4/Adk/Shmt2/Slc25a33/Pabpc4/Pa2g4/Ebna1bp2/Ampd2/Timm10" 14
"USF_C" "USF_C" "USF_C" "19/365" "190/7293" 0.00297226619579049 0.180507307987854 0.180507307987854 "Polr2h/Nudc/Eftud2/Exosc2/Nat10/Hsp90ab1/Hyal2/Zfp771/Rps19/Eef1e1/Slc25a33/Pabpc4/Eif5a/Pa2g4/Ampd2/Lyar/Timm10/Tnfrsf21/Mthfd1" 19
"MAX_01" "MAX_01" "MAX_01" "17/365" "163/7293" 0.00313925753022355 0.180507307987854 0.180507307987854 "Nudc/Rcl1/Syncrip/Ddx3x/Acy1/Akap1/Cad/Psme3/Timm8a1/Pa2g4/Slc25a32/Prps1/Ampd2/Timm10/Mtch2/Mthfd1/Ilf3" 17
"MYCMAX_02" "MYCMAX_02" "MYCMAX_02" "17/365" "165/7293" 0.00356435412355658 0.186318511004094 0.186318511004094 "Polr2h/Rcl1/Syncrip/Gps1/Zfp296/Tgif2/Umps/Acy1/Cad/Psme3/Timm8a1/Pabpc4/Pa2g4/Ampd2/Timm10/Tnfrsf21/Mthfd1" 17
"GGAANCGGAANY_UNKNOWN" "GGAANCGGAANY_UNKNOWN" "GGAANCGGAANY_UNKNOWN" "10/365" "77/7293" 0.00477002159318442 0.22856353467342 0.22856353467342 "Mrps18a/Rars/Glrx5/Banf1/Timm8a1/Eif1ad/Bms1/Sec61a1/Ncbp2/Ebna1bp2" 10
"NRF2_01" "NRF2_01" "NRF2_01" "18/365" "194/7293" 0.00823186346617647 0.364101653311652 0.364101653311652 "Mrpl3/Tymp/Timm8b/Lzic/Sf3b4/Rpl29/Rnps1/Prpf19/Ercc1/Psmd13/Eif5a/Wdr74/Kti12/Ddost/Phf6/Tufm/Lrrc41/Phb2" 18
"CREB_Q2" "CREB_Q2" "CREB_Q2" "16/365" "172/7293" 0.0120682554443919 0.495660491466097 0.495660491466097 "Ptp4a1/Ddx3x/Noc4l/Atf3/Tgif2/Ptges3/Ahi1/Josd1/Relb/Crem/Nup98/Gadd45b/Etf1/Egr4/Chpf/Dph3" 16
"USF2_Q6" "USF2_Q6" "USF2_Q6" "15/365" "159/7293" 0.0131521950205982 0.5041674757896 0.504167475789599 "Cops7a/Nudc/Ak2/Nat10/Rrp15/Mrto4/Adk/Stx6/Slc25a33/Pabpc4/Pa2g4/Ebna1bp2/Ampd2/Timm10/Mtch2" 15
"CREB_Q3" "CREB_Q3" "CREB_Q3" "15/365" "161/7293" 0.0146253482448832 0.525598452550489 0.525598452550489 "Tmem33/Spag9/Abce1/Nat10/Slc25a3/Rnps1/Npas4/Coq7/Eif5a/Nup155/Sh2d2a/Ap2b1/Pelp1/Dph3/Nol10" 15
"E2F_01" "E2F_01" "E2F_01" "6/365" "42/7293" 0.0171922165021224 0.566190899007094 0.566190899007094 "Ak2/Ranbp1/Sfmbt1/Marcksl1/Myc/Prps1" 6
"NFAT_Q6" "NFAT_Q6" "NFAT_Q6" "14/365" "151/7293" 0.0186947900908846 0.566190899007094 0.566190899007094 "S100pbp/Nmd3/Irf4/Fjx1/Prickle4/Enox1/Sh3rf1/Cd274/Tgfb1/Per2/Phf6/Gtf2e1/Il2/Nkrf" 14
"TTCYRGAA_UNKNOWN" "TTCYRGAA_UNKNOWN" "TTCYRGAA_UNKNOWN" "17/365" "196/7293" 0.0187089166628431 0.566190899007094 0.566190899007094 "Hat1/Nudc/Syncrip/Tmem33/Tgif1/Hspa9/Stip1/Hspa8/Stk40/Hsp90ab1/Nup98/Cd274/Cct8/Irf8/Per2/Phf6/Il2" 17
"GKCGCNNNNNNNTGAYG_UNKNOWN" "GKCGCNNNNNNNTGAYG_UNKNOWN" "GKCGCNNNNNNNTGAYG_UNKNOWN" "6/365" "44/7293" 0.0212875663423139 0.612017532341525 0.612017532341525 "Abce1/Rnps1/Psme3/Coq7/Nup155/Pwp1" 6
"GGCNRNWCTTYS_UNKNOWN" "GGCNRNWCTTYS_UNKNOWN" "GGCNRNWCTTYS_UNKNOWN" "7/365" "57/7293" 0.0227213492847352 0.622132182796322 0.622132182796322 "Eif4a1/Snrpd2/Cblb/2810004N23Rik/Enox1/Dtwd1/Hccs" 7
"ARNT_02" "ARNT_02" "ARNT_02" "14/365" "158/7293" 0.0265231998061985 0.693219994934735 0.693219994934735 "Syncrip/Ncl/Tgif2/Josd1/Rrp15/Akap1/Psme3/Ifrd2/Stx6/Timm8a1/Foxred2/Pa2g4/Apex1/Mtch2" 14
"NMYC_01" "NMYC_01" "NMYC_01" "15/365" "175/7293" 0.0287916261026568 0.708027853002352 0.708027853002353 "Cops7a/Rcl1/Gps1/Zfp296/Hspa9/Armc6/Hyal2/Gadd45b/Slc25a33/Pabpc4/Pa2g4/Ampd2/Timm10/Rpia/Mthfd1" 15
