"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"E2F_03" "E2F_03" "E2F_03" "33/606" "148/7293" 1.00809790113201e-07 6.0082634907468e-05 5.97430650881393e-05 "E2f1/Rad51/Mxd3/Pcsk4/Suv39h1/Smc3/Ezh2/Kntc1/Cdc6/Cdkn1a/Smc2/Melk/Mcm7/Mrpl18/Zfp367/Lig1/Rpa2/Pkmyt1/Cbx5/Rfc1/Atad2/Dnmt1/Ier5l/Anp32a/Pold1/Mcm4/E2f3/Vamp3/Mcm6/Tcp1/Pim1/Sass6/Cenpb" 33
"E2F_Q4" "E2F_Q4" "E2F_Q4" "31/606" "151/7293" 1.67343486770545e-06 0.00038674664153969 0.000384560860450098 "Tmpo/E2f1/Aco2/Abi2/Rad51/Mxd3/Cdt1/Smc3/Ezh2/Fancd2/Cdc6/Mcm7/Soat1/Clspn/Zfp367/Pkmyt1/Cbx5/Atad2/Pold3/Dnmt1/Ier5l/Pold1/Mcm4/Rrm2/E2f3/Mcm6/Pim1/Sass6/Atf5/Cort/Phf13" 31
"E2F_Q6" "E2F_Q6" "E2F_Q6" "30/606" "147/7293" 2.80214162794419e-06 0.00038674664153969 0.000384560860450098 "Tmpo/E2f1/Aco2/Rad51/Mxd3/Cdt1/Smc3/Ezh2/Fancd2/Cdc6/Mcm7/Soat1/Clspn/Zfp367/Pkmyt1/Cbx5/Atad2/Pold3/Dnmt1/Ier5l/Pold1/Mcm4/Rrm2/E2f3/Mcm6/Pim1/Sass6/Atf5/Cort/Phf13" 30
"E2F1_Q6" "E2F1_Q6" "E2F1_Q6" "31/606" "155/7293" 2.99634479566784e-06 0.00038674664153969 0.000384560860450098 "Tmpo/E2f1/Aco2/Mxd3/Msh5/Cdt1/Suv39h1/Smc3/Ezh2/Fancd2/Cdc6/Mcm7/Soat1/Clspn/Zfp367/Pkmyt1/Atad2/Pold3/Dnmt1/Ap1s1/Ier5l/Pold1/Mcm4/Rrm2/E2f3/Mcm6/Pim1/Sass6/Atf5/Cort/Phf13" 31
"E2F_Q6_01" "E2F_Q6_01" "E2F_Q6_01" "30/606" "148/7293" 3.24451880486317e-06 0.00038674664153969 0.000384560860450098 "E2f1/Rad51/Mxd3/Pcsk4/Suv39h1/Smc3/Ezh2/Cdc6/Cdkn1a/Smc2/Melk/Mcm7/Zfp367/Lig1/Pkmyt1/Fancl/Cbx5/Rfc1/Atad2/Rbpj/Dnmt1/Ier5l/Pold1/Mcm4/Rrm2/E2f3/Mcm6/Sass6/Polh/Cnpy2" 30
"E2F1DP1RB_01" "E2F1DP1RB_01" "E2F1DP1RB_01" "29/606" "147/7293" 8.2808717947781e-06 0.000822566598281291 0.000817917687800012 "Tmpo/E2f1/Rad51/Mxd3/Cdt1/Smc3/Ezh2/Cdc6/Mcm7/Soat1/Clspn/Zfp367/Lig1/Pkmyt1/Cbx5/Rfc1/Atad2/Pold3/Rbpj/Dnmt1/Ier5l/Pold1/Rrm2/Mcm6/Pim1/Sass6/Atf5/Cort/Phf13" 29
"E2F4DP1_01" "E2F4DP1_01" "E2F4DP1_01" "30/606" "158/7293" 1.28492058709743e-05 0.000946855138343937 0.000941503784683216 "Tmpo/E2f1/Aco2/Mxd3/Msh5/Suv39h1/Smc3/Ezh2/Fancd2/Cdc6/Mcm7/Soat1/Clspn/Zfp367/Lig1/Pkmyt1/Atad2/Pold3/Dnmt1/Ap1s1/Ier5l/Pold1/Mcm4/Rrm2/E2f3/Mcm6/Pim1/Sass6/Atf5/Cort" 30
"E2F_Q3" "E2F_Q3" "E2F_Q3" "27/606" "135/7293" 1.30285679278853e-05 0.000946855138343937 0.000941503784683216 "Ppme1/E2f1/Rad51/Mxd3/Pcsk4/Smc3/Ezh2/Cdc6/Mcm7/Mrpl18/Zfp367/Lig1/Pkmyt1/Cbx5/Rfc1/Atad2/Rbpj/Dnmt1/Ier5l/Mcm4/E2f3/Mcm6/Tcp1/Pim1/Sass6/Kif15/Phf13" 27
"SGCGSSAAA_E2F1DP2_01" "SGCGSSAAA_E2F1DP2_01" "SGCGSSAAA_E2F1DP2_01" "23/606" "106/7293" 1.42981480622407e-05 0.000946855138343937 0.000941503784683216 "E2f1/Aco2/Mxd3/Msh5/Suv39h1/Smc3/Cdc6/Mcm7/Clspn/Zfp367/Pkmyt1/Atad2/Pold3/Dnmt1/Ap1s1/Ier5l/Pold1/Mcm4/Rrm2/E2f3/Mcm6/Pim1/Atf5" 23
"E2F1DP1_01" "E2F1DP1_01" "E2F1DP1_01" "29/606" "155/7293" 2.39347878680464e-05 0.00118876113077964 0.00118204259383422 "Tmpo/E2f1/Aco2/Mxd3/Msh5/Suv39h1/Smc3/Ezh2/Fancd2/Cdc6/Mcm7/Soat1/Clspn/Zfp367/Pkmyt1/Atad2/Pold3/Dnmt1/Ap1s1/Ier5l/Pold1/Mcm4/Rrm2/E2f3/Mcm6/Pim1/Sass6/Atf5/Cort" 29
"E2F1DP2_01" "E2F1DP2_01" "E2F1DP2_01" "29/606" "155/7293" 2.39347878680464e-05 0.00118876113077964 0.00118204259383422 "Tmpo/E2f1/Aco2/Mxd3/Msh5/Suv39h1/Smc3/Ezh2/Fancd2/Cdc6/Mcm7/Soat1/Clspn/Zfp367/Pkmyt1/Atad2/Pold3/Dnmt1/Ap1s1/Ier5l/Pold1/Mcm4/Rrm2/E2f3/Mcm6/Pim1/Sass6/Atf5/Cort" 29
"E2F4DP2_01" "E2F4DP2_01" "E2F4DP2_01" "29/606" "155/7293" 2.39347878680464e-05 0.00118876113077964 0.00118204259383422 "Tmpo/E2f1/Aco2/Mxd3/Msh5/Suv39h1/Smc3/Ezh2/Fancd2/Cdc6/Mcm7/Soat1/Clspn/Zfp367/Pkmyt1/Atad2/Pold3/Dnmt1/Ap1s1/Ier5l/Pold1/Mcm4/Rrm2/E2f3/Mcm6/Pim1/Sass6/Atf5/Cort" 29
