"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"WP_THE_HUMAN_IMMUNE_RESPONSE_TO_TUBERCULOSIS" "WP_THE_HUMAN_IMMUNE_RESPONSE_TO_TUBERCULOSIS" "WP_THE_HUMAN_IMMUNE_RESPONSE_TO_TUBERCULOSIS" "6/42" "20/4408" 1.81455942374554e-08 2.3589272508692e-06 2.00556567887665e-06 "Oas1g/Stat1/Ifit3/Irf9/Ifi35/Tap1" 6
"WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_INTERFERON_INDUCTION" "WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_INTERFERON_INDUCTION" "WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_INTERFERON_INDUCTION" "6/42" "29/4408" 2.08727451434898e-07 1.35672843432684e-05 1.15349381056128e-05 "Oas1g/Stat1/Tlr7/Ddx58/Oas2/Irf9" 6
"WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "6/42" "40/4408" 1.56086424708861e-06 6.76374507071732e-05 5.75055248927383e-05 "Oas1g/Stat1/Ifit2/Irf9/Cxcl10/Tap1" 6
"WP_TYPE_I_INTERFERON_INDUCTION_AND_SIGNALING_DURING_SARSCOV2_INFECTION" "WP_TYPE_I_INTERFERON_INDUCTION_AND_SIGNALING_DURING_SARSCOV2_INFECTION" "WP_TYPE_I_INTERFERON_INDUCTION_AND_SIGNALING_DURING_SARSCOV2_INFECTION" "5/42" "26/4408" 3.48921384060141e-06 0.000113399449819546 9.64124877008284e-05 "Oas1g/Stat1/Tlr7/Oas2/Irf9" 5
"WP_SARSCOV2_INNATE_IMMUNITY_EVASION_AND_CELLSPECIFIC_IMMUNE_RESPONSE" "WP_SARSCOV2_INNATE_IMMUNITY_EVASION_AND_CELLSPECIFIC_IMMUNE_RESPONSE" "WP_SARSCOV2_INNATE_IMMUNITY_EVASION_AND_CELLSPECIFIC_IMMUNE_RESPONSE" "6/42" "48/4408" 4.71663455948137e-06 0.000122632498546516 0.000104262448156957 "Stat1/Ifit2/Tlr7/Ddx58/Cxcl10/Irf7" 6
"WP_CYTOSOLIC_DNASENSING_PATHWAY" "WP_CYTOSOLIC_DNASENSING_PATHWAY" "WP_CYTOSOLIC_DNASENSING_PATHWAY" "5/42" "50/4408" 9.49514521299681e-05 0.00205728146281597 0.00174910569713099 "Zbp1/Casp1/Ddx58/Cxcl10/Irf7" 5
"WP_SARS_CORONAVIRUS_AND_INNATE_IMMUNITY" "WP_SARS_CORONAVIRUS_AND_INNATE_IMMUNITY" "WP_SARS_CORONAVIRUS_AND_INNATE_IMMUNITY" "3/42" "20/4408" 0.000819383531682296 0.0152171227312426 0.0129376347107731 "Stat1/Ddx58/Irf9" 3
"WP_SARSCOV2_MITOCHONDRIAL_INTERACTIONS" "WP_SARSCOV2_MITOCHONDRIAL_INTERACTIONS" "WP_SARSCOV2_MITOCHONDRIAL_INTERACTIONS" "3/42" "21/4408" 0.000949629185906686 0.0154314742709837 0.0131198769105529 "Tlr7/Ddx58/Irf7" 3
"WP_INTERACTIONS_BETWEEN_IMMUNE_CELLS_AND_MICRORNAS_IN_TUMOR_MICROENVIRONMENT" "WP_INTERACTIONS_BETWEEN_IMMUNE_CELLS_AND_MICRORNAS_IN_TUMOR_MICROENVIRONMENT" "WP_INTERACTIONS_BETWEEN_IMMUNE_CELLS_AND_MICRORNAS_IN_TUMOR_MICROENVIRONMENT" "3/42" "25/4408" 0.0015992581890881 0.0231003960646058 0.0196400128484503 "Il4ra/Tlr7/Cxcl10" 3
"WP_EBOLA_VIRUS_PATHWAY_ON_HOST" "WP_EBOLA_VIRUS_PATHWAY_ON_HOST" "WP_EBOLA_VIRUS_PATHWAY_ON_HOST" "5/42" "104/4408" 0.00282162568163241 0.0366811338612213 0.0311863891127792 "Stat1/Bst2/Timd2/Ddx58/Irf7" 5
"WP_PATHWAYS_OF_NUCLEIC_ACID_METABOLISM_AND_INNATE_IMMUNE_SENSING" "WP_PATHWAYS_OF_NUCLEIC_ACID_METABOLISM_AND_INNATE_IMMUNE_SENSING" "WP_PATHWAYS_OF_NUCLEIC_ACID_METABOLISM_AND_INNATE_IMMUNE_SENSING" "2/42" "12/4408" 0.00550678847248664 0.0650802274021148 0.0553313674268992 "Oas1g/Ddx58" 2
"WP_TOLLLIKE_RECEPTOR_SIGNALING_PATHWAY" "WP_TOLLLIKE_RECEPTOR_SIGNALING_PATHWAY" "WP_TOLLLIKE_RECEPTOR_SIGNALING_PATHWAY" "4/42" "79/4408" 0.00638200964746876 0.0691384378475783 0.0587816678056333 "Stat1/Tlr7/Cxcl10/Irf7" 4
