"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"WP_HAIR_FOLLICLE_DEVELOPMENT_CYTODIFFERENTIATION_PART_3_OF_3" "WP_HAIR_FOLLICLE_DEVELOPMENT_CYTODIFFERENTIATION_PART_3_OF_3" "WP_HAIR_FOLLICLE_DEVELOPMENT_CYTODIFFERENTIATION_PART_3_OF_3" "5/85" "42/4408" 0.0011498257074681 0.223653207251385 0.222144076298271 "Ifng/Lrig1/Phlda1/Gtpbp4/Fosb" 5
"WP_CYTOSOLIC_DNASENSING_PATHWAY" "WP_CYTOSOLIC_DNASENSING_PATHWAY" "WP_CYTOSOLIC_DNASENSING_PATHWAY" "5/85" "50/4408" 0.00253835868692104 0.223653207251385 0.222144076298271 "Polr3e/Cxcl10/Polr3d/Polr3b/Polr2e" 5
"WP_EUKARYOTIC_TRANSCRIPTION_INITIATION" "WP_EUKARYOTIC_TRANSCRIPTION_INITIATION" "WP_EUKARYOTIC_TRANSCRIPTION_INITIATION" "4/85" "33/4408" 0.00344081857309822 0.223653207251385 0.222144076298271 "Polr3e/Polr3d/Polr3b/Polr2e" 4
"WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "4/85" "40/4408" 0.00693824914001606 0.338239645575783 0.335957326779725 "Gbp2/Ifng/Cxcl10/Socs1" 4
"WP_PREIMPLANTATION_EMBRYO" "WP_PREIMPLANTATION_EMBRYO" "WP_PREIMPLANTATION_EMBRYO" "3/85" "30/4408" 0.0193073942819624 0.591181555809958 0.587192476486004 "E2f5/Fosb/Egr1" 3
"WP_PYRIMIDINE_METABOLISM" "WP_PYRIMIDINE_METABOLISM" "WP_PYRIMIDINE_METABOLISM" "4/85" "54/4408" 0.0195948048463287 0.591181555809958 0.587192476486004 "Polr3e/Polr3d/Polr3b/Polr2e" 4
"WP_SPINAL_CORD_INJURY" "WP_SPINAL_CORD_INJURY" "WP_SPINAL_CORD_INJURY" "5/85" "83/4408" 0.0212219020034344 0.591181555809958 0.587192476486004 "E2f5/Mbp/Ifng/Cxcl10/Egr1" 5
"WP_METHIONINE_DE_NOVO_AND_SALVAGE_PATHWAY" "WP_METHIONINE_DE_NOVO_AND_SALVAGE_PATHWAY" "WP_METHIONINE_DE_NOVO_AND_SALVAGE_PATHWAY" "2/85" "14/4408" 0.0287749736746496 0.701389983319584 0.696657257386254 "Mat2a/Mtap" 2
"WP_HYPERTROPHY_MODEL" "WP_HYPERTROPHY_MODEL" "WP_HYPERTROPHY_MODEL" "2/85" "16/4408" 0.0370149937785184 0.728238726951715 0.723324835406831 "Nr4a3/Ifng" 2
"WP_ALLOGRAFT_REJECTION" "WP_ALLOGRAFT_REJECTION" "WP_ALLOGRAFT_REJECTION" "4/85" "68/4408" 0.0412491728402172 0.728238726951715 0.723324835406831 "Cd40/Il21/Fasl/Ifng" 4
