"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"WP_SARSCOV2_INNATE_IMMUNITY_EVASION_AND_CELLSPECIFIC_IMMUNE_RESPONSE" "WP_SARSCOV2_INNATE_IMMUNITY_EVASION_AND_CELLSPECIFIC_IMMUNE_RESPONSE" "WP_SARSCOV2_INNATE_IMMUNITY_EVASION_AND_CELLSPECIFIC_IMMUNE_RESPONSE" "12/408" "48/4408" 0.00106808278837448 0.282918035916712 0.276743958111084 "Lag3/Ifit2/Casp8/Il10/Tlr7/Cd160/Ddx58/Cxcl10/Stat1/Ep300/Irf7/Jak1" 12
"WP_THE_HUMAN_IMMUNE_RESPONSE_TO_TUBERCULOSIS" "WP_THE_HUMAN_IMMUNE_RESPONSE_TO_TUBERCULOSIS" "WP_THE_HUMAN_IMMUNE_RESPONSE_TO_TUBERCULOSIS" "7/408" "20/4408" 0.00147418715479836 0.282918035916712 0.276743958111084 "Oas1g/Ifit3/Ifi35/Stat1/Socs1/Tap1/Jak1" 7
"WP_G1_TO_S_CELL_CYCLE_CONTROL" "WP_G1_TO_S_CELL_CYCLE_CONTROL" "WP_G1_TO_S_CELL_CYCLE_CONTROL" "11/408" "46/4408" 0.00251859416578466 0.282918035916712 0.276743958111084 "Mcm6/Creb3/Pola2/Mcm2/Mcm4/Cdkn1b/Atm/Cdkn1c/Mcm5/Pcna/Mcm3" 11
"WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "10/408" "40/4408" 0.00276017596016304 0.282918035916712 0.276743958111084 "Oas1g/Ifit2/Gbp2/Socs3/Ifng/Cxcl10/Stat1/Socs1/Tap1/Jak1" 10
"WP_METHIONINE_DE_NOVO_AND_SALVAGE_PATHWAY" "WP_METHIONINE_DE_NOVO_AND_SALVAGE_PATHWAY" "WP_METHIONINE_DE_NOVO_AND_SALVAGE_PATHWAY" "5/408" "14/4408" 0.00655646229354342 0.448024923392134 0.438247742778955 "Msrb2/Mat2a/Mtap/Txn1/Adi1" 5
"WP_PURINE_METABOLISM_AND_RELATED_DISORDERS" "WP_PURINE_METABOLISM_AND_RELATED_DISORDERS" "WP_PURINE_METABOLISM_AND_RELATED_DISORDERS" "5/408" "14/4408" 0.00655646229354342 0.448024923392134 0.438247742778955 "Mat2a/Tpmt/Paics/Atic/Xdh" 5
"WP_INTERFERON_TYPE_I_SIGNALING_PATHWAYS" "WP_INTERFERON_TYPE_I_SIGNALING_PATHWAYS" "WP_INTERFERON_TYPE_I_SIGNALING_PATHWAYS" "10/408" "46/4408" 0.00803129148077163 0.470404215302338 0.460138654763006 "Map3k1/Map2k6/Rapgef1/Socs3/Pdcd4/Rps6ka5/Stat1/Pik3cd/Socs1/Jak1" 10
"WP_DNA_REPLICATION" "WP_DNA_REPLICATION" "WP_DNA_REPLICATION" "7/408" "27/4408" 0.00956495764462776 0.490204079287173 0.479506429289892 "Mcm6/Pola2/Mcm2/Mcm4/Mcm5/Pcna/Mcm3" 7
"WP_EBOLA_VIRUS_PATHWAY_ON_HOST" "WP_EBOLA_VIRUS_PATHWAY_ON_HOST" "WP_EBOLA_VIRUS_PATHWAY_ON_HOST" "17/408" "104/4408" 0.0138121446010629 0.494031477369596 0.483250302638809 "Actb/Dab2ip/Socs3/Bst2/Npc1/Itga3/Ddx58/H2-DMb2/Vav2/Stat1/H2-DMb1/Tiam1/Igf1r/Ep300/Pik3cd/H2-Ab1/Irf7" 17
"WP_IL10_ANTIINFLAMMATORY_SIGNALING_PATHWAY" "WP_IL10_ANTIINFLAMMATORY_SIGNALING_PATHWAY" "WP_IL10_ANTIINFLAMMATORY_SIGNALING_PATHWAY" "4/408" "11/4408" 0.0140922008150225 0.494031477369596 0.483250302638809 "Il10/Stat1/Hmox1/Jak1" 4
"WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_INTERFERON_INDUCTION" "WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_INTERFERON_INDUCTION" "WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_INTERFERON_INDUCTION" "7/408" "29/4408" 0.0143086927429866 0.494031477369596 0.483250302638809 "Oas1g/Tlr7/Ddx58/Oas2/Stat1/Ifih1/Jak1" 7
"WP_CYTOSOLIC_DNASENSING_PATHWAY" "WP_CYTOSOLIC_DNASENSING_PATHWAY" "WP_CYTOSOLIC_DNASENSING_PATHWAY" "10/408" "50/4408" 0.0145037303058621 0.494031477369596 0.483250302638809 "Polr3e/Casp8/Casp1/Ddx58/Cxcl10/Polr3d/Rnf125/Polr3b/Irf7/Polr2e" 10
"WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION" "WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION" "WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION" "6/408" "23/4408" 0.0156644126970848 0.494031477369596 0.483250302638809 "Akr1b3/Anxa5/Tbxa2r/Abcc4/Cbr1/S100a6" 6
"WP_PATHWAYS_OF_NUCLEIC_ACID_METABOLISM_AND_INNATE_IMMUNE_SENSING" "WP_PATHWAYS_OF_NUCLEIC_ACID_METABOLISM_AND_INNATE_IMMUNE_SENSING" "WP_PATHWAYS_OF_NUCLEIC_ACID_METABOLISM_AND_INNATE_IMMUNE_SENSING" "4/408" "12/4408" 0.0196227310025216 0.522853226545224 0.511443079110989 "Oas1g/Rnaseh2b/Ddx58/Ifih1" 4
"WP_MYOMETRIAL_RELAXATION_AND_CONTRACTION_PATHWAYS" "WP_MYOMETRIAL_RELAXATION_AND_CONTRACTION_PATHWAYS" "WP_MYOMETRIAL_RELAXATION_AND_CONTRACTION_PATHWAYS" "17/408" "109/4408" 0.0213653944507549 0.522853226545224 0.511443079110989 "Atp2a3/Rgs1/Creb3/Atp2a2/Actb/Arrb2/Itpr1/Rgs10/Pkib/Atf4/Gnaq/Igfbp4/Itpr2/Prkacb/Itpr3/Adcy7/Cnn2" 17
"WP_7Q1123_COPY_NUMBER_VARIATION_SYNDROME" "WP_7Q1123_COPY_NUMBER_VARIATION_SYNDROME" "WP_7Q1123_COPY_NUMBER_VARIATION_SYNDROME" "11/408" "61/4408" 0.022384863875559 0.522853226545224 0.511443079110989 "Nsun5/Stx1a/Dek/Atf4/Ddx21/Nup62/Cdkn1c/Atp5a1/Atp5e/Ube2l6/Pcna" 11
"WP_INTEGRATED_CANCER_PATHWAY" "WP_INTEGRATED_CANCER_PATHWAY" "WP_INTEGRATED_CANCER_PATHWAY" "8/408" "39/4408" 0.0238668512771766 0.522853226545224 0.511443079110989 "Chek1/Bbc3/Casp8/Mre11a/Cdkn1b/Stat1/Atm/Jak1" 8
"WP_FERROPTOSIS" "WP_FERROPTOSIS" "WP_FERROPTOSIS" "7/408" "32/4408" 0.0242571890716191 0.522853226545224 0.511443079110989 "Tfrc/Acsl6/Acsl5/Acsl4/Hmox1/Acsl3/Vdac3" 7
"WP_FATTY_ACID_BIOSYNTHESIS" "WP_FATTY_ACID_BIOSYNTHESIS" "WP_FATTY_ACID_BIOSYNTHESIS" "5/408" "19/4408" 0.0258893140096569 0.522853226545224 0.511443079110989 "Acsl6/Acsl5/Acaa2/Acsl4/Acsl3" 5
"WP_CELL_CYCLE" "WP_CELL_CYCLE" "WP_CELL_CYCLE" "15/408" "95/4408" 0.0267630427513105 0.522853226545224 0.511443079110989 "Chek1/Mcm6/E2f5/Mcm2/Prkdc/Mcm4/Rbl2/Cdkn1b/Atm/Cdkn1c/Cdc14b/Ep300/Mcm5/Pcna/Mcm3" 15
"WP_TGFBETA_RECEPTOR_SIGNALLING_IN_SKELETAL_DYSPLASIAS" "WP_TGFBETA_RECEPTOR_SIGNALLING_IN_SKELETAL_DYSPLASIAS" "WP_TGFBETA_RECEPTOR_SIGNALLING_IN_SKELETAL_DYSPLASIAS" "8/408" "40/4408" 0.0275111715194333 0.522853226545224 0.511443079110989 "Adamts10/Lef1/Ifng/Lif/Stat1/Ep300/Ltbp1/Jak1" 8
"WP_VIRAL_ACUTE_MYOCARDITIS" "WP_VIRAL_ACUTE_MYOCARDITIS" "WP_VIRAL_ACUTE_MYOCARDITIS" "12/408" "71/4408" 0.0280555389853535 0.522853226545224 0.511443079110989 "Cd4/Actb/Casp8/Ccr5/Il10/Eif4g2/Casp1/Ifng/Aif1/Stat1/Socs1/Jak1" 12
"WP_FAS_LIGAND_FASL_PATHWAY_AND_STRESS_INDUCTION_OF_HEAT_SHOCK_PROTEINS_HSP_REGULATION" "WP_FAS_LIGAND_FASL_PATHWAY_AND_STRESS_INDUCTION_OF_HEAT_SHOCK_PROTEINS_HSP_REGULATION" "WP_FAS_LIGAND_FASL_PATHWAY_AND_STRESS_INDUCTION_OF_HEAT_SHOCK_PROTEINS_HSP_REGULATION" "7/408" "34/4408" 0.0330487532551372 0.56900216055508 0.556584911865174 "Map3k1/Actb/Arhgdib/Casp8/Fasl/Prkdc/Mapkapk3" 7
"WP_IL4_SIGNALING_PATHWAY" "WP_IL4_SIGNALING_PATHWAY" "WP_IL4_SIGNALING_PATHWAY" "9/408" "49/4408" 0.0333074435446876 0.56900216055508 0.556584911865174 "Il4ra/Socs3/Stat1/Dok2/Ep300/Pik3cd/Socs1/Gata3/Jak1" 9
"WP_HAIR_FOLLICLE_DEVELOPMENT_CYTODIFFERENTIATION_PART_3_OF_3" "WP_HAIR_FOLLICLE_DEVELOPMENT_CYTODIFFERENTIATION_PART_3_OF_3" "WP_HAIR_FOLLICLE_DEVELOPMENT_CYTODIFFERENTIATION_PART_3_OF_3" "8/408" "42/4408" 0.0359197855715836 0.589084483373971 0.576228981169405 "Bcl11b/Lef1/Ifng/Lrig1/Phlda1/Gtpbp4/Gata3/Fosb" 8
"WP_SARSCOV2_MITOCHONDRIAL_INTERACTIONS" "WP_SARSCOV2_MITOCHONDRIAL_INTERACTIONS" "WP_SARSCOV2_MITOCHONDRIAL_INTERACTIONS" "5/408" "21/4408" 0.0388862310963659 0.59950964476318 0.586426635827399 "Tlr7/Ddx58/Ndufb9/Ifih1/Irf7" 5
"WP_RENIN_ANGIOTENSIN_ALDOSTERONE_SYSTEM_RAAS" "WP_RENIN_ANGIOTENSIN_ALDOSTERONE_SYSTEM_RAAS" "WP_RENIN_ANGIOTENSIN_ALDOSTERONE_SYSTEM_RAAS" "6/408" "28/4408" 0.0394799034356241 0.59950964476318 0.586426635827399 "Creb3/Itpr1/Atf4/Gnaq/Itpr2/Itpr3" 6
"WP_HUMAN_THYROID_STIMULATING_HORMONE_TSH_SIGNALING_PATHWAY" "WP_HUMAN_THYROID_STIMULATING_HORMONE_TSH_SIGNALING_PATHWAY" "WP_HUMAN_THYROID_STIMULATING_HORMONE_TSH_SIGNALING_PATHWAY" "9/408" "51/4408" 0.0418990578596729 0.613521918659496 0.600133121975015 "Map2k6/Gnaq/Rbl2/Cdkn1b/Stat1/Igf1r/Scrib/Egr1/Jak1" 9
"WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY" "WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY" "WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY" "5/408" "22/4408" 0.046637912743593 0.659363593961142 0.644974401281631 "Bcl11b/Ifng/Gata3/Tbx21/Eomes" 5
"WP_HEPATITIS_B_INFECTION" "WP_HEPATITIS_B_INFECTION" "WP_HEPATITIS_B_INFECTION" "17/408" "121/4408" 0.0519259169748114 0.709654198655756 0.694167521663269 "Creb3/Map3k1/Casp8/Map2k6/Fasl/Ddb2/Atf4/Ddx58/Stat1/Ifih1/Ep300/Pik3cd/Vdac3/Pcna/Irf7/Jak1/Akt3" 17
"WP_TGFBETA_RECEPTOR_SIGNALING" "WP_TGFBETA_RECEPTOR_SIGNALING" "WP_TGFBETA_RECEPTOR_SIGNALING" "7/408" "38/4408" 0.0564459883338574 0.740055419806545 0.723905301530921 "Lef1/Ifng/Lif/Stat1/Ep300/Ltbp1/Jak1" 7
"WP_OMEGA3OMEGA6_FA_SYNTHESIS" "WP_OMEGA3OMEGA6_FA_SYNTHESIS" "WP_OMEGA3OMEGA6_FA_SYNTHESIS" "3/408" "10/4408" 0.0577604230092914 0.740055419806545 0.723905301530921 "Acsl4/Acsl3/Acox3" 3
"WP_REGULATION_OF_TOLLLIKE_RECEPTOR_SIGNALING_PATHWAY" "WP_REGULATION_OF_TOLLLIKE_RECEPTOR_SIGNALING_PATHWAY" "WP_REGULATION_OF_TOLLLIKE_RECEPTOR_SIGNALING_PATHWAY" "15/408" "106/4408" 0.0619796411988608 0.761765509230176 0.745141614933754 "Cd40/Tlr6/Casp8/Map2k6/Tlr7/Cxcl10/Pik3cg/Cish/Irak2/Stat1/Pik3cd/Socs1/Zmynd11/Irf7/Akt3" 15
"WP_TRANSLATION_INHIBITORS_IN_CHRONICALLY_ACTIVATED_PDGFRA_CELLS" "WP_TRANSLATION_INHIBITORS_IN_CHRONICALLY_ACTIVATED_PDGFRA_CELLS" "WP_TRANSLATION_INHIBITORS_IN_CHRONICALLY_ACTIVATED_PDGFRA_CELLS" "7/408" "39/4408" 0.0635726745650062 0.761765509230176 0.745141614933754 "Map2k6/Pdcd4/Rps6ka5/Pik3cg/Eif4a2/Pim2/Akt3" 7
"WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA" "WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA" "WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA" "11/408" "72/4408" 0.0650287629830638 0.761765509230176 0.745141614933754 "Cox7a2l/Cox7a1/Cox5b/Sco1/Ndufb9/Ndufc1/Cox6c/Atp5a1/Atp5e/Cox17/Ndufb8" 11
"WP_CILIARY_LANDSCAPE" "WP_CILIARY_LANDSCAPE" "WP_CILIARY_LANDSCAPE" "20/408" "153/4408" 0.0696981130620362 0.76424437393169 0.747566383743194 "Cep97/Mcm6/Gdi1/Ctsa/Mcm2/Iqgap2/Rbm14/Mcm4/Ypel5/Nek8/Htra2/Ift172/Cdr2/Vapb/Cox6c/Acsl3/Mcm5/Exosc4/Cops4/Mcm3" 20
"WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR" "WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR" "WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR" "10/408" "65/4408" 0.0735083699229165 0.76424437393169 0.747566383743194 "Chek1/Usp1/Mre11a/Mcm2/Prkdc/Fen1/Mcph1/Atm/Brcc3/Pcna" 10
"WP_FATTY_ACID_BETA_OXIDATION" "WP_FATTY_ACID_BETA_OXIDATION" "WP_FATTY_ACID_BETA_OXIDATION" "5/408" "25/4408" 0.0750056923364406 0.76424437393169 0.747566383743194 "Acsl6/Acsl5/Acsl4/Tpi1/Acsl3" 5
"WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "5/408" "25/4408" 0.0750056923364406 0.76424437393169 0.747566383743194 "Il4ra/Cd4/Ccr5/Ifng/Il12rb2" 5
