"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"WP_VIRAL_ACUTE_MYOCARDITIS" "WP_VIRAL_ACUTE_MYOCARDITIS" "WP_VIRAL_ACUTE_MYOCARDITIS" "12/280" "71/4408" 0.00147962157682115 0.393819078309795 0.382918880100446 "H2-DMa/Actb/Il10/Eif4g2/Casp1/Bax/Stat1/Rac2/Casp7/Edn1/Socs1/Bcl2l1" 12
"WP_ADIPOGENESIS" "WP_ADIPOGENESIS" "WP_ADIPOGENESIS" "14/280" "95/4408" 0.00240352592975088 0.393819078309795 0.382918880100446 "Socs3/Irs2/Lif/Klf6/Lpin1/Mif/Stat1/Bscl2/Rbl1/Prlr/Socs1/Mef2c/Gata3/Hmga1" 14
"WP_FATTY_ACID_BIOSYNTHESIS" "WP_FATTY_ACID_BIOSYNTHESIS" "WP_FATTY_ACID_BIOSYNTHESIS" "5/280" "19/4408" 0.00554164247328516 0.393819078309795 0.382918880100446 "Ech1/Acsl6/Acsl5/Acsl4/Acss2" 5
"WP_THE_HUMAN_IMMUNE_RESPONSE_TO_TUBERCULOSIS" "WP_THE_HUMAN_IMMUNE_RESPONSE_TO_TUBERCULOSIS" "WP_THE_HUMAN_IMMUNE_RESPONSE_TO_TUBERCULOSIS" "5/280" "20/4408" 0.00701236527444653 0.393819078309795 0.382918880100446 "Ifit3/Ifi35/Stat1/Socs1/Tap1" 5
"WP_G1_TO_S_CELL_CYCLE_CONTROL" "WP_G1_TO_S_CELL_CYCLE_CONTROL" "WP_G1_TO_S_CELL_CYCLE_CONTROL" "8/280" "46/4408" 0.00753568632515501 0.393819078309795 0.382918880100446 "Ccnd3/E2f2/Rpa1/Cdc25a/Cdk4/Atm/Cdkn1c/Cdkn2d" 8
"WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_APOPTOSIS" "WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_APOPTOSIS" "WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_APOPTOSIS" "5/280" "21/4408" 0.00873555433585736 0.393819078309795 0.382918880100446 "Fasl/Apaf1/Bax/Casp7/Bcl2l1" 5
"WP_SARSCOV2_MITOCHONDRIAL_INTERACTIONS" "WP_SARSCOV2_MITOCHONDRIAL_INTERACTIONS" "WP_SARSCOV2_MITOCHONDRIAL_INTERACTIONS" "5/280" "21/4408" 0.00873555433585736 0.393819078309795 0.382918880100446 "Tomm70a/Tlr7/Ddx58/Ifih1/Irf7" 5
"WP_SARSCOV2_INNATE_IMMUNITY_EVASION_AND_CELLSPECIFIC_IMMUNE_RESPONSE" "WP_SARSCOV2_INNATE_IMMUNITY_EVASION_AND_CELLSPECIFIC_IMMUNE_RESPONSE" "WP_SARSCOV2_INNATE_IMMUNITY_EVASION_AND_CELLSPECIFIC_IMMUNE_RESPONSE" "8/280" "48/4408" 0.00976279823351689 0.393819078309795 0.382918880100446 "Ifit2/Il10/Tlr7/Ddx58/Stat1/Dhx58/Csf2/Irf7" 8
"WP_INTEGRATED_CANCER_PATHWAY" "WP_INTEGRATED_CANCER_PATHWAY" "WP_INTEGRATED_CANCER_PATHWAY" "7/280" "39/4408" 0.0102606637852538 0.393819078309795 0.382918880100446 "Mre11a/Cdc25b/Cdc25a/Bax/Stat1/Cdk4/Atm" 7
"WP_OVARIAN_INFERTILITY_GENES" "WP_OVARIAN_INFERTILITY_GENES" "WP_OVARIAN_INFERTILITY_GENES" "5/280" "22/4408" 0.0107307650765612 0.393819078309795 0.382918880100446 "Smpd1/Cdk4/Atm/Prlr/Egr1" 5
"WP_FATTY_ACID_BETA_OXIDATION" "WP_FATTY_ACID_BETA_OXIDATION" "WP_FATTY_ACID_BETA_OXIDATION" "5/280" "25/4408" 0.0185266560968197 0.546050322615825 0.530936639514598 "Acsl6/Acsl5/Dld/Acsl4/Acss2" 5
"WP_AMINO_ACID_METABOLISM" "WP_AMINO_ACID_METABOLISM" "WP_AMINO_ACID_METABOLISM" "9/280" "64/4408" 0.0186192565372968 0.546050322615825 0.530936639514598 "Asns/Idh1/Eprs/Dld/Acaa1a/Fh1/Aldh18a1/Adh4/Cth" 9
"WP_PARKINUBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY" "WP_PARKINUBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY" "WP_PARKINUBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY" "8/280" "54/4408" 0.0193781085874074 0.546050322615825 0.530936639514598 "Hspa4/Psmd9/Psmd14/Casp1/Psmd12/Psmd6/Psmd8/Ube2l6" 8
"WP_PANCREATIC_ADENOCARCINOMA_PATHWAY" "WP_PANCREATIC_ADENOCARCINOMA_PATHWAY" "WP_PANCREATIC_ADENOCARCINOMA_PATHWAY" "10/280" "76/4408" 0.0208302575384783 0.546050322615825 0.530936639514598 "E2f2/Ripk4/Pebp1/Bax/Stat1/Rac2/Cdk4/Arhgef6/Tiam1/Bcl2l1" 10
"WP_NANOMATERIAL_INDUCED_APOPTOSIS" "WP_NANOMATERIAL_INDUCED_APOPTOSIS" "WP_NANOMATERIAL_INDUCED_APOPTOSIS" "4/280" "18/4408" 0.0240056080748217 0.561212500886996 0.545679156175797 "Fasl/Apaf1/Bax/Casp7" 4
"WP_INTERFERON_TYPE_I_SIGNALING_PATHWAYS" "WP_INTERFERON_TYPE_I_SIGNALING_PATHWAYS" "WP_INTERFERON_TYPE_I_SIGNALING_PATHWAYS" "7/280" "46/4408" 0.0244670300114222 0.561212500886996 0.545679156175797 "Rapgef1/Socs3/Pias3/Irs2/Rps6ka5/Stat1/Socs1" 7
"WP_HOMOLOGOUS_RECOMBINATION" "WP_HOMOLOGOUS_RECOMBINATION" "WP_HOMOLOGOUS_RECOMBINATION" "3/280" "11/4408" 0.0285717675772794 0.582546594492308 0.566422760742556 "Rpa1/Mre11a/Atm" 3
"WP_IL10_ANTIINFLAMMATORY_SIGNALING_PATHWAY" "WP_IL10_ANTIINFLAMMATORY_SIGNALING_PATHWAY" "WP_IL10_ANTIINFLAMMATORY_SIGNALING_PATHWAY" "3/280" "11/4408" 0.0285717675772794 0.582546594492308 0.566422760742556 "Il10/Blvrb/Stat1" 3
"WP_IL4_SIGNALING_PATHWAY" "WP_IL4_SIGNALING_PATHWAY" "WP_IL4_SIGNALING_PATHWAY" "7/280" "49/4408" 0.0334267618634327 0.606313950324165 0.58953227924822 "Il4ra/Socs3/Irs2/Jak3/Stat1/Socs1/Gata3" 7
