"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_INTERFERON_INDUCTION" "WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_INTERFERON_INDUCTION" "WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_INTERFERON_INDUCTION" "7/65" "29/4408" 1.31839785929249e-07 2.46540399687696e-05 2.13719231927414e-05 "Oas1g/Stat1/Tlr7/Ddx58/Oas2/Irf9/Ifih1" 7
"WP_THE_HUMAN_IMMUNE_RESPONSE_TO_TUBERCULOSIS" "WP_THE_HUMAN_IMMUNE_RESPONSE_TO_TUBERCULOSIS" "WP_THE_HUMAN_IMMUNE_RESPONSE_TO_TUBERCULOSIS" "6/65" "20/4408" 2.68216960600339e-07 2.50782858161317e-05 2.17396904907643e-05 "Oas1g/Stat1/Ifit3/Irf9/Ifi35/Tap1" 6
"WP_SARSCOV2_INNATE_IMMUNITY_EVASION_AND_CELLSPECIFIC_IMMUNE_RESPONSE" "WP_SARSCOV2_INNATE_IMMUNITY_EVASION_AND_CELLSPECIFIC_IMMUNE_RESPONSE" "WP_SARSCOV2_INNATE_IMMUNITY_EVASION_AND_CELLSPECIFIC_IMMUNE_RESPONSE" "7/65" "48/4408" 4.98910273849087e-06 0.000310987404032598 0.000269586604114945 "Trim25/Stat1/Ifit2/Tlr7/Ddx58/Cxcl10/Irf7" 7
"WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "6/65" "40/4408" 2.10868073123358e-05 0.000944227960101027 0.000818525785846091 "Oas1g/Stat1/Ifit2/Irf9/Cxcl10/Tap1" 6
"WP_INTERACTIONS_BETWEEN_IMMUNE_CELLS_AND_MICRORNAS_IN_TUMOR_MICROENVIRONMENT" "WP_INTERACTIONS_BETWEEN_IMMUNE_CELLS_AND_MICRORNAS_IN_TUMOR_MICROENVIRONMENT" "WP_INTERACTIONS_BETWEEN_IMMUNE_CELLS_AND_MICRORNAS_IN_TUMOR_MICROENVIRONMENT" "5/65" "25/4408" 2.5246736901097e-05 0.000944227960101027 0.000818525785846091 "Cd86/Il4ra/Cd80/Tlr7/Cxcl10" 5
"WP_TYPE_I_INTERFERON_INDUCTION_AND_SIGNALING_DURING_SARSCOV2_INFECTION" "WP_TYPE_I_INTERFERON_INDUCTION_AND_SIGNALING_DURING_SARSCOV2_INFECTION" "WP_TYPE_I_INTERFERON_INDUCTION_AND_SIGNALING_DURING_SARSCOV2_INFECTION" "5/65" "26/4408" 3.09039239364637e-05 0.000963172296019785 0.000834948120388668 "Oas1g/Stat1/Tlr7/Oas2/Irf9" 5
"WP_VIRAL_ACUTE_MYOCARDITIS" "WP_VIRAL_ACUTE_MYOCARDITIS" "WP_VIRAL_ACUTE_MYOCARDITIS" "7/65" "71/4408" 6.90106819486361e-05 0.00181839093160337 0.00157631412027536 "Stat1/Cd80/Ccr5/Casp6/Casp1/Edn1/Rasa1" 7
"WP_CYTOSOLIC_DNASENSING_PATHWAY" "WP_CYTOSOLIC_DNASENSING_PATHWAY" "WP_CYTOSOLIC_DNASENSING_PATHWAY" "6/65" "50/4408" 7.77921254161868e-05 0.00181839093160337 0.00157631412027536 "Trim25/Zbp1/Casp1/Ddx58/Cxcl10/Irf7" 6
"WP_SARS_CORONAVIRUS_AND_INNATE_IMMUNITY" "WP_SARS_CORONAVIRUS_AND_INNATE_IMMUNITY" "WP_SARS_CORONAVIRUS_AND_INNATE_IMMUNITY" "4/65" "20/4408" 0.00017477670224415 0.00363147147996179 0.00314802481235078 "Stat1/Ddx58/Irf9/Ifih1" 4
"WP_SARSCOV2_MITOCHONDRIAL_INTERACTIONS" "WP_SARSCOV2_MITOCHONDRIAL_INTERACTIONS" "WP_SARSCOV2_MITOCHONDRIAL_INTERACTIONS" "4/65" "21/4408" 0.00021351935518156 0.00399281194189517 0.00346126112610107 "Tlr7/Ddx58/Ifih1/Irf7" 4
"WP_PATHWAYS_OF_NUCLEIC_ACID_METABOLISM_AND_INNATE_IMMUNE_SENSING" "WP_PATHWAYS_OF_NUCLEIC_ACID_METABOLISM_AND_INNATE_IMMUNE_SENSING" "WP_PATHWAYS_OF_NUCLEIC_ACID_METABOLISM_AND_INNATE_IMMUNE_SENSING" "3/65" "12/4408" 0.000612402556775809 0.0104108434651887 0.00902487978406455 "Oas1g/Ddx58/Ifih1" 3
"WP_NOVEL_INTRACELLULAR_COMPONENTS_OF_RIGILIKE_RECEPTOR_RLR_PATHWAY" "WP_NOVEL_INTRACELLULAR_COMPONENTS_OF_RIGILIKE_RECEPTOR_RLR_PATHWAY" "WP_NOVEL_INTRACELLULAR_COMPONENTS_OF_RIGILIKE_RECEPTOR_RLR_PATHWAY" "5/65" "49/4408" 0.000689790849541612 0.0107492407386901 0.00931822726573757 "Trim25/Ddx58/Cxcl10/Ifih1/Irf7" 5
"WP_REGULATION_OF_TOLLLIKE_RECEPTOR_SIGNALING_PATHWAY" "WP_REGULATION_OF_TOLLLIKE_RECEPTOR_SIGNALING_PATHWAY" "WP_REGULATION_OF_TOLLLIKE_RECEPTOR_SIGNALING_PATHWAY" "7/65" "106/4408" 0.00084281876152193 0.0121236237234308 0.0105096428562249 "Cd86/Stat1/Cd80/Tlr7/Cxcl10/Irak2/Irf7" 7
"WP_TOLLLIKE_RECEPTOR_SIGNALING_PATHWAY" "WP_TOLLLIKE_RECEPTOR_SIGNALING_PATHWAY" "WP_TOLLLIKE_RECEPTOR_SIGNALING_PATHWAY" "6/65" "79/4408" 0.000974555830890664 0.0130172814554682 0.0112843306734709 "Cd86/Stat1/Cd80/Tlr7/Cxcl10/Irf7" 6
"WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY" "WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY" "WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY" "3/65" "22/4408" 0.00385822348905083 0.0480991861635003 0.0416958889343037 "Id2/Gata3/Eomes" 3
"WP_PURINERGIC_SIGNALING" "WP_PURINERGIC_SIGNALING" "WP_PURINERGIC_SIGNALING" "3/65" "23/4408" 0.00439060975771016 0.0513152515432374 0.0444838093873266 "P2ry14/Adora3/Gnaz" 3
"WP_INFLAMMATORY_RESPONSE_PATHWAY" "WP_INFLAMMATORY_RESPONSE_PATHWAY" "WP_INFLAMMATORY_RESPONSE_PATHWAY" "3/65" "24/4408" 0.00496545511044435 0.0546200062148879 0.0473486121986644 "Cd86/Il4ra/Cd80" 3
"WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "3/65" "25/4408" 0.00558369041598115 0.058008339321582 0.0502858669041577 "Il4ra/Ccr5/Il12rb2" 3
"WP_CELL_DIFFERENTIATION_INDEX_EXPANDED" "WP_CELL_DIFFERENTIATION_INDEX_EXPANDED" "WP_CELL_DIFFERENTIATION_INDEX_EXPANDED" "2/65" "11/4408" 0.0108091183035797 0.10106525613847 0.0876107483553302 "Id2/Mef2c" 2
"WP_TRANSCRIPTIONAL_CASCADE_REGULATING_ADIPOGENESIS" "WP_TRANSCRIPTIONAL_CASCADE_REGULATING_ADIPOGENESIS" "WP_TRANSCRIPTIONAL_CASCADE_REGULATING_ADIPOGENESIS" "2/65" "11/4408" 0.0108091183035797 0.10106525613847 0.0876107483553302 "Gata3/Pparg" 2
"WP_CONTROL_OF_IMMUNE_TOLERANCE_BY_VASOACTIVE_INTESTINAL_PEPTIDE" "WP_CONTROL_OF_IMMUNE_TOLERANCE_BY_VASOACTIVE_INTESTINAL_PEPTIDE" "WP_CONTROL_OF_IMMUNE_TOLERANCE_BY_VASOACTIVE_INTESTINAL_PEPTIDE" "2/65" "12/4408" 0.0128484614529405 0.109211922349994 0.0946728738637718 "Cd86/Cd80" 2
"WP_ID_SIGNALING_PATHWAY" "WP_ID_SIGNALING_PATHWAY" "WP_ID_SIGNALING_PATHWAY" "2/65" "12/4408" 0.0128484614529405 0.109211922349994 0.0946728738637718 "Id2/Id1" 2
"WP_CANCER_IMMUNOTHERAPY_BY_CTLA4_BLOCKADE" "WP_CANCER_IMMUNOTHERAPY_BY_CTLA4_BLOCKADE" "WP_CANCER_IMMUNOTHERAPY_BY_CTLA4_BLOCKADE" "2/65" "14/4408" 0.0173828560748443 0.139387475171318 0.12083124782653 "Cd86/Cd80" 2
"WP_EBOLA_VIRUS_PATHWAY_ON_HOST" "WP_EBOLA_VIRUS_PATHWAY_ON_HOST" "WP_EBOLA_VIRUS_PATHWAY_ON_HOST" "5/65" "104/4408" 0.0178893016262654 0.139387475171318 0.12083124782653 "Stat1/Bst2/Timd2/Ddx58/Irf7" 5
"WP_DIFFERENTIATION_OF_WHITE_AND_BROWN_ADIPOCYTE" "WP_DIFFERENTIATION_OF_WHITE_AND_BROWN_ADIPOCYTE" "WP_DIFFERENTIATION_OF_WHITE_AND_BROWN_ADIPOCYTE" "2/65" "18/4408" 0.0281429728814602 0.210509437153322 0.182484960999784 "Plac8/Pparg" 2
"WP_PI3KAKTMTOR_VITD3_SIGNALLING" "WP_PI3KAKTMTOR_VITD3_SIGNALLING" "WP_PI3KAKTMTOR_VITD3_SIGNALLING" "2/65" "19/4408" 0.0311591509007874 0.224106200709509 0.194271629098027 "Cd86/Cd80" 2
"WP_IL4_SIGNALING_PATHWAY" "WP_IL4_SIGNALING_PATHWAY" "WP_IL4_SIGNALING_PATHWAY" "3/65" "49/4408" 0.0348405147697043 0.2413028245161 0.209178919085164 "Il4ra/Stat1/Gata3" 3
"WP_OVERVIEW_OF_INTERFERONSMEDIATED_SIGNALING_PATHWAY" "WP_OVERVIEW_OF_INTERFERONSMEDIATED_SIGNALING_PATHWAY" "WP_OVERVIEW_OF_INTERFERONSMEDIATED_SIGNALING_PATHWAY" "2/65" "21/4408" 0.0375529734795245 0.250800215738253 0.217411951723563 "Stat1/Irf9" 2
"WP_NUCLEOTIDEBINDING_OLIGOMERIZATION_DOMAIN_NOD_PATHWAY" "WP_NUCLEOTIDEBINDING_OLIGOMERIZATION_DOMAIN_NOD_PATHWAY" "WP_NUCLEOTIDEBINDING_OLIGOMERIZATION_DOMAIN_NOD_PATHWAY" "2/65" "23/4408" 0.0444016712138921 0.254290508642258 0.22043759263106 "Casp1/Nod1" 2
"WP_PDGFRBETA_PATHWAY" "WP_PDGFRBETA_PATHWAY" "WP_PDGFRBETA_PATHWAY" "2/65" "23/4408" 0.0444016712138921 0.254290508642258 0.22043759263106 "Stat1/Rasa1" 2
"WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION" "WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION" "WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION" "2/65" "23/4408" 0.0444016712138921 0.254290508642258 0.22043759263106 "Edn1/Pparg" 2
"WP_WHITE_FAT_CELL_DIFFERENTIATION" "WP_WHITE_FAT_CELL_DIFFERENTIATION" "WP_WHITE_FAT_CELL_DIFFERENTIATION" "2/65" "24/4408" 0.0479867817687509 0.254290508642258 0.22043759263106 "Gata3/Pparg" 2
"WP_NONGENOMIC_ACTIONS_OF_125_DIHYDROXYVITAMIN_D3" "WP_NONGENOMIC_ACTIONS_OF_125_DIHYDROXYVITAMIN_D3" "WP_NONGENOMIC_ACTIONS_OF_125_DIHYDROXYVITAMIN_D3" "3/65" "56/4408" 0.0487710722226464 0.254290508642258 0.22043759263106 "Stat1/Oas2/Rsad2" 3
"WP_ADIPOGENESIS" "WP_ADIPOGENESIS" "WP_ADIPOGENESIS" "4/65" "95/4408" 0.0505208921810631 0.254290508642258 0.22043759263106 "Stat1/Mef2c/Gata3/Pparg" 4
"WP_DEVELOPMENT_OF_URETERIC_COLLECTION_SYSTEM" "WP_DEVELOPMENT_OF_URETERIC_COLLECTION_SYSTEM" "WP_DEVELOPMENT_OF_URETERIC_COLLECTION_SYSTEM" "2/65" "25/4408" 0.0516740071037744 0.254290508642258 0.22043759263106 "Shh/Gata3" 2
"WP_EPO_RECEPTOR_SIGNALING" "WP_EPO_RECEPTOR_SIGNALING" "WP_EPO_RECEPTOR_SIGNALING" "2/65" "25/4408" 0.0516740071037744 0.254290508642258 0.22043759263106 "Stat1/Rasa1" 2
"WP_HEART_DEVELOPMENT" "WP_HEART_DEVELOPMENT" "WP_HEART_DEVELOPMENT" "2/65" "25/4408" 0.0516740071037744 0.254290508642258 0.22043759263106 "Shh/Mef2c" 2
"WP_TOLLLIKE_RECEPTOR_SIGNALING_RELATED_TO_MYD88" "WP_TOLLLIKE_RECEPTOR_SIGNALING_RELATED_TO_MYD88" "WP_TOLLLIKE_RECEPTOR_SIGNALING_RELATED_TO_MYD88" "2/65" "25/4408" 0.0516740071037744 0.254290508642258 0.22043759263106 "Tlr7/Irf7" 2
"WP_MIRNAS_INVOLVEMENT_IN_THE_IMMUNE_RESPONSE_IN_SEPSIS" "WP_MIRNAS_INVOLVEMENT_IN_THE_IMMUNE_RESPONSE_IN_SEPSIS" "WP_MIRNAS_INVOLVEMENT_IN_THE_IMMUNE_RESPONSE_IN_SEPSIS" "2/65" "26/4408" 0.0554596593984597 0.265921956602871 0.230520581575244 "Tlr7/Irf7" 2
"WP_PRION_DISEASE_PATHWAY" "WP_PRION_DISEASE_PATHWAY" "WP_PRION_DISEASE_PATHWAY" "2/65" "29/4408" 0.0673715440946335 0.303941614314612 0.26347879878666 "Batf/Mef2c" 2
"WP_THE_INFLUENCE_OF_LAMINOPATHIES_ON_WNT_SIGNALING" "WP_THE_INFLUENCE_OF_LAMINOPATHIES_ON_WNT_SIGNALING" "WP_THE_INFLUENCE_OF_LAMINOPATHIES_ON_WNT_SIGNALING" "2/65" "29/4408" 0.0673715440946335 0.303941614314612 0.26347879878666 "Tarbp2/Pparg" 2
