"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "6/61" "25/4408" 7.89313808306531e-07 0.000126290209329045 0.000109673076522592 "Il4ra/Ccr5/Ifng/Cxcr3/Il12rb2/Il18r1" 6
"WP_THE_HUMAN_IMMUNE_RESPONSE_TO_TUBERCULOSIS" "WP_THE_HUMAN_IMMUNE_RESPONSE_TO_TUBERCULOSIS" "WP_THE_HUMAN_IMMUNE_RESPONSE_TO_TUBERCULOSIS" "4/61" "20/4408" 0.000136299547246674 0.0109039637797339 0.00946923170345314 "Oas1g/Ifit3/Ifi35/Tap1" 4
"WP_INFLAMMATORY_RESPONSE_PATHWAY" "WP_INFLAMMATORY_RESPONSE_PATHWAY" "WP_INFLAMMATORY_RESPONSE_PATHWAY" "4/61" "24/4408" 0.000286795084165303 0.0121742807351733 0.0105724016910716 "Cd86/Il4ra/Cd80/Ifng" 4
"WP_INTERACTIONS_BETWEEN_IMMUNE_CELLS_AND_MICRORNAS_IN_TUMOR_MICROENVIRONMENT" "WP_INTERACTIONS_BETWEEN_IMMUNE_CELLS_AND_MICRORNAS_IN_TUMOR_MICROENVIRONMENT" "WP_INTERACTIONS_BETWEEN_IMMUNE_CELLS_AND_MICRORNAS_IN_TUMOR_MICROENVIRONMENT" "4/61" "25/4408" 0.000337905932401157 0.0121742807351733 0.0105724016910716 "Cd86/Il4ra/Cd80/Tlr7" 4
"WP_CONTROL_OF_IMMUNE_TOLERANCE_BY_VASOACTIVE_INTESTINAL_PEPTIDE" "WP_CONTROL_OF_IMMUNE_TOLERANCE_BY_VASOACTIVE_INTESTINAL_PEPTIDE" "WP_CONTROL_OF_IMMUNE_TOLERANCE_BY_VASOACTIVE_INTESTINAL_PEPTIDE" "3/61" "12/4408" 0.000507706244287602 0.0121742807351733 0.0105724016910716 "Cd86/Cd80/Ifng" 3
"WP_PATHWAYS_OF_NUCLEIC_ACID_METABOLISM_AND_INNATE_IMMUNE_SENSING" "WP_PATHWAYS_OF_NUCLEIC_ACID_METABOLISM_AND_INNATE_IMMUNE_SENSING" "WP_PATHWAYS_OF_NUCLEIC_ACID_METABOLISM_AND_INNATE_IMMUNE_SENSING" "3/61" "12/4408" 0.000507706244287602 0.0121742807351733 0.0105724016910716 "Adar/Oas1g/Ifih1" 3
"WP_CYTOSOLIC_DNASENSING_PATHWAY" "WP_CYTOSOLIC_DNASENSING_PATHWAY" "WP_CYTOSOLIC_DNASENSING_PATHWAY" "5/61" "50/4408" 0.000564715390685632 0.0121742807351733 0.0105724016910716 "Trim25/Adar/Zbp1/Casp1/Irf7" 5
"WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_INTERFERON_INDUCTION" "WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_INTERFERON_INDUCTION" "WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_INTERFERON_INDUCTION" "4/61" "29/4408" 0.000608714036758666 0.0121742807351733 0.0105724016910716 "Oas1g/Tlr7/Oas2/Ifih1" 4
"WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "4/61" "40/4408" 0.00209077886874648 0.0371694021110485 0.0322786913069632 "Oas1g/Ifit2/Ifng/Tap1" 4
"WP_SARSCOV2_MITOCHONDRIAL_INTERACTIONS" "WP_SARSCOV2_MITOCHONDRIAL_INTERACTIONS" "WP_SARSCOV2_MITOCHONDRIAL_INTERACTIONS" "3/61" "21/4408" 0.00280868305643037 0.0449389289028859 0.0390259119419798 "Tlr7/Ifih1/Irf7" 3
"WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY" "WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY" "WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY" "3/61" "22/4408" 0.00322033342140031 0.0468412134021863 0.0406778958492671 "Ifng/Gata3/Eomes" 3
"WP_SARSCOV2_INNATE_IMMUNITY_EVASION_AND_CELLSPECIFIC_IMMUNE_RESPONSE" "WP_SARSCOV2_INNATE_IMMUNITY_EVASION_AND_CELLSPECIFIC_IMMUNE_RESPONSE" "WP_SARSCOV2_INNATE_IMMUNITY_EVASION_AND_CELLSPECIFIC_IMMUNE_RESPONSE" "4/61" "48/4408" 0.00409957323354179 0.0543793402049182 0.0472241638621658 "Trim25/Ifit2/Tlr7/Irf7" 4
