"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"WP_CHEMOKINE_SIGNALING_PATHWAY" "WP_CHEMOKINE_SIGNALING_PATHWAY" "WP_CHEMOKINE_SIGNALING_PATHWAY" "2/6" "114/4408" 0.00929154330935188 0.0798834872592969 0.0373723917002559 "Tiam1/Cxcr3" 2
"WP_HYPOTHESIZED_PATHWAYS_IN_PATHOGENESIS_OF_CARDIOVASCULAR_DISEASE" "WP_HYPOTHESIZED_PATHWAYS_IN_PATHOGENESIS_OF_CARDIOVASCULAR_DISEASE" "WP_HYPOTHESIZED_PATHWAYS_IN_PATHOGENESIS_OF_CARDIOVASCULAR_DISEASE" "1/6" "14/4408" 0.0189162378201545 0.0798834872592969 0.0373723917002559 "Ltbp1" 1
"WP_PEPTIDE_GPCRS" "WP_PEPTIDE_GPCRS" "WP_PEPTIDE_GPCRS" "1/6" "17/4408" 0.0229306698233581 0.0798834872592969 0.0373723917002559 "Cxcr3" 1
"WP_CELL_MIGRATION_AND_INVASION_THROUGH_P75NTR" "WP_CELL_MIGRATION_AND_INVASION_THROUGH_P75NTR" "WP_CELL_MIGRATION_AND_INVASION_THROUGH_P75NTR" "1/6" "21/4408" 0.0282619442922182 0.0798834872592969 0.0373723917002559 "Tiam1" 1
"WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "1/6" "25/4408" 0.0335689554101417 0.0798834872592969 0.0373723917002559 "Cxcr3" 1
"WP_NEURAL_CREST_CELL_MIGRATION_DURING_DEVELOPMENT" "WP_NEURAL_CREST_CELL_MIGRATION_DURING_DEVELOPMENT" "WP_NEURAL_CREST_CELL_MIGRATION_DURING_DEVELOPMENT" "1/6" "30/4408" 0.0401687336513588 0.0798834872592969 0.0373723917002559 "Tiam1" 1
"WP_PDGF_PATHWAY" "WP_PDGF_PATHWAY" "WP_PDGF_PATHWAY" "1/6" "30/4408" 0.0401687336513588 0.0798834872592969 0.0373723917002559 "Tiam1" 1
"WP_NEURAL_CREST_CELL_MIGRATION_IN_CANCER" "WP_NEURAL_CREST_CELL_MIGRATION_IN_CANCER" "WP_NEURAL_CREST_CELL_MIGRATION_IN_CANCER" "1/6" "32/4408" 0.0427981069961446 0.0798834872592969 0.0373723917002559 "Tiam1" 1
"WP_REGULATION_OF_MICROTUBULE_CYTOSKELETON" "WP_REGULATION_OF_MICROTUBULE_CYTOSKELETON" "WP_REGULATION_OF_MICROTUBULE_CYTOSKELETON" "1/6" "34/4408" 0.045421475151063 0.0798834872592969 0.0373723917002559 "Tiam1" 1
"WP_GPCRS_OTHER" "WP_GPCRS_OTHER" "WP_GPCRS_OTHER" "1/6" "37/4408" 0.0493452916608412 0.0798834872592969 0.0373723917002559 "Cxcr3" 1
"WP_TGFBETA_RECEPTOR_SIGNALING" "WP_TGFBETA_RECEPTOR_SIGNALING" "WP_TGFBETA_RECEPTOR_SIGNALING" "1/6" "38/4408" 0.0506502397848484 0.0798834872592969 0.0373723917002559 "Ltbp1" 1
"WP_TGFBETA_RECEPTOR_SIGNALLING_IN_SKELETAL_DYSPLASIAS" "WP_TGFBETA_RECEPTOR_SIGNALLING_IN_SKELETAL_DYSPLASIAS" "WP_TGFBETA_RECEPTOR_SIGNALLING_IN_SKELETAL_DYSPLASIAS" "1/6" "40/4408" 0.0532556581728646 0.0798834872592969 0.0373723917002559 "Ltbp1" 1
"WP_PANCREATIC_ADENOCARCINOMA_PATHWAY" "WP_PANCREATIC_ADENOCARCINOMA_PATHWAY" "WP_PANCREATIC_ADENOCARCINOMA_PATHWAY" "1/6" "76/4408" 0.0991443152221678 0.137276744153771 0.0642230382005945 "Tiam1" 1
"WP_GPCRS_CLASS_A_RHODOPSINLIKE" "WP_GPCRS_CLASS_A_RHODOPSINLIKE" "WP_GPCRS_CLASS_A_RHODOPSINLIKE" "1/6" "92/4408" 0.118935764944969 0.152917412072103 0.0715403097413347 "Cxcr3" 1
"WP_EBOLA_VIRUS_PATHWAY_ON_HOST" "WP_EBOLA_VIRUS_PATHWAY_ON_HOST" "WP_EBOLA_VIRUS_PATHWAY_ON_HOST" "1/6" "104/4408" 0.133540395036747 0.155382567647609 0.0726935988994662 "Tiam1" 1
"WP_BRAINDERIVED_NEUROTROPHIC_FACTOR_BDNF_SIGNALING_PATHWAY" "WP_BRAINDERIVED_NEUROTROPHIC_FACTOR_BDNF_SIGNALING_PATHWAY" "WP_BRAINDERIVED_NEUROTROPHIC_FACTOR_BDNF_SIGNALING_PATHWAY" "1/6" "112/4408" 0.143164287098805 0.155382567647609 0.0726935988994662 "Tiam1" 1
"WP_INTEGRATED_BREAST_CANCER_PATHWAY" "WP_INTEGRATED_BREAST_CANCER_PATHWAY" "WP_INTEGRATED_BREAST_CANCER_PATHWAY" "1/6" "115/4408" 0.146750202778297 0.155382567647609 0.0726935988994662 "Ube2f" 1
"WP_RAS_SIGNALING" "WP_RAS_SIGNALING" "WP_RAS_SIGNALING" "1/6" "133/4408" 0.168004106946998 0.168004106946998 0.0785984126067827 "Tiam1" 1
