"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"WP_RETINOBLASTOMA_GENE_IN_CANCER" "WP_RETINOBLASTOMA_GENE_IN_CANCER" "WP_RETINOBLASTOMA_GENE_IN_CANCER" "34/406" "70/4408" 8.1232923061183e-18 3.34679643012074e-15 3.1381560803636e-15 "Rb1/E2f1/Rfc5/Cdt1/Suv39h1/Smc3/Anln/Ccna2/Skp2/Kif4/Cdk6/Cdk2/Cdkn1a/Tyms/Smc2/Ccnb1/Mcm7/Ccne1/Tfdp2/Rpa3/Bard1/Rpa2/Pole/Pold3/Top2a/Dnmt1/Ttk/Hmgb2/Rrm2/E2f3/Ccne2/Rfc4/Rrm1/Sap30" 34
"WP_DNA_REPLICATION" "WP_DNA_REPLICATION" "WP_DNA_REPLICATION" "17/406" "27/4408" 6.39106583681931e-12 1.31655956238478e-09 1.23448482216457e-09 "Rfc5/Mcm10/Cdt1/Prim2/Rfc2/Cdk2/Cdc6/Mcm7/Rpa3/Rpa2/Dbf4/Rfc1/Pole/Pold3/Pold1/Pold4/Rfc4" 17
"WP_MIRNA_REGULATION_OF_DNA_DAMAGE_RESPONSE" "WP_MIRNA_REGULATION_OF_DNA_DAMAGE_RESPONSE" "WP_MIRNA_REGULATION_OF_DNA_DAMAGE_RESPONSE" "22/406" "58/4408" 2.32938329401991e-09 2.53861165358207e-07 2.38035379883653e-07 "Rb1/E2f1/Rad50/Rad51/Ccng1/Fancd2/Cdk6/Tnfrsf10b/Cdk2/Cdkn1a/Ccnb1/Mcm7/Cdc25c/Ccne1/Pml/Casp3/Rpa2/Chek2/Rfc1/Gadd45g/Ccne2/Brca1" 22
"WP_CELL_CYCLE" "WP_CELL_CYCLE" "WP_CELL_CYCLE" "29/406" "95/4408" 2.4646715083321e-09 2.53861165358207e-07 2.38035379883653e-07 "Rb1/E2f1/Fzr1/Plk1/Espl1/Smc3/Cdc20/Ccna2/Skp2/Cdk6/Cdk2/Cdc6/Cdkn1a/Ccnb1/Mcm7/Cdc25c/Ccne1/Tfdp2/Anapc5/Pkmyt1/Chek2/Dbf4/Gadd45g/Ccnh/Ttk/E2f3/Ccne2/Cdkn2c/Pttg1" 29
"WP_GLYCOLYSIS_AND_GLUCONEOGENESIS" "WP_GLYCOLYSIS_AND_GLUCONEOGENESIS" "WP_GLYCOLYSIS_AND_GLUCONEOGENESIS" "16/406" "33/4408" 5.41566965787475e-09 4.4625117980888e-07 4.18431739882112e-07 "Pfkp/Slc2a3/Eno1/Eno2/Aldoa/Ldha/Eno3/Gck/Hk1/Pgam1/Aldoc/Pgk1/Slc2a1/Gpi1/Pfkl/Pcx" 16
"WP_G1_TO_S_CELL_CYCLE_CONTROL" "WP_G1_TO_S_CELL_CYCLE_CONTROL" "WP_G1_TO_S_CELL_CYCLE_CONTROL" "18/406" "46/4408" 3.92448650994578e-08 2.4843671915827e-06 2.32949095378347e-06 "Rb1/E2f1/Prim2/Cdk6/Cdk2/Cdkn1a/Ccnb1/Mcm7/Ccne1/Tfdp2/Rpa3/Rpa2/Pole/Ccnh/E2f3/Ccne2/Ccng2/Cdkn2c" 18
"WP_DNA_DAMAGE_RESPONSE" "WP_DNA_DAMAGE_RESPONSE" "WP_DNA_DAMAGE_RESPONSE" "20/406" "56/4408" 4.22101221870848e-08 2.4843671915827e-06 2.32949095378347e-06 "Rb1/E2f1/Rad50/Rad51/Fancd2/Cdk6/Tnfrsf10b/Cdk2/Cdkn1a/Ccnb1/Cdc25c/Ccne1/Pml/Casp3/Rpa2/Chek2/Rfc1/Gadd45g/Ccne2/Brca1" 20
"WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK" "WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK" "WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK" "26/406" "96/4408" 2.52847862531629e-07 1.30216649203789e-05 1.220989020383e-05 "Rad50/Rad51/Rfc5/Rfc2/Fancd2/Brip1/Fanci/Rpa3/Lig1/Rpa2/Rad51c/Fancl/Mgmt/Rfc1/Pole/Ccnh/Brca2/Pold3/Pold1/Ercc2/Mbd4/Polk/Pold4/Rfc4/Polh/Brca1" 26
"WP_DNA_MISMATCH_REPAIR" "WP_DNA_MISMATCH_REPAIR" "WP_DNA_MISMATCH_REPAIR" "11/406" "21/4408" 5.34791772020767e-07 2.44815788969507e-05 2.29553895124703e-05 "Rfc5/Rfc2/Rpa3/Lig1/Rpa2/Rfc1/Pole/Pold3/Pold1/Pold4/Rfc4" 11
"WP_CORI_CYCLE" "WP_CORI_CYCLE" "WP_CORI_CYCLE" "8/406" "12/4408" 1.72225361434103e-06 7.09568489108506e-05 6.65333764698062e-05 "Pfkp/Aldoa/Ldha/Hk1/Pgam1/Pgk1/Slc2a1/Gpi1" 8
"WP_CHOLESTEROL_METABOLISM_INCLUDES_BOTH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS" "WP_CHOLESTEROL_METABOLISM_INCLUDES_BOTH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS" "WP_CHOLESTEROL_METABOLISM_INCLUDES_BOTH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS" "13/406" "34/4408" 4.34955442112452e-06 0.00015924208532848 0.000149314883279387 "Fads1/Pmvk/Nsdhl/Mvd/Soat1/Scd1/Hmgcr/Dhcr7/Srebf2/Fdps/Scd2/Lss/Soat2" 13
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY" "WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY" "WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY" "7/406" "10/4408" 5.02462890599571e-06 0.00015924208532848 0.000149314883279387 "Pmvk/Nsdhl/Mvd/Hmgcr/Dhcr7/Fdps/Lss" 7
"WP_COMPUTATIONAL_MODEL_OF_AEROBIC_GLYCOLYSIS" "WP_COMPUTATIONAL_MODEL_OF_AEROBIC_GLYCOLYSIS" "WP_COMPUTATIONAL_MODEL_OF_AEROBIC_GLYCOLYSIS" "7/406" "10/4408" 5.02462890599571e-06 0.00015924208532848 0.000149314883279387 "Eno1/Aldoa/Ldha/Hk1/Pgk1/Slc2a1/Gpi1" 7
"WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR" "WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR" "WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR" "18/406" "65/4408" 1.3240848794027e-05 0.000389659264509937 0.000365367782511872 "E2f1/Rad50/Rad51/Rfwd3/Plk1/Foxm1/Fancd2/Cdk2/Brip1/Cdc25c/Fanci/Clspn/Pml/Bard1/Rpa2/Chek2/Brca2/Brca1" 18
