"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"WP_ALLOGRAFT_REJECTION" "WP_ALLOGRAFT_REJECTION" "WP_ALLOGRAFT_REJECTION" "27/739" "68/4408" 4.86511081666396e-06 0.000883901413115857 0.000793285431033685 "Cxcr5/Cd86/H2-DMa/H2-Eb1/C1qb/Cd55/Prkcz/Casp8/H2-Ab1/Foxp3/H2-DMb2/H2-Ea/C1qc/H2-T23/H2-D1/H2-DMb1/Prf1/H2-Ob/H2-Q7/Stat1/Cd40/Il21/Fasl/Ifng/Vim/H2-M3/Casp7" 27
"WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "19/739" "40/4408" 5.71951910296466e-06 0.000883901413115857 0.000793285431033685 "Ifngr2/Ifngr1/Irf1/Socs3/Ciita/H2-T23/H2-D1/Jak1/Socs1/H2-Q7/Stat1/Irf9/Oas1g/Ifit2/Gbp2/Ifng/Cxcl10/Tap1/H2-M3" 19
"WP_EBOLA_VIRUS_PATHWAY_ON_HOST" "WP_EBOLA_VIRUS_PATHWAY_ON_HOST" "WP_EBOLA_VIRUS_PATHWAY_ON_HOST" "36/739" "104/4408" 6.01293478310107e-06 0.000883901413115857 0.000793285431033685 "H2-DMa/H2-Eb1/Pik3r1/Pik3r3/H2-Ab1/Socs3/Npc1/Tpcn2/Itga6/Timd2/Actb/Vps11/H2-DMb2/H2-Ea/Crebbp/H2-T23/Irf3/H2-D1/Flna/Actn1/H2-DMb1/Ep300/Pik3cd/Ikbke/H2-Ob/H2-Q7/Tbk1/Icam2/Stat1/Bst2/Ddx58/Igf1r/Irf7/Ctsb/H2-M3/Prkra" 36
"WP_PATHOGENESIS_OF_SARSCOV2_MEDIATED_BY_NSP9NSP10_COMPLEX" "WP_PATHOGENESIS_OF_SARSCOV2_MEDIATED_BY_NSP9NSP10_COMPLEX" "WP_PATHOGENESIS_OF_SARSCOV2_MEDIATED_BY_NSP9NSP10_COMPLEX" "10/739" "14/4408" 8.69377664765413e-06 0.000958488875403868 0.000860226320925778 "Cd2/H2-Eb1/Cd4/Cd3g/Cd8b1/Lck/H2-Ea/Fyn/Cd247/Cd3e" 10
"WP_THE_HUMAN_IMMUNE_RESPONSE_TO_TUBERCULOSIS" "WP_THE_HUMAN_IMMUNE_RESPONSE_TO_TUBERCULOSIS" "WP_THE_HUMAN_IMMUNE_RESPONSE_TO_TUBERCULOSIS" "12/739" "20/4408" 1.53851174235628e-05 0.00135696735675824 0.00121785350552834 "Pias1/Ifngr2/Ifngr1/Irf1/Jak1/Socs1/Stat1/Irf9/Oas1g/Ifit3/Ifi35/Tap1" 12
"WP_INTERFERON_TYPE_I_SIGNALING_PATHWAYS" "WP_INTERFERON_TYPE_I_SIGNALING_PATHWAYS" "WP_INTERFERON_TYPE_I_SIGNALING_PATHWAYS" "19/739" "46/4408" 6.60941171412109e-05 0.004857917609879 0.00435989263949041 "Pias1/Creb1/Map3k1/Pik3r1/Map2k6/Rapgef1/Socs3/Lck/Pdcd4/Mapk14/Jak1/Pik3cd/Socs1/Fyn/Stat1/Rps6ka5/Irf9/Pias3/Irs2" 19
"WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_INTERFERON_INDUCTION" "WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_INTERFERON_INDUCTION" "WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_INTERFERON_INDUCTION" "14/739" "29/4408" 7.99212245941387e-05 0.00503503714943074 0.00451885420261596 "Traf3/Fos/Mapk14/Irf3/Jak1/Ikbke/Tbk1/Jun/Stat1/Irf9/Oas1g/Tlr7/Ddx58/Oas2" 14
"WP_TYPE_I_INTERFERON_INDUCTION_AND_SIGNALING_DURING_SARSCOV2_INFECTION" "WP_TYPE_I_INTERFERON_INDUCTION_AND_SIGNALING_DURING_SARSCOV2_INFECTION" "WP_TYPE_I_INTERFERON_INDUCTION_AND_SIGNALING_DURING_SARSCOV2_INFECTION" "13/739" "26/4408" 9.1344652908597e-05 0.00503537399158641 0.00451915651232006 "Traf3/Fos/Mapk14/Irf3/Jak1/Ikbke/Tbk1/Jun/Stat1/Irf9/Oas1g/Tlr7/Oas2" 13
"WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE" "WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE" "WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE" "11/739" "22/4408" 0.000322367468790192 0.0157960059707194 0.0141766278672646 "Nfatc1/H2-Eb1/Nfatc3/Cd3g/Cd8b1/Lck/H2-D1/Cd3e/H2-Q7/Jun/Ifng" 11
"WP_REGULATION_OF_TOLLLIKE_RECEPTOR_SIGNALING_PATHWAY" "WP_REGULATION_OF_TOLLLIKE_RECEPTOR_SIGNALING_PATHWAY" "WP_REGULATION_OF_TOLLLIKE_RECEPTOR_SIGNALING_PATHWAY" "31/739" "106/4408" 0.000852659510746645 0.037602284423927 0.0337473658990251 "Cd86/Traf3/Fos/Tlr6/Pik3r1/Casp8/Map2k6/Pik3r3/Usp7/Mapk14/Irak4/Peli1/Pik3cg/Irf3/Sftpd/Pik3cd/Socs1/Mapk11/Ikbke/Zmynd11/Tlr1/Tbk1/Jun/Stat1/Btk/Cd40/Tlr7/Cxcl10/Irf7/Trafd1/Sigirr" 31
