"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"WP_PROTEASOME_DEGRADATION" "WP_PROTEASOME_DEGRADATION" "WP_PROTEASOME_DEGRADATION" "13/264" "51/4408" 5.79937911923613e-06 0.00195439076318258 0.00181306905096119 "Psmd1/Psme3/Psma5/Psmd12/Psmb7/Psmd11/Psmc5/Psmd13/Psmc4/Psmd7/Ifng/Uchl3/Psmb6" 13
"WP_PYRIMIDINE_METABOLISM" "WP_PYRIMIDINE_METABOLISM" "WP_PYRIMIDINE_METABOLISM" "12/264" "54/4408" 5.91085090237111e-05 0.00995978377049531 0.00923959325265378 "Polr2d/Polr2h/Tymp/Umps/Nme1/Polr3g/Cad/Ctps/Nme2/Dctd/Polr1e/Polr3h" 12
"WP_PHOTODYNAMIC_THERAPYINDUCED_UNFOLDED_PROTEIN_RESPONSE" "WP_PHOTODYNAMIC_THERAPYINDUCED_UNFOLDED_PROTEIN_RESPONSE" "WP_PHOTODYNAMIC_THERAPYINDUCED_UNFOLDED_PROTEIN_RESPONSE" "7/264" "20/4408" 0.000100769120802451 0.0113197312368086 0.0105012031152027 "Hspa5/Pdia6/Wars/Atf3/Atf4/Nars/Hsp90b1" 7
"WP_FOLATE_METABOLISM" "WP_FOLATE_METABOLISM" "WP_FOLATE_METABOLISM" "10/264" "45/4408" 0.000246314519387565 0.0185124518539509 0.017173819149222 "Icam1/Shmt2/Mtrr/Tnf/Nfkb1/Gart/Slc19a1/Ifng/Il2/Mthfd1" 10
"WP_PARKINUBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY" "WP_PARKINUBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY" "WP_PARKINUBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY" "11/264" "54/4408" 0.000274665457773752 0.0185124518539509 0.017173819149222 "Hspa5/Siah2/Hspa9/Hspa8/Psmd1/Psmd12/Psmd11/Psmc5/Psmd13/Psmc4/Psmd7" 11
"WP_TRANSLATION_FACTORS" "WP_TRANSLATION_FACTORS" "WP_TRANSLATION_FACTORS" "8/264" "34/4408" 0.000689727101998947 0.0387396722289408 0.0359384121567872 "Eif4a1/Eif3b/Eif2b1/Etf1/Eif5a/Eif6/Eif2s2/Eef1d" 8
"WP_EUKARYOTIC_TRANSCRIPTION_INITIATION" "WP_EUKARYOTIC_TRANSCRIPTION_INITIATION" "WP_EUKARYOTIC_TRANSCRIPTION_INITIATION" "7/264" "33/4408" 0.00283606712432834 0.111125028076698 0.103089593436762 "Polr2h/Polr2f/Polr1e/Taf9/Polr3h/Gtf2e1/Gtf2f2" 7
"WP_PHOTODYNAMIC_THERAPYINDUCED_NFKB_SURVIVAL_SIGNALING" "WP_PHOTODYNAMIC_THERAPYINDUCED_NFKB_SURVIVAL_SIGNALING" "WP_PHOTODYNAMIC_THERAPYINDUCED_NFKB_SURVIVAL_SIGNALING" "6/264" "25/4408" 0.00293453425588352 0.111125028076698 0.103089593436762 "Icam1/Rel/Relb/Tnf/Nfkb1/Il2" 6
"WP_NO_METABOLISM_IN_CYSTIC_FIBROSIS" "WP_NO_METABOLISM_IN_CYSTIC_FIBROSIS" "WP_NO_METABOLISM_IN_CYSTIC_FIBROSIS" "4/264" "11/4408" 0.0029677307201492 0.111125028076698 0.103089593436762 "Carm1/Prmt7/Prmt6/Prmt5" 4
"WP_MIRNAS_INVOLVEMENT_IN_THE_IMMUNE_RESPONSE_IN_SEPSIS" "WP_MIRNAS_INVOLVEMENT_IN_THE_IMMUNE_RESPONSE_IN_SEPSIS" "WP_MIRNAS_INVOLVEMENT_IN_THE_IMMUNE_RESPONSE_IN_SEPSIS" "6/264" "26/4408" 0.00362694998209769 0.122228214396692 0.113389909966633 "Icam1/Rel/Relb/Tnf/Nfkb1/Ccl4" 6
"WP_AMINO_ACID_METABOLISM" "WP_AMINO_ACID_METABOLISM" "WP_AMINO_ACID_METABOLISM" "10/264" "64/4408" 0.0042671430994778 0.130729747684002 0.121276698616737 "Wars/Mdh2/Rars/Eprs/Farsb/Cad/Hdc/Aoc3/Srm/Iars" 10
"WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY" "WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY" "WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY" "6/264" "29/4408" 0.00643321737474451 0.177390285007347 0.164563219263414 "Hsp90aa1/Ptges3/Tnf/Tgfb1/Ifng/Il2" 6
"WP_ENDODERM_DIFFERENTIATION" "WP_ENDODERM_DIFFERENTIATION" "WP_ENDODERM_DIFFERENTIATION" "12/264" "90/4408" 0.00684294867980864 0.177390285007347 0.164563219263414 "Mad2l2/Siah2/Lrpprc/Nme1/Map2k3/Sfmbt1/C1qbp/Cdc73/Aebp2/Tgfb1/Leo1/Phf6" 12
"WP_VITAMIN_B12_METABOLISM" "WP_VITAMIN_B12_METABOLISM" "WP_VITAMIN_B12_METABOLISM" "6/264" "30/4408" 0.00764724039648112 0.184080000972438 0.170769202838714 "Icam1/Shmt2/Mtrr/Tnf/Nfkb1/Ifng" 6
"WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE" "WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE" "WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE" "5/264" "22/4408" 0.00841084265628846 0.188963598344614 0.175299667994223 "Pdcd1lg2/Nfatc1/Cd274/Nfkb1/Ifng" 5
"WP_PHOTODYNAMIC_THERAPYINDUCED_AP1_SURVIVAL_SIGNALING" "WP_PHOTODYNAMIC_THERAPYINDUCED_AP1_SURVIVAL_SIGNALING" "WP_PHOTODYNAMIC_THERAPYINDUCED_AP1_SURVIVAL_SIGNALING" "7/264" "43/4408" 0.0128282054006784 0.232671847473377 0.215847379976864 "Hsp90aa1/Bcl2l1/Map2k3/Tnf/Bid/Ifng/Il2" 7
"WP_EBV_LMP1_SIGNALING" "WP_EBV_LMP1_SIGNALING" "WP_EBV_LMP1_SIGNALING" "4/264" "16/4408" 0.0129073469371799 0.232671847473377 0.215847379976864 "Hsp90aa1/Traf1/Tnf/Nfkb1" 4
"WP_IL18_SIGNALING_PATHWAY" "WP_IL18_SIGNALING_PATHWAY" "WP_IL18_SIGNALING_PATHWAY" "20/264" "198/4408" 0.0138880762405168 0.232671847473377 0.215847379976864 "Tnfaip3/Cycs/Atf3/Ccl1/Bcl2l1/Icam1/Stk40/Rel/Tnfsf11/Traf1/Rgs16/Tnf/Nfkb1/Slc12a3/Mmp13/Bid/Lmnb2/Ifng/Ccl4/Cd83" 20
"WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER" "WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER" "WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER" "6/264" "34/4408" 0.0141749109359466 0.232671847473377 0.215847379976864 "Idh3a/Mdh2/Shmt2/Gart/Slc1a5/Rpia" 6
"WP_MRNA_PROCESSING" "WP_MRNA_PROCESSING" "WP_MRNA_PROCESSING" "10/264" "76/4408" 0.0143003846111628 0.232671847473377 0.215847379976864 "Eftud2/Ddx1/Snrpd2/Sf3b4/Rnps1/Txnl4a/Ncbp2/Snrpb/Prpf40a/Lsm2" 10
"WP_GLUCOCORTICOID_RECEPTOR_PATHWAY" "WP_GLUCOCORTICOID_RECEPTOR_PATHWAY" "WP_GLUCOCORTICOID_RECEPTOR_PATHWAY" "7/264" "44/4408" 0.0144988391600621 0.232671847473377 0.215847379976864 "Tnfaip3/Hsp90aa1/Ptges3/Dnajc15/Gadd45b/Abhd2/Srgn" 7
