"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "14/41" "895/9391" 1.39228752760663e-05 0.025395324503545 0.0233171521728647 "Batf/Gbp3/Tspan6/Cxcl10/Stap1/Smpdl3b/Ociad2/Irak2/Edn1/Ifih1/Gbp5/Pim2/Tarbp2/Rgs1" 14
"HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "6/41" "160/9391" 6.11360391217118e-05 0.0557560676790012 0.0511933885487597 "Batf/Gbp3/Cxcl10/Furin/Tiam1/Eomes" 6
"GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "13/41" "982/9391" 0.000177630058808189 0.107999075755379 0.0991612012504662 "Batf/Gbp3/Mgll/Tspan6/Cxcl10/Stap1/Smpdl3b/Ociad2/Irak2/Edn1/Ifih1/Gbp5/Tarbp2" 13
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "4/41" "78/9391" 0.000353218127603382 0.141973286693432 0.13035520494532 "Gbp3/Cxcl10/Ifih1/Ube2l6" 4
"GOBP_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY" "GOBP_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY" "GOBP_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY" "4/41" "80/9391" 0.000389181158699102 0.141973286693432 0.13035520494532 "Mgll/Edn1/Gipr/Rgs1" 4
"GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "10/41" "682/9391" 0.000542911988583857 0.1591571101456 0.146132826778422 "Batf/Gbp3/Tspan6/Cxcl10/Smpdl3b/Ociad2/Edn1/Ifih1/Gbp5/Tarbp2" 10
"GOBP_RESPONSE_TO_BACTERIUM" "GOBP_RESPONSE_TO_BACTERIUM" "GOBP_RESPONSE_TO_BACTERIUM" "7/41" "342/9391" 0.000616761260236287 0.1591571101456 0.146132826778422 "Gbp3/Cxcl10/Stap1/Ociad2/Irak2/Edn1/Rgs1" 7
"REACTOME_SIGNALING_BY_GPCR" "REACTOME_SIGNALING_BY_GPCR" "REACTOME_SIGNALING_BY_GPCR" "7/41" "351/9391" 0.000719794413858499 0.1591571101456 0.146132826778422 "Nts/Mgll/Cxcl10/Edn1/Gipr/Tiam1/Rgs1" 7
"GOBP_CELL_CHEMOTAXIS" "GOBP_CELL_CHEMOTAXIS" "GOBP_CELL_CHEMOTAXIS" "5/41" "171/9391" 0.000832295498818819 0.1591571101456 0.146132826778422 "Ch25h/Cxcl10/Stap1/Edn1/Tiam1" 5
"GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY" "GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY" "GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY" "4/41" "99/9391" 0.000872571875798245 0.1591571101456 0.146132826778422 "Cxcl10/Edn1/Gipr/Rgs1" 4
