"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GOBP_RIBOSOME_BIOGENESIS" "GOBP_RIBOSOME_BIOGENESIS" "GOBP_RIBOSOME_BIOGENESIS" "23/184" "190/9391" 1.95724832615231e-12 6.69401644784598e-09 6.3395341133407e-09 "Nsun5/Nol9/Exosc1/Pwp2/Heatr1/Nol8/Ppan/Ddx21/Mdn1/Imp4/Nol11/Gnl2/Nol6/Gtpbp4/Rrp9/Srfbp1/Pes1/Aatf/Sdad1/Exosc4/Ddx51/Nob1/Nle1" 23
"GOBP_NCRNA_PROCESSING" "GOBP_NCRNA_PROCESSING" "GOBP_NCRNA_PROCESSING" "25/184" "235/9391" 3.74071888675383e-12 6.69401644784598e-09 6.3395341133407e-09 "Nsun5/Elac2/Nol9/Mettl3/Exosc1/Pwp2/Heatr1/Nol8/Trub1/Nsun2/Ddx21/Mdn1/Imp4/Dus4l/Nol11/Nol6/Gtpbp4/Rrp9/Pus3/Srfbp1/Pes1/Exosc4/Qtrt1/Ddx51/Nob1" 25
"GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS" "GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS" "GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS" "25/184" "273/9391" 1.01527135414262e-10 1.21121872549215e-07 1.14707851239973e-07 "Nsun5/Nol9/Exosc1/Pwp2/Heatr1/Nol8/Ppan/Wdr77/Ddx21/Mdn1/Imp4/Nol11/Gnl2/Nol6/Gtpbp4/Rrp9/Srfbp1/Pes1/Aatf/Sdad1/Exosc4/Prmt5/Ddx51/Nob1/Nle1" 25
"GOBP_RRNA_METABOLIC_PROCESS" "GOBP_RRNA_METABOLIC_PROCESS" "GOBP_RRNA_METABOLIC_PROCESS" "18/184" "143/9391" 2.98687315439662e-10 2.67250475489638e-07 2.53098198872556e-07 "Nsun5/Nol9/Exosc1/Pwp2/Heatr1/Nol8/Ddx21/Mdn1/Imp4/Nol11/Nol6/Gtpbp4/Rrp9/Srfbp1/Pes1/Exosc4/Ddx51/Nob1" 18
"GOBP_NCRNA_METABOLIC_PROCESS" "GOBP_NCRNA_METABOLIC_PROCESS" "GOBP_NCRNA_METABOLIC_PROCESS" "25/184" "300/9391" 7.57464712835322e-10 5.42193241447523e-07 5.13481342174681e-07 "Nsun5/Elac2/Nol9/Mettl3/Exosc1/Pwp2/Heatr1/Nol8/Trub1/Nsun2/Ddx21/Mdn1/Imp4/Dus4l/Nol11/Nol6/Gtpbp4/Rrp9/Pus3/Srfbp1/Pes1/Exosc4/Qtrt1/Ddx51/Nob1" 25
"GOBP_RNA_PROCESSING" "GOBP_RNA_PROCESSING" "GOBP_RNA_PROCESSING" "33/184" "570/9391" 1.45145073253505e-08 8.6579036195716e-06 8.1994234364261e-06 "Nsun5/Aqr/Trub2/Elac2/Nol9/Mettl3/Exosc1/Pwp2/Heatr1/Nol8/Trub1/Wdr77/Rbm19/Nsun2/Ddx21/Mdn1/Imp4/Dus4l/Nol11/Nol6/Gtpbp4/Rrp9/Pus3/Srfbp1/Pes1/Zfp36l1/Exosc4/Hsf1/Qtrt1/Prmt5/Ddx51/Polr2e/Nob1" 33
"REACTOME_RRNA_PROCESSING" "REACTOME_RRNA_PROCESSING" "REACTOME_RRNA_PROCESSING" "15/184" "130/9391" 3.21653929170067e-08 1.64457058928524e-05 1.5574821833498e-05 "Elac2/Nol9/Exosc1/Pwp2/Heatr1/Ddx21/Imp4/Nol11/Gnl3/Nol6/Rrp9/Pes1/Rps15a/Exosc4/Nob1" 15
"GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION" "GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION" "GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION" "21/184" "288/9391" 1.92940887723814e-07 8.63169296454411e-05 8.17460076935105e-05 "Cd40/Sema7a/Cd6/Polr3e/Cd160/Pou2af1/Il21/Tusc2/Nr4a3/Crtam/Mbp/Ifng/Ddx21/Furin/Xcl1/Polr3d/Scrib/Polr3b/Dhx33/Egr1/Polr2e" 21
"HALLMARK_MYC_TARGETS_V2" "HALLMARK_MYC_TARGETS_V2" "HALLMARK_MYC_TARGETS_V2" "8/184" "43/9391" 1.50487272691077e-06 0.000598437721068181 0.000566747389550019 "Dusp2/Ppan/Imp4/Gnl3/Rrp9/Pprc1/Pes1/Ipo4" 8
"REACTOME_METABOLISM_OF_RNA" "REACTOME_METABOLISM_OF_RNA" "REACTOME_METABOLISM_OF_RNA" "25/184" "447/9391" 1.91138220454419e-06 0.000684083691006364 0.000647857968277082 "Aqr/Elac2/Nol9/Mettl3/Exosc1/Pwp2/Heatr1/Wdr77/Nsun2/Ddx21/Imp4/Nol11/Gnl3/Nol6/Rrp9/Pus3/Pes1/Zfp36l1/Rps15a/Exosc4/Cnot2/Qtrt1/Prmt5/Polr2e/Nob1" 25
