"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_MYC_TARGETS_V1" "HALLMARK_MYC_TARGETS_V1" "HALLMARK_MYC_TARGETS_V1" "26/380" "160/9391" 1.0543172824602e-09 5.09762406069508e-06 4.73998854040792e-06 "Hdgf/Xrcc6/Nap1l1/Eprs/Tomm70a/Eif4g2/Snrpa/Pold2/Pole3/Ruvbl2/Cops5/G3bp1/Psmb2/Kpnb1/Ywhae/Cdk4/Rpl22/Cct5/Ube2e1/Rad23b/Tcp1/Cct7/Hspd1/Snrpd1/Lsm2/Odc1" 26
"HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "22/380" "160/9391" 4.42092084242521e-07 0.0010687576136563 0.00099377646936832 "Syngr2/Cd44/Batf/Il2ra/Etv4/Ecm1/Ahnak/Lif/Cxcl10/Rora/Enpp1/Klf6/Twsg1/Furin/Hipk2/Hopx/Uck2/Tiam1/Socs1/Gpr65/Csf2/Odc1" 22
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "44/380" "512/9391" 1.4912590142211e-06 0.00240341244458634 0.00223479552622397 "Cd44/Batf/Timp1/Il2ra/Stat1/Psmd9/Fgf2/Sp100/Ccr5/Cd70/Gbp2/Rapgef1/Eif4g2/Il21/Tnfrsf12a/Psmd12/Seh1l/Psmb7/Ccl3/Rps6ka5/Irf9/Lif/Cxcl10/Psmb2/Rora/Map2k6/Il3/Kpnb1/Psmd6/Mif/Psmc2/Ube2e1/Camk2g/Tcp1/Rps27a/Socs1/Eif4e2/Birc2/Nup133/Dusp6/Csf2/Il15ra/Nup107/Pom121" 44
"GOBP_RESPONSE_TO_CYTOKINE" "GOBP_RESPONSE_TO_CYTOKINE" "GOBP_RESPONSE_TO_CYTOKINE" "58/380" "787/9391" 4.46218413907064e-06 0.00539366507810164 0.00501526012051861 "Ticam2/Cd44/Batf/Timp1/Il2ra/Stat1/Hdgf/Psmd9/Ecm1/Fgf2/Atic/Mettl3/Taf9/Sp100/Ccr5/Eprs/Cd70/Gbp2/Rapgef1/Il21/Tnfrsf12a/Psmd12/Psmb7/Slc26a6/Ccl3/Pmm1/Rps6ka5/Irf9/Lif/Cxcl10/Smarca5/Psmb2/Stap1/Rora/Il3/Psmd6/Mif/Cd47/Zc3h15/Cdk4/Asah2/Psmc2/Acsl4/Ythdf2/Btk/Camk2g/Trex1/Rad23b/Tcp1/Rps27a/Socs1/Dapk1/Zfp36l1/Prkca/Birc2/Csf2/Il15ra/Cth" 58
"GOBP_ORGANIC_ACID_METABOLIC_PROCESS" "GOBP_ORGANIC_ACID_METABOLIC_PROCESS" "GOBP_ORGANIC_ACID_METABOLIC_PROCESS" "52/380" "685/9391" 6.45237146699549e-06 0.00623944320858464 0.00580170074432373 "Bcat1/Psmd9/Asns/Acsl6/Faah/Mlycd/Atic/Eprs/St6gal1/Blmh/Ch25h/Dld/Aars/Psmd12/Seh1l/Mgll/Psmb7/Atf4/P2rx7/Slc25a17/Psmb2/Enpp1/Fh1/Psmd6/Mif/Zadh2/Asah2/Psmc2/Acsl4/Insig1/Trex1/Mthfd2/St3gal1/Slc25a44/Sdhb/Ppm1k/Crabp2/Nup133/Nagk/Abcd1/Enoph1/Abcd3/Odc1/Adh4/Nup107/Cth/Nudt19/Pom121/Elovl1/Slc2a6/Fabp5/Aacs" 52
"CACCCBINDINGFACTOR_Q6" "CACCCBINDINGFACTOR_Q6" "CACCCBINDINGFACTOR_Q6" "18/380" "153/9391" 4.37933657242004e-05 0.0352901538794181 0.0328142921066772 "Phldb1/Ahnak/Kcnk10/Blmh/Pip4k2b/Dld/Dctn1/Zadh2/Ywhae/Cdk4/Ythdf2/Otx1/Slc6a9/Rad23b/Sh3glb2/Zhx2/Dusp14/Ppp1r1b" 18
"GOBP_POSITIVE_REGULATION_OF_TELOMERASE_RNA_LOCALIZATION_TO_CAJAL_BODY" "GOBP_POSITIVE_REGULATION_OF_TELOMERASE_RNA_LOCALIZATION_TO_CAJAL_BODY" "GOBP_POSITIVE_REGULATION_OF_TELOMERASE_RNA_LOCALIZATION_TO_CAJAL_BODY" "5/380" "12/9391" 6.61327722966275e-05 0.0361515181605586 0.0336152253989541 "Ruvbl2/Cct5/Tcp1/Cct7/Ruvbl1" 5
"GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY" "GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY" "GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY" "41/380" "540/9391" 6.6627000851385e-05 0.0361515181605586 0.0336152253989541 "Ticam2/Cd44/Batf/Timp1/Il2ra/Stat1/Psmd9/Ecm1/Fgf2/Mettl3/Sp100/Ccr5/Cd70/Gbp2/Rapgef1/Il21/Tnfrsf12a/Psmd12/Psmb7/Ccl3/Rps6ka5/Irf9/Lif/Cxcl10/Psmb2/Stap1/Rora/Il3/Psmd6/Mif/Zc3h15/Psmc2/Ythdf2/Camk2g/Trex1/Tcp1/Rps27a/Socs1/Birc2/Csf2/Il15ra" 41
"REACTOME_UCH_PROTEINASES" "REACTOME_UCH_PROTEINASES" "REACTOME_UCH_PROTEINASES" "11/380" "68/9391" 7.91116220709983e-05 0.0361515181605586 0.0336152253989541 "Psmd9/Actb/Psmd12/Psmb7/Actl6a/Psmb2/Psmd6/Psmc2/Rps27a/Ruvbl1/Uchl5" 11
"REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS" "REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS" "REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS" "14/380" "105/9391" 7.94983551965254e-05 0.0361515181605586 0.0336152253989541 "Psip1/Psmd9/Psmd12/Seh1l/Psmb7/Psmb2/Kpnb1/Psmd6/Psmc2/Rps27a/Nup133/Hmga1/Nup107/Pom121" 14
"HALLMARK_CHOLESTEROL_HOMEOSTASIS" "HALLMARK_CHOLESTEROL_HOMEOSTASIS" "HALLMARK_CHOLESTEROL_HOMEOSTASIS" "10/380" "57/9391" 8.2247507707579e-05 0.0361515181605586 0.0336152253989541 "Trp53inp1/Hsd17b7/Tnfrsf12a/Anxa5/Idi1/Tmem97/S100a11/Sqle/Adh4/Fabp5" 10
"GOBP_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION" "GOBP_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION" "GOBP_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION" "15/380" "120/9391" 9.45306366997423e-05 0.0380879690369378 0.0354158201179473 "Batf/Psmd9/Mettl3/Plek/Prkdc/Psmd12/Hes5/Psmb7/Mlf1/Inhba/Psmb2/Psmd6/Psmc2/Ythdf2/Trex1" 15
"REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "10/380" "60/9391" 0.000128876077471186 0.0472309222975614 0.0439173285000566 "Stat1/Eif4g2/Seh1l/Kpnb1/Ube2e1/Rps27a/Eif4e2/Nup133/Nup107/Pom121" 10
"REACTOME_APOPTOSIS" "REACTOME_APOPTOSIS" "REACTOME_APOPTOSIS" "16/380" "139/9391" 0.000149992656993007 0.0472309222975614 0.0439173285000566 "Ticam2/Psmd9/Cycs/Aven/Psmd12/Psmb7/Psmb2/Kpnb1/Psmd6/Ywhae/Ppp3cc/Psmc2/Rps27a/Dapk1/Birc2/Ywhag" 16
"REACTOME_SIGNALING_BY_INTERLEUKINS" "REACTOME_SIGNALING_BY_INTERLEUKINS" "REACTOME_SIGNALING_BY_INTERLEUKINS" "28/380" "329/9391" 0.000155575787426283 0.0472309222975614 0.0439173285000566 "Batf/Timp1/Il2ra/Stat1/Psmd9/Fgf2/Ccr5/Rapgef1/Il21/Psmd12/Psmb7/Ccl3/Rps6ka5/Lif/Cxcl10/Psmb2/Rora/Map2k6/Il3/Psmd6/Mif/Psmc2/Tcp1/Rps27a/Socs1/Dusp6/Csf2/Il15ra" 28
"GOBP_TELOMERASE_RNA_LOCALIZATION" "GOBP_TELOMERASE_RNA_LOCALIZATION" "GOBP_TELOMERASE_RNA_LOCALIZATION" "5/380" "14/9391" 0.000156296743900927 0.0472309222975614 0.0439173285000566 "Ruvbl2/Cct5/Tcp1/Cct7/Ruvbl1" 5
"GOBP_RESPONSE_TO_STEROL" "GOBP_RESPONSE_TO_STEROL" "GOBP_RESPONSE_TO_STEROL" "6/380" "22/9391" 0.000181318870489968 0.0515692199305292 0.0479512629017124 "Ccr5/Ccl3/Inhba/Rora/Insig1/Aacs" 6
"REACTOME_HIV_INFECTION" "REACTOME_HIV_INFECTION" "REACTOME_HIV_INFECTION" "18/380" "175/9391" 0.000249220729327382 0.0669434570165496 0.0622468850852192 "Psip1/Psmd9/Xrcc6/Taf9/Ccr5/Psmd12/Seh1l/Psmb7/Psmb2/Kpnb1/Furin/Psmd6/Psmc2/Rps27a/Nup133/Hmga1/Nup107/Pom121" 18
