"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "22/65" "159/9391" 1.58940027358297e-23 3.79071965249538e-20 3.40466269130667e-20 "Il4ra/Ddx60/Lgals3bp/Ifit2/Ifit3/Parp12/Rnf213/Zbp1/Gbp3/Casp1/Ddx58/Rtp4/Parp14/Oas2/Tdrd7/Ifi35/Ifih1/Rsad2/Tap1/Ube2l6/Klrk1/Irf7" 22
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "17/65" "78/9391" 9.14724700770729e-22 1.09080920566909e-18 9.79718297930754e-19 "Il4ra/Ddx60/Lgals3bp/Ifit2/Ifit3/Parp12/Gbp3/Casp1/Rtp4/Parp14/Tdrd7/Ifi35/Ifih1/Rsad2/Tap1/Ube2l6/Irf7" 17
"GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "25/65" "682/9391" 8.88325930163343e-13 6.48425002198742e-10 5.82387677137566e-10 "Il4ra/Ddx60/Batf/Ifit2/Ifit3/Apobec1/Sp100/Tlr7/Zbp1/Gbp3/Casp1/Tspan6/Ddx58/Rtp4/Parp14/Oas2/Ifi35/Edn1/Ifih1/Rsad2/Gata3/Gbp5/Tarbp2/Klrk1/Irf7" 25
"GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "28/65" "895/9391" 1.08750524477777e-12 6.48425002198742e-10 5.82387677137566e-10 "Il4ra/Ddx60/Batf/Ifit2/Ifit3/Apobec1/Sp100/Tlr7/Zbp1/Gbp3/Casp1/Tspan6/Ddx58/Rtp4/Parp14/Oas2/Ifi35/Irak2/Edn1/Ifih1/Rsad2/Mef2c/Gata3/Gbp5/Pim2/Tarbp2/Klrk1/Irf7" 28
"GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "29/65" "982/9391" 1.51587558795451e-12 7.230726554543e-10 6.49433015049984e-10 "Il4ra/Ddx60/Batf/Lgals3bp/Ifit2/Ifit3/Apobec1/Sp100/Tlr7/Zbp1/Gbp3/Casp1/Tspan6/Ddx58/Rtp4/Parp14/Oas2/Ifi35/Irak2/Edn1/Ifih1/Rsad2/Mef2c/Tap1/Gata3/Gbp5/Tarbp2/Klrk1/Irf7" 29
"GOBP_RESPONSE_TO_VIRUS" "GOBP_RESPONSE_TO_VIRUS" "GOBP_RESPONSE_TO_VIRUS" "16/65" "238/9391" 3.76061945409193e-12 1.49484623300154e-09 1.34260712089071e-09 "Ddx60/Ifit2/Ifit3/Apobec1/Tlr7/Zbp1/Tspan6/Ddx58/Rtp4/Oas2/Ifih1/Rsad2/Gata3/Pim2/Tarbp2/Irf7" 16
"GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "14/65" "173/9391" 8.24094776101416e-12 2.80780863000268e-09 2.52185393889681e-09 "Ddx60/Ifit2/Ifit3/Apobec1/Tlr7/Zbp1/Tspan6/Ddx58/Rtp4/Oas2/Ifih1/Rsad2/Tarbp2/Irf7" 14
"GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "19/65" "546/9391" 2.45865421511993e-09 7.3298628788263e-07 6.58337016811719e-07 "Ddx60/Ifit2/Ifit3/Sp100/Tlr7/Zbp1/Gbp3/Casp1/Ddx58/Parp14/Oas2/Ifi35/Edn1/Ifih1/Rsad2/Gata3/Gbp5/Klrk1/Irf7" 19
"REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "11/65" "151/9391" 5.4736596199293e-09 1.45051979928126e-06 1.30279500895393e-06 "Ifit2/Ifit3/Sp100/Gbp3/Ddx58/Oas2/Ifi35/Rsad2/Gbp5/Ube2l6/Irf7" 11
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "18/65" "512/9391" 6.12453935386542e-09 1.4607026358969e-06 1.31194079843328e-06 "Il4ra/Batf/Ifit2/Ifit3/Sp100/Gbp3/Casp1/Ddx58/Oas2/Ifi35/Irak2/Fscn1/Rsad2/Mef2c/Gata3/Gbp5/Ube2l6/Irf7" 18
