"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "29/82" "159/9391" 1.80543113312909e-31 4.51538326395585e-28 3.92823805492403e-28 "Il4ra/Ddx60/Lgals3bp/Oasl1/Stat1/Ifit2/Ifit3/Parp12/Rnf213/Usp18/Gbp3/Casp1/Bst2/Fgl2/Ddx58/Rtp4/Parp14/Oas2/Irf9/Cxcl10/Tdrd7/Ifi35/Znfx1/Ifih1/Rsad2/Tap1/Ube2l6/Klrk1/Irf7" 29
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "23/82" "78/9391" 3.69156351250746e-30 4.61630017239058e-27 4.01603251597523e-27 "Il4ra/Oas1g/Ddx60/Lgals3bp/Oasl1/Ifit2/Ifit3/Parp12/Usp18/Gbp3/Casp1/Bst2/Rtp4/Parp14/Irf9/Cxcl10/Tdrd7/Ifi35/Ifih1/Rsad2/Tap1/Ube2l6/Irf7" 23
"GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "41/82" "982/9391" 1.78212825545647e-19 1.48570092229887e-16 1.2925119663258e-16 "Il4ra/Oas1g/Ddx60/Lgals3bp/Oasl1/Stat1/Ifit2/Ifit3/Pik3ap1/Tlr7/Usp18/Gbp3/Ccr5/Casp1/Bst2/Fgl2/Mgll/Tspan6/Ddx58/Rtp4/Ifng/Parp14/Oas2/Irf9/Cxcl10/Stap1/Smpdl3b/Ociad2/Ifi35/Irak2/Ifih1/Rsad2/Mef2c/Plac8/Tap1/Gata3/Gbp5/Tarbp2/Ffar2/Klrk1/Irf7" 41
"GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "38/82" "895/9391" 4.34764410868009e-18 2.71836447895223e-15 2.36488957174783e-15 "Il4ra/Oas1g/Ddx60/Oasl1/Stat1/Ifit2/Ifit3/Tlr7/Usp18/Gbp3/Ccr5/Casp1/Bst2/Fgl2/Tspan6/Ddx58/Rtp4/Ifng/Parp14/Oas2/Irf9/Cxcl10/Stap1/Smpdl3b/Ociad2/Ifi35/Irak2/Ifih1/Rsad2/Mef2c/Plac8/Gata3/Gbp5/Tarbp2/Ffar2/Klrk1/Irf7/Rgs1" 38
"GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "20/82" "173/9391" 1.5477041030433e-17 7.7416159234226e-15 6.73495659155896e-15 "Oas1g/Ddx60/Oasl1/Stat1/Ifit2/Ifit3/Tlr7/Bst2/Fgl2/Tspan6/Ddx58/Rtp4/Ifng/Oas2/Irf9/Cxcl10/Ifih1/Rsad2/Tarbp2/Irf7" 20
"GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "33/82" "682/9391" 3.69905714843873e-17 1.54189032137421e-14 1.34139493435489e-14 "Il4ra/Oas1g/Ddx60/Oasl1/Stat1/Ifit2/Ifit3/Tlr7/Usp18/Gbp3/Casp1/Bst2/Fgl2/Tspan6/Ddx58/Rtp4/Ifng/Parp14/Oas2/Irf9/Cxcl10/Smpdl3b/Ociad2/Ifi35/Ifih1/Rsad2/Plac8/Gata3/Gbp5/Tarbp2/Ffar2/Klrk1/Irf7" 33
"GOBP_RESPONSE_TO_VIRUS" "GOBP_RESPONSE_TO_VIRUS" "GOBP_RESPONSE_TO_VIRUS" "21/82" "238/9391" 5.8370483649509e-16 2.08549399439174e-13 1.81431262712083e-13 "Oas1g/Ddx60/Oasl1/Stat1/Ifit2/Ifit3/Tlr7/Bst2/Fgl2/Tspan6/Ddx58/Rtp4/Ifng/Oas2/Irf9/Cxcl10/Ifih1/Rsad2/Gata3/Tarbp2/Irf7" 21
"REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "17/82" "151/9391" 8.54628109406935e-15 2.67178112703343e-12 2.32436355545281e-12 "Oas1g/Oasl1/Stat1/Ifit2/Ifit3/Usp18/Gbp3/Bst2/Ddx58/Ifng/Oas2/Irf9/Ifi35/Rsad2/Gbp5/Ube2l6/Irf7" 17
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "12/82" "59/9391" 6.86838771822603e-14 1.79952350327911e-11 1.56552750742984e-11 "Oas1g/Oasl1/Stat1/Ifit2/Ifit3/Usp18/Bst2/Oas2/Irf9/Ifi35/Rsad2/Irf7" 12
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "26/82" "512/9391" 7.19521592674575e-14 1.79952350327911e-11 1.56552750742984e-11 "Il4ra/Oas1g/Oasl1/Stat1/Ifit2/Ifit3/Usp18/Gbp3/Ccr5/Casp1/Bst2/Ddx58/Ifng/Oas2/Irf9/Cxcl10/Ifi35/Irak2/Fscn1/Rsad2/Mef2c/Gata3/Gbp5/Ube2l6/Irf7/Il12rb2" 26
