"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GOBP_CELL_ACTIVATION" "GOBP_CELL_ACTIVATION" "GOBP_CELL_ACTIVATION" "148/981" "924/9391" 2.39259546050828e-08 0.000139129426028557 0.000132146825066178 "Gm2a/Ticam2/Bcl11b/Ctsb/Lag3/Arsb/Fermt3/Timp1/Coro1a/Rab27a/Plcl2/Tbc1d10c/Lgals9/Lgals3/Ctsa/Sh3kbp1/Cd40/Rab3a/Cd4/Ccnd3/Tspan14/Nfkbid/Tnfaip8l2/Csk/Manba/Arrb1/Tspan32/Nckap1l/Laptm5/Cotl1/Lmo4/Tlr6/Gmfg/Selplg/Pkn1/Vapa/Mettl3/Arrb2/Casp8/Idh1/Unc13d/Plscr1/Cd70/Pdap1/Psmd14/Rab3d/Gstp1/Cd160/Ampd3/Eef2/Cd8b1/Il21/Itpr1/Vamp8/Hdac5/H2-M3/Tusc2/Hexb/Nr4a3/Rab37/Grn/Prkdc/Samsn1/Iqgap2/Lef1/P2ry1/Bst2/Irs2/Slc44a2/Akap12/Fgl2/Psmd12/Neu1/Tec/Apaf1/Actb/Ypel5/Flot2/Alad/Jak3/Gnaq/Slpi/Ifng/Dpp4/Cxcl10/Acaa1a/Klf6/Pik3cg/Ctsz/Myo18a/H2-DMb2/Psap/Lgals7/Bax/Kpnb1/Malt1/Itpr2/Xcl1/Gpr89/Psmd6/Aif1/F2r/Mif/Cd47/Vcl/Vav2/Sox12/Gng2/Trappc1/Itm2a/Rac2/Sema4a/Edn1/Cat/Itpr3/H2-DMb1/Hmox1/Ager/Grap2/Ep300/Flt3l/Was/Sell/Pik3cd/Plaur/S100a11/Cd226/Plac8/Rasgrp1/Arhgap9/Cant1/Prkca/Serpinb6a/Arsa/Atad3a/Csf2/Tbx21/Prmt5/Cnr2/Commd3/B4galt1/Btla/Thy1/Cnn2/Card11/Kcnab2/Stk10/Eomes" 148
"GOBP_IMMUNE_EFFECTOR_PROCESS" "GOBP_IMMUNE_EFFECTOR_PROCESS" "GOBP_IMMUNE_EFFECTOR_PROCESS" "128/981" "779/9391" 5.51624248311758e-08 0.000160384750196644 0.000152335391099568 "Gm2a/Ticam2/Ctsb/Oas1g/Lag3/Ddit4/Arsb/Oasl1/Coro1a/Dtx3l/Rab27a/Plcl2/Tbc1d10c/Lgals9/Lgals3/Ctsa/Cd40/Rab3a/Tspan14/Nfkbid/Manba/Tspan32/Sema7a/Nckap1l/Laptm5/Cotl1/Gmfg/Polr3e/Pkn1/Vapa/Apobec1/Arrb2/Idh1/Unc13d/Plscr1/Cd70/Gbp2/Pdap1/Psmd14/Tomm70a/Rab3d/Gstp1/Cd160/Ampd3/Eef2/Zbp1/Il21/Vamp8/H2-M3/Tusc2/Hexb/Nr4a3/Rab37/Masp2/Grn/Prkdc/Iqgap2/Lef1/Bst2/Slc44a2/Fgl2/Psmd12/Neu1/Apaf1/Actb/Ypel5/Alad/Jak3/Slpi/Ifng/Cxcl10/Acaa1a/Samhd1/Bnip3l/Pik3cg/Ctsz/Myo18a/H2-DMb2/Psap/Kpnb1/Malt1/Xcl1/Psmd6/Mif/Polr3d/Rnf125/Cd47/Vcl/Vav2/Trappc1/Itm2a/Rac2/Sema4a/Cat/H2-DMb1/Hmox1/Ager/Appl2/Was/Sell/Pik3cd/Dhx58/Plaur/S100a11/Cd226/Plac8/Rasgrp1/H2-Ab1/Arhgap9/Cant1/Serpinb6a/Arsa/Atad3a/Zmynd11/Tbx21/Polr3b/Exosc4/Rnf135/Ankrd17/Commd3/B4galt1/Cnn2/Myo1g/Kcnab2/Bcl2l1/Stk10/Ppm1b/Eomes" 128
"GOBP_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY" "GOBP_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY" "GOBP_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY" "69/981" "358/9391" 2.62143293013074e-07 0.000508121082957009 0.000482619599452492 "Gm2a/Ticam2/Ctsb/Arsb/Rab27a/Tbc1d10c/Lgals9/Lgals3/Ctsa/Rab3a/Tspan14/Manba/Nckap1l/Cotl1/Gmfg/Vapa/Idh1/Unc13d/Pdap1/Psmd14/Rab3d/Gstp1/Ampd3/Eef2/Vamp8/H2-M3/Tusc2/Hexb/Nr4a3/Rab37/Grn/Iqgap2/Bst2/Slc44a2/Fgl2/Psmd12/Neu1/Apaf1/Ypel5/Alad/Slpi/Acaa1a/Pik3cg/Ctsz/Psap/Kpnb1/Psmd6/Mif/Cd47/Vcl/Trappc1/Rac2/Cat/Hmox1/Sell/Pik3cd/Plaur/S100a11/Plac8/Arhgap9/Cant1/Serpinb6a/Arsa/Atad3a/Commd3/B4galt1/Cnn2/Kcnab2/Stk10" 69
"REACTOME_INNATE_IMMUNE_SYSTEM" "REACTOME_INNATE_IMMUNE_SYSTEM" "REACTOME_INNATE_IMMUNE_SYSTEM" "112/981" "682/9391" 4.27070469922762e-07 0.000533375428939412 0.000506606485159994 "Gm2a/Ticam2/Ctsb/Arsb/Rab27a/Tbc1d10c/Psmd9/Lgals3/Ctsa/Rab3a/Cd4/Tspan14/Map3k1/Manba/Nckap1l/Cotl1/Tlr6/Gmfg/Polr3e/Vapa/Casp8/Idh1/Map2k6/Unc13d/Pdap1/Psmd14/Tomm70a/Rab3d/Gstp1/Ampd3/Eef2/Zbp1/Lgmn/Itpr1/Vamp8/H2-M3/Hexb/Rab37/Masp2/Grn/Prkdc/Iqgap2/Ube2m/Bst2/Slc44a2/Fgl2/Psmd12/Neu1/Tec/Pstpip1/Apaf1/Actb/Ypel5/Alad/P2rx7/Slpi/Ncf4/Acaa1a/Psmb5/Ctsz/Rasgrp4/Psap/Vrk3/Kpnb1/Malt1/Itpr2/Psmd6/Mif/Polr3d/Rnf125/Cd47/Vcl/Vav2/Prkacb/Trappc1/Rac2/Dusp7/Cat/Itpr3/Hmox1/Ager/Grap2/Ep300/Was/Sell/Psmd8/Rps27a/Dhx58/Plaur/S100a11/Plac8/Rasgrp1/Txn1/Arhgap9/Nkiras1/Cant1/Serpinb6a/Arsa/Atad3a/Dusp6/Ube2l6/Polr3b/Sigirr/Rnf135/Commd3/B4galt1/Polr2e/Cnn2/Card11/Kcnab2/Bcl2l1/Stk10" 112
"REACTOME_NEUTROPHIL_DEGRANULATION" "REACTOME_NEUTROPHIL_DEGRANULATION" "REACTOME_NEUTROPHIL_DEGRANULATION" "62/981" "315/9391" 5.07213792572122e-07 0.000533375428939412 0.000506606485159994 "Gm2a/Ticam2/Ctsb/Arsb/Rab27a/Tbc1d10c/Lgals3/Ctsa/Rab3a/Tspan14/Manba/Nckap1l/Cotl1/Gmfg/Vapa/Idh1/Unc13d/Pdap1/Psmd14/Rab3d/Gstp1/Ampd3/Eef2/Vamp8/H2-M3/Hexb/Rab37/Grn/Iqgap2/Bst2/Slc44a2/Fgl2/Psmd12/Neu1/Apaf1/Ypel5/Alad/Slpi/Acaa1a/Ctsz/Psap/Kpnb1/Psmd6/Mif/Cd47/Vcl/Trappc1/Cat/Sell/Plaur/S100a11/Plac8/Arhgap9/Cant1/Serpinb6a/Arsa/Atad3a/Commd3/B4galt1/Cnn2/Kcnab2/Stk10" 62
"HALLMARK_OXIDATIVE_PHOSPHORYLATION" "HALLMARK_OXIDATIVE_PHOSPHORYLATION" "HALLMARK_OXIDATIVE_PHOSPHORYLATION" "40/981" "170/9391" 5.50344380676951e-07 0.000533375428939412 0.000506606485159994 "Ndufab1/Nqo2/Aldh6a1/Ech1/Immt/Cox7b/Tomm22/Idh1/Cox7a2l/Tomm70a/Aifm1/Dld/Timm9/Mrpl34/Gpx4/Mrpl15/Cox7a2/Cox11/Htra2/Acaa1a/Mrps11/Acaa2/Bax/Cox5b/Fh1/Got2/Mgst3/Etfb/Casp7/Ndufc1/Mrps15/Cox6c/Alas1/Vdac3/Sdhb/Etfa/Atp5a1/Atp5e/Cox17/Ndufb8" 40
"GOBP_MYELOID_LEUKOCYTE_ACTIVATION" "GOBP_MYELOID_LEUKOCYTE_ACTIVATION" "GOBP_MYELOID_LEUKOCYTE_ACTIVATION" "78/981" "434/9391" 8.42247734631213e-07 0.000699667225268643 0.000664552460693229 "Gm2a/Ticam2/Ctsb/Arsb/Rab27a/Tbc1d10c/Lgals9/Lgals3/Ctsa/Rab3a/Tspan14/Manba/Tspan32/Nckap1l/Cotl1/Tlr6/Gmfg/Vapa/Idh1/Unc13d/Plscr1/Pdap1/Psmd14/Rab3d/Gstp1/Ampd3/Eef2/Vamp8/H2-M3/Hexb/Nr4a3/Rab37/Grn/Iqgap2/Bst2/Slc44a2/Fgl2/Psmd12/Neu1/Apaf1/Ypel5/Alad/Slpi/Ifng/Acaa1a/Pik3cg/Ctsz/Myo18a/Psap/Kpnb1/Psmd6/Aif1/Mif/Cd47/Vcl/Trappc1/Rac2/Cat/Hmox1/Ager/Sell/Pik3cd/Plaur/S100a11/Cd226/Plac8/Arhgap9/Cant1/Serpinb6a/Arsa/Atad3a/Csf2/Cnr2/Commd3/B4galt1/Cnn2/Kcnab2/Stk10" 78
"ETS_Q4" "ETS_Q4" "ETS_Q4" "41/981" "181/9391" 1.15640137836837e-06 0.000764783579140323 0.000726400767479618 "Pus7l/Arsb/Madd/Coro1a/Tbc1d10c/Nfkbid/Itgb7/Yrdc/Prkag1/Dab2ip/Gmfg/Pkn1/Arrb2/Uxt/E2f5/Ppp1r9b/Pdap1/Oma1/Itpr1/Rin3/Nasp/Skap1/Fxyd5/Strbp/Itpr2/Furin/Usp3/Arhgap15/Foxn3/Pdlim2/Chd2/Arhgap30/Lime1/Elk3/Slc9a3r1/Sigirr/Map4k2/Hmga1/Lpxn/Arhgap4/Kcnab2" 41
"GOBP_LEUKOCYTE_MEDIATED_IMMUNITY" "GOBP_LEUKOCYTE_MEDIATED_IMMUNITY" "GOBP_LEUKOCYTE_MEDIATED_IMMUNITY" "87/981" "505/9391" 1.24604712619721e-06 0.000764783579140323 0.000726400767479618 "Gm2a/Ticam2/Ctsb/Lag3/Arsb/Coro1a/Rab27a/Tbc1d10c/Lgals9/Lgals3/Ctsa/Cd40/Rab3a/Tspan14/Manba/Nckap1l/Cotl1/Gmfg/Vapa/Arrb2/Idh1/Unc13d/Cd70/Pdap1/Psmd14/Rab3d/Gstp1/Cd160/Ampd3/Eef2/Il21/Vamp8/H2-M3/Tusc2/Hexb/Nr4a3/Rab37/Masp2/Grn/Iqgap2/Bst2/Slc44a2/Fgl2/Psmd12/Neu1/Apaf1/Ypel5/Alad/Jak3/Slpi/Acaa1a/Pik3cg/Ctsz/Psap/Kpnb1/Malt1/Xcl1/Psmd6/Mif/Cd47/Vcl/Trappc1/Rac2/Cat/Hmox1/Ager/Was/Sell/Pik3cd/Plaur/S100a11/Cd226/Plac8/Rasgrp1/H2-Ab1/Arhgap9/Cant1/Serpinb6a/Arsa/Atad3a/Tbx21/Commd3/B4galt1/Cnn2/Myo1g/Kcnab2/Stk10" 87
"REACTOME_SPHINGOLIPID_METABOLISM" "REACTOME_SPHINGOLIPID_METABOLISM" "REACTOME_SPHINGOLIPID_METABOLISM" "18/981" "50/9391" 1.31519102173744e-06 0.000764783579140323 0.000726400767479618 "Gm2a/Arsb/Ctsa/Vapa/Smpd1/Hexb/Prkd2/Neu1/Sgpp1/Smpd4/Psap/Vapb/Asah2/Aldh3a2/Gltp/Arsa/Hexa/Csnk1g2" 18
