"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GOBP_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY" "GOBP_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY" "GOBP_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY" "2/4" "80/9391" 0.00042527360282395 0.0774717823785546 0.0427162709856692 "Gipr/Mgll" 2
"GOBP_IMMUNOLOGICAL_MEMORY_FORMATION_PROCESS" "GOBP_IMMUNOLOGICAL_MEMORY_FORMATION_PROCESS" "GOBP_IMMUNOLOGICAL_MEMORY_FORMATION_PROCESS" "1/4" "10/9391" 0.00425327703903333 0.0774717823785546 0.0427162709856692 "St3gal1" 1
"REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS" "REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS" "REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS" "1/4" "10/9391" 0.00425327703903333 0.0774717823785546 0.0427162709856692 "St3gal1" 1
"WP_GANGLIO_SPHINGOLIPID_METABOLISM" "WP_GANGLIO_SPHINGOLIPID_METABOLISM" "WP_GANGLIO_SPHINGOLIPID_METABOLISM" "1/4" "11/9391" 0.00467785724283298 0.0774717823785546 0.0427162709856692 "St3gal1" 1
"GOBP_GANGLIOSIDE_BIOSYNTHETIC_PROCESS" "GOBP_GANGLIOSIDE_BIOSYNTHETIC_PROCESS" "GOBP_GANGLIOSIDE_BIOSYNTHETIC_PROCESS" "1/4" "12/9391" 0.00510230165339021 0.0774717823785546 0.0427162709856692 "St3gal1" 1
"GOBP_ADAPTATION_OF_SIGNALING_PATHWAY" "GOBP_ADAPTATION_OF_SIGNALING_PATHWAY" "GOBP_ADAPTATION_OF_SIGNALING_PATHWAY" "1/4" "13/9391" 0.0055266102996625 0.0774717823785546 0.0427162709856692 "Gipr" 1
"GOBP_IMMUNOLOGICAL_MEMORY_PROCESS" "GOBP_IMMUNOLOGICAL_MEMORY_PROCESS" "GOBP_IMMUNOLOGICAL_MEMORY_PROCESS" "1/4" "13/9391" 0.0055266102996625 0.0774717823785546 0.0427162709856692 "St3gal1" 1
"REACTOME_TRIGLYCERIDE_CATABOLISM" "REACTOME_TRIGLYCERIDE_CATABOLISM" "REACTOME_TRIGLYCERIDE_CATABOLISM" "1/4" "14/9391" 0.00595078321060305 0.0774717823785546 0.0427162709856692 "Mgll" 1
"GOBP_NEGATIVE_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS" "GOBP_NEGATIVE_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS" "GOBP_NEGATIVE_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS" "1/4" "15/9391" 0.00637482041516291 0.0774717823785546 0.0427162709856692 "St3gal1" 1
"WP_GLOBO_SPHINGOLIPID_METABOLISM" "WP_GLOBO_SPHINGOLIPID_METABOLISM" "WP_GLOBO_SPHINGOLIPID_METABOLISM" "1/4" "15/9391" 0.00637482041516291 0.0774717823785546 0.0427162709856692 "St3gal1" 1
"GOBP_SIALYLATION" "GOBP_SIALYLATION" "GOBP_SIALYLATION" "1/4" "16/9391" 0.0067987219422897 0.0774717823785546 0.0427162709856692 "St3gal1" 1
"GOBP_MATURE_B_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE" "GOBP_MATURE_B_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE" "GOBP_MATURE_B_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE" "1/4" "17/9391" 0.00722248782092738 0.0774717823785546 0.0427162709856692 "St3gal1" 1
"GOBP_KERATAN_SULFATE_BIOSYNTHETIC_PROCESS" "GOBP_KERATAN_SULFATE_BIOSYNTHETIC_PROCESS" "GOBP_KERATAN_SULFATE_BIOSYNTHETIC_PROCESS" "1/4" "18/9391" 0.00764611808001836 0.0774717823785546 0.0427162709856692 "St3gal1" 1
"GOBP_REGULATION_OF_SENSORY_PERCEPTION" "GOBP_REGULATION_OF_SENSORY_PERCEPTION" "GOBP_REGULATION_OF_SENSORY_PERCEPTION" "1/4" "18/9391" 0.00764611808001836 0.0774717823785546 0.0427162709856692 "Mgll" 1
"REACTOME_KERATAN_SULFATE_BIOSYNTHESIS" "REACTOME_KERATAN_SULFATE_BIOSYNTHESIS" "REACTOME_KERATAN_SULFATE_BIOSYNTHESIS" "1/4" "18/9391" 0.00764611808001836 0.0774717823785546 0.0427162709856692 "St3gal1" 1
"REACTOME_SIGNALING_BY_GPCR" "REACTOME_SIGNALING_BY_GPCR" "REACTOME_SIGNALING_BY_GPCR" "2/4" "351/9391" 0.00795037603524871 0.0774717823785546 0.0427162709856692 "Gipr/Mgll" 2
"REACTOME_TRIGLYCERIDE_METABOLISM" "REACTOME_TRIGLYCERIDE_METABOLISM" "REACTOME_TRIGLYCERIDE_METABOLISM" "1/4" "19/9391" 0.00806961274850004 0.0774717823785546 0.0427162709856692 "Mgll" 1
"GOBP_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY" "GOBP_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY" "GOBP_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY" "1/4" "20/9391" 0.00849297185530817 0.0774717823785546 0.0427162709856692 "Gipr" 1
"GOBP_GLYCOSPHINGOLIPID_BIOSYNTHETIC_PROCESS" "GOBP_GLYCOSPHINGOLIPID_BIOSYNTHETIC_PROCESS" "GOBP_GLYCOSPHINGOLIPID_BIOSYNTHETIC_PROCESS" "1/4" "20/9391" 0.00849297185530817 0.0774717823785546 0.0427162709856692 "St3gal1" 1
"GOBP_REGULATION_OF_CAMP_MEDIATED_SIGNALING" "GOBP_REGULATION_OF_CAMP_MEDIATED_SIGNALING" "GOBP_REGULATION_OF_CAMP_MEDIATED_SIGNALING" "1/4" "20/9391" 0.00849297185530817 0.0774717823785546 0.0427162709856692 "Gipr" 1
