"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"IRF_Q6" "IRF_Q6" "IRF_Q6" "4/5" "165/9391" 4.5334653767721e-07 0.000252967368023883 0.000154615029692017 "Adar/Nrp1/Zbp1/Ube2l6" 4
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "3/5" "159/9391" 4.64588267506909e-05 0.00944536599271567 0.00577305901082791 "Adar/Zbp1/Ube2l6" 3
"GOBP_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY" "GOBP_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY" "GOBP_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY" "2/5" "24/9391" 6.23053069840006e-05 0.00944536599271567 0.00577305901082791 "Adar/Zbp1" 2
"GOBP_CORONARY_VASCULATURE_DEVELOPMENT" "GOBP_CORONARY_VASCULATURE_DEVELOPMENT" "GOBP_CORONARY_VASCULATURE_DEVELOPMENT" "2/5" "25/9391" 6.77087167936607e-05 0.00944536599271567 0.00577305901082791 "Nrp1/Prickle1" 2
"WP_CYTOSOLIC_DNASENSING_PATHWAY" "WP_CYTOSOLIC_DNASENSING_PATHWAY" "WP_CYTOSOLIC_DNASENSING_PATHWAY" "2/5" "50/9391" 0.00027500593897439 0.0306906627895419 0.018758299837411 "Adar/Zbp1" 2
"GOBP_ARTERY_DEVELOPMENT" "GOBP_ARTERY_DEVELOPMENT" "GOBP_ARTERY_DEVELOPMENT" "2/5" "57/9391" 0.000357758088952834 0.0332715022726136 0.0203357229510032 "Nrp1/Prickle1" 2
"GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "2/5" "76/9391" 0.000636264265928176 0.0467419083379055 0.0285689083219796 "Adar/Zbp1" 2
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "2/5" "78/9391" 0.000670134886564953 0.0467419083379055 0.0285689083219796 "Adar/Ube2l6" 2
"GOBP_TYPE_I_INTERFERON_PRODUCTION" "GOBP_TYPE_I_INTERFERON_PRODUCTION" "GOBP_TYPE_I_INTERFERON_PRODUCTION" "2/5" "98/9391" 0.00105612626993569 0.0654798287360128 0.0400216270712472 "Zbp1/Ube2l6" 2
"HNF1_01" "HNF1_01" "HNF1_01" "2/5" "120/9391" 0.00157906208869928 0.0880756217523316 0.0538322985243453 "Nrp1/Prickle1" 2
"GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS" "2/5" "129/9391" 0.00182235324706703 0.0880756217523316 0.0538322985243453 "Adar/Zbp1" 2
"HNF1_Q6" "HNF1_Q6" "HNF1_Q6" "2/5" "133/9391" 0.00193591298633699 0.0880756217523316 0.0538322985243453 "Nrp1/Prickle1" 2
