"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GATA1_03" "GATA1_03" "GATA1_03" "3/6" "149/9391" 7.56002827692479e-05 0.010467432776662 0.00762550462227944 "Furin/Ube2f/Ltbp1" 3
"GOBP_BLASTOCYST_FORMATION" "GOBP_BLASTOCYST_FORMATION" "GOBP_BLASTOCYST_FORMATION" "2/6" "22/9391" 7.81425254003328e-05 0.010467432776662 0.00762550462227944 "Furin/Hopx" 2
"GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION" "GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION" "GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION" "2/6" "25/9391" 0.000101397272919705 0.010467432776662 0.00762550462227944 "Furin/Ltbp1" 2
"REACTOME_ELASTIC_FIBRE_FORMATION" "REACTOME_ELASTIC_FIBRE_FORMATION" "REACTOME_ELASTIC_FIBRE_FORMATION" "2/6" "28/9391" 0.000127651619227585 0.010467432776662 0.00762550462227944 "Furin/Ltbp1" 2
"GOBP_BLASTOCYST_DEVELOPMENT" "GOBP_BLASTOCYST_DEVELOPMENT" "GOBP_BLASTOCYST_DEVELOPMENT" "2/6" "57/9391" 0.000534543998958768 0.0350660863316952 0.0255455763712927 "Furin/Hopx" 2
"GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY" "GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY" "GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY" "2/6" "118/9391" 0.00227213848196331 0.0996691318595329 0.0726087706422142 "Furin/Ltbp1" 2
"GOBP_CYTOKINE_PRODUCTION" "GOBP_CYTOKINE_PRODUCTION" "GOBP_CYTOKINE_PRODUCTION" "3/6" "485/9391" 0.00243523966312049 0.0996691318595329 0.0726087706422142 "Furin/Ltbp1/Ffar2" 3
"GATA1_02" "GATA1_02" "GATA1_02" "2/6" "137/9391" 0.00304978685732193 0.0996691318595329 0.0726087706422142 "Furin/Ube2f" 2
"GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA" "GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA" "GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA" "2/6" "151/9391" 0.00369266822164139 0.0996691318595329 0.0726087706422142 "Furin/Ltbp1" 2
"HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "2/6" "160/9391" 0.00413686535844088 0.0996691318595329 0.0726087706422142 "Furin/Hopx" 2
"CP2_02" "CP2_02" "CP2_02" "2/6" "162/9391" 0.00423883692978082 0.0996691318595329 0.0726087706422142 "Ltbp1/Ffar2" 2
"TATA_C" "TATA_C" "TATA_C" "2/6" "168/9391" 0.00455183027321974 0.0996691318595329 0.0726087706422142 "Ube2f/Ltbp1" 2
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION" "REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION" "REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION" "2/6" "180/9391" 0.0052094783012802 0.0996691318595329 0.0726087706422142 "Furin/Ltbp1" 2
