"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "17/56" "159/9391" 1.80217979812741e-17 3.5773268992829e-14 3.31601082855443e-14 "Cd86/Ddx60/Lgals3bp/Ifit2/Ifit3/P2ry14/Parp12/Rnf213/Gbp3/Rtp4/Oas2/Ifi35/Znfx1/Ifih1/Rsad2/Klrk1/Irf7" 17
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "12/56" "78/9391" 1.86590482638462e-14 1.85191054018673e-11 1.71663244027385e-11 "Oas1g/Ddx60/Lgals3bp/Ifit2/Ifit3/Parp12/Gbp3/Rtp4/Ifi35/Ifih1/Rsad2/Irf7" 12
"GOBP_RESPONSE_TO_VIRUS" "GOBP_RESPONSE_TO_VIRUS" "GOBP_RESPONSE_TO_VIRUS" "14/56" "238/9391" 6.94362470061294e-11 4.5943650102389e-08 4.25875648304261e-08 "Oas1g/Ddx60/Ifit2/Ifit3/Tlr7/Tspan6/Rtp4/Oas2/Ifih1/Rsad2/Gata3/Pim2/Tarbp2/Irf7" 14
"GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "12/56" "173/9391" 2.87937999793307e-10 1.42889232397429e-07 1.32451479904921e-07 "Oas1g/Ddx60/Ifit2/Ifit3/Tlr7/Tspan6/Rtp4/Oas2/Ifih1/Rsad2/Tarbp2/Irf7" 12
"GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "20/56" "682/9391" 8.23818252190989e-10 3.27055846119823e-07 3.03165116806284e-07 "Oas1g/Ddx60/Ifit2/Ifit3/Tlr7/Gbp3/Tspan6/Rtp4/Oas2/Smpdl3b/Ifi35/Ifih1/Muc13/Rsad2/Gata3/Tarbp2/Pparg/Klrk1/Irf7/Gbp5" 20
"GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "22/56" "895/9391" 2.47181980955615e-09 8.17760386994828e-07 7.58024741597221e-07 "Cd86/Oas1g/Ddx60/Ifit2/Ifit3/Tlr7/Gbp3/Tspan6/Rtp4/Oas2/Smpdl3b/Ifi35/Ifih1/Muc13/Rsad2/Gata3/Pim2/Tarbp2/Pparg/Klrk1/Irf7/Gbp5" 22
"GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "17/56" "546/9391" 9.08446342057389e-09 2.57609426997702e-06 2.38791609912228e-06 "Oas1g/Ddx60/Ifit2/Ifit3/Tlr7/Gbp3/Oas2/Smpdl3b/Ifi35/Ifih1/Muc13/Rsad2/Gata3/Pparg/Klrk1/Irf7/Gbp5" 17
"GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "22/56" "982/9391" 1.39852172147271e-08 3.47008202140417e-06 3.21659995938724e-06 "Oas1g/Ddx60/Lgals3bp/Ifit2/Ifit3/Tlr7/Gbp3/Tspan6/Rtp4/Oas2/Smpdl3b/Adora3/Ifi35/Ifih1/Muc13/Rsad2/Gata3/Tarbp2/Pparg/Klrk1/Irf7/Gbp5" 22
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "7/56" "59/9391" 4.88904923585739e-08 1.07830697035299e-05 9.99538954886399e-06 "Oas1g/Ifit2/Ifit3/Oas2/Ifi35/Rsad2/Irf7" 7
"REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "9/56" "151/9391" 2.25062656109472e-07 4.46749372377302e-05 4.14115287241428e-05 "Oas1g/Ifit2/Ifit3/Gbp3/Oas2/Ifi35/Rsad2/Irf7/Gbp5" 9
