"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "32/98" "159/9391" 2.10902534182111e-33 5.84410922218628e-30 5.06388084704625e-30 "Trim25/Cd86/Adar/Il4ra/Ddx60/Lgals3bp/Oasl1/Ifit2/Ifit3/P2ry14/Parp12/Rnf213/Usp18/Zbp1/Gbp3/Casp1/Bst2/Fgl2/Nod1/Rtp4/Parp14/Oas2/Tdrd7/Mx1/Ifi35/Znfx1/Ifih1/Rsad2/Tap1/Ube2l6/Klrk1/Irf7" 32
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "23/98" "78/9391" 3.73692318006196e-28 5.17750706597585e-25 4.48627461774807e-25 "Trim25/Adar/Il4ra/Oas1g/Ddx60/Lgals3bp/Oasl1/Ifit2/Ifit3/Parp12/Usp18/Gbp3/Casp1/Bst2/Rtp4/Parp14/Tdrd7/Ifi35/Ifih1/Rsad2/Tap1/Ube2l6/Irf7" 23
"GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "47/98" "982/9391" 3.63004068966469e-21 3.35294758368695e-18 2.90530625021935e-18 "Trim25/Adar/Il4ra/Oas1g/Ddx60/Lgals3bp/Oasl1/Ifit2/Il18rap/Ifit3/Pik3ap1/Ccr5/Tlr7/Usp18/Zbp1/Gbp3/Casp1/Bst2/Fgl2/Mgll/Tspan6/Nod1/Rtp4/Ifng/Parp14/Oas2/Mx1/Smpdl3b/Ociad2/Ifi35/Ifih1/Muc13/Klrd1/Rsad2/Pld4/Cxcr3/Mef2c/Plac8/Tap1/Gata3/Gbp5/Tarbp2/Pparg/Ffar2/Klrk1/Irf7/Il18r1" 47
"GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "44/98" "895/9391" 4.51591784082551e-20 3.12840208423187e-17 2.7107391039271e-17 "Trim25/Cd86/Adar/Il4ra/Oas1g/Ddx60/Oasl1/Ifit2/Il18rap/Cd80/Ifit3/Ccr5/Tlr7/Usp18/Zbp1/Gbp3/Casp1/Bst2/Fgl2/Tspan6/Nod1/Rtp4/Ifng/Parp14/Oas2/Mx1/Smpdl3b/Ociad2/Ifi35/Ifih1/Muc13/Klrd1/Rsad2/Pld4/Mef2c/Plac8/Gata3/Gbp5/Pim2/Tarbp2/Pparg/Ffar2/Klrk1/Irf7" 44
"GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "39/98" "682/9391" 7.5322848962967e-20 4.17439228952763e-17 3.61708249441111e-17 "Trim25/Adar/Il4ra/Oas1g/Ddx60/Oasl1/Ifit2/Il18rap/Ifit3/Tlr7/Usp18/Zbp1/Gbp3/Casp1/Bst2/Fgl2/Tspan6/Nod1/Rtp4/Ifng/Parp14/Oas2/Mx1/Smpdl3b/Ociad2/Ifi35/Ifih1/Muc13/Klrd1/Rsad2/Pld4/Plac8/Gata3/Gbp5/Tarbp2/Pparg/Ffar2/Klrk1/Irf7" 39
"GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "32/98" "546/9391" 2.14373885814686e-16 9.9005006265416e-14 8.57871637795262e-14 "Trim25/Adar/Oas1g/Ddx60/Oasl1/Ifit2/Il18rap/Ifit3/Tlr7/Usp18/Zbp1/Gbp3/Casp1/Bst2/Nod1/Ifng/Parp14/Oas2/Mx1/Smpdl3b/Ifi35/Ifih1/Muc13/Klrd1/Rsad2/Pld4/Gata3/Gbp5/Pparg/Ffar2/Klrk1/Irf7" 32
"GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "19/98" "173/9391" 1.00085040149638e-14 3.9619378036378e-12 3.43299212904246e-12 "Adar/Oas1g/Ddx60/Oasl1/Ifit2/Ifit3/Tlr7/Zbp1/Bst2/Fgl2/Tspan6/Rtp4/Ifng/Oas2/Mx1/Ifih1/Rsad2/Tarbp2/Irf7" 19
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "29/98" "512/9391" 1.93813208146604e-14 6.71320499717798e-12 5.81694641818951e-12 "Trim25/Cd86/Adar/Il4ra/Oas1g/Oasl1/Ifit2/Il18rap/Cd80/Ifit3/Ccr5/Usp18/Gbp3/Casp1/Bst2/Nod1/Ifng/Oas2/Mx1/Ifi35/Fscn1/Rsad2/Mef2c/Gata3/Gbp5/Ube2l6/Irf7/Il12rb2/Il18r1" 29
"GOBP_RESPONSE_TO_VIRUS" "GOBP_RESPONSE_TO_VIRUS" "GOBP_RESPONSE_TO_VIRUS" "21/98" "238/9391" 2.82638942248082e-14 8.70213898854929e-12 7.54034417857164e-12 "Adar/Oas1g/Ddx60/Oasl1/Ifit2/Ifit3/Tlr7/Zbp1/Bst2/Fgl2/Tspan6/Rtp4/Ifng/Oas2/Mx1/Ifih1/Rsad2/Gata3/Pim2/Tarbp2/Irf7" 21
"GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY" "GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY" "GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY" "29/98" "540/9391" 7.67874289585246e-14 2.12777965644072e-11 1.84370658373047e-11 "Trim25/Cd86/Adar/Il4ra/Oas1g/Oasl1/Ifit2/Il18rap/Cd80/Ifit3/Ccr5/Usp18/Zbp1/Casp1/Bst2/Nod1/Ifng/Parp14/Oas2/Mx1/Ifi35/Fscn1/Rsad2/Cxcr3/Gata3/Pparg/Irf7/Il12rb2/Il18r1" 29
