"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "8/20" "159/9391" 6.00179825428839e-10 5.90576948221978e-07 4.50450753190276e-07 "Trim25/Adar/Usp18/Zbp1/Bst2/Fgl2/Selp/Ube2l6" 8
"GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "12/20" "982/9391" 9.09725894194049e-08 4.47585139943472e-05 3.41386611873872e-05 "Trim25/Adar/Pik3ap1/Ccr5/Usp18/Zbp1/Bst2/Fgl2/Selp/Cxcr3/Plac8/Ffar2" 12
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "5/20" "78/9391" 4.88324489360617e-07 0.000160170432510283 0.0001221667933032 "Trim25/Adar/Usp18/Bst2/Ube2l6" 5
"GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "9/20" "682/9391" 4.32223206477177e-06 0.000878614175785006 0.000670145386536916 "Trim25/Adar/Usp18/Zbp1/Bst2/Fgl2/Selp/Plac8/Ffar2" 9
"GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "10/20" "895/9391" 4.46450292573682e-06 0.000878614175785006 0.000670145386536916 "Trim25/Adar/Ccr5/Usp18/Zbp1/Bst2/Fgl2/Selp/Plac8/Ffar2" 10
"GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY" "GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY" "GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY" "8/20" "540/9391" 7.72298707444465e-06 0.00126656988020892 0.000966050839312112 "Trim25/Adar/Ccr5/Usp18/Zbp1/Bst2/Cxcr3/Il12rb2" 8
"REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "5/20" "151/9391" 1.2833883979317e-05 0.00162914484931492 0.00124259764394687 "Trim25/Adar/Usp18/Bst2/Ube2l6" 5
"GOBP_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY" "GOBP_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY" "GOBP_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY" "3/20" "24/9391" 1.62508418649432e-05 0.00162914484931492 0.00124259764394687 "Adar/Usp18/Zbp1" 3
"GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "4/20" "76/9391" 1.73955681089537e-05 0.00162914484931492 0.00124259764394687 "Adar/Usp18/Zbp1/Bst2" 4
"WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "3/20" "25/9391" 1.8441788750806e-05 0.00162914484931492 0.00124259764394687 "Ccr5/Cxcr3/Il12rb2" 3
"IRF_Q6" "IRF_Q6" "IRF_Q6" "5/20" "165/9391" 1.97339261868183e-05 0.00162914484931492 0.00124259764394687 "Adar/Nrp1/Zbp1/Bst2/Ube2l6" 5
"ICSBP_Q6" "ICSBP_Q6" "ICSBP_Q6" "5/20" "166/9391" 2.03194573298976e-05 0.00162914484931492 0.00124259764394687 "Adar/Usp18/Zbp1/Itpr1/Bst2" 5
"GOBP_INFLAMMATORY_RESPONSE" "GOBP_INFLAMMATORY_RESPONSE" "GOBP_INFLAMMATORY_RESPONSE" "7/20" "440/9391" 2.1523255123063e-05 0.00162914484931492 0.00124259764394687 "Pik3ap1/Ccr5/Usp18/Zbp1/Selp/Cxcr3/Ffar2" 7
"GOBP_CELL_CHEMOTAXIS" "GOBP_CELL_CHEMOTAXIS" "GOBP_CELL_CHEMOTAXIS" "5/20" "171/9391" 2.34537676806639e-05 0.00164846481412666 0.00125733356062507 "Nrp1/Ccr5/Ch25h/Cxcr3/Ffar2" 5
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "7/20" "512/9391" 5.71857766773912e-05 0.00375138695003686 0.00286129535234947 "Trim25/Adar/Ccr5/Usp18/Bst2/Ube2l6/Il12rb2" 7
"GOBP_CALCIUM_MEDIATED_SIGNALING" "GOBP_CALCIUM_MEDIATED_SIGNALING" "GOBP_CALCIUM_MEDIATED_SIGNALING" "4/20" "117/9391" 9.50365258627218e-05 0.0056045421974553 0.0042747524462833 "Ccr5/Itpr1/Selp/Cxcr3" 4
"GOBP_VIRAL_LIFE_CYCLE" "GOBP_VIRAL_LIFE_CYCLE" "GOBP_VIRAL_LIFE_CYCLE" "5/20" "230/9391" 9.68264404031912e-05 0.0056045421974553 0.0042747524462833 "Trim25/Adar/Nrp1/Ccr5/Bst2" 5
"GOBP_RESPONSE_TO_CYTOKINE" "GOBP_RESPONSE_TO_CYTOKINE" "GOBP_RESPONSE_TO_CYTOKINE" "8/20" "787/9391" 0.000118793834420301 0.00649406294830978 0.00495321660477629 "Trim25/Adar/Ccr5/Usp18/Zbp1/Bst2/Cxcr3/Il12rb2" 8
"GOBP_LEUKOCYTE_CHEMOTAXIS" "GOBP_LEUKOCYTE_CHEMOTAXIS" "GOBP_LEUKOCYTE_CHEMOTAXIS" "4/20" "127/9391" 0.00013067811338827 0.00676775071442408 0.00516196647345354 "Ccr5/Ch25h/Cxcr3/Ffar2" 4
"WP_CYTOSOLIC_DNASENSING_PATHWAY" "WP_CYTOSOLIC_DNASENSING_PATHWAY" "WP_CYTOSOLIC_DNASENSING_PATHWAY" "3/20" "50/9391" 0.000151907384404854 0.00747384331271883 0.00570052447792953 "Trim25/Adar/Zbp1" 3
"GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS" "GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS" "GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS" "7/20" "609/9391" 0.000171523583629484 0.00775100064126931 0.00591192068594888 "Trim25/Nrp1/Bst2/Fgl2/Prickle1/Plac8/Ube2l6" 7
"GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "7/20" "610/9391" 0.000173294729784476 0.00775100064126931 0.00591192068594888 "Adar/Nrp1/Pik3ap1/Usp18/Zbp1/Fgl2/Ffar2" 7
"GOBP_REGULATION_OF_DEFENSE_RESPONSE" "GOBP_REGULATION_OF_DEFENSE_RESPONSE" "GOBP_REGULATION_OF_DEFENSE_RESPONSE" "6/20" "426/9391" 0.000189361884669798 0.00810139541369917 0.00617917728922498 "Adar/Pik3ap1/Usp18/Zbp1/Fgl2/Ffar2" 6
"GOBP_LEUKOCYTE_MIGRATION" "GOBP_LEUKOCYTE_MIGRATION" "GOBP_LEUKOCYTE_MIGRATION" "5/20" "268/9391" 0.00019882409541199 0.00815178791189158 0.00621761315915565 "Ccr5/Ch25h/Selp/Cxcr3/Ffar2" 5
"GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS" "5/20" "280/9391" 0.000243919277297882 0.00941972011626343 0.00718470308397072 "Adar/Usp18/Zbp1/Fgl2/Ffar2" 5
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "3/20" "59/9391" 0.000248895043722408 0.00941972011626343 0.00718470308397072 "Adar/Usp18/Bst2" 3
"REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "3/20" "60/9391" 0.000261639100754498 0.00953529167194169 0.00727285297613867 "Trim25/Usp18/Ube2l6" 3
"GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS" "GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS" "GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS" "8/20" "908/9391" 0.000323381409685257 0.0113063884737953 0.00862372163223799 "Adar/Usp18/Zbp1/Bst2/Fgl2/Selp/Cxcr3/Ffar2" 8
"IRF7_01" "IRF7_01" "IRF7_01" "4/20" "162/9391" 0.000333216733475675 0.0113063884737953 0.00862372163223799 "Adar/Nrp1/Usp18/Bst2" 4
"REACTOME_INNATE_IMMUNE_SYSTEM" "REACTOME_INNATE_IMMUNE_SYSTEM" "REACTOME_INNATE_IMMUNE_SYSTEM" "7/20" "682/9391" 0.000346558734947822 0.0113671265062886 0.00867004835150166 "Trim25/Zbp1/Itpr1/Bst2/Fgl2/Plac8/Ube2l6" 7
"GOBP_CYTOKINE_PRODUCTION" "GOBP_CYTOKINE_PRODUCTION" "GOBP_CYTOKINE_PRODUCTION" "6/20" "485/9391" 0.00038318437446697 0.012163013692758 0.0092770953818319 "Trim25/Zbp1/Bst2/Ube2l6/Ffar2/Il12rb2" 6
"GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "4/20" "173/9391" 0.000427896040426893 0.013157803243127 0.0100358512113281 "Adar/Zbp1/Bst2/Fgl2" 4
"GOBP_SECOND_MESSENGER_MEDIATED_SIGNALING" "GOBP_SECOND_MESSENGER_MEDIATED_SIGNALING" "GOBP_SECOND_MESSENGER_MEDIATED_SIGNALING" "4/20" "178/9391" 0.00047674341200622 0.0142156217398218 0.0108426811087858 "Ccr5/Itpr1/Selp/Cxcr3" 4
"GOBP_RESPONSE_TO_INTERFERON_ALPHA" "GOBP_RESPONSE_TO_INTERFERON_ALPHA" "GOBP_RESPONSE_TO_INTERFERON_ALPHA" "2/20" "16/9391" 0.00050794367595542 0.0147004875629451 0.0112125028159819 "Adar/Bst2" 2
"WP_PEPTIDE_GPCRS" "WP_PEPTIDE_GPCRS" "WP_PEPTIDE_GPCRS" "2/20" "17/9391" 0.000574934572496141 0.0161638748381772 0.0123286721861579 "Ccr5/Cxcr3" 2
"GOBP_TAXIS" "GOBP_TAXIS" "GOBP_TAXIS" "5/20" "352/9391" 0.000699904799121666 0.0191307311759922 0.0145915825080043 "Nrp1/Ccr5/Ch25h/Cxcr3/Ffar2" 5
"GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "6/20" "546/9391" 0.000722098091847028 0.0192039060102021 0.0146473951489881 "Trim25/Adar/Usp18/Zbp1/Bst2/Ffar2" 6
"GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE" "GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE" "GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE" "4/20" "207/9391" 0.000841942202167564 0.0218018717613917 0.0166289415552763 "Pik3ap1/Usp18/Zbp1/Ffar2" 4
"GOBP_NEGATIVE_REGULATION_OF_VIRAL_LIFE_CYCLE" "GOBP_NEGATIVE_REGULATION_OF_VIRAL_LIFE_CYCLE" "GOBP_NEGATIVE_REGULATION_OF_VIRAL_LIFE_CYCLE" "2/20" "21/9391" 0.000883242754620429 0.022284894116577 0.0169973571941799 "Trim25/Bst2" 2
"WP_GPCRS_CLASS_A_RHODOPSINLIKE" "WP_GPCRS_CLASS_A_RHODOPSINLIKE" "WP_GPCRS_CLASS_A_RHODOPSINLIKE" "3/20" "92/9391" 0.000919318609134172 0.0224860062226888 0.017150751430014 "Ccr5/Cxcr3/Ffar2" 3
"GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE" "GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE" "GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE" "4/20" "213/9391" 0.000936916925945368 0.0224860062226888 0.017150751430014 "Adar/Usp18/Zbp1/Ffar2" 4
"GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE" "GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE" "GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE" "3/20" "96/9391" 0.00104029805855449 0.0243726973718481 0.0185897873621391 "Trim25/Adar/Bst2" 3
"GOBP_TYPE_I_INTERFERON_PRODUCTION" "GOBP_TYPE_I_INTERFERON_PRODUCTION" "GOBP_TYPE_I_INTERFERON_PRODUCTION" "3/20" "98/9391" 0.00110439533208469 0.0247368028977181 0.018867501568328 "Trim25/Zbp1/Ube2l6" 3
"GOBP_CELL_MIGRATION" "GOBP_CELL_MIGRATION" "GOBP_CELL_MIGRATION" "7/20" "832/9391" 0.00115617782239446 0.0247368028977181 0.018867501568328 "Nrp1/Ccr5/Ch25h/Bst2/Selp/Cxcr3/Ffar2" 7
"REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS" "REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS" "REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS" "2/20" "24/9391" 0.00115639525741365 0.0247368028977181 0.018867501568328 "Pik3ap1/Itpr1" 2
"REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS" "REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS" "REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS" "2/20" "24/9391" 0.00115639525741365 0.0247368028977181 0.018867501568328 "Trim25/Ube2l6" 2
"GOBP_CORONARY_VASCULATURE_DEVELOPMENT" "GOBP_CORONARY_VASCULATURE_DEVELOPMENT" "GOBP_CORONARY_VASCULATURE_DEVELOPMENT" "2/20" "25/9391" 0.00125534773294955 0.0257346285254657 0.0196285731051102 "Nrp1/Prickle1" 2
"REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING" "REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING" "REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING" "2/20" "25/9391" 0.00125534773294955 0.0257346285254657 0.0196285731051102 "Trim25/Ube2l6" 2
"GOBP_ENTRY_INTO_HOST" "GOBP_ENTRY_INTO_HOST" "GOBP_ENTRY_INTO_HOST" "3/20" "104/9391" 0.00131155852159873 0.0263382364337378 0.0200889629624038 "Trim25/Nrp1/Ccr5" 3
"GOBP_RESPONSE_TO_VIRUS" "GOBP_RESPONSE_TO_VIRUS" "GOBP_RESPONSE_TO_VIRUS" "4/20" "238/9391" 0.00141540183594146 0.0278551081313279 0.021245926505816 "Adar/Zbp1/Bst2/Fgl2" 4
"REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES" "REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES" "REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES" "2/20" "27/9391" 0.00146501198446627 0.0282661135826434 0.0215594126919392 "Ccr5/Cxcr3" 2
"REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE" "REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE" "REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE" "2/20" "29/9391" 0.0016902523580528 0.0319847753908452 0.0243957475969968 "Trim25/Ube2l6" 2
"GOBP_MONONUCLEAR_CELL_MIGRATION" "GOBP_MONONUCLEAR_CELL_MIGRATION" "GOBP_MONONUCLEAR_CELL_MIGRATION" "3/20" "116/9391" 0.00179597855634632 0.0329580804225764 0.0251381165396844 "Ccr5/Ch25h/Cxcr3" 3
"GOBP_TRANSLESION_SYNTHESIS" "GOBP_TRANSLESION_SYNTHESIS" "GOBP_TRANSLESION_SYNTHESIS" "2/20" "30/9391" 0.00180867514514139 0.0329580804225764 0.0251381165396844 "Trim25/Ube2l6" 2
"GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION" "GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION" "GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION" "2/20" "31/9391" 0.00193094591268045 0.0345463777832284 0.0263495585787782 "Trim25/Ube2l6" 2
"GOBP_MOVEMENT_IN_HOST_ENVIRONMENT" "GOBP_MOVEMENT_IN_HOST_ENVIRONMENT" "GOBP_MOVEMENT_IN_HOST_ENVIRONMENT" "3/20" "120/9391" 0.00197921087830138 0.0347775625758671 0.0265258901546783 "Trim25/Nrp1/Ccr5" 3
"GOBP_REGULATION_OF_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION" "GOBP_REGULATION_OF_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION" "GOBP_REGULATION_OF_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION" "3/20" "124/9391" 0.00217375192680353 0.0375258227363978 0.02862207061516 "Trim25/Adar/Bst2" 3
"GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS" "3/20" "129/9391" 0.00243320546714163 0.0396536542104609 0.0302450315062672 "Adar/Usp18/Zbp1" 3
"STTTCRNTTT_IRF_Q6" "STTTCRNTTT_IRF_Q6" "STTTCRNTTT_IRF_Q6" "3/20" "129/9391" 0.00243320546714163 0.0396536542104609 0.0302450315062672 "Usp18/Zbp1/Bst2" 3
"GOBP_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR" "GOBP_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR" "GOBP_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR" "2/20" "35/9391" 0.00245820417361597 0.0396536542104609 0.0302450315062672 "Trim25/Ube2l6" 2
