"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE" "GOBP_ADAPTIVE_IMMUNE_RESPONSE" "GOBP_ADAPTIVE_IMMUNE_RESPONSE" "7/25" "276/9391" 5.35667971804455e-06 0.00579540509025116 0.00465783317443958 "Il18r1/Cd80/Tap1/Eomes/Mef2c/Ifng/Klrd1" 7
"GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "11/25" "895/9391" 7.04608521611084e-06 0.00579540509025116 0.00465783317443958 "Cd80/Smpdl3b/Pld4/Mef2c/Nod1/Pim2/Ifng/Klrd1/Adar/Ociad2/Muc13" 11
"GOBP_T_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE" "GOBP_T_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE" "GOBP_T_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE" "4/25" "59/9391" 1.61087055920677e-05 0.00710127725598461 0.00570737752904602 "Il18r1/Cd80/Eomes/Ifng" 4
"GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "11/25" "982/9391" 1.72675434795978e-05 0.00710127725598461 0.00570737752904602 "Il18r1/Smpdl3b/Tap1/Pld4/Mef2c/Nod1/Ifng/Klrd1/Adar/Ociad2/Muc13" 11
"GOBP_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE" "GOBP_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE" "GOBP_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE" "5/25" "142/9391" 3.06722047184758e-05 0.00953867176930026 0.0076663393007462 "Il18r1/Cd80/Eomes/St3gal1/Ifng" 5
"GOBP_IMMUNE_SYSTEM_DEVELOPMENT" "GOBP_IMMUNE_SYSTEM_DEVELOPMENT" "GOBP_IMMUNE_SYSTEM_DEVELOPMENT" "9/25" "675/9391" 3.47915079731316e-05 0.00953867176930026 0.0076663393007462 "Il18r1/Cd80/Pld4/Eomes/Mef2c/St3gal1/Ifng/Adar/Ociad2" 9
"GOBP_T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE" "GOBP_T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE" "GOBP_T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE" "4/25" "84/9391" 6.52993464448292e-05 0.0147246784210564 0.0118343919992621 "Il18r1/Cd80/Eomes/Ifng" 4
"GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION" "GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION" "GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION" "4/25" "86/9391" 7.16093783394842e-05 0.0147246784210564 0.0118343919992621 "Il18r1/Cd80/Eomes/Ifng" 4
"GOBP_REGULATION_OF_DEFENSE_RESPONSE" "GOBP_REGULATION_OF_DEFENSE_RESPONSE" "GOBP_REGULATION_OF_DEFENSE_RESPONSE" "7/25" "426/9391" 8.87624662564233e-05 0.016223806332424 0.0130392582009436 "Smpdl3b/Mef2c/Nod1/Ifng/Klrd1/Adar/Muc13" 7
"GOBP_POSITIVE_REGULATION_OF_GENE_EXPRESSION" "GOBP_POSITIVE_REGULATION_OF_GENE_EXPRESSION" "GOBP_POSITIVE_REGULATION_OF_GENE_EXPRESSION" "8/25" "635/9391" 0.000161164233095251 0.0265115163441688 0.0213076080808037 "Il18r1/Cd80/Id1/Mef2c/Nod1/Ifng/Ntrk3/Adar" 8
"REACTOME_SIGNALING_BY_INTERLEUKINS" "REACTOME_SIGNALING_BY_INTERLEUKINS" "REACTOME_SIGNALING_BY_INTERLEUKINS" "6/25" "329/9391" 0.000177865070199938 0.0265989127708089 0.0213778495857533 "Il18r1/Cd80/Mef2c/Nod1/Ifng/Fscn1" 6
"GOBP_ALPHA_BETA_T_CELL_ACTIVATION" "GOBP_ALPHA_BETA_T_CELL_ACTIVATION" "GOBP_ALPHA_BETA_T_CELL_ACTIVATION" "4/25" "115/9391" 0.000221313590867113 0.0303384047480333 0.0243833219411485 "Il18r1/Cd80/Eomes/Ifng" 4
"GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "8/25" "682/9391" 0.000264335430877336 0.0310710599317191 0.02497216526907 "Smpdl3b/Pld4/Nod1/Ifng/Klrd1/Adar/Ociad2/Muc13" 8
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "7/25" "512/9391" 0.000279386533315157 0.0310710599317191 0.02497216526907 "Il18r1/Cd80/Mef2c/Nod1/Ifng/Fscn1/Adar" 7
"GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE" "GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE" "GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE" "5/25" "230/9391" 0.00030023293059602 0.0310710599317191 0.02497216526907 "Mef2c/Nod1/Ifng/Klrd1/Muc13" 5
"REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS" "REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS" "REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS" "2/25" "10/9391" 0.000302210917269 0.0310710599317191 0.02497216526907 "St3gal1/Muc13" 2
"GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE" "GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE" "GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE" "4/25" "130/9391" 0.000353973593328502 0.0342521506485521 0.0275288441622662 "Il18r1/Cd80/Mef2c/Klrd1" 4
"GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "7/25" "546/9391" 0.00041411051902077 0.0378451002105092 0.0304165387070226 "Smpdl3b/Pld4/Nod1/Ifng/Klrd1/Adar/Muc13" 7
"WP_CONTROL_OF_IMMUNE_TOLERANCE_BY_VASOACTIVE_INTESTINAL_PEPTIDE" "WP_CONTROL_OF_IMMUNE_TOLERANCE_BY_VASOACTIVE_INTESTINAL_PEPTIDE" "WP_CONTROL_OF_IMMUNE_TOLERANCE_BY_VASOACTIVE_INTESTINAL_PEPTIDE" "2/25" "12/9391" 0.000441797664211531 0.0382503767172615 0.0307422640581542 "Cd80/Ifng" 2
"GOBP_REGULATION_OF_IMMUNE_RESPONSE" "GOBP_REGULATION_OF_IMMUNE_RESPONSE" "GOBP_REGULATION_OF_IMMUNE_RESPONSE" "7/25" "570/9391" 0.000537589031247928 0.0442166978201421 0.035537464381442 "Il18r1/Cd80/Mef2c/Ifng/Klrd1/Adar/Muc13" 7
