"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "29/63" "159/9391" 1.41087447668733e-35 2.54239580699057e-32 2.26185455578401e-32 "Oas2/Oasl1/Ube2l6/Mx1/Rnf213/Ifi35/Znfx1/Tdrd7/Zbp1/Ifih1/Il4ra/P2ry14/Cd86/Fgl2/Trim25/Casp1/Klrk1/Bst2/Rtp4/Parp12/Ifit3/Gbp3/Parp14/Rsad2/Ddx60/Ifit2/Lgals3bp/Irf7/Usp18" 29
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "21/63" "78/9391" 2.31115722120542e-29 2.08235265630608e-26 1.85257497257677e-26 "Oasl1/Ube2l6/Ifi35/Tdrd7/Ifih1/Il4ra/Trim25/Casp1/Bst2/Rtp4/Parp12/Oas1g/Ifit3/Gbp3/Parp14/Rsad2/Ddx60/Ifit2/Lgals3bp/Irf7/Usp18" 21
"GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "30/63" "682/9391" 3.20334747363089e-18 1.92414404916096e-15 1.71182393064556e-15 "Oas2/Oasl1/Mx1/Gbp5/Ifi35/Tspan6/Zbp1/Ifih1/Il4ra/Il18rap/Tarbp2/Fgl2/Trim25/Casp1/Pparg/Klrk1/Bst2/Rtp4/Tlr7/Oas1g/Ifit3/Gata3/Gbp3/Parp14/Rsad2/Ddx60/Ifit2/Plac8/Irf7/Usp18" 30
"GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "34/63" "982/9391" 1.02345840101467e-17 4.61068009657109e-15 4.10191353880353e-15 "Oas2/Oasl1/Mx1/Gbp5/Ifi35/Tspan6/Zbp1/Ifih1/Il4ra/Il18rap/Tarbp2/Fgl2/Pik3ap1/Trim25/Casp1/Ccr5/Pparg/Mgll/Klrk1/Bst2/Rtp4/Tlr7/Oas1g/Ifit3/Gata3/Gbp3/Parp14/Rsad2/Ddx60/Ifit2/Plac8/Lgals3bp/Irf7/Usp18" 34
"GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "32/63" "895/9391" 6.48290191720088e-17 2.3364378509592e-14 2.07862307787304e-14 "Oas2/Oasl1/Mx1/Gbp5/Ifi35/Tspan6/Zbp1/Ifih1/Il4ra/Il18rap/Tarbp2/Cd86/Fgl2/Trim25/Casp1/Ccr5/Pparg/Klrk1/Bst2/Rtp4/Tlr7/Oas1g/Ifit3/Gata3/Gbp3/Parp14/Rsad2/Ddx60/Ifit2/Plac8/Irf7/Usp18" 32
"GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "17/63" "173/9391" 7.1271251965895e-16 2.14051326737571e-13 1.90431783761506e-13 "Oas2/Oasl1/Mx1/Tspan6/Zbp1/Ifih1/Tarbp2/Fgl2/Bst2/Rtp4/Tlr7/Oas1g/Ifit3/Rsad2/Ddx60/Ifit2/Irf7" 17
"GOBP_RESPONSE_TO_VIRUS" "GOBP_RESPONSE_TO_VIRUS" "GOBP_RESPONSE_TO_VIRUS" "18/63" "238/9391" 9.19634834135825e-15 2.36740281587537e-12 2.10617120659979e-12 "Oas2/Oasl1/Mx1/Tspan6/Zbp1/Ifih1/Tarbp2/Fgl2/Bst2/Rtp4/Tlr7/Oas1g/Ifit3/Gata3/Rsad2/Ddx60/Ifit2/Irf7" 18
"GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "24/63" "546/9391" 2.51836160033544e-14 5.67260950475557e-12 5.04666410172483e-12 "Oas2/Oasl1/Mx1/Gbp5/Ifi35/Zbp1/Ifih1/Il18rap/Trim25/Casp1/Pparg/Klrk1/Bst2/Tlr7/Oas1g/Ifit3/Gata3/Gbp3/Parp14/Rsad2/Ddx60/Ifit2/Irf7/Usp18" 24
"REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "15/63" "151/9391" 3.87067699250188e-14 7.74995548943154e-12 6.89478486500627e-12 "Oas2/Oasl1/Ube2l6/Mx1/Gbp5/Ifi35/Trim25/Bst2/Oas1g/Ifit3/Gbp3/Rsad2/Ifit2/Irf7/Usp18" 15
"GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "12/63" "76/9391" 6.14620408850357e-14 1.10754597674834e-11 9.85333560714836e-12 "Oas2/Oasl1/Mx1/Ifi35/Zbp1/Bst2/Oas1g/Ifit3/Rsad2/Ifit2/Irf7/Usp18" 12
