"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GOBP_NEGATIVE_REGULATION_OF_CHEMOTAXIS" "GOBP_NEGATIVE_REGULATION_OF_CHEMOTAXIS" "GOBP_NEGATIVE_REGULATION_OF_CHEMOTAXIS" "3/7" "34/9391" 1.5028203127662e-06 0.000840076554836307 0.000514122738577911 "Sema4b/Klrk1/Nrp1" 3
"GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "3/7" "76/9391" 1.74189432599455e-05 0.00399031418844166 0.00244205274690432 "Oas1g/Ifi35/Zbp1" 3
"GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "5/7" "610/9391" 2.14149240882379e-05 0.00399031418844166 0.00244205274690432 "Ifi35/Sema4b/Klrk1/Zbp1/Nrp1" 5
"GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION_INVOLVED_IN_AXON_GUIDANCE" "GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION_INVOLVED_IN_AXON_GUIDANCE" "GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION_INVOLVED_IN_AXON_GUIDANCE" "2/7" "13/9391" 3.70058016840417e-05 0.00471506379752266 0.0028855959593162 "Sema4b/Nrp1" 2
"GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "4/7" "319/9391" 4.21740947900059e-05 0.00471506379752266 0.0028855959593162 "Ifi35/Klrk1/Zbp1/Nrp1" 4
"GOBP_REGULATION_OF_CHEMOTAXIS" "GOBP_REGULATION_OF_CHEMOTAXIS" "GOBP_REGULATION_OF_CHEMOTAXIS" "3/7" "125/9391" 7.75011830011766e-05 0.00617062948533319 0.00377639503386364 "Sema4b/Klrk1/Nrp1" 3
"GOBP_NEURON_PROJECTION_EXTENSION_INVOLVED_IN_NEURON_PROJECTION_GUIDANCE" "GOBP_NEURON_PROJECTION_EXTENSION_INVOLVED_IN_NEURON_PROJECTION_GUIDANCE" "GOBP_NEURON_PROJECTION_EXTENSION_INVOLVED_IN_NEURON_PROJECTION_GUIDANCE" "2/7" "20/9391" 8.99184452617939e-05 0.00617062948533319 0.00377639503386364 "Sema4b/Nrp1" 2
"WP_THE_HUMAN_IMMUNE_RESPONSE_TO_TUBERCULOSIS" "WP_THE_HUMAN_IMMUNE_RESPONSE_TO_TUBERCULOSIS" "WP_THE_HUMAN_IMMUNE_RESPONSE_TO_TUBERCULOSIS" "2/7" "20/9391" 8.99184452617939e-05 0.00617062948533319 0.00377639503386364 "Oas1g/Ifi35" 2
"GOBP_SEMAPHORIN_PLEXIN_SIGNALING_PATHWAY" "GOBP_SEMAPHORIN_PLEXIN_SIGNALING_PATHWAY" "GOBP_SEMAPHORIN_PLEXIN_SIGNALING_PATHWAY" "2/7" "21/9391" 9.93482385831819e-05 0.00617062948533319 0.00377639503386364 "Sema4b/Nrp1" 2
"GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION" "GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION" "GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION" "2/7" "23/9391" 0.000119605942890258 0.00668597220756541 0.00409178225677198 "Sema4b/Nrp1" 2
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "3/7" "159/9391" 0.000158585717582816 0.00785674719125145 0.00480829081471937 "Ifi35/Klrk1/Zbp1" 3
"IRF_Q6" "IRF_Q6" "IRF_Q6" "3/7" "165/9391" 0.000177004495807341 0.00785674719125145 0.00480829081471937 "Ifi35/Zbp1/Nrp1" 3
"GOBP_NEURAL_CREST_CELL_MIGRATION" "GOBP_NEURAL_CREST_CELL_MIGRATION" "GOBP_NEURAL_CREST_CELL_MIGRATION" "2/7" "29/9391" 0.000191527978030382 0.00785674719125145 0.00480829081471937 "Sema4b/Nrp1" 2
"GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS" "3/7" "171/9391" 0.000196770054879285 0.00785674719125145 0.00480829081471937 "Ifi35/Klrk1/Zbp1" 3
"GOBP_NEGATIVE_REGULATION_OF_LOCOMOTION" "GOBP_NEGATIVE_REGULATION_OF_LOCOMOTION" "GOBP_NEGATIVE_REGULATION_OF_LOCOMOTION" "3/7" "178/9391" 0.000221590377055849 0.00825793471828131 0.00505381561706323 "Sema4b/Klrk1/Nrp1" 3
"GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "4/7" "546/9391" 0.000343551462952763 0.0114536375664646 0.00700957011411543 "Oas1g/Ifi35/Klrk1/Zbp1" 4
"GOBP_NEGATIVE_REGULATION_OF_AXONOGENESIS" "GOBP_NEGATIVE_REGULATION_OF_AXONOGENESIS" "GOBP_NEGATIVE_REGULATION_OF_AXONOGENESIS" "2/7" "39/9391" 0.000348321714901428 0.0114536375664646 0.00700957011411543 "Sema4b/Nrp1" 2
"GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE" "GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE" "GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE" "3/7" "213/9391" 0.000376465102386027 0.0116913329018772 0.00715503849564087 "Ifi35/Klrk1/Zbp1" 3
"GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "3/7" "223/9391" 0.000430893263478132 0.012677333383383 0.00775846596290266 "Sema4b/Klrk1/Nrp1" 3
"GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE" "GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE" "GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE" "3/7" "230/9391" 0.000471880656513473 0.0131890643495516 0.00807164280878308 "Ifi35/Klrk1/Zbp1" 3
"GOBP_NEURAL_CREST_CELL_DIFFERENTIATION" "GOBP_NEURAL_CREST_CELL_DIFFERENTIATION" "GOBP_NEURAL_CREST_CELL_DIFFERENTIATION" "2/7" "49/9391" 0.000550839748992424 0.0146628295088936 0.00897357987080389 "Sema4b/Nrp1" 2
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "2/7" "59/9391" 0.00079858845069487 0.0195563981910252 0.0119684199455479 "Oas1g/Ifi35" 2
"GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "4/7" "682/9391" 0.000808091537135015 0.0195563981910252 0.0119684199455479 "Oas1g/Ifi35/Klrk1/Zbp1" 4
"GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS" "3/7" "280/9391" 0.00083963069156459 0.0195563981910252 0.0119684199455479 "Ifi35/Klrk1/Zbp1" 3
"GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH" "GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH" "GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH" "2/7" "63/9391" 0.000910242550601847 0.0203530234314573 0.0124559506924463 "Sema4b/Nrp1" 2
"GOBP_REGULATION_OF_EXTENT_OF_CELL_GROWTH" "GOBP_REGULATION_OF_EXTENT_OF_CELL_GROWTH" "GOBP_REGULATION_OF_EXTENT_OF_CELL_GROWTH" "2/7" "67/9391" 0.00102902380256981 0.0221240117552509 0.0135397868759185 "Sema4b/Nrp1" 2
