"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "16/45" "159/9391" 8.9940232570754e-18 1.55236841417121e-14 1.41158828171573e-14 "Ddx60/Oas2/Ifit2/Ifit3/Znfx1/Lgals3bp/Parp14/Tap1/Gbp3/Cd86/P2ry14/Irf7/Rnf213/Parp12/Rtp4/Rsad2" 16
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "11/45" "78/9391" 5.06039170031108e-14 4.36711803736846e-11 3.9710758027178e-11 "Ddx60/Ifit2/Ifit3/Lgals3bp/Parp14/Tap1/Gbp3/Irf7/Parp12/Rtp4/Rsad2" 11
"GOBP_RESPONSE_TO_VIRUS" "GOBP_RESPONSE_TO_VIRUS" "GOBP_RESPONSE_TO_VIRUS" "12/45" "238/9391" 7.30533039876202e-10 4.20300008942108e-07 3.8218412717734e-07 "Ddx60/Oas2/Ifit2/Ifit3/Tspan6/Tarbp2/Pim2/Irf7/Tlr7/Rtp4/Gata3/Rsad2" 12
"GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "GOBP_DEFENSE_RESPONSE_TO_VIRUS" "10/45" "173/9391" 6.34299048099884e-09 2.737000392551e-06 2.48878915978139e-06 "Ddx60/Oas2/Ifit2/Ifit3/Tspan6/Tarbp2/Irf7/Tlr7/Rtp4/Rsad2" 10
"GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "GOBP_DEFENSE_RESPONSE" "19/45" "982/9391" 3.39337337666078e-08 1.1713924896233e-05 1.06516204307394e-05 "Ddx60/Oas2/Ifit2/Ifit3/Smpdl3b/Lgals3bp/Parp14/Tspan6/Tap1/Gbp3/Tarbp2/Pparg/Muc13/Il18r1/Irf7/Tlr7/Rtp4/Gata3/Rsad2" 19
"GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM" "16/45" "682/9391" 4.43517423317839e-08 1.25091004169354e-05 1.13746836138627e-05 "Ddx60/Oas2/Ifit2/Ifit3/Smpdl3b/Parp14/Tspan6/Gbp3/Tarbp2/Pparg/Muc13/Irf7/Tlr7/Rtp4/Gata3/Rsad2" 16
"GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "GOBP_RESPONSE_TO_BIOTIC_STIMULUS" "18/45" "895/9391" 5.07321569632373e-08 1.25091004169354e-05 1.13746836138627e-05 "Ddx60/Oas2/Ifit2/Ifit3/Smpdl3b/Parp14/Tspan6/Gbp3/Tarbp2/Pparg/Muc13/Cd86/Pim2/Irf7/Tlr7/Rtp4/Gata3/Rsad2" 18
"GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "GOBP_INNATE_IMMUNE_RESPONSE" "13/45" "546/9391" 9.81032399422361e-07 0.000211657740175374 0.000192463066781413 "Ddx60/Oas2/Ifit2/Ifit3/Smpdl3b/Parp14/Gbp3/Pparg/Muc13/Irf7/Tlr7/Gata3/Rsad2" 13
"GOBP_IMMUNE_EFFECTOR_PROCESS" "GOBP_IMMUNE_EFFECTOR_PROCESS" "GOBP_IMMUNE_EFFECTOR_PROCESS" "15/45" "779/9391" 1.71630495537846e-06 0.000329149150331469 0.000299299495727402 "Ddx60/Oas2/Ifit2/Ifit3/St3gal1/Tspan6/Tarbp2/Cd86/Il18r1/Eomes/Irf7/Tlr7/Rtp4/Gata3/Rsad2" 15
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "5/45" "59/9391" 8.30207901148045e-06 0.00143293883738153 0.00130298945327551 "Oas2/Ifit2/Ifit3/Irf7/Rsad2" 5
"GOBP_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY" "GOBP_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY" "GOBP_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY" "5/45" "71/9391" 2.06892379978626e-05 0.00324632952584643 0.00295192859854671 "Ddx60/Smpdl3b/Tspan6/Irf7/Rsad2" 5
"GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "GOBP_RESPONSE_TO_TYPE_I_INTERFERON" "5/45" "76/9391" 2.8840262827886e-05 0.00414819113674426 0.00377200279617351 "Oas2/Ifit2/Ifit3/Irf7/Rsad2" 5
"GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY" "GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY" "GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY" "11/45" "540/9391" 3.47870959484448e-05 0.00429241296191102 0.00390314553040759 "Oas2/Ifit2/Ifit3/Parp14/Fscn1/Pparg/Cd86/Il18r1/Irf7/Gata3/Rsad2" 11
"GOBP_POSITIVE_REGULATION_OF_TYPE_2_IMMUNE_RESPONSE" "GOBP_POSITIVE_REGULATION_OF_TYPE_2_IMMUNE_RESPONSE" "GOBP_POSITIVE_REGULATION_OF_TYPE_2_IMMUNE_RESPONSE" "3/45" "14/9391" 3.60739145095077e-05 0.00429241296191102 0.00390314553040759 "Cd86/Gata3/Rsad2" 3
"GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE" "GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE" "GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE" "6/45" "133/9391" 3.7303704767477e-05 0.00429241296191102 0.00390314553040759 "Smpdl3b/Parp14/Tspan6/Tarbp2/Pparg/Gata3" 6
"GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION" "GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION" "GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION" "5/45" "86/9391" 5.24676948882165e-05 0.00500786388884028 0.004553714129573 "Cd86/Il18r1/Eomes/Gata3/Rsad2" 5
"GOBP_RESPONSE_TO_CYTOKINE" "GOBP_RESPONSE_TO_CYTOKINE" "GOBP_RESPONSE_TO_CYTOKINE" "13/45" "787/9391" 5.30506309350202e-05 0.00500786388884028 0.004553714129573 "Oas2/Ifit2/Ifit3/Snx10/Parp14/Fscn1/Gbp3/Pparg/Cd86/Il18r1/Irf7/Gata3/Rsad2" 13
"GOBP_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY" "GOBP_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY" "GOBP_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY" "6/45" "142/9391" 5.39000627311113e-05 0.00500786388884028 0.004553714129573 "Ddx60/Smpdl3b/Tspan6/Irf7/Tlr7/Rsad2" 6
"GOBP_RESPONSE_TO_INTERFERON_ALPHA" "GOBP_RESPONSE_TO_INTERFERON_ALPHA" "GOBP_RESPONSE_TO_INTERFERON_ALPHA" "3/45" "16/9391" 5.51271227624364e-05 0.00500786388884028 0.004553714129573 "Ifit2/Ifit3/Gata3" 3
"GOBP_LEUKOCYTE_DIFFERENTIATION" "GOBP_LEUKOCYTE_DIFFERENTIATION" "GOBP_LEUKOCYTE_DIFFERENTIATION" "9/45" "377/9391" 6.04155832371036e-05 0.00521386483336204 0.00474103340034324 "St3gal1/Snx10/Pparg/Cd86/Il18r1/Eomes/Irf7/Gata3/Rsad2" 9
"REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "6/45" "151/9391" 7.59542155011063e-05 0.00586098575230432 0.00532946865687975 "Oas2/Ifit2/Ifit3/Gbp3/Irf7/Rsad2" 6
"GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_CYTOKINE_PRODUCTION" "GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_CYTOKINE_PRODUCTION" "GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_CYTOKINE_PRODUCTION" "3/45" "18/9391" 7.97909619668031e-05 0.00586098575230432 0.00532946865687975 "Il18r1/Gata3/Rsad2" 3
"GOBP_POSITIVE_REGULATION_OF_T_CELL_CYTOKINE_PRODUCTION" "GOBP_POSITIVE_REGULATION_OF_T_CELL_CYTOKINE_PRODUCTION" "GOBP_POSITIVE_REGULATION_OF_T_CELL_CYTOKINE_PRODUCTION" "3/45" "18/9391" 7.97909619668031e-05 0.00586098575230432 0.00532946865687975 "Il18r1/Gata3/Rsad2" 3
"GOBP_MONONUCLEAR_CELL_DIFFERENTIATION" "GOBP_MONONUCLEAR_CELL_DIFFERENTIATION" "GOBP_MONONUCLEAR_CELL_DIFFERENTIATION" "8/45" "303/9391" 8.14969050146602e-05 0.00586098575230432 0.00532946865687975 "St3gal1/Pparg/Cd86/Il18r1/Eomes/Irf7/Gata3/Rsad2" 8
"HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "6/45" "160/9391" 0.000104693768753826 0.00700762736004791 0.00637212440924037 "Gbp3/Cd86/Il18r1/Tiam1/Eomes/Tlr7" 6
"GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "11/45" "610/9391" 0.000105561014693653 0.00700762736004791 0.00637212440924037 "Ddx60/Smpdl3b/Parp14/Tspan6/Tarbp2/Pparg/Muc13/Tiam1/Irf7/Tlr7/Gata3" 11
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "10/45" "512/9391" 0.000120189501581387 0.00764690235006838 0.00695342526312859 "Oas2/Ifit2/Ifit3/Fscn1/Gbp3/Cd86/Il18r1/Irf7/Gata3/Rsad2" 10
"IRF_Q6" "IRF_Q6" "IRF_Q6" "6/45" "165/9391" 0.000124051718309336 0.00764690235006838 0.00695342526312859 "Ddx60/Ifit2/Eomes/Tlr7/Parp12/Rtp4" 6
