"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"REACTOME_CELL_CYCLE" "REACTOME_CELL_CYCLE" "REACTOME_CELL_CYCLE" "125/745" "449/9391" 1.30545643413618e-38 7.26747596883613e-35 6.72103938880007e-35 "Tmpo/Ppme1/Rb1/B9d2/Cenpp/E2f1/Rad50/Rad51/Rfc5/Fzr1/Stag3/Msh5/Tubb5/Aurka/Oip5/Ncapg2/Gins2/Plk1/Incenp/Nsl1/Mcm10/Tubb6/Lmnb1/Cenpf/Espl1/Cdt1/Hspa2/Smc3/Ckap5/Prim2/Birc5/Chtf18/Kntc1/Mad2l1/Gtse1/Cdca8/Cdc20/Rfc2/Foxm1/Ccna2/Cenpn/Skp2/Kif2c/Optn/Cdk6/Cenpl/Spc25/Cdk2/Cdc6/Nedd1/Zwilch/Brip1/Cdkn1a/Dsn1/Tyms/Smc2/Ccnb1/Mcm7/Cdc25c/Ccne1/Psmb9/Tfdp2/Ube2c/Odf2/Clspn/Anapc5/Rpa3/Bard1/Chmp2a/Psmb8/Mybl2/Lig1/Rpa2/Tpx2/Kif18a/Cenph/Pkmyt1/Cdca5/Rad51c/Chek2/Ndc80/Lcmt1/Tk1/Pmf1/Ncaph2/Dbf4/Ncapd2/Rfc1/Pole/Cenpm/Ccnh/Gins4/Brca2/Pold3/Ppp2r5c/Top2a/Pcbp4/Spc24/Blm/Tubg1/Cenpk/Prkaca/Pold1/Rrm2/Cep72/E2f3/Bub1b/Pold4/Ccne2/Cenpi/Ncaph/Aurkb/Syce2/Rfc4/Cenpq/Pif1/Esco2/Mnd1/Brca1/Cdkn2c/Cenpa/Polr2g/Chmp4b/Pttg1/Aaas" 125
"HALLMARK_E2F_TARGETS" "HALLMARK_E2F_TARGETS" "HALLMARK_E2F_TARGETS" "66/745" "149/9391" 5.36861469872412e-34 1.49435390138986e-30 1.38199444691893e-30 "Tmpo/Rad50/Mxd3/Timeless/Tubb5/Aurka/Plk1/Nudt21/Lmnb1/Cdca3/Espl1/Suv39h1/Dut/Smc3/Prim2/Birc5/Ezh2/Asf1b/Mad2l1/Cdca8/Cdc20/Rfc2/Kif4/Kif2c/Prdx4/Spc25/Cdkn1a/Melk/Spag5/Mcm7/Ccne1/Rpa3/Bard1/Mybl2/Lig1/Rpa2/Ube2t/Rad51c/Chek2/Tk1/Cbx5/Ncapd2/Rfc1/Pole/Cenpm/Gins4/Brca2/Atad2/Kif22/Pold3/Top2a/Dnmt1/Exosc8/Spc24/Tubg1/Pold1/Hmgb2/Rrm2/Bub1b/Aurkb/Tcf19/Trip13/Brca1/Cdkn2c/Kpna2/Pttg1" 66
"REACTOME_CELL_CYCLE_MITOTIC" "REACTOME_CELL_CYCLE_MITOTIC" "REACTOME_CELL_CYCLE_MITOTIC" "105/745" "371/9391" 5.32698170921105e-33 9.88510239172597e-30 9.14184825956184e-30 "Tmpo/Ppme1/Rb1/B9d2/Cenpp/E2f1/Rfc5/Fzr1/Tubb5/Aurka/Ncapg2/Gins2/Plk1/Incenp/Nsl1/Mcm10/Tubb6/Lmnb1/Cenpf/Espl1/Cdt1/Smc3/Ckap5/Prim2/Birc5/Kntc1/Mad2l1/Gtse1/Cdca8/Cdc20/Rfc2/Foxm1/Ccna2/Cenpn/Skp2/Kif2c/Optn/Cdk6/Cenpl/Spc25/Cdk2/Cdc6/Nedd1/Zwilch/Cdkn1a/Dsn1/Tyms/Smc2/Ccnb1/Mcm7/Cdc25c/Ccne1/Psmb9/Tfdp2/Ube2c/Odf2/Anapc5/Rpa3/Chmp2a/Psmb8/Mybl2/Lig1/Rpa2/Tpx2/Kif18a/Cenph/Pkmyt1/Cdca5/Ndc80/Lcmt1/Tk1/Pmf1/Ncaph2/Dbf4/Ncapd2/Rfc1/Pole/Cenpm/Ccnh/Gins4/Pold3/Ppp2r5c/Top2a/Spc24/Tubg1/Cenpk/Prkaca/Pold1/Rrm2/Cep72/E2f3/Bub1b/Pold4/Ccne2/Cenpi/Ncaph/Aurkb/Rfc4/Cenpq/Esco2/Cdkn2c/Cenpa/Chmp4b/Pttg1/Aaas" 105
"GOBP_CELL_CYCLE_PROCESS" "GOBP_CELL_CYCLE_PROCESS" "GOBP_CELL_CYCLE_PROCESS" "165/745" "870/9391" 1.02398714006815e-28 1.42513410218984e-25 1.31797923738771e-25 "Ppme1/Rb1/Chmp5/Unc119/E2f1/Rad50/Rad51/Rfc5/Fzr1/Timeless/Stag3/Eif4ebp1/Msh5/Rfwd3/Tubb5/Aurka/Ncapg2/Plk1/Mdm1/Incenp/Nsl1/Mcm10/Fignl1/Prc1/Cenpf/Espl1/Cdt1/Hspa2/Smc3/Ckap5/Anln/Prim2/Ddit3/Ezh2/Nusap1/Kntc1/Mad2l1/Ccng1/Gtse1/Cdca8/Cdc20/Rfc2/Foxm1/Ccna2/Dtl/Gja1/Skp2/Kif4/Kif2c/Pard6a/Optn/Fancd2/Cdk6/Spc25/Cdk2/Cdc6/Nedd1/Zwilch/Brip1/Cdkn1a/Dsn1/Tyms/Smc2/Melk/Katnb1/Spag5/Ccnb1/Mcm7/Cdc25c/Kif11/Ccne1/Psmb9/Arl3/Tfdp2/Ube2c/Odf2/Clspn/Tube1/Pml/Anapc5/Rpa3/Bard1/Chmp2a/Psmb8/Kif20b/Ube2e2/Mybl2/Lig1/Rpa2/Tpx2/Kif18a/Cenph/Pkmyt1/Kifc1/Cdca5/Pkp4/Kif3a/Rad51c/Chek2/Ndc80/Lcmt1/Cep55/Xrcc2/Cbx5/Ncaph2/Dbf4/Ncapd2/Rfc1/Pole/Ccnh/Brca2/Kif22/Pold3/Top2a/Eps8/Pcbp4/Cgrrf1/Aspm/Snx18/Blm/Tubg1/Cenpk/Ccnf/Prkaca/Map2k1/Pold1/Ercc2/Cul7/Ttk/Iqgap3/Fes/Rrm2/Cep72/Gpsm2/E2f3/Apbb1/Bub1b/Pold4/Sass6/Ccne2/Ncaph/Prr11/Ccng2/Aurkb/Syce2/Rfc4/Trip13/Cenpq/Dyrk3/Atf5/Prnp/Cort/Ctdspl/Esco2/Mnd1/Brca1/Cdkn2c/Cenpa/Gipc1/Chmp4b/Pttg1/Phf13/Psrc1/Rad54l/Aaas" 165
"GOBP_CHROMOSOME_SEGREGATION" "GOBP_CHROMOSOME_SEGREGATION" "GOBP_CHROMOSOME_SEGREGATION" "66/745" "202/9391" 9.06257381059117e-25 1.00902696807122e-21 9.33158915949503e-22 "Rb1/Chmp5/Stag3/Oip5/Ncapg2/Plk1/Incenp/Nsl1/Prc1/Cenpf/Espl1/Cdt1/Smc3/Birc5/Nusap1/Kntc1/Mad2l1/Cdca8/Cdc20/Cenpn/Kif4/Kif2c/Cdca2/Fancd2/Spc25/Cdc6/Brip1/Dsn1/Smc2/Katnb1/Spag5/Ccnb1/Ccne1/Ube2c/Anapc5/Chmp2a/Kif18a/Cenph/Kifc1/Cdca5/Rad51c/Ndc80/Lcmt1/Pmf1/Ncaph2/Ncapd2/Kif22/Top2a/Tubg1/Cenpk/Ercc2/Ttk/Bub1b/Ccne2/Ncaph/Aurkb/Syce2/Trip13/Cenpq/Cort/Esco2/Brca1/Chmp4b/Pttg1/Phf13/Psrc1" 66
"GOBP_MITOTIC_CELL_CYCLE" "GOBP_MITOTIC_CELL_CYCLE" "GOBP_MITOTIC_CELL_CYCLE" "133/745" "675/9391" 1.58961666920487e-24 1.47489933291058e-21 1.36400265422474e-21 "Ppme1/Rb1/Chmp5/Unc119/E2f1/Rad51/Fzr1/Eif4ebp1/Rfwd3/Tubb5/Aurka/Ncapg2/Plk1/Sugt1/Incenp/Nsl1/Mcm10/Tubb6/Prc1/Cenpf/Espl1/Cdt1/Hspa2/Smc3/Ckap5/Anln/Prim2/Ezh2/Nusap1/Kntc1/Mad2l1/Ccng1/Gtse1/Cdca8/Cdc20/Foxm1/Ccna2/Dtl/Gja1/Skp2/Dynlt3/Kif4/Kif2c/Optn/Fancd2/Cdk6/Spc25/Cdk2/Cdc6/Nedd1/Zwilch/Cdkn1a/Dsn1/Tyms/Smc2/Melk/Katnb1/Spag5/Ccnb1/Mcm7/Cdc25c/Kif11/Ccne1/Psmb9/Arl3/Tfdp2/Ube2c/Odf2/Clspn/Tube1/Pml/Anapc5/Rpa3/Chmp2a/Psmb8/Kif20b/Ube2e2/Pbk/Mybl2/Lig1/Rpa2/Tpx2/Kif18a/Cenph/Pkmyt1/Kifc1/Cdca5/Rad51c/Chek2/Ndc80/Lcmt1/Cep55/Xrcc2/Ncaph2/Dbf4/Ncapd2/Pole/Ccnh/Brca2/Kif22/Eps8/Pcbp4/Snx18/Blm/Tubg1/Cenpk/Ccnf/Prkaca/Ercc2/Cul7/Ttk/Iqgap3/Rrm2/Cep72/Gpsm2/E2f3/Bub1b/Ccne2/Ncaph/Ccng2/Aurkb/Kif15/Trip13/Rrm1/Ctdspl/Brca1/Cdkn2c/Cenpa/Chmp4b/Pttg1/Phf13/Psrc1/Aaas" 133
"GOBP_NUCLEAR_CHROMOSOME_SEGREGATION" "GOBP_NUCLEAR_CHROMOSOME_SEGREGATION" "GOBP_NUCLEAR_CHROMOSOME_SEGREGATION" "57/745" "155/9391" 1.87195677795807e-24 1.48874048327037e-21 1.37680309789367e-21 "Rb1/Chmp5/Stag3/Ncapg2/Plk1/Incenp/Nsl1/Prc1/Cenpf/Espl1/Cdt1/Smc3/Nusap1/Kntc1/Mad2l1/Cdca8/Cdc20/Kif4/Kif2c/Fancd2/Cdc6/Brip1/Dsn1/Smc2/Katnb1/Spag5/Ccnb1/Ccne1/Ube2c/Anapc5/Chmp2a/Kif18a/Kifc1/Cdca5/Rad51c/Ndc80/Lcmt1/Ncaph2/Ncapd2/Kif22/Top2a/Tubg1/Cenpk/Ttk/Bub1b/Ccne2/Ncaph/Aurkb/Syce2/Trip13/Cenpq/Cort/Esco2/Chmp4b/Pttg1/Phf13/Psrc1" 57
"GOBP_ORGANELLE_FISSION" "GOBP_ORGANELLE_FISSION" "GOBP_ORGANELLE_FISSION" "79/745" "285/9391" 3.17794097853385e-24 2.21144967843724e-21 2.04517227973804e-21 "Rb1/Chmp5/Rad50/Rad51/Fzr1/Stag3/Msh5/Aurka/Ncapg2/Plk1/Incenp/Nsl1/Fignl1/Prc1/Cenpf/Espl1/Cdt1/Hspa2/Smc3/Anln/Nusap1/Kntc1/Mad2l1/Cdca8/Cdc20/Kif4/Kif2c/Fancd2/Cdc6/Brip1/Dsn1/Smc2/Katnb1/Spag5/Ccnb1/Cdc25c/Kif11/Ccne1/Ube2c/Anapc5/Chmp2a/Kif20b/Mybl2/Tpx2/Kif18a/Pkmyt1/Kifc1/Mx1/Cdca5/Rad51c/Chek2/Coro1c/Ndc80/Lcmt1/Ncaph2/Ncapd2/Brca2/Kif22/Top2a/Eps8/Tubg1/Cenpk/Cul7/Ttk/Bub1b/Ccne2/Ncaph/Stat2/Aurkb/Syce2/Trip13/Cort/Mnd1/Chmp4b/Pttg1/Phf13/Psrc1/Rad54l/Aaas" 79
"GOBP_CELL_DIVISION" "GOBP_CELL_DIVISION" "GOBP_CELL_DIVISION" "93/745" "381/9391" 5.67686529344261e-24 3.51145656539944e-21 3.24743253219039e-21 "Rb1/Chmp5/Unc119/Fzr1/Timeless/Tubb5/Aurka/Oip5/Ncapg2/Plk1/Incenp/Nsl1/Prc1/Cenpf/Cdca3/Espl1/Cdt1/Smc3/Ckap5/Anln/Ralb/Birc5/Nusap1/Kntc1/Mad2l1/Ccng1/Cdca8/Cdc20/Ccna2/Dynlt3/Kif4/Kif2c/Cdca2/Pard6a/Cdk6/Spc25/Cdk2/Cdc6/Vegfa/Nedd1/Zwilch/Brip1/Dsn1/Smc2/Katnb1/Spag5/Ccnb1/Shh/Cdc25c/Kif11/Ccne1/Arl3/Ube2c/Anapc5/Chmp2a/Kif20b/Lig1/Tpx2/Kifc1/Cdca5/Pkp4/Chek2/Ndc80/Pmf1/Cep55/Ncapd2/Brca2/Top2a/Aspm/Spc24/Snx18/Blm/Ccnf/Cuzd1/Ercc2/Cul7/Gpsm2/Bub1b/Fzd7/Ccne2/Ncaph/Ccng2/Osm/Aurkb/Syce2/Dyrk3/Cenpa/Gipc1/Chmp4b/Pttg1/Phf13/Psrc1/Vegfb" 93
"GOBP_SISTER_CHROMATID_SEGREGATION" "GOBP_SISTER_CHROMATID_SEGREGATION" "GOBP_SISTER_CHROMATID_SEGREGATION" "50/745" "128/9391" 5.94874246483222e-23 3.3116649301721e-20 3.06266309426257e-20 "Rb1/Chmp5/Stag3/Ncapg2/Plk1/Incenp/Nsl1/Prc1/Cenpf/Espl1/Cdt1/Smc3/Nusap1/Kntc1/Mad2l1/Cdca8/Cdc20/Kif4/Kif2c/Cdc6/Dsn1/Smc2/Katnb1/Spag5/Ccnb1/Ube2c/Anapc5/Chmp2a/Kif18a/Kifc1/Cdca5/Rad51c/Ndc80/Lcmt1/Ncaph2/Ncapd2/Kif22/Top2a/Tubg1/Cenpk/Ttk/Bub1b/Ncaph/Aurkb/Trip13/Esco2/Chmp4b/Pttg1/Phf13/Psrc1" 50
