"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS" "GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS" "GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS" "79/535" "273/9391" 1.09835373454937e-35 5.37753988435371e-32 4.81772632828129e-32 "Polr2d/Rcl1/Tsr1/Nob1/Ddx3x/Noc4l/Nip7/Nmd3/Prmt7/Ruvbl1/Mrps7/Ddx21/Mrps2/Krr1/Ddx1/Snrpd2/Ran/Mybbp1a/Hsp90aa1/Utp15/Exosc6/Ptges3/Abce1/Shq1/Pop7/Exosc2/Rpl7l1/Eif3b/Rsl1d1/Nat10/Hsp90ab1/Srfbp1/Rrp15/C1qbp/Rps27l/Smn1/Prpf19/Usp39/Mrto4/Rps19/Taf9/Luc7l/Cdc73/Tbl3/Wdr75/Ltv1/Wdr74/Txnl4a/Ddx49/Gemin4/Pa2g4/Bms1/Wdr55/Eif6/Wdr3/Ddx27/Eif2s2/Dis3/Ebna1bp2/Wdr18/Mrpl20/Pelp1/Snrpb/Rpp25/Lyar/Rrp12/Rrs1/Bop1/Ftsj3/Heatr3/Prmt5/Rrp1b/Lsm2/Gemin5/Pwp1/Strap/Npm3/Nol10/Imp4" 79
"REACTOME_METABOLISM_OF_RNA" "REACTOME_METABOLISM_OF_RNA" "REACTOME_METABOLISM_OF_RNA" "93/535" "447/9391" 1.50027023520062e-29 3.67266153577112e-26 3.29032951056894e-26 "Polr2d/Polr2h/Rcl1/Tsr1/Nob1/Eftud2/Noc4l/Nip7/Ncl/Eif4a1/Ddx21/Krr1/Ddx1/Pop1/Snrpd2/Ran/Mettl1/Adarb1/Xpot/Utp15/Exosc6/Pop7/Nup160/Sf3b4/Rpl29/Exosc2/Thoc3/Hspa8/Eprs/Nat10/Prpf38a/Pcbp1/Polr2f/Rps27l/Psmd1/Rnps1/Smn1/Psme3/Psma5/Prpf19/Trnt1/Psmd12/Nup98/Nup50/Magoh/Wdr4/Usp39/Psmb7/Nup37/Etf1/Pno1/Rps19/Gtf2f1/Psmd11/Psmc5/Tbl3/Psmd13/Nup155/Wdr75/Ltv1/Pus1/Txnl4a/Trmt6/Ddx49/Gemin4/Nup43/Magohb/Bms1/Wdr3/Psmc4/Psmd7/Rps27a/Ncbp2/Dis3/Ebna1bp2/Wdr18/Tsen2/Pelp1/Snrpb/Rpp25/Gtf2f2/Thg1l/Prpf40a/Bop1/Nxt1/Ftsj3/Prmt5/Seh1l/Lsm2/Gemin5/Gnl3/Imp4/Psmb6" 93
"GOBP_NCRNA_METABOLIC_PROCESS" "GOBP_NCRNA_METABOLIC_PROCESS" "GOBP_NCRNA_METABOLIC_PROCESS" "72/535" "300/9391" 7.0867613950017e-27 9.94988062368521e-24 8.9140764875508e-24 "Rcl1/Tsr1/Nob1/Noc4l/Wars/Ddx21/Krr1/Ddx1/Mettl4/Pop1/Sars/Ran/Mettl1/Utp15/Gars/Exosc6/Shq1/Pop7/Rars/Exosc2/Rpl7l1/Eprs/Rsl1d1/Ppa1/Pus10/Nat10/Farsb/Srfbp1/Rrp15/Tars/Trnt1/Lars/Wdr4/Kars/Mrto4/Rps19/Eef1e1/Nfkb1/Tbl3/Iars/Wdr75/Wdr74/Pus1/Trmt6/Ddx49/Gemin4/Pa2g4/Bms1/Kti12/Wdr55/Eif6/Wdr3/Ddx27/Dtwd1/Dis3/Ebna1bp2/Wdr18/Tsen2/Pelp1/Dph3/Rpp25/Lyar/Rrp12/Thg1l/Rrs1/Bop1/Nars/Ftsj3/Rrp1b/Npm3/Nol10/Imp4" 72
"GOBP_RNA_PROCESSING" "GOBP_RNA_PROCESSING" "GOBP_RNA_PROCESSING" "102/535" "570/9391" 8.51726218590676e-27 9.94988062368521e-24 8.9140764875508e-24 "Polr2d/Polr2h/Rcl1/Tsr1/Nob1/Syncrip/Eftud2/Noc4l/Ncl/Prmt7/Ddx21/Krr1/Ddx1/Mettl4/Pop1/Sars/Snrpd2/Mettl1/Adarb1/Utp15/Exosc6/Shq1/Pop7/Sf3b4/Exosc2/Rpl7l1/Thoc3/Hspa8/Zmpste24/Rsl1d1/Tbrg4/Pus10/Nat10/Srfbp1/Rrp15/Prpf38a/Supv3l1/Pcbp1/Polr2f/C1qbp/Rnps1/Smn1/Prpf19/Trnt1/Nup98/Magoh/Wdr4/Kars/Usp39/Mrto4/Rps19/Luc7l/Gtf2f1/Tnf/Cdc73/Tbl3/Pabpc4/Wdr75/Wdr74/Pus1/Txnl4a/Trmt6/Ddx49/Gemin4/Pa2g4/Ecd/Magohb/Bms1/Kti12/Wdr55/Eif6/Wdr3/Ddx27/Tgfb1/Dtwd1/Ncbp2/Dis3/Ebna1bp2/Wdr18/Tsen2/Pelp1/Snrpb/Dph3/Rpp25/Leo1/Lyar/Gtf2f2/Rrp12/Thg1l/Rrs1/Prpf40a/Bop1/Prkrip1/Ftsj3/Prmt5/Rrp1b/Lsm2/Gemin5/Strap/Npm3/Nol10/Imp4" 102
"GOBP_RIBOSOME_BIOGENESIS" "GOBP_RIBOSOME_BIOGENESIS" "GOBP_RIBOSOME_BIOGENESIS" "57/535" "190/9391" 1.01612342970641e-26 9.94988062368521e-24 8.9140764875508e-24 "Rcl1/Tsr1/Nob1/Ddx3x/Noc4l/Nip7/Nmd3/Mrps7/Ddx21/Mrps2/Krr1/Ran/Mybbp1a/Utp15/Exosc6/Abce1/Shq1/Pop7/Exosc2/Rpl7l1/Rsl1d1/Nat10/Srfbp1/Rrp15/C1qbp/Rps27l/Mrto4/Rps19/Tbl3/Wdr75/Ltv1/Wdr74/Ddx49/Gemin4/Pa2g4/Bms1/Wdr55/Eif6/Wdr3/Ddx27/Dis3/Ebna1bp2/Wdr18/Mrpl20/Pelp1/Rpp25/Lyar/Rrp12/Rrs1/Bop1/Ftsj3/Heatr3/Rrp1b/Pwp1/Npm3/Nol10/Imp4" 57
"HALLMARK_MYC_TARGETS_V1" "HALLMARK_MYC_TARGETS_V1" "HALLMARK_MYC_TARGETS_V1" "49/535" "160/9391" 1.60304745200449e-23 1.30808672083567e-20 1.17191205833381e-20 "Cops5/Syncrip/Eif4a1/Ddx21/Snrpd2/Ran/Xpot/Ptges3/Erh/Abce1/Ifrd1/Eif3b/Ranbp1/Bub3/Eprs/Rsl1d1/Mrps18b/Nme1/Hsp90ab1/Pcbp1/C1qbp/Slc25a3/Psmd1/Rnps1/Cct3/Cad/Ctps/Smarcc1/Srm/Kars/Etf1/Hspd1/Pabpc4/Iars/Txnl4a/Pa2g4/Cox5a/Psmc4/Eif2s2/Myc/Psmd7/Ncbp2/Nap1l1/Apex1/Tufm/Lsm2/Pwp1/Phb2/Gnl3" 49
"GOBP_NCRNA_PROCESSING" "GOBP_NCRNA_PROCESSING" "GOBP_NCRNA_PROCESSING" "58/535" "235/9391" 2.12643360305026e-22 1.48728841721915e-19 1.33245846976096e-19 "Rcl1/Tsr1/Nob1/Noc4l/Ddx21/Krr1/Ddx1/Pop1/Sars/Mettl1/Utp15/Exosc6/Shq1/Pop7/Exosc2/Rpl7l1/Rsl1d1/Pus10/Nat10/Srfbp1/Rrp15/Trnt1/Wdr4/Kars/Mrto4/Rps19/Tbl3/Wdr75/Wdr74/Pus1/Trmt6/Ddx49/Gemin4/Pa2g4/Bms1/Kti12/Wdr55/Eif6/Wdr3/Ddx27/Dtwd1/Dis3/Ebna1bp2/Wdr18/Tsen2/Pelp1/Dph3/Rpp25/Lyar/Rrp12/Thg1l/Rrs1/Bop1/Ftsj3/Rrp1b/Npm3/Nol10/Imp4" 58
"GOBP_RRNA_METABOLIC_PROCESS" "GOBP_RRNA_METABOLIC_PROCESS" "GOBP_RRNA_METABOLIC_PROCESS" "43/535" "143/9391" 2.06074207563294e-20 1.26117415028736e-17 1.12988318804769e-17 "Rcl1/Tsr1/Nob1/Noc4l/Ddx21/Krr1/Utp15/Exosc6/Shq1/Pop7/Exosc2/Rpl7l1/Rsl1d1/Nat10/Srfbp1/Rrp15/Mrto4/Rps19/Tbl3/Wdr75/Wdr74/Ddx49/Gemin4/Pa2g4/Bms1/Wdr55/Eif6/Wdr3/Ddx27/Dis3/Ebna1bp2/Wdr18/Pelp1/Rpp25/Lyar/Rrp12/Rrs1/Bop1/Ftsj3/Rrp1b/Npm3/Nol10/Imp4" 43
"GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS" "GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS" "GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS" "76/535" "453/9391" 3.18618261503086e-18 1.73328334257679e-15 1.55284479027294e-15 "Cops5/Polr2d/Mrpl3/Bdh2/Syncrip/Ddx3x/Ncl/Eif4a1/Mrps28/Mrps7/Wars/Mrps2/Ddx1/Mrps10/Sars/Ptcd3/Mrpl54/Mrps18a/Gars/Abce1/Rars/Lrpprc/Mrps12/Rpl29/Mrpl37/Eif3b/Eprs/Ppa1/Mrps18b/Nat10/Mrps31/Farsb/Mrpl47/Eif2b1/C1qbp/Rps27l/Mrpl50/Tars/Mrpl2/Lars/Magoh/Kars/Atf4/Etf1/Mrps30/Tsfm/Rps19/Mrps6/Eef1e1/Shmt2/Tnf/Pabpc4/Iars/Eif5a/Pa2g4/Mrpl12/Eif1ad/Eif6/Eif2s2/Rps27a/Ncbp2/Mrpl20/Per2/Dph3/Mrpl11/Tufm/Drg2/Nars/Eef1d/Zc3h12d/Gfm1/Gemin5/Rrbp1/Mrpl16/Mrps22/Ilf3" 76
"REACTOME_TRANSLATION" "REACTOME_TRANSLATION" "REACTOME_TRANSLATION" "52/535" "232/9391" 3.54057642624704e-18 1.73346621829055e-15 1.55300862822857e-15 "Mrpl3/Eif4a1/Mrps28/Mrps7/Wars/Mrps2/Mrps10/Sars/Ptcd3/Mrpl54/Mrps18a/Gars/Rars/Mrps12/Rpl29/Mrpl37/Eif3b/Eprs/Ppa1/Mrps18b/Mrps31/Farsb/Mrpl47/Eif2b1/Rps27l/Mrpl50/Tars/Srprb/Mrpl2/Lars/Kars/Etf1/Mrps30/Tsfm/Rps19/Mrps6/Eef1e1/Iars/Mrpl12/Ddost/Eif2s2/Rps27a/Sec61a1/Mrpl20/Mrpl11/Tufm/Nars/Eef1d/Gfm1/Mrpl16/Mrps22/Ssr2" 52
"GOBP_PEPTIDE_METABOLIC_PROCESS" "GOBP_PEPTIDE_METABOLIC_PROCESS" "GOBP_PEPTIDE_METABOLIC_PROCESS" "83/535" "550/9391" 5.88981579609113e-17 2.6215034670602e-14 2.34859927486237e-14 "Cops5/Polr2d/Mrpl3/Bdh2/Syncrip/Ddx3x/Ncl/Eif4a1/Mrps28/Mrps7/Wars/Mrps2/Ddx1/Ece2/Mrps10/Sars/Thop1/Ptcd3/Gsto1/Mrpl54/Mrps18a/Gars/Abce1/Rars/Lrpprc/Mrps12/Ide/Rpl29/Mrpl37/Eif3b/Eprs/Ppa1/Mrps18b/Nat10/Mrps31/Farsb/Mrpl47/Eif2b1/C1qbp/Rps27l/Mrpl50/Tars/Mrpl2/Lars/Magoh/Kars/Atf4/Etf1/Mrps30/Tsfm/Rps19/Mrps6/Eef1e1/Shmt2/Tnf/Ctsz/Pabpc4/Iars/Eif5a/Pa2g4/Mrpl12/Eif1ad/Eif6/Eif2s2/Rps27a/Ncbp2/Mrpl20/Per2/Ece1/Dph3/Mrpl11/Tufm/Ifng/Drg2/Nars/Eef1d/Zc3h12d/Gfm1/Gemin5/Rrbp1/Mrpl16/Mrps22/Ilf3" 83
"GOBP_AMIDE_BIOSYNTHETIC_PROCESS" "GOBP_AMIDE_BIOSYNTHETIC_PROCESS" "GOBP_AMIDE_BIOSYNTHETIC_PROCESS" "80/535" "538/9391" 5.60862795700785e-16 2.2883202064592e-13 2.05010111375892e-13 "Cops5/Polr2d/Mrpl3/Bdh2/Syncrip/Ddx3x/Ncl/Eif4a1/Mrps28/Mrps7/Wars/Mrps2/Ddx1/Mrps10/St6galnac4/Sars/Ptcd3/Mrpl54/Mrps18a/Gars/Abce1/Rars/Lrpprc/Mrps12/Rpl29/Mrpl37/Eif3b/Eprs/Ppa1/Mrps18b/Nat10/Mrps31/Farsb/Mrpl47/Eif2b1/C1qbp/Rps27l/Mrpl50/Tars/Mrpl2/Lars/Slc25a15/Magoh/Kars/Atf4/Etf1/Mrps30/Tsfm/Rps19/Mrps6/Eef1e1/Shmt2/Tnf/Pabpc4/Iars/Eif5a/Hsd17b12/Pa2g4/Mrpl12/Eif1ad/Eif6/Eif2s2/Rps27a/Ncbp2/Mrpl20/Per2/Dph3/Mrpl11/St6galnac6/Tufm/Drg2/Nars/Eef1d/Zc3h12d/Gfm1/Gemin5/Rrbp1/Mrpl16/Mrps22/Ilf3" 80
"GOBP_MITOCHONDRIAL_GENE_EXPRESSION" "GOBP_MITOCHONDRIAL_GENE_EXPRESSION" "GOBP_MITOCHONDRIAL_GENE_EXPRESSION" "35/535" "126/9391" 1.25018002277969e-15 4.70837030117644e-13 4.21821874892549e-13 "Mrpl3/Mrps28/Mrps7/Mrps2/Mettl4/Mrps10/Ptcd3/Mrpl54/Mrps18a/Gars/Lrpprc/Mrps12/Mrpl37/Tbrg4/Mrps18b/Mrps31/Mrpl47/Supv3l1/C1qbp/Mrpl50/Trnt1/Mrpl2/Mrps30/Tsfm/Mrps6/Shmt2/Slc25a33/Pus1/Mrpl12/Mrpl20/Mrpl11/Tufm/Gfm1/Mrpl16/Mrps22" 35
"GOBP_CELLULAR_AMIDE_METABOLIC_PROCESS" "GOBP_CELLULAR_AMIDE_METABOLIC_PROCESS" "GOBP_CELLULAR_AMIDE_METABOLIC_PROCESS" "92/535" "724/9391" 6.16458053823399e-14 2.15584187965669e-11 1.93141406788128e-11 "Cops5/Polr2d/Mrpl3/Bdh2/Syncrip/Ddx3x/Ncl/Eif4a1/Mrps28/Mrps7/Wars/Dgat2/Mrps2/Ddx1/Ece2/Mrps10/St6galnac4/Sars/Thop1/Ptcd3/Gsto1/Mrpl54/Mrps18a/Gars/Abce1/Rars/Lrpprc/Mrps12/Ide/Rpl29/Mrpl37/Eif3b/Eprs/Ppa1/Mrps18b/Nat10/Mrps31/Farsb/Mrpl47/Eif2b1/C1qbp/Rps27l/Mrpl50/Tars/Mrpl2/Lars/Slc25a15/Magoh/Kars/Atf4/Etf1/Mrps30/Tsfm/Rps19/Mrps6/Eef1e1/Shmt2/Mtrr/Tnf/Ctsz/Pabpc4/Iars/Eif5a/Hsd17b12/Pa2g4/Mrpl12/Eif1ad/Slc25a32/Slc19a1/Eif6/Eif2s2/Rps27a/Ncbp2/Mrpl20/Per2/Ece1/Dph3/Mrpl11/St6galnac6/Tufm/Ifng/Drg2/Nars/Eef1d/Zc3h12d/Gfm1/Gemin5/Rrbp1/Mrpl16/Mrps22/Mthfd1/Ilf3" 92
"GOBP_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION" "GOBP_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION" "GOBP_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION" "32/535" "126/9391" 3.32167218591496e-13 1.08419380148264e-10 9.71326877102292e-11 "Polr2d/Prmt7/Ruvbl1/Mrps7/Ddx1/Snrpd2/Hsp90aa1/Ptges3/Shq1/Eif3b/Hsp90ab1/Rps27l/Smn1/Prpf19/Usp39/Mrto4/Rps19/Taf9/Luc7l/Cdc73/Txnl4a/Gemin4/Eif6/Eif2s2/Mrpl20/Snrpb/Rrs1/Bop1/Prmt5/Lsm2/Gemin5/Strap" 32
"HALLMARK_MYC_TARGETS_V2" "HALLMARK_MYC_TARGETS_V2" "HALLMARK_MYC_TARGETS_V2" "19/535" "43/9391" 3.70123154898407e-13 1.13257685398912e-10 1.01467314898793e-10 "Rcl1/Noc4l/Nip7/Grwd1/Mybbp1a/Tbrg4/Supv3l1/Ung/Srm/Mrto4/Hspd1/Wdr74/Pus1/Pa2g4/Slc19a1/Myc/Rrp12/Gnl3/Imp4" 19
"GOBP_POSTTRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION" "GOBP_POSTTRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION" "GOBP_POSTTRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION" "61/535" "399/9391" 6.96709109995757e-13 2.00652223678778e-10 1.79763892343797e-10 "Polr2d/Polr2h/Syncrip/Ddx3x/Ncl/Ddx1/Ptcd3/Ran/Exosc6/Nup160/Lrpprc/Exosc2/Hspa8/Zmpste24/Eif3b/Eprs/Tbrg4/Pus10/Nat10/Polr2f/Eif2b1/C1qbp/Rps27l/Psmd1/Psme3/Psma5/Psmd12/Nup98/Nup50/Magoh/Atf4/Psmb7/Nup37/Etf1/Tsfm/Shmt2/Tnf/Psmd11/Psmc5/Pabpc4/Psmd13/Eif5a/Nup155/Ddx49/Pa2g4/Nup43/Eif6/Psmc4/Tgfb1/Psmd7/Rps27a/Ncbp2/Dis3/Per2/Dph3/Apex1/Seh1l/Zc3h12d/Gemin5/Ilf3/Psmb6" 61
"REACTOME_RRNA_PROCESSING" "REACTOME_RRNA_PROCESSING" "REACTOME_RRNA_PROCESSING" "32/535" "130/9391" 8.42424904660077e-13 2.29139574067541e-10 2.05285647819798e-10 "Rcl1/Tsr1/Nob1/Noc4l/Nip7/Ncl/Ddx21/Krr1/Utp15/Exosc6/Rpl29/Exosc2/Nat10/Rps27l/Pno1/Rps19/Tbl3/Wdr75/Ltv1/Ddx49/Bms1/Wdr3/Rps27a/Dis3/Ebna1bp2/Wdr18/Pelp1/Rpp25/Bop1/Ftsj3/Gnl3/Imp4" 32
"GOBP_MITOCHONDRIAL_TRANSLATION" "GOBP_MITOCHONDRIAL_TRANSLATION" "GOBP_MITOCHONDRIAL_TRANSLATION" "29/535" "108/9391" 9.48528305103573e-13 2.44420767462478e-10 2.18976035865185e-10 "Mrpl3/Mrps28/Mrps7/Mrps2/Mrps10/Ptcd3/Mrpl54/Mrps18a/Gars/Lrpprc/Mrps12/Mrpl37/Mrps18b/Mrps31/Mrpl47/C1qbp/Mrpl50/Mrpl2/Mrps30/Tsfm/Mrps6/Shmt2/Mrpl12/Mrpl20/Mrpl11/Tufm/Gfm1/Mrpl16/Mrps22" 29
"REACTOME_MITOCHONDRIAL_TRANSLATION" "REACTOME_MITOCHONDRIAL_TRANSLATION" "REACTOME_MITOCHONDRIAL_TRANSLATION" "25/535" "83/9391" 2.17124013003821e-12 5.31519583833353e-10 4.76187243256274e-10 "Mrpl3/Mrps28/Mrps7/Mrps2/Mrps10/Ptcd3/Mrpl54/Mrps18a/Mrps12/Mrpl37/Mrps18b/Mrps31/Mrpl47/Mrpl50/Mrpl2/Mrps30/Tsfm/Mrps6/Mrpl12/Mrpl20/Mrpl11/Tufm/Gfm1/Mrpl16/Mrps22" 25
"GOBP_TRANSLATIONAL_ELONGATION" "GOBP_TRANSLATIONAL_ELONGATION" "GOBP_TRANSLATIONAL_ELONGATION" "28/535" "105/9391" 2.8398986912842e-12 6.62102094882259e-10 5.93175831908835e-10 "Mrpl3/Mrps28/Mrps7/Mrps2/Mrps10/Ptcd3/Mrpl54/Mrps18a/Mrps12/Mrpl37/Mrps18b/Mrps31/Mrpl47/Mrpl50/Mrpl2/Mrps30/Tsfm/Mrps6/Eif5a/Mrpl12/Mrpl20/Dph3/Mrpl11/Tufm/Eef1d/Gfm1/Mrpl16/Mrps22" 28
