"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"REACTOME_RRNA_PROCESSING" "REACTOME_RRNA_PROCESSING" "REACTOME_RRNA_PROCESSING" "15/178" "130/8884" 4.23964356798753e-08 5.04941548947315e-05 4.88228427724038e-05 "Elac2/Nol9/Exosc1/Pwp2/Heatr1/Ddx21/Imp4/Nol11/Gnl3/Nol6/Rrp9/Pes1/Rps15a/Exosc4/Nob1" 15
"HALLMARK_MYC_TARGETS_V2" "HALLMARK_MYC_TARGETS_V2" "HALLMARK_MYC_TARGETS_V2" "8/178" "43/8884" 1.76807555266679e-06 0.00105288899161307 0.00101803929190393 "Dusp2/Ppan/Imp4/Gnl3/Rrp9/Pprc1/Pes1/Ipo4" 8
"REACTOME_METABOLISM_OF_RNA" "REACTOME_METABOLISM_OF_RNA" "REACTOME_METABOLISM_OF_RNA" "25/178" "447/8884" 2.76339058628208e-06 0.00109706606275398 0.00106075414083951 "Aqr/Elac2/Nol9/Mettl3/Exosc1/Pwp2/Heatr1/Wdr77/Nsun2/Ddx21/Imp4/Nol11/Gnl3/Nol6/Rrp9/Pus3/Pes1/Zfp36l1/Rps15a/Exosc4/Cnot2/Qtrt1/Prmt5/Polr2e/Nob1" 25
"CACGTG_MYC_Q2" "CACGTG_MYC_Q2" "CACGTG_MYC_Q2" "31/178" "665/8884" 7.27615761452085e-06 0.00185551629178765 0.00179410033427521 "Sema7a/Napa/Polr3e/Pwp2/Nol8/Mat2a/Nr6a1/Nr4a3/Wdr77/Timm9/Rbm19/Mdn1/Serbp1/Dcun1d4/Polr3d/Mtap/Fpgs/Abcc4/Nol6/Igf1r/Pprc1/Srfbp1/Pes1/Aatf/Ube2cbp/Atad3a/Zhx2/Qtrt1/Zfp593/Ipo4/Cdk5r1" 31
"REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION" "REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION" "REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION" "5/178" "15/8884" 7.78974093949473e-06 0.00185551629178765 0.00179410033427521 "Nfix/Polr3e/Polr3d/Polr3b/Polr2e" 5
"REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION" "REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION" "REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION" "6/178" "32/8884" 3.49450950201096e-05 0.00594565830985008 0.00574886224842104 "Nfix/Polr3e/Polr3d/Snapc4/Polr3b/Polr2e" 6
"REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL" "REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL" "REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL" "6/178" "32/8884" 3.49450950201096e-05 0.00594565830985008 0.00574886224842104 "Pwp2/Heatr1/Imp4/Nol11/Nol6/Rrp9" 6
"REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER" "REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER" "REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER" "5/178" "21/8884" 4.78697964223655e-05 0.00712661594237967 0.00689073122185104 "Polr3e/Polr3d/Snapc4/Polr3b/Polr2e" 5
"REACTOME_RNA_POLYMERASE_III_CHAIN_ELONGATION" "REACTOME_RNA_POLYMERASE_III_CHAIN_ELONGATION" "REACTOME_RNA_POLYMERASE_III_CHAIN_ELONGATION" "4/178" "12/8884" 6.80182510685357e-05 0.0090010818914029 0.00870315399637171 "Polr3e/Polr3d/Polr3b/Polr2e" 4
"HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" "11/178" "148/8884" 0.000181608865549521 0.021629615886948 0.0209136946222291 "Cd69/Yrdc/Dusp2/Nr4a3/Pdlim5/Cxcl10/Nr4a2/Phlda1/Plaur/Fosb/Egr1" 11
"REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_1_PROMOTER" "REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_1_PROMOTER" "REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_1_PROMOTER" "4/178" "21/8884" 0.000714110307654268 0.0773186705832939 0.0747594905812219 "Polr3e/Polr3d/Polr3b/Polr2e" 4
"WP_HAIR_FOLLICLE_DEVELOPMENT_CYTODIFFERENTIATION_PART_3_OF_3" "WP_HAIR_FOLLICLE_DEVELOPMENT_CYTODIFFERENTIATION_PART_3_OF_3" "WP_HAIR_FOLLICLE_DEVELOPMENT_CYTODIFFERENTIATION_PART_3_OF_3" "5/178" "42/8884" 0.00142410997854434 0.141342915370526 0.13666458916908 "Ifng/Lrig1/Phlda1/Gtpbp4/Fosb" 5
"REACTOME_NGF_STIMULATED_TRANSCRIPTION" "REACTOME_NGF_STIMULATED_TRANSCRIPTION" "REACTOME_NGF_STIMULATED_TRANSCRIPTION" "4/178" "26/8884" 0.00164976990543186 0.151144304413027 0.14614156085364 "Fosb/Egr1/Cdk5r1/Nab2" 4
"REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION" "REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION" "REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION" "5/178" "46/8884" 0.00215158066899524 0.183038041198095 0.176979642998556 "Mef2c/Fosb/Egr1/Cdk5r1/Nab2" 5
"REACTOME_BUTYRATE_RESPONSE_FACTOR_1_BRF1_BINDS_AND_DESTABILIZES_MRNA" "REACTOME_BUTYRATE_RESPONSE_FACTOR_1_BRF1_BINDS_AND_DESTABILIZES_MRNA" "REACTOME_BUTYRATE_RESPONSE_FACTOR_1_BRF1_BINDS_AND_DESTABILIZES_MRNA" "3/178" "15/8884" 0.00301328652275888 0.232133599462408 0.224450181459078 "Exosc1/Zfp36l1/Exosc4" 3
"WP_CYTOSOLIC_DNASENSING_PATHWAY" "WP_CYTOSOLIC_DNASENSING_PATHWAY" "WP_CYTOSOLIC_DNASENSING_PATHWAY" "5/178" "50/8884" 0.00311850343526324 0.232133599462408 0.224450181459078 "Polr3e/Cxcl10/Polr3d/Polr3b/Polr2e" 5
"REACTOME_SIGNALING_BY_NTRKS" "REACTOME_SIGNALING_BY_NTRKS" "REACTOME_SIGNALING_BY_NTRKS" "7/178" "99/8884" 0.00364544472468265 0.255395568652767 0.246942199925871 "Rapgef1/Furin/Mef2c/Fosb/Egr1/Cdk5r1/Nab2" 7
"WP_EUKARYOTIC_TRANSCRIPTION_INITIATION" "WP_EUKARYOTIC_TRANSCRIPTION_INITIATION" "WP_EUKARYOTIC_TRANSCRIPTION_INITIATION" "4/178" "33/8884" 0.00404961114149194 0.267949270528717 0.259080385309484 "Polr3e/Polr3d/Polr3b/Polr2e" 4
"NFMUE1_Q6" "NFMUE1_Q6" "NFMUE1_Q6" "9/178" "165/8884" 0.00586733729020322 0.365978603900182 0.353865033953599 "2410002F23Rik/Eif4g2/Wdr77/Ncdn/Rbm19/Serbp1/Ext1/Mark3/Pprc1" 9
"YY1_02" "YY1_02" "YY1_02" "9/178" "168/8884" 0.00658477599172387 0.365978603900182 0.353865033953599 "2410002F23Rik/Polr3e/Wdr77/Ncdn/Serbp1/Ext1/Mark3/Gpatch4/Ap4s1" 9
"REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY" "REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY" "REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY" "4/178" "38/8884" 0.00676031006364737 0.365978603900182 0.353865033953599 "Nr1d2/Nr6a1/Nr4a3/Nr4a2" 4
"YRCCAKNNGNCGC_UNKNOWN" "YRCCAKNNGNCGC_UNKNOWN" "YRCCAKNNGNCGC_UNKNOWN" "4/178" "38/8884" 0.00676031006364737 0.365978603900182 0.353865033953599 "Sgip1/Nr6a1/Kif1b/Nol11" 4
"WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "4/178" "40/8884" 0.0081150291448918 0.412074194965441 0.398434901491177 "Gbp2/Ifng/Cxcl10/Socs1" 4
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE" "HALLMARK_UNFOLDED_PROTEIN_RESPONSE" "HALLMARK_UNFOLDED_PROTEIN_RESPONSE" "6/178" "88/8884" 0.00830376211517261 0.412074194965441 0.398434901491177 "Exosc1/Tatdn2/Rrp9/Sdad1/Exosc4/Cnot2" 6
"E4F1_Q6" "E4F1_Q6" "E4F1_Q6" "9/178" "177/8884" 0.00914633123264458 0.435731219923188 0.42130889972687 "Smarce1/Sgip1/Atp2a2/Cd160/Nr6a1/Nr4a3/Nr4a2/Fosb/Ddx51" 9
"ATF3_Q6" "ATF3_Q6" "ATF3_Q6" "8/178" "150/8884" 0.0104670601319926 0.479471869892428 0.463601772647767 "Sgip1/Tnfrsf12a/Tnfrsf19/Ncdn/Zfp36l1/Fosb/Zfp593/Ddx51" 8
"REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL" "REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL" "REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL" "3/178" "24/8884" 0.01174693589249 0.499919283714382 0.483372395053722 "Nsun2/Pus3/Qtrt1" 3
"FOXD3_01" "FOXD3_01" "FOXD3_01" "7/178" "124/8884" 0.0121733922730019 0.499919283714382 0.483372395053722 "Nfix/Atp2a2/E2f5/Nr6a1/Ncdn/Mef2c/Zhx2" 7
"AAAYWAACM_HFH4_01" "AAAYWAACM_HFH4_01" "AAAYWAACM_HFH4_01" "8/178" "155/8884" 0.0125924252824781 0.499919283714382 0.483372395053722 "Nfix/Atp2a2/Nr4a3/Gnl2/Mef2c/Grhl1/Zhx2/Fosb" 8
"CREB_02" "CREB_02" "CREB_02" "8/178" "155/8884" 0.0125924252824781 0.499919283714382 0.483372395053722 "Sgip1/Napa/Nr4a3/Mdn1/Nr4a2/Fosb/Zfp593/Ddx51" 8
"CAGNWMCNNNGAC_UNKNOWN" "CAGNWMCNNNGAC_UNKNOWN" "CAGNWMCNNNGAC_UNKNOWN" "4/178" "46/8884" 0.013209626598178 0.507505331562259 0.490707351389024 "Tnfrsf19/Dph2/Aoc2/Cdk5r1" 4
"REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA" "REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA" "REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA" "4/178" "47/8884" 0.0142180301613375 0.508823566731526 0.491981954133447 "Polr3e/Polr3d/Polr3b/Polr2e" 4
"CREBP1_Q2" "CREBP1_Q2" "CREBP1_Q2" "8/178" "159/8884" 0.014508770348623 0.508823566731526 0.491981954133447 "Nfkbid/Sgip1/Napa/Nr4a3/Nr4a2/Fosb/Egr1/Ddx51" 8
"HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "8/178" "160/8884" 0.0150193605255157 0.508823566731526 0.491981954133447 "Gbp3/Lrig1/Cxcl10/Furin/Phlda1/Igf1r/Socs1/Gpr65" 8
"ATF4_Q2" "ATF4_Q2" "ATF4_Q2" "8/178" "162/8884" 0.0160795824428153 0.508823566731526 0.491981954133447 "Nfkbid/Polr3e/Nr4a3/Nr4a2/Zhx2/Fosb/Ddx51/Cdk5r1" 8
"MYCMAX_01" "MYCMAX_01" "MYCMAX_01" "8/178" "162/8884" 0.0160795824428153 0.508823566731526 0.491981954133447 "Mat2a/Nr6a1/Timm9/Serbp1/Pprc1/Atad3a/Zhx2/Qtrt1" 8
