"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "3/10" "78/8884" 7.47488513831427e-05 0.0175147028088283 0.0120746283263235 "Gbp3/Cxcl10/Ube2l6" 3
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "5/10" "512/8884" 0.00012334297752696 0.0175147028088283 0.0120746283263235 "Gbp3/Ifng/Cxcl10/Mef2c/Ube2l6" 5
"REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "3/10" "151/8884" 0.000529186028910152 0.0352756458165676 0.0243190145362549 "Gbp3/Ifng/Ube2l6" 3
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "3/10" "159/8884" 0.000615513625677802 0.0352756458165676 0.0243190145362549 "Gbp3/Cxcl10/Ube2l6" 3
"HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "3/10" "160/8884" 0.000626901318638548 0.0352756458165676 0.0243190145362549 "Gbp3/Cxcl10/Furin" 3
"REACTOME_AMYLOID_FIBER_FORMATION" "REACTOME_AMYLOID_FIBER_FORMATION" "REACTOME_AMYLOID_FIBER_FORMATION" "2/10" "38/8884" 0.000784580083269735 0.0352756458165676 0.0243190145362549 "Furin/Ube2l6" 2
"WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "2/10" "40/8884" 0.000869470143366103 0.0352756458165676 0.0243190145362549 "Ifng/Cxcl10" 2
"WP_NOVEL_INTRACELLULAR_COMPONENTS_OF_RIGILIKE_RECEPTOR_RLR_PATHWAY" "WP_NOVEL_INTRACELLULAR_COMPONENTS_OF_RIGILIKE_RECEPTOR_RLR_PATHWAY" "WP_NOVEL_INTRACELLULAR_COMPONENTS_OF_RIGILIKE_RECEPTOR_RLR_PATHWAY" "2/10" "49/8884" 0.00130382351234206 0.0462857346881432 0.0319093649073189 "Ifng/Cxcl10" 2
"REACTOME_INTERFERON_GAMMA_SIGNALING" "REACTOME_INTERFERON_GAMMA_SIGNALING" "REACTOME_INTERFERON_GAMMA_SIGNALING" "2/10" "76/8884" 0.00310892020323433 0.090593357858568 0.0624550206141351 "Gbp3/Ifng" 2
"WP_SENESCENCE_AND_AUTOPHAGY_IN_CANCER" "WP_SENESCENCE_AND_AUTOPHAGY_IN_CANCER" "WP_SENESCENCE_AND_AUTOPHAGY_IN_CANCER" "2/10" "77/8884" 0.00318990696685099 0.090593357858568 0.0624550206141351 "Ifng/Igfbp7" 2
"WP_SPINAL_CORD_INJURY" "WP_SPINAL_CORD_INJURY" "WP_SPINAL_CORD_INJURY" "2/10" "83/8884" 0.00369657468254224 0.0954388372583633 0.0657954919572112 "Ifng/Cxcl10" 2
"REACTOME_SIGNALING_BY_INTERLEUKINS" "REACTOME_SIGNALING_BY_INTERLEUKINS" "REACTOME_SIGNALING_BY_INTERLEUKINS" "3/10" "329/8884" 0.00497417093491525 0.114016325069928 0.0786028037917223 "Ifng/Cxcl10/Mef2c" 3
"REACTOME_SIGNALING_BY_NTRKS" "REACTOME_SIGNALING_BY_NTRKS" "REACTOME_SIGNALING_BY_NTRKS" "2/10" "99/8884" 0.00521905713348263 0.114016325069928 0.0786028037917223 "Furin/Mef2c" 2
"FOXJ2_01" "FOXJ2_01" "FOXJ2_01" "2/10" "109/8884" 0.00629463167393819 0.127691099671318 0.0880301873197371 "Ch25h/Mef2c" 2
"OCT1_04" "OCT1_04" "OCT1_04" "2/10" "121/8884" 0.00770821114100486 0.137007766322212 0.0944530931650538 "Mef2c/Tal2" 2
"HALLMARK_MYOGENESIS" "HALLMARK_MYOGENESIS" "HALLMARK_MYOGENESIS" "2/10" "134/8884" 0.0093874790628182 0.137007766322212 0.0944530931650538 "Igfbp7/Mef2c" 2
"IPF1_Q4" "IPF1_Q4" "IPF1_Q4" "2/10" "134/8884" 0.0093874790628182 0.137007766322212 0.0944530931650538 "Mef2c/Tal2" 2
"HAND1E47_01" "HAND1E47_01" "HAND1E47_01" "2/10" "145/8884" 0.0109257335753908 0.137007766322212 0.0944530931650538 "Mef2c/Tal2" 2
"REACTOME_UPTAKE_AND_FUNCTION_OF_ANTHRAX_TOXINS" "REACTOME_UPTAKE_AND_FUNCTION_OF_ANTHRAX_TOXINS" "REACTOME_UPTAKE_AND_FUNCTION_OF_ANTHRAX_TOXINS" "1/10" "10/8884" 0.011204993979364 0.137007766322212 0.0944530931650538 "Furin" 1
"WP_SRF_AND_MIRS_IN_SMOOTH_MUSCLE_DIFFERENTIATION_AND_PROLIFERATION" "WP_SRF_AND_MIRS_IN_SMOOTH_MUSCLE_DIFFERENTIATION_AND_PROLIFERATION" "WP_SRF_AND_MIRS_IN_SMOOTH_MUSCLE_DIFFERENTIATION_AND_PROLIFERATION" "1/10" "10/8884" 0.011204993979364 0.137007766322212 0.0944530931650538 "Mef2c" 1
"GATA1_03" "GATA1_03" "GATA1_03" "2/10" "149/8884" 0.0115112776673405 0.137007766322212 0.0944530931650538 "Furin/Mef2c" 2
"REACTOME_ASSEMBLY_OF_THE_HIV_VIRION" "REACTOME_ASSEMBLY_OF_THE_HIV_VIRION" "REACTOME_ASSEMBLY_OF_THE_HIV_VIRION" "1/10" "11/8884" 0.0123192547479243 0.137007766322212 0.0944530931650538 "Furin" 1
"REACTOME_SIGNALING_BY_NODAL" "REACTOME_SIGNALING_BY_NODAL" "REACTOME_SIGNALING_BY_NODAL" "1/10" "11/8884" 0.0123192547479243 0.137007766322212 0.0944530931650538 "Furin" 1
"WP_CELL_DIFFERENTIATION_INDEX_EXPANDED" "WP_CELL_DIFFERENTIATION_INDEX_EXPANDED" "WP_CELL_DIFFERENTIATION_INDEX_EXPANDED" "1/10" "11/8884" 0.0123192547479243 0.137007766322212 0.0944530931650538 "Mef2c" 1
"REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES" "REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES" "REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES" "1/10" "12/8884" 0.0134323853072078 0.137007766322212 0.0944530931650538 "Furin" 1
"WP_CONTROL_OF_IMMUNE_TOLERANCE_BY_VASOACTIVE_INTESTINAL_PEPTIDE" "WP_CONTROL_OF_IMMUNE_TOLERANCE_BY_VASOACTIVE_INTESTINAL_PEPTIDE" "WP_CONTROL_OF_IMMUNE_TOLERANCE_BY_VASOACTIVE_INTESTINAL_PEPTIDE" "1/10" "12/8884" 0.0134323853072078 0.137007766322212 0.0944530931650538 "Ifng" 1
"ISRE_01" "ISRE_01" "ISRE_01" "2/10" "163/8884" 0.0136685360331327 0.137007766322212 0.0944530931650538 "Cxcl10/Mef2c" 2
"LYF1_01" "LYF1_01" "LYF1_01" "2/10" "164/8884" 0.0138289647763345 0.137007766322212 0.0944530931650538 "Furin/Mef2c" 2
"IRF_Q6" "IRF_Q6" "IRF_Q6" "2/10" "165/8884" 0.0139902296596625 0.137007766322212 0.0944530931650538 "Cxcl10/Ube2l6" 2
"REACTOME_REGULATION_OF_IFNG_SIGNALING" "REACTOME_REGULATION_OF_IFNG_SIGNALING" "REACTOME_REGULATION_OF_IFNG_SIGNALING" "1/10" "13/8884" 0.0145443866763387 0.137686860536007 0.0949212604140001 "Ifng" 1
"REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI" "REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI" "REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI" "1/10" "15/8884" 0.0167650059166206 0.14026392013686 0.0966978841566196 "Furin" 1
"WP_HIPPOYAP_SIGNALING_PATHWAY" "WP_HIPPOYAP_SIGNALING_PATHWAY" "WP_HIPPOYAP_SIGNALING_PATHWAY" "1/10" "16/8884" 0.0178736258220029 0.14026392013686 0.0966978841566196 "Cxcl10" 1
"WP_HYPERTROPHY_MODEL" "WP_HYPERTROPHY_MODEL" "WP_HYPERTROPHY_MODEL" "1/10" "16/8884" 0.0178736258220029 0.14026392013686 0.0966978841566196 "Ifng" 1
"WP_SIMPLIFIED_INTERACTION_MAP_BETWEEN_LOXL4_AND_OXIDATIVE_STRESS_PATHWAY" "WP_SIMPLIFIED_INTERACTION_MAP_BETWEEN_LOXL4_AND_OXIDATIVE_STRESS_PATHWAY" "WP_SIMPLIFIED_INTERACTION_MAP_BETWEEN_LOXL4_AND_OXIDATIVE_STRESS_PATHWAY" "1/10" "16/8884" 0.0178736258220029 0.14026392013686 0.0966978841566196 "Igfbp7" 1
"WP_KYNURENINE_PATHWAY_AND_LINKS_TO_CELLULAR_SENESCENCE" "WP_KYNURENINE_PATHWAY_AND_LINKS_TO_CELLULAR_SENESCENCE" "WP_KYNURENINE_PATHWAY_AND_LINKS_TO_CELLULAR_SENESCENCE" "1/10" "17/8884" 0.0189811206056948 0.14026392013686 0.0966978841566196 "Ifng" 1
"REACTOME_PLASMA_LIPOPROTEIN_REMODELING" "REACTOME_PLASMA_LIPOPROTEIN_REMODELING" "REACTOME_PLASMA_LIPOPROTEIN_REMODELING" "1/10" "18/8884" 0.0200874912828056 0.14026392013686 0.0966978841566196 "Furin" 1
"REACTOME_ERK_MAPK_TARGETS" "REACTOME_ERK_MAPK_TARGETS" "REACTOME_ERK_MAPK_TARGETS" "1/10" "20/8884" 0.022296864373715 0.14026392013686 0.0966978841566196 "Mef2c" 1
"REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS" "REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS" "REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS" "1/10" "20/8884" 0.022296864373715 0.14026392013686 0.0966978841566196 "Ch25h" 1
"WP_IL1_AND_MEGAKARYOCYTES_IN_OBESITY" "WP_IL1_AND_MEGAKARYOCYTES_IN_OBESITY" "WP_IL1_AND_MEGAKARYOCYTES_IN_OBESITY" "1/10" "20/8884" 0.022296864373715 0.14026392013686 0.0966978841566196 "Ifng" 1
"REACTOME_UPTAKE_AND_ACTIONS_OF_BACTERIAL_TOXINS" "REACTOME_UPTAKE_AND_ACTIONS_OF_BACTERIAL_TOXINS" "REACTOME_UPTAKE_AND_ACTIONS_OF_BACTERIAL_TOXINS" "1/10" "21/8884" 0.0233998688137262 0.14026392013686 0.0966978841566196 "Furin" 1
"WP_OVERVIEW_OF_INTERFERONSMEDIATED_SIGNALING_PATHWAY" "WP_OVERVIEW_OF_INTERFERONSMEDIATED_SIGNALING_PATHWAY" "WP_OVERVIEW_OF_INTERFERONSMEDIATED_SIGNALING_PATHWAY" "1/10" "21/8884" 0.0233998688137262 0.14026392013686 0.0966978841566196 "Ifng" 1
"REACTOME_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION" "REACTOME_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION" "REACTOME_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION" "1/10" "22/8884" 0.0245017531995848 0.14026392013686 0.0966978841566196 "Furin" 1
"REACTOME_MYOGENESIS" "REACTOME_MYOGENESIS" "REACTOME_MYOGENESIS" "1/10" "22/8884" 0.0245017531995848 0.14026392013686 0.0966978841566196 "Mef2c" 1
"WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE" "WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE" "WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE" "1/10" "22/8884" 0.0245017531995848 0.14026392013686 0.0966978841566196 "Ifng" 1
