"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "6/38" "160/8884" 5.32333418620448e-05 0.0323126385102612 0.0291942853790793 "Batf/Cxcl10/Twsg1/Furin/Hopx/Tiam1" 6
"REACTOME_SIGNALING_BY_GPCR" "REACTOME_SIGNALING_BY_GPCR" "REACTOME_SIGNALING_BY_GPCR" "7/38" "351/8884" 0.000619321954446675 0.109123410162321 0.0985923813310834 "Ccr5/Nts/Mgll/Cxcl10/Gipr/Tiam1/Ffar2" 7
"WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "3/38" "40/8884" 0.000639578960366367 0.109123410162321 0.0985923813310834 "Stat1/Irf9/Cxcl10" 3
"REACTOME_SIGNALING_BY_NTRKS" "REACTOME_SIGNALING_BY_NTRKS" "REACTOME_SIGNALING_BY_NTRKS" "4/38" "99/8884" 0.000800878163675421 0.109123410162321 0.0985923813310834 "Id2/Ntrk3/Furin/Tiam1" 4
"WP_EBOLA_VIRUS_PATHWAY_ON_HOST" "WP_EBOLA_VIRUS_PATHWAY_ON_HOST" "WP_EBOLA_VIRUS_PATHWAY_ON_HOST" "4/38" "104/8884" 0.000963427459422104 0.109123410162321 0.0985923813310834 "Stat1/Timd2/Itga3/Tiam1" 4
"FOXJ2_01" "FOXJ2_01" "FOXJ2_01" "4/38" "109/8884" 0.00114797673996173 0.109123410162321 0.0985923813310834 "Id2/Ch25h/Sln/Mgll" 4
"REACTOME_GPCR_LIGAND_BINDING" "REACTOME_GPCR_LIGAND_BINDING" "REACTOME_GPCR_LIGAND_BINDING" "5/38" "192/8884" 0.00125842482889003 0.109123410162321 0.0985923813310834 "Ccr5/Nts/Cxcl10/Gipr/Ffar2" 5
"PBX1_01" "PBX1_01" "PBX1_01" "4/38" "126/8884" 0.00196091189786447 0.134235874115588 0.121281349890265 "Id2/Irf9/Aqp9/Ltbp1" 4
"REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS" "REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS" "REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS" "4/38" "132/8884" 0.00232422125217326 0.134235874115588 0.121281349890265 "Ccr5/Nts/Cxcl10/Ffar2" 4
"HALLMARK_IL6_JAK_STAT3_SIGNALING" "HALLMARK_IL6_JAK_STAT3_SIGNALING" "HALLMARK_IL6_JAK_STAT3_SIGNALING" "3/38" "64/8884" 0.00251312060031632 0.134235874115588 0.121281349890265 "Stat1/Irf9/Cxcl10" 3
"REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES" "REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES" "REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES" "6/38" "336/8884" 0.00277428769621454 0.134235874115588 0.121281349890265 "Stat1/Id2/Ntrk3/Itga3/Furin/Tiam1" 6
"WP_SARS_CORONAVIRUS_AND_INNATE_IMMUNITY" "WP_SARS_CORONAVIRUS_AND_INNATE_IMMUNITY" "WP_SARS_CORONAVIRUS_AND_INNATE_IMMUNITY" "2/38" "20/8884" 0.00322452033476634 0.134235874115588 0.121281349890265 "Stat1/Irf9" 2
"WP_THE_HUMAN_IMMUNE_RESPONSE_TO_TUBERCULOSIS" "WP_THE_HUMAN_IMMUNE_RESPONSE_TO_TUBERCULOSIS" "WP_THE_HUMAN_IMMUNE_RESPONSE_TO_TUBERCULOSIS" "2/38" "20/8884" 0.00322452033476634 0.134235874115588 0.121281349890265 "Stat1/Irf9" 2
"MZF1_01" "MZF1_01" "MZF1_01" "4/38" "148/8884" 0.00351566245054773 0.134235874115588 0.121281349890265 "Ntrk3/Mgll/Itga3/Irf9" 4
"WP_OVERVIEW_OF_INTERFERONSMEDIATED_SIGNALING_PATHWAY" "WP_OVERVIEW_OF_INTERFERONSMEDIATED_SIGNALING_PATHWAY" "WP_OVERVIEW_OF_INTERFERONSMEDIATED_SIGNALING_PATHWAY" "2/38" "21/8884" 0.0035543579543602 0.134235874115588 0.121281349890265 "Stat1/Irf9" 2
"REACTOME_INTERFERON_GAMMA_SIGNALING" "REACTOME_INTERFERON_GAMMA_SIGNALING" "REACTOME_INTERFERON_GAMMA_SIGNALING" "3/38" "76/8884" 0.00409353402039852 0.134235874115588 0.121281349890265 "Stat1/Sp100/Irf9" 3
"REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS" "REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS" "REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS" "3/38" "76/8884" 0.00409353402039852 0.134235874115588 0.121281349890265 "Ccr5/Nts/Cxcl10" 3
"AAAYWAACM_HFH4_01" "AAAYWAACM_HFH4_01" "AAAYWAACM_HFH4_01" "4/38" "155/8884" 0.00414790664754088 0.134235874115588 0.121281349890265 "Id2/Mgll/Itga3/Stap1" 4
"HMGIY_Q6" "HMGIY_Q6" "HMGIY_Q6" "4/38" "158/8884" 0.00444103954660863 0.134235874115588 0.121281349890265 "Batf/Ntrk3/Mgll/Cxcl10" 4
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "4/38" "159/8884" 0.0045417884714466 0.134235874115588 0.121281349890265 "Stat1/Irf9/Cxcl10/Znfx1" 4
"HNF4_Q6" "HNF4_Q6" "HNF4_Q6" "4/38" "160/8884" 0.00464407472228558 0.134235874115588 0.121281349890265 "Id2/Sln/Itga3/Ttc27" 4
"WP_TYPE_I_INTERFERON_INDUCTION_AND_SIGNALING_DURING_SARSCOV2_INFECTION" "WP_TYPE_I_INTERFERON_INDUCTION_AND_SIGNALING_DURING_SARSCOV2_INFECTION" "WP_TYPE_I_INTERFERON_INDUCTION_AND_SIGNALING_DURING_SARSCOV2_INFECTION" "2/38" "26/8884" 0.00542727174332658 0.149743361281783 0.135292276472399 "Stat1/Irf9" 2
"REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES" "REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES" "REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES" "2/38" "27/8884" 0.0058457132957191 0.154275998717456 0.139387488653073 "Ccr5/Cxcl10" 2
"REACTOME_ELASTIC_FIBRE_FORMATION" "REACTOME_ELASTIC_FIBRE_FORMATION" "REACTOME_ELASTIC_FIBRE_FORMATION" "2/38" "28/8884" 0.00627848254910699 0.158793287804498 0.143468833687927 "Furin/Ltbp1" 2
"WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_INTERFERON_INDUCTION" "WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_INTERFERON_INDUCTION" "WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_INTERFERON_INDUCTION" "2/38" "29/8884" 0.0067254559122869 0.163294069550326 0.147535264433746 "Stat1/Irf9" 2
"WP_PDGF_PATHWAY" "WP_PDGF_PATHWAY" "WP_PDGF_PATHWAY" "2/38" "30/8884" 0.00718651054085278 0.167777380703755 0.151585910598555 "Stat1/Tiam1" 2
"WP_GENOTOXICITY_PATHWAY" "WP_GENOTOXICITY_PATHWAY" "WP_GENOTOXICITY_PATHWAY" "2/38" "32/8884" 0.00815037592736518 0.183232525478173 0.165549546126989 "Id2/Dusp14" 2
"GTTRYCATRR_UNKNOWN" "GTTRYCATRR_UNKNOWN" "GTTRYCATRR_UNKNOWN" "3/38" "100/8884" 0.00877613198666832 0.187764757965383 0.169644392439027 "Batf/Pim2/Dusp14" 3
"REACTOME_INTERLEUKIN_10_SIGNALING" "REACTOME_INTERLEUKIN_10_SIGNALING" "REACTOME_INTERLEUKIN_10_SIGNALING" "2/38" "34/8884" 0.00916911074312779 0.187764757965383 0.169644392439027 "Ccr5/Cxcl10" 2
"TGTTTGY_HNF3_Q6" "TGTTTGY_HNF3_Q6" "TGTTTGY_HNF3_Q6" "6/38" "431/8884" 0.00927997156336326 0.187764757965383 0.169644392439027 "Id2/Mgll/Timd2/Itga3/Gipr/Ltbp1" 6
"HALLMARK_TGF_BETA_SIGNALING" "HALLMARK_TGF_BETA_SIGNALING" "HALLMARK_TGF_BETA_SIGNALING" "2/38" "37/8884" 0.0107980044941311 0.20039029876099 0.18105149684293 "Id2/Furin" 2
"REACTOME_SIGNALING_BY_PDGF" "REACTOME_SIGNALING_BY_PDGF" "REACTOME_SIGNALING_BY_PDGF" "2/38" "37/8884" 0.0107980044941311 0.20039029876099 0.18105149684293 "Stat1/Furin" 2
"HFH8_01" "HFH8_01" "HFH8_01" "3/38" "109/8884" 0.0110979783859619 0.20039029876099 0.18105149684293 "Id2/Ntrk3/Mgll" 3
"WP_TGFBETA_RECEPTOR_SIGNALING" "WP_TGFBETA_RECEPTOR_SIGNALING" "WP_TGFBETA_RECEPTOR_SIGNALING" "2/38" "38/8884" 0.0113673751974869 0.20039029876099 0.18105149684293 "Stat1/Ltbp1" 2
"HFH4_01" "HFH4_01" "HFH4_01" "3/38" "111/8884" 0.0116577136054559 0.20039029876099 0.18105149684293 "Id2/Mgll/Itga3" 3
"WP_BRAINDERIVED_NEUROTROPHIC_FACTOR_BDNF_SIGNALING_PATHWAY" "WP_BRAINDERIVED_NEUROTROPHIC_FACTOR_BDNF_SIGNALING_PATHWAY" "WP_BRAINDERIVED_NEUROTROPHIC_FACTOR_BDNF_SIGNALING_PATHWAY" "3/38" "112/8884" 0.0119436163786447 0.20039029876099 0.18105149684293 "Stat1/Ntrk3/Tiam1" 3
"WP_CHEMOKINE_SIGNALING_PATHWAY" "WP_CHEMOKINE_SIGNALING_PATHWAY" "WP_CHEMOKINE_SIGNALING_PATHWAY" "3/38" "114/8884" 0.0125275417297466 0.20039029876099 0.18105149684293 "Stat1/Cxcl10/Tiam1" 3
"WP_TGFBETA_RECEPTOR_SIGNALLING_IN_SKELETAL_DYSPLASIAS" "WP_TGFBETA_RECEPTOR_SIGNALLING_IN_SKELETAL_DYSPLASIAS" "WP_TGFBETA_RECEPTOR_SIGNALLING_IN_SKELETAL_DYSPLASIAS" "2/38" "40/8884" 0.0125450269405562 0.20039029876099 0.18105149684293 "Stat1/Ltbp1" 2
"HNF3ALPHA_Q6" "HNF3ALPHA_Q6" "HNF3ALPHA_Q6" "3/38" "120/8884" 0.0143769229740644 0.21762390624676 0.196621963330551 "Mgll/Itga3/Stap1" 3
"FOX_Q2" "FOX_Q2" "FOX_Q2" "3/38" "121/8884" 0.0146994730743281 0.21762390624676 0.196621963330551 "Mgll/Itga3/Stap1" 3
"REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS" "REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS" "REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS" "3/38" "121/8884" 0.0146994730743281 0.21762390624676 0.196621963330551 "Nts/Mgll/Ffar2" 3
"WP_INTERFERON_TYPE_I_SIGNALING_PATHWAYS" "WP_INTERFERON_TYPE_I_SIGNALING_PATHWAYS" "WP_INTERFERON_TYPE_I_SIGNALING_PATHWAYS" "2/38" "46/8884" 0.0163810310966965 0.236744901802257 0.213897674220022 "Stat1/Irf9" 2
"WP_SARSCOV2_INNATE_IMMUNITY_EVASION_AND_CELLSPECIFIC_IMMUNE_RESPONSE" "WP_SARSCOV2_INNATE_IMMUNITY_EVASION_AND_CELLSPECIFIC_IMMUNE_RESPONSE" "WP_SARSCOV2_INNATE_IMMUNITY_EVASION_AND_CELLSPECIFIC_IMMUNE_RESPONSE" "2/38" "48/8884" 0.0177577168916769 0.250672887284834 0.226481530001558 "Stat1/Cxcl10" 2
"REACTOME_SARS_COV_2_INFECTION" "REACTOME_SARS_COV_2_INFECTION" "REACTOME_SARS_COV_2_INFECTION" "2/38" "49/8884" 0.0184639406031017 0.254718453320062 0.230136675938182 "Furin/St3gal1" 2
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "6/38" "512/8884" 0.0203649664662609 0.269497632751737 0.243489580618495 "Batf/Stat1/Sp100/Ccr5/Irf9/Cxcl10" 6
"HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "3/38" "137/8884" 0.0204232143436243 0.269497632751737 0.243489580618495 "Cxcl10/Aqp9/Ffar2" 3
"FOXO3_01" "FOXO3_01" "FOXO3_01" "3/38" "141/8884" 0.0220209173246228 0.283656339782055 0.256281892008065 "Id2/Ntrk3/Itga3" 3
"HALLMARK_ESTROGEN_RESPONSE_LATE" "HALLMARK_ESTROGEN_RESPONSE_LATE" "HALLMARK_ESTROGEN_RESPONSE_LATE" "3/38" "142/8884" 0.0224308143484986 0.283656339782055 0.256281892008065 "Batf/Id2/Tiam1" 3
"FREAC3_01" "FREAC3_01" "FREAC3_01" "3/38" "145/8884" 0.0236856555091915 0.293412099879168 0.265096165849383 "Id2/Ntrk3/Tiam1" 3
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "2/38" "59/8884" 0.0261562181078014 0.313123243818522 0.282905072452007 "Stat1/Irf9" 2
"REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "3/38" "151/8884" 0.0263085427261032 0.313123243818522 0.282905072452007 "Stat1/Sp100/Irf9" 3
"CHOP_01" "CHOP_01" "CHOP_01" "3/38" "155/8884" 0.0281409462304609 0.318762347466501 0.287999970571485 "Id2/Ntrk3/Itga3" 3
"CCCNNNNNNAAGWT_UNKNOWN" "CCCNNNNNNAAGWT_UNKNOWN" "CCCNNNNNNAAGWT_UNKNOWN" "2/38" "62/8884" 0.0286777476889379 0.318762347466501 0.287999970571485 "Irf9/Tiam1" 2
