"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "45/903" "159/8884" 8.20858354236366e-11 1.67126760922524e-07 1.54062152168783e-07 "Gbp3/Il4ra/H2-DMa/Ddx60/Lgals3bp/Oasl1/Stat1/Ifit2/Cd69/Cd40/Ifit3/Itgb7/Rapgef6/Hif1a/Casp8/Parp12/Plscr1/Rnf213/Socs3/Usp18/Casp1/Bst2/Fgl2/Ddx58/Rtp4/Parp14/Oas2/Irf9/Cxcl10/Psmb2/Tdrd7/St8sia4/Xcl1/Ifi35/Znfx1/Ifih1/Mthfd2/Rsad2/Socs1/Tap1/Ube2l6/Il15ra/Klrk1/Irf7/Sectm1a" 45
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "29/903" "78/8884" 1.65386238118388e-10 1.68363190404519e-07 1.55201927665835e-07 "Gbp3/Il4ra/Oas1g/Ddx60/Lgals3bp/Oasl1/Ifit2/Ifit3/Casp8/Parp12/Plscr1/Gbp2/Usp18/Mov10/Casp1/Bst2/Rtp4/Parp14/Irf9/Cxcl10/Tdrd7/Ifi35/Ifih1/Sell/Cnp/Rsad2/Tap1/Ube2l6/Irf7" 29
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "94/903" "512/8884" 4.70226887010198e-09 3.19127313984254e-06 2.94180540189187e-06 "Gbp3/Cd44/Il4ra/Oas1g/Timp1/Il2ra/Oasl1/Stat1/Tnfrsf9/Ifit2/Psmd9/Cd40/Cd4/Ifit3/Csk/Stx1a/Fgf2/Hif1a/Map2k6/Il10/Cd70/Gbp2/Socs3/Usp18/Il21/Fasl/Ccr5/Kpna3/Pdcd4/Casp1/Bst2/Psmd12/Seh1l/Tec/Psmb7/Ddx58/Ccl3/Il16/Cdkn1b/Ifng/Oas2/Irf9/Cxcl10/Psmb2/Rora/Il3/Vrk3/Kpnb1/Nupl2/Psmd6/Mif/Mtap/Ptpn18/Sumo1/Nup62/Ifi35/Cish/Irak2/Dusp7/Fscn1/Psmc2/Eif4a2/Ube2e1/Hmox1/Ager/Grap2/Camk2g/Flt3l/Pik3cd/Tcp1/Rps27a/Rsad2/Prlr/Socs1/Mef2c/H2-Ab1/Gata3/Gbp5/Nkiras1/Birc2/Nup133/Sp100/Ube2l6/Csf2/Il15ra/Irf7/Egr1/Jak1/Il12rb2/Nup107/Mapkapk3/Cnn2/Akt3/Pom121" 94
"REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "38/903" "151/8884" 8.10760372239985e-08 4.12677029470152e-05 3.80417300974709e-05 "Gbp3/Cd44/Oas1g/Oasl1/Stat1/Ifit2/Ifit3/Gbp2/Socs3/Usp18/Kpna3/Bst2/Seh1l/Ddx58/Ifng/Oas2/Irf9/Kpnb1/Nupl2/Sumo1/Nup62/Ifi35/Eif4a2/Ube2e1/Camk2g/Rps27a/Rsad2/Socs1/H2-Ab1/Gbp5/Nup133/Sp100/Ube2l6/Irf7/Egr1/Jak1/Nup107/Pom121" 38
"HALLMARK_MYC_TARGETS_V1" "HALLMARK_MYC_TARGETS_V1" "HALLMARK_MYC_TARGETS_V1" "39/903" "160/8884" 1.37462525811386e-07 5.59747405103964e-05 5.15990912677266e-05 "Vbp1/Mcm6/Hdgf/Usp1/Xrcc6/Nap1l1/Dek/Eprs/Tomm70a/Snrpa/Pold2/Mcm2/Pole3/Mcm4/Ruvbl2/Cops5/G3bp1/Ddx21/Psmb2/Serbp1/Kpnb1/Got2/Ywhae/Cdk4/Rpl22/Cct5/Gnl3/Ube2e1/Rad23b/Rrp9/Tcp1/Cct7/Hspd1/Vdac3/Snrpd1/Mcm5/Pcna/Lsm2/Odc1" 39
"REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "19/903" "60/8884" 4.03398797046232e-06 0.00136886658464355 0.00126185974584812 "Oas1g/Oasl1/Stat1/Usp18/Kpna3/Seh1l/Ddx58/Oas2/Kpnb1/Nupl2/Nup62/Eif4a2/Ube2e1/Rps27a/Nup133/Ube2l6/Jak1/Nup107/Pom121" 19
"ETS_Q4" "ETS_Q4" "ETS_Q4" "38/903" "181/8884" 9.78714726773017e-06 0.00284666169101409 0.00262413286892675 "Pus7l/Madd/Coro1a/Tbc1d10c/Nfkbid/Acsl5/Itgb7/Yrdc/Prkag1/Dab2ip/Gmfg/Pkn1/Arrb2/E2f5/Ppp1r9b/Itpr1/Rin3/Nasp/Skap1/Fxyd5/Pla2g4f/Itpr2/Furin/Usp3/Acsl4/Arhgap15/Extl2/Foxn3/Chd2/Arhgap30/Lime1/Gata3/Slc9a3r1/Map4k2/Hmga1/Lpxn/Arhgap4/Kcnab2" 38
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "18/903" "59/8884" 1.29311006276995e-05 0.00329096510974952 0.00303370426568266 "Oas1g/Oasl1/Stat1/Ifit2/Ifit3/Gbp2/Socs3/Usp18/Bst2/Oas2/Irf9/Kpnb1/Ifi35/Rsad2/Socs1/Irf7/Egr1/Jak1" 18
"REACTOME_PROTEIN_LOCALIZATION" "REACTOME_PROTEIN_LOCALIZATION" "REACTOME_PROTEIN_LOCALIZATION" "29/903" "127/8884" 2.12357312526809e-05 0.00480399431449537 0.0044284571723427 "Pmpcb/Stx1a/Mlycd/Tomm22/Vapa/Scp2/Ldhd/Tomm70a/Sec61b/Timm9/Pex6/Zfand6/Gfer/Mtx1/Cat/Pitrm1/Hmox1/Taz/Paox/Rps27a/Hspd1/Stx5a/Atp5a1/Aldh3a2/Cox17/Abcd3/Acox3/Nudt19/Ndufb8" 29
"RYTTCCTG_ETS2_B" "RYTTCCTG_ETS2_B" "RYTTCCTG_ETS2_B" "106/903" "722/8884" 4.17178898784841e-05 0.00849376237925936 0.00782978922666706 "Atp2a3/Prrg3/Pus7l/Lag3/Madd/Timp1/Tsc22d4/Pitpnc1/Ctsa/Sh3kbp1/Creb3/Cd40/Cd4/Nfkbid/Rbbp7/Acsl5/Tfb1m/Lmo4/Cd6/Dab2ip/Arl6ip5/Arhgdib/Arrb2/Casp8/Map2k6/E2f5/Il10/Ppp1r9b/Itpr1/Rin3/Nr4a3/Egfl7/Mgll/Atxn1/Nasp/Ube2b/Actb/Skap1/Fxyd5/Nsmce2/Snx20/Slpi/Pla2g4f/Nr4a2/Rora/Slc2a9/Igfbp4/Pik3cg/Psap/Kpnb1/Itpr2/Furin/Xcl1/Crebl2/Usp3/Vcl/Cdk2ap2/Pla1a/Tmem154/Dhcr24/Prkacb/Stim1/Arhgap15/Evl/Fpgs/Sipa1/Zfp282/Def6/Extl2/Itpr3/Gnl2/Btk/Appl2/Foxn3/Chd2/Trex1/Flt3l/Was/Ets1/Pik3cd/Arhgap30/Tbl1xr1/Mef2c/Lime1/Gata3/Stx5a/Ruvbl1/Abr/Slc9a3r1/Cox17/Zhx2/Csf2/Arl4c/St13/Zfp593/Egr1/Map4k2/Arhgef4/Hmga1/Cnn2/Arhgap4/Etv6/Mllt11/Elovl1/Kcnab2/Stk10" 106
