"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION" "HALLMARK_OXIDATIVE_PHOSPHORYLATION" "HALLMARK_OXIDATIVE_PHOSPHORYLATION" "40/941" "170/8884" 7.77176914066731e-07 0.000547505474838709 0.000517746481438166 "Ndufab1/Nqo2/Aldh6a1/Ech1/Immt/Cox7b/Tomm22/Idh1/Cox7a2l/Tomm70a/Aifm1/Dld/Timm9/Mrpl34/Gpx4/Mrpl15/Cox7a2/Cox11/Htra2/Acaa1a/Mrps11/Acaa2/Bax/Cox5b/Fh1/Got2/Mgst3/Etfb/Casp7/Ndufc1/Mrps15/Cox6c/Alas1/Vdac3/Sdhb/Etfa/Atp5a1/Atp5e/Cox17/Ndufb8" 40
"REACTOME_NEUTROPHIL_DEGRANULATION" "REACTOME_NEUTROPHIL_DEGRANULATION" "REACTOME_NEUTROPHIL_DEGRANULATION" "62/941" "315/8884" 7.98085942077386e-07 0.000547505474838709 0.000517746481438166 "Gm2a/Ticam2/Ctsb/Arsb/Rab27a/Tbc1d10c/Lgals3/Ctsa/Rab3a/Tspan14/Manba/Nckap1l/Cotl1/Gmfg/Vapa/Idh1/Unc13d/Pdap1/Psmd14/Rab3d/Gstp1/Ampd3/Eef2/Vamp8/H2-M3/Hexb/Rab37/Grn/Iqgap2/Bst2/Slc44a2/Fgl2/Psmd12/Neu1/Apaf1/Ypel5/Alad/Slpi/Acaa1a/Ctsz/Psap/Kpnb1/Psmd6/Mif/Cd47/Vcl/Trappc1/Cat/Sell/Plaur/S100a11/Plac8/Arhgap9/Cant1/Serpinb6a/Arsa/Atad3a/Commd3/B4galt1/Cnn2/Kcnab2/Stk10" 62
"REACTOME_INNATE_IMMUNE_SYSTEM" "REACTOME_INNATE_IMMUNE_SYSTEM" "REACTOME_INNATE_IMMUNE_SYSTEM" "112/941" "682/8884" 8.14336353255393e-07 0.000547505474838709 0.000517746481438166 "Gm2a/Ticam2/Ctsb/Arsb/Rab27a/Tbc1d10c/Psmd9/Lgals3/Ctsa/Rab3a/Cd4/Tspan14/Map3k1/Manba/Nckap1l/Cotl1/Tlr6/Gmfg/Polr3e/Vapa/Casp8/Idh1/Map2k6/Unc13d/Pdap1/Psmd14/Tomm70a/Rab3d/Gstp1/Ampd3/Eef2/Zbp1/Lgmn/Itpr1/Vamp8/H2-M3/Hexb/Rab37/Masp2/Grn/Prkdc/Iqgap2/Ube2m/Bst2/Slc44a2/Fgl2/Psmd12/Neu1/Tec/Pstpip1/Apaf1/Actb/Ypel5/Alad/P2rx7/Slpi/Ncf4/Acaa1a/Psmb5/Ctsz/Rasgrp4/Psap/Vrk3/Kpnb1/Malt1/Itpr2/Psmd6/Mif/Polr3d/Rnf125/Cd47/Vcl/Vav2/Prkacb/Trappc1/Rac2/Dusp7/Cat/Itpr3/Hmox1/Ager/Grap2/Ep300/Was/Sell/Psmd8/Rps27a/Dhx58/Plaur/S100a11/Plac8/Rasgrp1/Txn1/Arhgap9/Nkiras1/Cant1/Serpinb6a/Arsa/Atad3a/Dusp6/Ube2l6/Polr3b/Sigirr/Rnf135/Commd3/B4galt1/Polr2e/Cnn2/Card11/Kcnab2/Bcl2l1/Stk10" 112
"REACTOME_SPHINGOLIPID_METABOLISM" "REACTOME_SPHINGOLIPID_METABOLISM" "REACTOME_SPHINGOLIPID_METABOLISM" "18/941" "50/8884" 1.60353742070306e-06 0.000657948002009213 0.000622186039527539 "Gm2a/Arsb/Ctsa/Vapa/Smpd1/Hexb/Prkd2/Neu1/Sgpp1/Smpd4/Psap/Vapb/Asah2/Aldh3a2/Gltp/Arsa/Hexa/Csnk1g2" 18
"ETS_Q4" "ETS_Q4" "ETS_Q4" "41/941" "181/8884" 1.63100645019636e-06 0.000657948002009213 0.000622186039527539 "Pus7l/Arsb/Madd/Coro1a/Tbc1d10c/Nfkbid/Itgb7/Yrdc/Prkag1/Dab2ip/Gmfg/Pkn1/Arrb2/Uxt/E2f5/Ppp1r9b/Pdap1/Oma1/Itpr1/Rin3/Nasp/Skap1/Fxyd5/Strbp/Itpr2/Furin/Usp3/Arhgap15/Foxn3/Pdlim2/Chd2/Arhgap30/Lime1/Elk3/Slc9a3r1/Sigirr/Map4k2/Hmga1/Lpxn/Arhgap4/Kcnab2" 41
"REACTOME_PROTEIN_LOCALIZATION" "REACTOME_PROTEIN_LOCALIZATION" "REACTOME_PROTEIN_LOCALIZATION" "32/941" "127/8884" 2.05699217791166e-06 0.000691492203807968 0.000653906987083495 "Pmpcb/Ech1/Stx1a/Mlycd/Tomm22/Vapa/Scp2/Idh1/Ldhd/Tomm70a/Sec61b/Timm9/Pex6/Zfand6/Gfer/Acaa1a/Cat/Pitrm1/Hmox1/Ide/Taz/Paox/Gstk1/Rps27a/Stx5a/Atp5a1/Aldh3a2/Abcd1/Cox17/Abcd3/Acox3/Ndufb8" 32
"REACTOME_GLYCOSPHINGOLIPID_METABOLISM" "REACTOME_GLYCOSPHINGOLIPID_METABOLISM" "REACTOME_GLYCOSPHINGOLIPID_METABOLISM" "12/941" "27/8884" 7.1309236676059e-06 0.00205472471965158 0.00194304265950404 "Gm2a/Arsb/Ctsa/Smpd1/Hexb/Neu1/Smpd4/Psap/Asah2/Gltp/Arsa/Hexa" 12
"HALLMARK_MTORC1_SIGNALING" "HALLMARK_MTORC1_SIGNALING" "HALLMARK_MTORC1_SIGNALING" "35/941" "158/8884" 1.56728811062341e-05 0.00395152514890928 0.00373674481111792 "Ddit4/Coro1a/Hspa4/Cyp51/Asns/Atp2a2/Immt/Idh1/Eprs/Rpa1/Uchl5/Pdap1/Psmd14/Lgmn/Mcm2/Psat1/Mcm4/Fgl2/Psmd12/Hspe1/Idi1/Psmb5/Sdf2l1/Cdc25a/Slc1a4/Glrx/Dhcr24/Tpi1/Sla/Rrp9/Acsl3/Slc9a3r1/Sqle/Cth/Phgdh" 35
"WP_G1_TO_S_CELL_CYCLE_CONTROL" "WP_G1_TO_S_CELL_CYCLE_CONTROL" "WP_G1_TO_S_CELL_CYCLE_CONTROL" "15/941" "46/8884" 4.58699151654087e-05 0.0102799576542921 0.00972120307365153 "Mcm6/Creb3/Ccnd3/Pola2/E2f2/Rpa1/Mcm2/Mcm4/Cdkn1b/Cdc25a/Cdk4/Mcm5/Cdkn2d/Pcna/Mcm3" 15
"HALLMARK_CHOLESTEROL_HOMEOSTASIS" "HALLMARK_CHOLESTEROL_HOMEOSTASIS" "HALLMARK_CHOLESTEROL_HOMEOSTASIS" "17/941" "57/8884" 5.29621518324316e-05 0.0106824660246015 0.0101018335916175 "Lgals3/Cyp51/Ech1/Hsd17b7/Plscr1/Lgmn/Anxa5/Idi1/Acss2/Gldc/Plaur/S100a11/Stx5a/Ethe1/Sqle/Antxr2/Adh4" 17
"RYTTCCTG_ETS2_B" "RYTTCCTG_ETS2_B" "RYTTCCTG_ETS2_B" "107/941" "722/8884" 0.00014138163234117 0.0259242502211036 0.0245151691676746 "Atp2a3/Pus7l/Lag3/Ddit4/Madd/Fermt3/Timp1/Nrp1/Tsc22d4/Pitpnc1/Ctsa/Sh3kbp1/Creb3/Cd40/Cd4/Nfkbid/Tfb1m/Lmo4/Dab2ip/Arl6ip5/Arhgdib/Arrb2/Casp8/Map2k6/E2f5/Ppp1r9b/Pdap1/Trpc4ap/Oma1/Atxn7l1/Itpr1/Vamp8/Rin3/Nr4a3/Egfl7/Pstpip1/Atxn1/Nasp/Ube2b/Actb/Jak3/Skap1/Fxyd5/Strbp/Nsmce2/Snx20/Slpi/Ncf4/Nr4a2/Enpp1/Slc2a9/Igfbp4/Pik3cg/Myo18a/Psap/Kpnb1/Itpr2/Furin/Xcl1/Crebl2/Usp3/Vcl/Cdk2ap2/Pla1a/Tmem154/Dhcr24/Prkacb/Stim1/Arhgap15/Evl/Fpgs/Sipa1/Zfp282/Def6/Itpr3/Gnl2/Appl2/Foxn3/Pdlim2/Chd2/Flt3l/Was/Ets1/Pik3cd/Arhgap30/Tbl1xr1/Lime1/Stx5a/Elk3/Abr/Slc9a3r1/Cox17/Csf2/Arl4c/Sigirr/St13/Zfp593/Map4k2/Arhgef4/Sh3bp1/Hmga1/Cnn2/Arhgap4/Etv6/Rwdd4a/Kcnab2/Stk10" 107
