"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "7/40" "78/8884" 4.51869611525168e-08 2.69314288469e-05 2.48766112450171e-05 "Oas1g/Oasl1/Usp18/Gbp3/Bst2/Cxcl10/Ube2l6" 7
"REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "8/40" "151/8884" 2.8065801315571e-07 8.29091104458199e-05 7.65833005354359e-05 "Oas1g/Oasl1/Usp18/Gbp3/Bst2/Ifng/Ube2l6/Gbp5" 8
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "8/40" "159/8884" 4.17327737143389e-07 8.29091104458199e-05 7.65833005354359e-05 "Oasl1/Usp18/Zbp1/Gbp3/Bst2/Fgl2/Cxcl10/Ube2l6" 8
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "11/40" "512/8884" 1.04842788901245e-05 0.00156215755462855 0.0014429678577724 "Oas1g/Oasl1/Ccr5/Usp18/Gbp3/Bst2/Ifng/Cxcl10/Ube2l6/Il12rb2/Gbp5" 11
"REACTOME_INTERFERON_GAMMA_SIGNALING" "REACTOME_INTERFERON_GAMMA_SIGNALING" "REACTOME_INTERFERON_GAMMA_SIGNALING" "5/40" "76/8884" 2.08921033466337e-05 0.00249033871891874 0.00230033053690304 "Oas1g/Oasl1/Gbp3/Ifng/Gbp5" 5
"HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "6/40" "160/8884" 7.18461163410093e-05 0.00713671422320692 0.00659219628883296 "Nrp1/Gbp3/Fgl2/Cxcl10/Furin/Eomes" 6
"IRF_Q6" "IRF_Q6" "IRF_Q6" "6/40" "165/8884" 8.52475038432659e-05 0.00725821604151235 0.00670442774586888 "Nrp1/Zbp1/Bst2/Cxcl10/Ube2l6/Eomes" 6
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "4/40" "59/8884" 0.000134152604897706 0.00948765367793717 0.00876376346443154 "Oas1g/Oasl1/Usp18/Bst2" 4
"REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "4/40" "60/8884" 0.000143269938089655 0.00948765367793717 0.00876376346443154 "Oas1g/Oasl1/Usp18/Ube2l6" 4
"WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "3/40" "25/8884" 0.000181590784435409 0.0108228107523504 0.00999705055365461 "Ccr5/Ifng/Il12rb2" 3
"REACTOME_G_ALPHA_I_SIGNALLING_EVENTS" "REACTOME_G_ALPHA_I_SIGNALLING_EVENTS" "REACTOME_G_ALPHA_I_SIGNALLING_EVENTS" "5/40" "156/8884" 0.000627270149369751 0.0339866371840338 0.0313935203942947 "Ccr5/Itpr1/Cxcl10/Gnaz/Rgs1" 5
"WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "WP_TYPE_II_INTERFERON_SIGNALING_IFNG" "3/40" "40/8884" 0.00074440302718953 0.0341344908040981 0.0315300930599494 "Oas1g/Ifng/Cxcl10" 3
"IRF7_01" "IRF7_01" "IRF7_01" "5/40" "162/8884" 0.000744544262505496 0.0341344908040981 0.0315300930599494 "Oasl1/Nrp1/Usp18/Bst2/Cxcl10" 5
"FOXJ2_02" "FOXJ2_02" "FOXJ2_02" "4/40" "127/8884" 0.00244477914286631 0.102815534582806 0.0949709017781834 "Edn1/Igfbp7/Gnaz/Id1" 4
"STTTCRNTTT_IRF_Q6" "STTTCRNTTT_IRF_Q6" "STTTCRNTTT_IRF_Q6" "4/40" "129/8884" 0.00258763929319142 0.102815534582806 0.0949709017781834 "Usp18/Zbp1/Bst2/Cxcl10" 4
