"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"IRF_Q6" "IRF_Q6" "IRF_Q6" "4/5" "165/8884" 5.65606260936425e-07 7.80536640092267e-05 5.35837510360824e-05 "Adar/Nrp1/Zbp1/Ube2l6" 4
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "3/5" "159/8884" 5.47974716458132e-05 0.00378102554356111 0.00259566970953852 "Adar/Zbp1/Ube2l6" 3
"WP_CYTOSOLIC_DNASENSING_PATHWAY" "WP_CYTOSOLIC_DNASENSING_PATHWAY" "WP_CYTOSOLIC_DNASENSING_PATHWAY" "2/5" "50/8884" 0.00030711222954633 0.0141271625591312 0.00969828093304199 "Adar/Zbp1" 2
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "2/5" "78/8884" 0.000748115021242551 0.025809968232868 0.0177185136610078 "Adar/Ube2l6" 2
"HNF1_01" "HNF1_01" "HNF1_01" "2/5" "120/8884" 0.00176189962702362 0.0461518847067954 0.0316832160458549 "Nrp1/Prickle1" 2
"HNF1_Q6" "HNF1_Q6" "HNF1_Q6" "2/5" "133/8884" 0.00215972367654807 0.0461518847067954 0.0316832160458549 "Nrp1/Prickle1" 2
"REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "2/5" "151/8884" 0.00277502245454635 0.0461518847067954 0.0316832160458549 "Adar/Ube2l6" 2
"IRF7_01" "IRF7_01" "IRF7_01" "2/5" "162/8884" 0.00318752789674291 0.0461518847067954 0.0316832160458549 "Adar/Nrp1" 2
"LYF1_01" "LYF1_01" "LYF1_01" "2/5" "164/8884" 0.00326548111593283 0.0461518847067954 0.0316832160458549 "Nrp1/Prickle1" 2
"ICSBP_Q6" "ICSBP_Q6" "ICSBP_Q6" "2/5" "166/8884" 0.00334433947150691 0.0461518847067954 0.0316832160458549 "Adar/Zbp1" 2
"REACTOME_CRMPS_IN_SEMA3A_SIGNALING" "REACTOME_CRMPS_IN_SEMA3A_SIGNALING" "REACTOME_CRMPS_IN_SEMA3A_SIGNALING" "1/5" "10/8884" 0.00561670127167757 0.0619804629333073 0.042549516887854 "Nrp1" 1
"REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION" "REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION" "REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION" "1/5" "11/8884" 0.00617698034465952 0.0619804629333073 0.042549516887854 "Nrp1" 1
"REACTOME_REGULATION_OF_INNATE_IMMUNE_RESPONSES_TO_CYTOSOLIC_DNA" "REACTOME_REGULATION_OF_INNATE_IMMUNE_RESPONSES_TO_CYTOSOLIC_DNA" "REACTOME_REGULATION_OF_INNATE_IMMUNE_RESPONSES_TO_CYTOSOLIC_DNA" "1/5" "12/8884" 0.00673700684057688 0.0619804629333073 0.042549516887854 "Zbp1" 1
"REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_ZBP1" "REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_ZBP1" "REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_ZBP1" "1/5" "12/8884" 0.00673700684057688 0.0619804629333073 0.042549516887854 "Zbp1" 1
"WP_PATHWAYS_OF_NUCLEIC_ACID_METABOLISM_AND_INNATE_IMMUNE_SENSING" "WP_PATHWAYS_OF_NUCLEIC_ACID_METABOLISM_AND_INNATE_IMMUNE_SENSING" "WP_PATHWAYS_OF_NUCLEIC_ACID_METABOLISM_AND_INNATE_IMMUNE_SENSING" "1/5" "12/8884" 0.00673700684057688 0.0619804629333073 0.042549516887854 "Adar" 1
"REACTOME_ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS" "REACTOME_ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS" "REACTOME_ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS" "1/5" "16/8884" 0.00897458876145585 0.0774058280675567 0.053139012403357 "Zbp1" 1
"REACTOME_SIGNAL_TRANSDUCTION_BY_L1" "REACTOME_SIGNAL_TRANSDUCTION_BY_L1" "REACTOME_SIGNAL_TRANSDUCTION_BY_L1" "1/5" "18/8884" 0.0100918664791773 0.081922210242733 0.0562395035991302 "Nrp1" 1
"HALLMARK_ANGIOGENESIS" "HALLMARK_ANGIOGENESIS" "HALLMARK_ANGIOGENESIS" "1/5" "21/8884" 0.0117658934217469 0.0873054299074201 0.0599350777396477 "Nrp1" 1
"RGAGGAARY_PU1_Q6" "RGAGGAARY_PU1_Q6" "RGAGGAARY_PU1_Q6" "2/5" "331/8884" 0.0128439337814956 0.0873054299074201 0.0599350777396477 "Nrp1/Prickle1" 2
"HALLMARK_HEDGEHOG_SIGNALING" "HALLMARK_HEDGEHOG_SIGNALING" "HALLMARK_HEDGEHOG_SIGNALING" "1/5" "24/8884" 0.0134376548494587 0.0873054299074201 0.0599350777396477 "Nrp1" 1
"REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS" "REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS" "REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS" "1/5" "24/8884" 0.0134376548494587 0.0873054299074201 0.0599350777396477 "Ube2l6" 1
"REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING" "REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING" "REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING" "1/5" "25/8884" 0.013994405608573 0.0873054299074201 0.0599350777396477 "Ube2l6" 1
"EVI1_03" "EVI1_03" "EVI1_03" "1/5" "26/8884" 0.01455090498457 0.0873054299074201 0.0599350777396477 "Nrp1" 1
"REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE" "REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE" "REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE" "1/5" "29/8884" 0.0162188956651373 0.0925946347863681 0.0635661108373236 "Ube2l6" 1
"WP_PARKINSONS_DISEASE_PATHWAY" "WP_PARKINSONS_DISEASE_PATHWAY" "WP_PARKINSONS_DISEASE_PATHWAY" "1/5" "30/8884" 0.0167743903598493 0.0925946347863681 0.0635661108373236 "Ube2l6" 1
"REACTOME_DNA_DAMAGE_BYPASS" "REACTOME_DNA_DAMAGE_BYPASS" "REACTOME_DNA_DAMAGE_BYPASS" "1/5" "36/8884" 0.0201020913938561 0.104531651450937 0.0717608591196363 "Ube2l6" 1
"REACTOME_AMYLOID_FIBER_FORMATION" "REACTOME_AMYLOID_FIBER_FORMATION" "REACTOME_AMYLOID_FIBER_FORMATION" "1/5" "38/8884" 0.0212093205842481 0.104531651450937 0.0717608591196363 "Ube2l6" 1
"REACTOME_SEMAPHORIN_INTERACTIONS" "REACTOME_SEMAPHORIN_INTERACTIONS" "REACTOME_SEMAPHORIN_INTERACTIONS" "1/5" "38/8884" 0.0212093205842481 0.104531651450937 0.0717608591196363 "Nrp1" 1
"REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA" "REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA" "REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA" "1/5" "47/8884" 0.0261794729890263 0.112564520619071 0.0772754146126346 "Zbp1" 1
