"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "5/15" "159/8884" 4.47998044296656e-06 0.000858515029516284 0.000585560734417658 "Trim25/Usp18/Bst2/Fgl2/Selp" 5
"WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "3/15" "25/8884" 8.76035744404371e-06 0.000858515029516284 0.000585560734417658 "Ccr5/Cxcr3/Il12rb2" 3
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "3/15" "78/8884" 0.000274586709124967 0.017475442213704 0.0119193402853943 "Trim25/Usp18/Bst2" 3
"WP_PEPTIDE_GPCRS" "WP_PEPTIDE_GPCRS" "WP_PEPTIDE_GPCRS" "2/15" "17/8884" 0.000356641677830695 0.017475442213704 0.0119193402853943 "Ccr5/Cxcr3" 2
"WP_GPCRS_CLASS_A_RHODOPSINLIKE" "WP_GPCRS_CLASS_A_RHODOPSINLIKE" "WP_GPCRS_CLASS_A_RHODOPSINLIKE" "3/15" "92/8884" 0.000446865600720818 0.0175171315482561 0.0119477750087461 "Ccr5/Cxcr3/Ffar2" 3
"REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS" "REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS" "REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS" "2/15" "24/8884" 0.000718847061427947 0.0234823373399796 0.0160164169826928 "Pik3ap1/Itpr1" 2
"REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES" "REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES" "REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES" "2/15" "27/8884" 0.000911514833433427 0.025522415336136 0.017407877270082 "Ccr5/Cxcr3" 2
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "5/15" "512/8884" 0.00115464708842895 0.027877514153805 0.0190142013831001 "Trim25/Ccr5/Usp18/Bst2/Il12rb2" 5
"REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS" "REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS" "REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS" "3/15" "132/8884" 0.0012800899356339 0.027877514153805 0.0190142013831001 "Ccr5/Cxcr3/Ffar2" 3
"WP_GPCRS_OTHER" "WP_GPCRS_OTHER" "WP_GPCRS_OTHER" "2/15" "37/8884" 0.0017127577804204 0.0335700524962399 0.0228968671698306 "Ccr5/Cxcr3" 2
"REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "3/15" "151/8884" 0.00188502200915299 0.0335876648903624 0.0229088799198497 "Trim25/Usp18/Bst2" 3
"REACTOME_G_ALPHA_I_SIGNALLING_EVENTS" "REACTOME_G_ALPHA_I_SIGNALLING_EVENTS" "REACTOME_G_ALPHA_I_SIGNALLING_EVENTS" "3/15" "156/8884" 0.00206933406236964 0.0337991230187041 0.0230531075369249 "Ccr5/Itpr1/Cxcr3" 3
"REACTOME_SIGNALING_BY_GPCR" "REACTOME_SIGNALING_BY_GPCR" "REACTOME_SIGNALING_BY_GPCR" "4/15" "351/8884" 0.00231223729410231 0.0345939533723487 0.0235952313549317 "Ccr5/Itpr1/Cxcr3/Ffar2" 4
"ICSBP_Q6" "ICSBP_Q6" "ICSBP_Q6" "3/15" "166/8884" 0.00247099666945348 0.0345939533723487 0.0235952313549317 "Usp18/Itpr1/Bst2" 3
"REACTOME_GPCR_LIGAND_BINDING" "REACTOME_GPCR_LIGAND_BINDING" "REACTOME_GPCR_LIGAND_BINDING" "3/15" "192/8884" 0.00373281014736561 0.0484668394045719 0.0330574038903364 "Ccr5/Cxcr3/Ffar2" 3
"REACTOME_INNATE_IMMUNE_SYSTEM" "REACTOME_INNATE_IMMUNE_SYSTEM" "REACTOME_INNATE_IMMUNE_SYSTEM" "5/15" "682/8884" 0.00412074887965279 0.0484668394045719 0.0330574038903364 "Trim25/Itpr1/Bst2/Fgl2/Plac8" 5
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "2/15" "59/8884" 0.00430686142462954 0.0484668394045719 0.0330574038903364 "Usp18/Bst2" 2
"REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "2/15" "60/8884" 0.00445103627184844 0.0484668394045719 0.0330574038903364 "Trim25/Usp18" 2
"REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS" "REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS" "REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS" "2/15" "76/8884" 0.00705613307104672 0.0709250380556969 0.0483752944848201 "Ccr5/Cxcr3" 2
"WP_TCELL_ANTIGEN_RECEPTOR_TCR_SIGNALING_PATHWAY" "WP_TCELL_ANTIGEN_RECEPTOR_TCR_SIGNALING_PATHWAY" "WP_TCELL_ANTIGEN_RECEPTOR_TCR_SIGNALING_PATHWAY" "2/15" "77/8884" 0.00723724878119356 0.0709250380556969 0.0483752944848201 "Ccr5/Itpr1" 2
"IRF2_01" "IRF2_01" "IRF2_01" "2/15" "85/8884" 0.00876165725524986 0.0816383161673595 0.0556824175792409 "Usp18/Bst2" 2
"REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR" "REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR" "REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR" "2/15" "87/8884" 0.00916348446776485 0.0816383161673595 0.0556824175792409 "Pik3ap1/Itpr1" 2
"REACTOME_NEUTROPHIL_DEGRANULATION" "REACTOME_NEUTROPHIL_DEGRANULATION" "REACTOME_NEUTROPHIL_DEGRANULATION" "3/15" "315/8884" 0.0146325373266682 0.1230290124012 0.0839134509933 "Bst2/Fgl2/Plac8" 3
"WP_PKCGAMMA_CALCIUM_SIGNALING_PATHWAY_IN_ATAXIA" "WP_PKCGAMMA_CALCIUM_SIGNALING_PATHWAY_IN_ATAXIA" "WP_PKCGAMMA_CALCIUM_SIGNALING_PATHWAY_IN_ATAXIA" "1/15" "10/8884" 0.0167650059166204 0.1230290124012 0.0839134509933 "Itpr1" 1
"REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS" "REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS" "REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS" "2/15" "121/8884" 0.017204974114719 0.1230290124012 0.0839134509933 "Itpr1/Ffar2" 2
"REACTOME_CGMP_EFFECTS" "REACTOME_CGMP_EFFECTS" "REACTOME_CGMP_EFFECTS" "1/15" "11/8884" 0.0184269988072276 0.1230290124012 0.0839134509933 "Itpr1" 1
"REACTOME_INTERLEUKIN_35_SIGNALLING" "REACTOME_INTERLEUKIN_35_SIGNALLING" "REACTOME_INTERLEUKIN_35_SIGNALLING" "1/15" "11/8884" 0.0184269988072276 0.1230290124012 0.0839134509933 "Il12rb2" 1
"STTTCRNTTT_IRF_Q6" "STTTCRNTTT_IRF_Q6" "STTTCRNTTT_IRF_Q6" "2/15" "129/8884" 0.01941388534414 0.1230290124012 0.0839134509933 "Usp18/Bst2" 2
"REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE" "REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE" "REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE" "1/15" "12/8884" 0.0200863693716246 0.1230290124012 0.0839134509933 "Ccr5" 1
"REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS" "REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS" "REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS" "1/15" "12/8884" 0.0200863693716246 0.1230290124012 0.0839134509933 "Itpr1" 1
"REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY" "REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY" "REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY" "1/15" "12/8884" 0.0200863693716246 0.1230290124012 0.0839134509933 "Trim25" 1
"WP_MFAP5_EFFECT_ON_PERMEABILITY_AND_MOTILITY_OF_ENDOTHELIAL_CELLS_VIA_CYTOSKELETON_REARRANGEMENT" "WP_MFAP5_EFFECT_ON_PERMEABILITY_AND_MOTILITY_OF_ENDOTHELIAL_CELLS_VIA_CYTOSKELETON_REARRANGEMENT" "WP_MFAP5_EFFECT_ON_PERMEABILITY_AND_MOTILITY_OF_ENDOTHELIAL_CELLS_VIA_CYTOSKELETON_REARRANGEMENT" "1/15" "12/8884" 0.0200863693716246 0.1230290124012 0.0839134509933 "Itpr1" 1
"HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "HALLMARK_INFLAMMATORY_RESPONSE" "2/15" "137/8884" 0.0217369624598857 0.125269483616836 0.0854415919405918 "Bst2/Ffar2" 2
"WP_CELLS_AND_MOLECULES_INVOLVED_IN_LOCAL_ACUTE_INFLAMMATORY_RESPONSE" "WP_CELLS_AND_MOLECULES_INVOLVED_IN_LOCAL_ACUTE_INFLAMMATORY_RESPONSE" "WP_CELLS_AND_MOLECULES_INVOLVED_IN_LOCAL_ACUTE_INFLAMMATORY_RESPONSE" "1/15" "13/8884" 0.0217431214522633 0.125269483616836 0.0854415919405918 "Selp" 1
"WP_PLATELETMEDIATED_INTERACTIONS_WITH_VASCULAR_AND_CIRCULATING_CELLS" "WP_PLATELETMEDIATED_INTERACTIONS_WITH_VASCULAR_AND_CIRCULATING_CELLS" "WP_PLATELETMEDIATED_INTERACTIONS_WITH_VASCULAR_AND_CIRCULATING_CELLS" "1/15" "14/8884" 0.0233972588863989 0.125269483616836 0.0854415919405918 "Selp" 1
"WP_STING_PATHWAY_IN_KAWASAKILIKE_DISEASE_AND_COVID19" "WP_STING_PATHWAY_IN_KAWASAKILIKE_DISEASE_AND_COVID19" "WP_STING_PATHWAY_IN_KAWASAKILIKE_DISEASE_AND_COVID19" "1/15" "14/8884" 0.0233972588863989 0.125269483616836 0.0854415919405918 "Itpr1" 1
"REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE" "REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE" "REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE" "1/15" "15/8884" 0.0250487855060944 0.125269483616836 0.0854415919405918 "Itpr1" 1
"REACTOME_VEGFR2_MEDIATED_CELL_PROLIFERATION" "REACTOME_VEGFR2_MEDIATED_CELL_PROLIFERATION" "REACTOME_VEGFR2_MEDIATED_CELL_PROLIFERATION" "1/15" "15/8884" 0.0250487855060944 0.125269483616836 0.0854415919405918 "Itpr1" 1
"IRF1_01" "IRF1_01" "IRF1_01" "2/15" "154/8884" 0.0270387858576046 0.125269483616836 0.0854415919405918 "Usp18/Bst2" 2
"HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "2/15" "160/8884" 0.0290245108295306 0.125269483616836 0.0854415919405918 "Fgl2/Selp" 2
"IRF7_01" "IRF7_01" "IRF7_01" "2/15" "162/8884" 0.0296993155801117 0.125269483616836 0.0854415919405918 "Usp18/Bst2" 2
"REACTOME_PLATELET_CALCIUM_HOMEOSTASIS" "REACTOME_PLATELET_CALCIUM_HOMEOSTASIS" "REACTOME_PLATELET_CALCIUM_HOMEOSTASIS" "1/15" "18/8884" 0.0299877387214481 0.125269483616836 0.0854415919405918 "Itpr1" 1
"REACTOME_REGULATION_OF_IFNA_SIGNALING" "REACTOME_REGULATION_OF_IFNA_SIGNALING" "REACTOME_REGULATION_OF_IFNA_SIGNALING" "1/15" "18/8884" 0.0299877387214481 0.125269483616836 0.0854415919405918 "Usp18" 1
"REACTOME_TRAF6_MEDIATED_NF_KB_ACTIVATION" "REACTOME_TRAF6_MEDIATED_NF_KB_ACTIVATION" "REACTOME_TRAF6_MEDIATED_NF_KB_ACTIVATION" "1/15" "18/8884" 0.0299877387214481 0.125269483616836 0.0854415919405918 "Trim25" 1
"WP_DIFFERENTIATION_OF_WHITE_AND_BROWN_ADIPOCYTE" "WP_DIFFERENTIATION_OF_WHITE_AND_BROWN_ADIPOCYTE" "WP_DIFFERENTIATION_OF_WHITE_AND_BROWN_ADIPOCYTE" "1/15" "18/8884" 0.0299877387214481 0.125269483616836 0.0854415919405918 "Plac8" 1
"WP_SEROTONIN_RECEPTOR_2_AND_ELKSRFGATA4_SIGNALING" "WP_SEROTONIN_RECEPTOR_2_AND_ELKSRFGATA4_SIGNALING" "WP_SEROTONIN_RECEPTOR_2_AND_ELKSRFGATA4_SIGNALING" "1/15" "18/8884" 0.0299877387214481 0.125269483616836 0.0854415919405918 "Itpr1" 1
"ISRE_01" "ISRE_01" "ISRE_01" "2/15" "163/8884" 0.0300391108673026 0.125269483616836 0.0854415919405918 "Usp18/Bst2" 2
"HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "2/15" "166/8884" 0.0310680016962666 0.125392470556446 0.0855254766953204 "Ccr5/Cxcr3" 2
"WP_VITAMIN_DSENSITIVE_CALCIUM_SIGNALING_IN_DEPRESSION" "WP_VITAMIN_DSENSITIVE_CALCIUM_SIGNALING_IN_DEPRESSION" "WP_VITAMIN_DSENSITIVE_CALCIUM_SIGNALING_IN_DEPRESSION" "1/15" "19/8884" 0.0316288603004213 0.125392470556446 0.0855254766953204 "Itpr1" 1
"REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS" "REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS" "REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS" "1/15" "20/8884" 0.0332673901476286 0.125392470556446 0.0855254766953204 "Itpr1" 1
"REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS" "REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS" "REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS" "1/15" "20/8884" 0.0332673901476286 0.125392470556446 0.0855254766953204 "Ch25h" 1
"REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION" "REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION" "REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION" "1/15" "20/8884" 0.0332673901476286 0.125392470556446 0.0855254766953204 "Trim25" 1
"WP_TYPE_I_COLLAGEN_SYNTHESIS_IN_THE_CONTEXT_OF_OSTEOGENESIS_IMPERFECTA" "WP_TYPE_I_COLLAGEN_SYNTHESIS_IN_THE_CONTEXT_OF_OSTEOGENESIS_IMPERFECTA" "WP_TYPE_I_COLLAGEN_SYNTHESIS_IN_THE_CONTEXT_OF_OSTEOGENESIS_IMPERFECTA" "1/15" "21/8884" 0.0349033320641206 0.129076473293729 0.0880381960703736 "Itpr1" 1
"REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION" "REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION" "REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION" "2/15" "181/8884" 0.0364216203416183 0.129999182664668 0.0886675413448592 "Itpr1/Selp" 2
"REACTOME_DEUBIQUITINATION" "REACTOME_DEUBIQUITINATION" "REACTOME_DEUBIQUITINATION" "2/15" "184/8884" 0.0375331509609793 0.129999182664668 0.0886675413448592 "Trim25/Usp18" 2
"REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS" "REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS" "REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS" "1/15" "23/8884" 0.0381674672834358 0.129999182664668 0.0886675413448592 "Itpr1" 1
"WP_GASTRIC_CANCER_NETWORK_2" "WP_GASTRIC_CANCER_NETWORK_2" "WP_GASTRIC_CANCER_NETWORK_2" "1/15" "23/8884" 0.0381674672834358 0.129999182664668 0.0886675413448592 "Plac8" 1
