"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GATA1_03" "GATA1_03" "GATA1_03" "3/6" "149/8884" 8.91177919559273e-05 0.0106220537531801 0.00832955115932877 "Furin/Ube2f/Ltbp1" 3
"REACTOME_ELASTIC_FIBRE_FORMATION" "REACTOME_ELASTIC_FIBRE_FORMATION" "REACTOME_ELASTIC_FIBRE_FORMATION" "2/6" "28/8884" 0.000142577902727249 0.0106220537531801 0.00832955115932877 "Furin/Ltbp1" 2
"GATA1_02" "GATA1_02" "GATA1_02" "2/6" "137/8884" 0.00340033816363986 0.109439217240413 0.0858195204075298 "Furin/Ube2f" 2
"HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "2/6" "160/8884" 0.00461062575753903 0.109439217240413 0.0858195204075298 "Furin/Hopx" 2
"CP2_02" "CP2_02" "CP2_02" "2/6" "162/8884" 0.00472411984686865 0.109439217240413 0.0858195204075298 "Ltbp1/Ffar2" 2
"TATA_C" "TATA_C" "TATA_C" "2/6" "168/8884" 0.00507244534828693 0.109439217240413 0.0858195204075298 "Ube2f/Ltbp1" 2
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION" "REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION" "REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION" "2/6" "180/8884" 0.00580416460034093 0.109439217240413 0.0858195204075298 "Furin/Ltbp1" 2
"REACTOME_UPTAKE_AND_FUNCTION_OF_ANTHRAX_TOXINS" "REACTOME_UPTAKE_AND_FUNCTION_OF_ANTHRAX_TOXINS" "REACTOME_UPTAKE_AND_FUNCTION_OF_ANTHRAX_TOXINS" "1/6" "10/8884" 0.00673662840167877 0.109439217240413 0.0858195204075298 "Furin" 1
"REACTOME_ASSEMBLY_OF_THE_HIV_VIRION" "REACTOME_ASSEMBLY_OF_THE_HIV_VIRION" "REACTOME_ASSEMBLY_OF_THE_HIV_VIRION" "1/6" "11/8884" 0.00740820607010229 0.109439217240413 0.0858195204075298 "Furin" 1
"REACTOME_SIGNALING_BY_NODAL" "REACTOME_SIGNALING_BY_NODAL" "REACTOME_SIGNALING_BY_NODAL" "1/6" "11/8884" 0.00740820607010229 0.109439217240413 0.0858195204075298 "Furin" 1
