"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "8/20" "159/8884" 9.26539974809809e-10 2.76108912493323e-07 2.18468373007787e-07 "Trim25/Adar/Usp18/Zbp1/Bst2/Fgl2/Selp/Ube2l6" 8
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "5/20" "78/8884" 6.40955249397089e-07 9.55023321601663e-05 7.55652504552358e-05 "Trim25/Adar/Usp18/Bst2/Ube2l6" 5
"REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "5/20" "151/8884" 1.67507736576994e-05 0.00131567835829182 0.00104101713972931 "Trim25/Adar/Usp18/Bst2/Ube2l6" 5
"WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "3/20" "25/8884" 2.17459864829716e-05 0.00131567835829182 0.00104101713972931 "Ccr5/Cxcr3/Il12rb2" 3
"IRF_Q6" "IRF_Q6" "IRF_Q6" "5/20" "165/8884" 2.57288127012647e-05 0.00131567835829182 0.00104101713972931 "Adar/Nrp1/Zbp1/Bst2/Ube2l6" 5
"ICSBP_Q6" "ICSBP_Q6" "ICSBP_Q6" "5/20" "166/8884" 2.64901682877547e-05 0.00131567835829182 0.00104101713972931 "Adar/Usp18/Zbp1/Itpr1/Bst2" 5
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "7/20" "512/8884" 8.13320825781895e-05 0.00346242294404292 0.00273960699210744 "Trim25/Adar/Ccr5/Usp18/Bst2/Ube2l6/Il12rb2" 7
"WP_CYTOSOLIC_DNASENSING_PATHWAY" "WP_CYTOSOLIC_DNASENSING_PATHWAY" "WP_CYTOSOLIC_DNASENSING_PATHWAY" "3/20" "50/8884" 0.000178777307015525 0.00665945468632831 0.0052692258909839 "Trim25/Adar/Zbp1" 3
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "3/20" "59/8884" 0.000292716041636389 0.00916886330643087 0.00725476997753626 "Adar/Usp18/Bst2" 3
"REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "3/20" "60/8884" 0.000307679976725868 0.00916886330643087 0.00725476997753626 "Trim25/Usp18/Ube2l6" 3
"IRF7_01" "IRF7_01" "IRF7_01" "4/20" "162/8884" 0.00041094200594431 0.0111327925246731 0.00880870902694024 "Adar/Nrp1/Usp18/Bst2" 4
