"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"REACTOME_SIGNALING_BY_INTERLEUKINS" "REACTOME_SIGNALING_BY_INTERLEUKINS" "REACTOME_SIGNALING_BY_INTERLEUKINS" "6/24" "329/8884" 0.000188360935947198 0.0544638653372465 0.0480659688087367 "Il18r1/Cd80/Mef2c/Nod1/Ifng/Fscn1" 6
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "7/24" "512/8884" 0.000296752845599459 0.0544638653372465 0.0480659688087367 "Il18r1/Cd80/Mef2c/Nod1/Ifng/Fscn1/Adar" 7
"REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS" "REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS" "REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS" "2/24" "10/8884" 0.000310630410668707 0.0544638653372465 0.0480659688087367 "St3gal1/Muc13" 2
"WP_CONTROL_OF_IMMUNE_TOLERANCE_BY_VASOACTIVE_INTESTINAL_PEPTIDE" "WP_CONTROL_OF_IMMUNE_TOLERANCE_BY_VASOACTIVE_INTESTINAL_PEPTIDE" "WP_CONTROL_OF_IMMUNE_TOLERANCE_BY_VASOACTIVE_INTESTINAL_PEPTIDE" "2/24" "12/8884" 0.000454089463024637 0.0597127643877398 0.0526982771562803 "Cd80/Ifng" 2
"HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "4/24" "166/8884" 0.000932841042684442 0.0981348776904033 0.086606926278703 "Cd80/Tap1/Ifng/Klrd1" 4
"REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS" "REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS" "REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS" "2/24" "20/8884" 0.00129008633866233 0.113097569022731 0.0998119430438748 "Itpr1/Pld4" 2
"WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY" "WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY" "WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY" "2/24" "22/8884" 0.00156330951308377 0.117471543411723 0.103672104551871 "Eomes/Ifng" 2
"WP_INFLAMMATORY_RESPONSE_PATHWAY" "WP_INFLAMMATORY_RESPONSE_PATHWAY" "WP_INFLAMMATORY_RESPONSE_PATHWAY" "2/24" "24/8884" 0.00186170235177533 0.118072803970725 0.104202734743025 "Cd80/Ifng" 2
"WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "2/24" "25/8884" 0.00202025710216069 0.118072803970725 0.104202734743025 "Il18r1/Ifng" 2
"REACTOME_SIGNALING_BY_NTRKS" "REACTOME_SIGNALING_BY_NTRKS" "REACTOME_SIGNALING_BY_NTRKS" "3/24" "99/8884" 0.00229228718703828 0.120574306038214 0.106410384156198 "Id1/Mef2c/Ntrk3" 3
"REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS" "REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS" "REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS" "2/24" "29/8884" 0.00271612161330798 0.129879997145454 0.114622931241035 "St3gal1/Muc13" 2
"REACTOME_INOSITOL_PHOSPHATE_METABOLISM" "REACTOME_INOSITOL_PHOSPHATE_METABOLISM" "REACTOME_INOSITOL_PHOSPHATE_METABOLISM" "2/24" "31/8884" 0.00310059875493448 0.135909578757961 0.119944214993518 "Pld4/Inpp5a" 2
"AHR_01" "AHR_01" "AHR_01" "2/24" "40/8884" 0.00512453172857189 0.192535977802058 0.169918683631594 "Itpr1/Ntrk3" 2
