"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "29/63" "159/8884" 6.88677109779088e-35 3.78772410378499e-32 3.54487480717868e-32 "Oas2/Oasl1/Ube2l6/Mx1/Rnf213/Ifi35/Znfx1/Tdrd7/Zbp1/Ifih1/Il4ra/P2ry14/Cd86/Fgl2/Trim25/Casp1/Klrk1/Bst2/Rtp4/Parp12/Ifit3/Gbp3/Parp14/Rsad2/Ddx60/Ifit2/Lgals3bp/Irf7/Usp18" 29
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "21/63" "78/8884" 7.3187200966724e-29 2.01264802658491e-26 1.88360743540674e-26 "Oasl1/Ube2l6/Ifi35/Tdrd7/Ifih1/Il4ra/Trim25/Casp1/Bst2/Rtp4/Parp12/Oas1g/Ifit3/Gbp3/Parp14/Rsad2/Ddx60/Ifit2/Lgals3bp/Irf7/Usp18" 21
"REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "15/63" "151/8884" 8.57321758465937e-14 1.57175655718755e-11 1.47098364873629e-11 "Oas2/Oasl1/Ube2l6/Mx1/Gbp5/Ifi35/Trim25/Bst2/Oas1g/Ifit3/Gbp3/Rsad2/Ifit2/Irf7/Usp18" 15
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "11/63" "59/8884" 1.96372078214248e-13 2.70011607544591e-11 2.52699858544124e-11 "Oas2/Oasl1/Mx1/Ifi35/Bst2/Oas1g/Ifit3/Rsad2/Ifit2/Irf7/Usp18" 11
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "22/63" "512/8884" 2.00306579325147e-12 2.20337237257662e-10 2.06210352189467e-10 "Oas2/Oasl1/Ube2l6/Mx1/Gbp5/Ifi35/Il4ra/Il12rb2/Il18rap/Cd86/Trim25/Casp1/Ccr5/Bst2/Oas1g/Ifit3/Gata3/Gbp3/Rsad2/Ifit2/Irf7/Usp18" 22
"REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "7/63" "60/8884" 1.84295804670708e-07 1.68937820948149e-05 1.58106400849081e-05 "Oas2/Oasl1/Ube2l6/Mx1/Trim25/Oas1g/Usp18" 7
"REACTOME_INTERFERON_GAMMA_SIGNALING" "REACTOME_INTERFERON_GAMMA_SIGNALING" "REACTOME_INTERFERON_GAMMA_SIGNALING" "7/63" "76/8884" 9.54774860511346e-07 7.50180247544629e-05 7.02082566601576e-05 "Oas2/Oasl1/Gbp5/Trim25/Oas1g/Gbp3/Irf7" 7
"ISRE_01" "ISRE_01" "ISRE_01" "9/63" "163/8884" 1.91431406453608e-06 0.000122533482224118 0.00011467726853128 "Zbp1/Ifih1/Bst2/Rtp4/Tlr7/Ifit3/Ddx60/Ifit2/Usp18" 9
"IRF_Q6" "IRF_Q6" "IRF_Q6" "9/63" "165/8884" 2.11877131112716e-06 0.000122533482224118 0.00011467726853128 "Ube2l6/Ifi35/Zbp1/Bst2/Rtp4/Parp12/Tlr7/Ddx60/Ifit2" 9
"ICSBP_Q6" "ICSBP_Q6" "ICSBP_Q6" "9/63" "166/8884" 2.22788149498396e-06 0.000122533482224118 0.00011467726853128 "Atp10a/Ifi35/Zbp1/Ifih1/Bst2/Parp12/Tlr7/Ifit3/Usp18" 9
