"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "12/32" "512/8884" 9.2364973211484e-08 4.84916109360291e-05 4.48213185794675e-05 "Mx1/Usp18/Adar/Gbp5/Oasl1/Il18rap/Cd80/Nod1/Mef2c/Il4ra/Ifng/Casp1" 12
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "7/32" "159/8884" 1.19089897087364e-06 0.00031261097985433 0.000288949697669867 "Mx1/Usp18/Adar/Oasl1/Nod1/Il4ra/Casp1" 7
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "5/32" "78/8884" 7.66724732160517e-06 0.0013417682812809 0.00124021088254736 "Usp18/Adar/Oasl1/Il4ra/Casp1" 5
"REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "6/32" "151/8884" 1.37311593325803e-05 0.00180221466240116 0.00166580643482092 "Mx1/Usp18/Adar/Gbp5/Oasl1/Ifng" 6
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "4/32" "59/8884" 5.49178630385724e-05 0.0057663756190501 0.00532992312858566 "Mx1/Usp18/Adar/Oasl1" 4
"WP_INFLAMMATORY_RESPONSE_PATHWAY" "WP_INFLAMMATORY_RESPONSE_PATHWAY" "WP_INFLAMMATORY_RESPONSE_PATHWAY" "3/32" "24/8884" 8.16240208763501e-05 0.00714210182668064 0.0066015216884206 "Cd80/Il4ra/Ifng" 3
"REACTOME_SIGNALING_BY_INTERLEUKINS" "REACTOME_SIGNALING_BY_INTERLEUKINS" "REACTOME_SIGNALING_BY_INTERLEUKINS" "7/32" "329/8884" 0.000135531311394138 0.0101648483545604 0.00939547888010491 "Il18rap/Cd80/Nod1/Mef2c/Il4ra/Ifng/Casp1" 7
"HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "HALLMARK_ALLOGRAFT_REJECTION" "5/32" "166/8884" 0.000287002104688172 0.0188345131201613 0.0174089434554273 "Il18rap/Klrd1/Cd80/Il4ra/Ifng" 5
"REACTOME_SIGNALING_BY_NTRKS" "REACTOME_SIGNALING_BY_NTRKS" "REACTOME_SIGNALING_BY_NTRKS" "4/32" "99/8884" 0.000410627604094249 0.0239532769054978 0.0221402719868361 "Mef2c/Ntrk3/Id1/Furin" 4
"WP_CONTROL_OF_IMMUNE_TOLERANCE_BY_VASOACTIVE_INTESTINAL_PEPTIDE" "WP_CONTROL_OF_IMMUNE_TOLERANCE_BY_VASOACTIVE_INTESTINAL_PEPTIDE" "WP_CONTROL_OF_IMMUNE_TOLERANCE_BY_VASOACTIVE_INTESTINAL_PEPTIDE" "2/32" "12/8884" 0.000811158853556463 0.0425858398117143 0.0393625506831084 "Cd80/Ifng" 2
"REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" "3/32" "60/8884" 0.00126375782156041 0.0603157142108377 0.0557504646640525 "Mx1/Usp18/Oasl1" 3
"WP_VIRAL_ACUTE_MYOCARDITIS" "WP_VIRAL_ACUTE_MYOCARDITIS" "WP_VIRAL_ACUTE_MYOCARDITIS" "3/32" "71/8884" 0.00205485362132263 0.0898998459328652 0.0830953964412047 "Cd80/Ifng/Casp1" 3
"HMGIY_Q6" "HMGIY_Q6" "HMGIY_Q6" "4/32" "158/8884" 0.002349523778488 0.0936306602141845 0.0865438282881986 "Il18rap/Cdc42se1/Ntrk3/Mgll" 4
"REACTOME_INTERFERON_GAMMA_SIGNALING" "REACTOME_INTERFERON_GAMMA_SIGNALING" "REACTOME_INTERFERON_GAMMA_SIGNALING" "3/32" "76/8884" 0.00249681760571159 0.0936306602141845 0.0865438282881986 "Gbp5/Oasl1/Ifng" 3
"WP_NUCLEOTIDEBINDING_OLIGOMERIZATION_DOMAIN_NOD_PATHWAY" "WP_NUCLEOTIDEBINDING_OLIGOMERIZATION_DOMAIN_NOD_PATHWAY" "WP_NUCLEOTIDEBINDING_OLIGOMERIZATION_DOMAIN_NOD_PATHWAY" "2/32" "23/8884" 0.00303351042751096 0.106172864962884 0.0981367233040388 "Nod1/Casp1" 2
"WP_INTERACTIONS_BETWEEN_IMMUNE_CELLS_AND_MICRORNAS_IN_TUMOR_MICROENVIRONMENT" "WP_INTERACTIONS_BETWEEN_IMMUNE_CELLS_AND_MICRORNAS_IN_TUMOR_MICROENVIRONMENT" "WP_INTERACTIONS_BETWEEN_IMMUNE_CELLS_AND_MICRORNAS_IN_TUMOR_MICROENVIRONMENT" "2/32" "25/8884" 0.00358093643025814 0.110587742699148 0.102217442374551 "Cd80/Il4ra" 2
"WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION" "2/32" "25/8884" 0.00358093643025814 0.110587742699148 0.102217442374551 "Il4ra/Ifng" 2
"REACTOME_NOD1_2_SIGNALING_PATHWAY" "REACTOME_NOD1_2_SIGNALING_PATHWAY" "REACTOME_NOD1_2_SIGNALING_PATHWAY" "2/32" "28/8884" 0.00448171489921458 0.130716684560425 0.120822840265376 "Nod1/Casp1" 2
"HMX1_01" "HMX1_01" "HMX1_01" "2/32" "31/8884" 0.00547626230902514 0.14375188561191 0.132871417076873 "Id1/Lrrk1" 2
"REACTOME_INOSITOL_PHOSPHATE_METABOLISM" "REACTOME_INOSITOL_PHOSPHATE_METABOLISM" "REACTOME_INOSITOL_PHOSPHATE_METABOLISM" "2/32" "31/8884" 0.00547626230902514 0.14375188561191 0.132871417076873 "Inpp5a/Pld4" 2
