"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "HALLMARK_INTERFERON_GAMMA_RESPONSE" "16/44" "159/8884" 1.39718462973506e-17 7.55876884686666e-15 7.04475197519045e-15 "Ddx60/Oas2/Ifit2/Ifit3/Znfx1/Lgals3bp/Parp14/Tap1/Gbp3/Cd86/P2ry14/Irf7/Rnf213/Parp12/Rtp4/Rsad2" 16
"HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "HALLMARK_INTERFERON_ALPHA_RESPONSE" "11/44" "78/8884" 7.0013598791021e-14 1.89386784729712e-11 1.76507967478416e-11 "Ddx60/Ifit2/Ifit3/Lgals3bp/Parp14/Tap1/Gbp3/Irf7/Parp12/Rtp4/Rsad2" 11
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "REACTOME_INTERFERON_ALPHA_BETA_SIGNALING" "5/44" "59/8884" 9.68299349766008e-06 0.00174616649407803 0.00162742241592252 "Oas2/Ifit2/Ifit3/Irf7/Rsad2" 5
"REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "REACTOME_INTERFERON_SIGNALING" "6/44" "151/8884" 9.04178444242828e-05 0.0119877998948292 0.0111725968472093 "Oas2/Ifit2/Ifit3/Gbp3/Irf7/Rsad2" 6
"HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "HALLMARK_IL2_STAT5_SIGNALING" "6/44" "160/8884" 0.000124507986252845 0.0119877998948292 0.0111725968472093 "Gbp3/Cd86/Il18r1/Tiam1/Eomes/Tlr7" 6
"IRF_Q6" "IRF_Q6" "IRF_Q6" "6/44" "165/8884" 0.000147449197123457 0.0119877998948292 0.0111725968472093 "Ddx60/Ifit2/Eomes/Tlr7/Parp12/Rtp4" 6
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM" "10/44" "512/8884" 0.00015511016499779 0.0119877998948292 0.0111725968472093 "Oas2/Ifit2/Ifit3/Fscn1/Gbp3/Cd86/Il18r1/Irf7/Gata3/Rsad2" 10
"REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS" "REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS" "REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS" "2/44" "10/8884" 0.00105197983176841 0.0537735819432147 0.050116831891818 "St3gal1/Muc13" 2
"REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION_IN_TLR7_8_OR_9_SIGNALING" "REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION_IN_TLR7_8_OR_9_SIGNALING" "REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION_IN_TLR7_8_OR_9_SIGNALING" "2/44" "10/8884" 0.00105197983176841 0.0537735819432147 0.050116831891818 "Irf7/Tlr7" 2
"IRF7_01" "IRF7_01" "IRF7_01" "5/44" "162/8884" 0.00115889446974577 0.0537735819432147 0.050116831891818 "Ddx60/Ifit2/Lgals3bp/Tap1/Parp12" 5
