"gene","deg"
"Nrp1","th1_th0"
"Lilrb4.1","th1_th0"
"Apobec1","th1_th0"
"Ccr5","th1_th0"
"Ccr5.2","th1_th0"
"Iigp2","th1_th0"
"Actr3b","th1_th0"
"Serpinf1","th1_th0"
"Ttc27","th1_th0"
"Il8ra","th1_th0"
"Gucy1b3","th1_th0"
"Gucy1a3.1","th1_th0"
"Furin","th1_th0"
"Gp49a","th1_th0"
"Gipr","th1_th0"
"Hopx","th1_th0"
"Myo1f","th1_th0"
"Mgll.1","th1_th0"
"St3gal1","th1_th0"
"Ube2f.1","th1_th0"
"Tbc1d2.4","th1_th0"
"Irgm","th1_th0"
"Ube2f.2","th1_th0"
"Ltbp1.4","th1_th0"
"Ffar2","th1_th0"
"Furin.2","th1_th0"
"Trim25","th1_th2"
"Cd86","th1_th2"
"Adar","th1_th2"
"Il4ra","th1_th2"
"Oas1g","th1_th2"
"Ddx60","th1_th2"
"Efna5","th1_th2"
"Lgals3bp","th1_th2"
"Oasl1","th1_th2"
"Atp10a","th1_th2"
"Nqo2","th1_th2"
"Ifit2","th1_th2"
"Nrp1","th1_th2"
"D330045A20Rik","th1_th2"
"Il18rap","th1_th2"
"Ifi202b","th1_th2"
"BC006779","th1_th2"
"Gvin1","th1_th2"
"BC094916","th1_th2"
"AI451557","th1_th2"
"Trim34","th1_th2"
"Akr1c18","th1_th2"
"Cd80","th1_th2"
"Ifi202b.1","th1_th2"
"Ifit3","th1_th2"
"Pik3ap1","th1_th2"
"Fcrls","th1_th2"
"4930539E08Rik","th1_th2"
"Emr1","th1_th2"
"Gnpda1","th1_th2"
"Pip5k1b","th1_th2"
"P2ry14","th1_th2"
"Ccr5","th1_th2"
"Parp12","th1_th2"
"Phf11","th1_th2"
"Ntrk3.1","th1_th2"
"D330045A20Rik.1","th1_th2"
"Rnf213","th1_th2"
"Ch25h","th1_th2"
"Ctsw","th1_th2"
"Tlr7","th1_th2"
"Usp18","th1_th2"
"Mapre2","th1_th2"
"Zbp1.1","th1_th2"
"Ly6a","th1_th2"
"BC094916.1","th1_th2"
"Gbp3.1","th1_th2"
"Itpr1","th1_th2"
"Ccr5.1","th1_th2"
"Marcks","th1_th2"
