"annot","gene","celltype"
1,"Il6ra","Th0"
2,"Depdc1b","Th0"
1,"EG630499","Th0"
2,"Dusp4","Th0"
2,"Ppme1","Th0"
2,"C230052I12Rik","Th0"
1,"Tacc1","Th0"
2,"Insig1","Th0"
2,"Armcx6","Th0"
2,"Ankmy2","Th0"
2,"Trim25","Th0"
2,"Rb1","Th0"
2,"Mrpl52","Th0"
1,"Rapgef2","Th0"
2,"B9d2","Th0"
2,"Ubl7","Th0"
1,"Ehd3","Th0"
2,"Gm2a","Th0"
2,"Capg","Th0"
3,"Ptp4a1","Th0"
1,"Nrbp1","Th0"
2,"Akap7","Th0"
2,"Hat1","Th0"
2,"Chmp5","Th0"
2,"Phldb1","Th0"
2,"Tmco3","Th0"
1,"Srpk3","Th0"
2,"Cep97","Th0"
2,"4632419K20Rik","Th0"
2,"Cenpp","Th0"
3,"5730596K20Rik","Th0"
1,"Bbs4","Th0"
1,"Hist1h1c","Th0"
3,"Cxcr5","Th0"
2,"AB124611","Th0"
2,"4833442J19Rik","Th0"
3,"Cops7a","Th0"
2,"Syngr2","Th0"
2,"Agpat3","Th0"
1,"Nhsl1","Th0"
1,"Rbm5","Th0"
1,"Pias1","Th0"
2,"Ntan1","Th0"
2,"Lonp1","Th0"
1,"Mcoln3","Th0"
2,"2210412D01Rik","Th0"
2,"1810037I17Rik","Th0"
3,"Nola3","Th0"
1,"Il11ra1","Th0"
1,"Mcl1","Th0"
3,"Idh3a","Th0"
3,"Cebpg","Th0"
1,"Ggnbp1","Th0"
3,"Carm1","Th0"
2,"Cbx8","Th0"
2,"Ticam2","Th0"
1,"Cd2","Th0"
3,"Dusp6","Th0"
2,"Unc119","Th0"
2,"E2f1","Th0"
2,"Prrg3","Th0"
2,"Aco2","Th0"
2,"Vbp1","Th0"
2,"Akr1e1","Th0"
2,"Slco3a1","Th0"
3,"Wiz","Th0"
2,"Gprk6","Th0"
1,"Ccm2","Th0"
1,"Txnip","Th0"
1,"Epc1","Th0"
2,"Hist1h2ag","Th0"
1,"Cd96","Th0"
2,"Cops5","Th0"
2,"Ctnna1","Th0"
2,"Hist2h2ab","Th0"
3,"Sla","Th0"
2,"Ctsb","Th0"
2,"Pkig","Th0"
1,"Qprt","Th0"
3,"Pus7l","Th0"
3,"Polr2d","Th0"
1,"2310010M24Rik","Th0"
2,"Rad50","Th0"
2,"Suhw2","Th0"
1,"Adh1","Th0"
2,"Nrbp2","Th0"
1,"Tardbp","Th0"
2,"Pex11c","Th0"
2,"Ebpl","Th0"
2,"Acat2","Th0"
1,"Il4ra","Th0"
3,"Bcl2a1b","Th0"
3,"Tagap","Th0"
1,"Adamtsl4","Th0"
1,"Cd164","Th0"
2,"Wisp1","Th0"
1,"Msrb2","Th0"
2,"Mxd3","Th0"
3,"Rcl1","Th0"
2,"Fut7","Th0"
2,"Lag3","Th0"
2,"Zfp768","Th0"
2,"Ddit4","Th0"
1,"Tmc8","Th0"
2,"Arsb","Th0"
2,"Hist1h2bk","Th0"
3,"Nola1","Th0"
2,"Hist1h2bf","Th0"
2,"Ddx60","Th0"
1,"Madd","Th0"
3,"2410127L17Rik","Th0"
3,"Cacybp","Th0"
2,"Rfc5","Th0"
1,"Gimap1","Th0"
3,"Trp53rk","Th0"
1,"4933426M11Rik","Th0"
3,"Efna5","Th0"
3,"Hspa5","Th0"
3,"Ak2","Th0"
2,"Batf","Th0"
1,"Ccdc130","Th0"
3,"Ndufab1","Th0"
3,"Nubp2","Th0"
2,"Scamp1","Th0"
2,"Fermt3","Th0"
2,"Bbs9","Th0"
3,"Timp1","Th0"
1,"Dusp11","Th0"
2,"Il2ra","Th0"
1,"Ltb","Th0"
1,"D12Ertd647e","Th0"
2,"Lgals3bp","Th0"
3,"Tmem65","Th0"
1,"Arhgap1","Th0"
3,"Tsr1","Th0"
2,"Timeless","Th0"
1,"Mapk1ip1","Th0"
2,"Stag3","Th0"
1,"Rcbtb2","Th0"
1,"Zbtb2","Th0"
2,"D2Ertd750e","Th0"
3,"Bdh2","Th0"
2,"Hist2h2ac","Th0"
2,"Rab33a","Th0"
2,"Eif4ebp1","Th0"
3,"Ankrd13b","Th0"
2,"Ppard","Th0"
2,"Stat1","Th0"
2,"Etv4","Th0"
1,"Traf3","Th0"
1,"Nfix","Th0"
3,"Cd200","Th0"
1,"Atp8a1","Th0"
2,"Atp10a","Th0"
2,"4930570C03Rik","Th0"
1,"Fcho2","Th0"
1,"Emb","Th0"
1,"EG667977","Th0"
1,"Gab3","Th0"
3,"S100pbp","Th0"
2,"Plekha2","Th0"
1,"Aplp2","Th0"
3,"9530058B02Rik","Th0"
2,"Acads","Th0"
3,"B4galnt1","Th0"
2,"Dtx3l","Th0"
3,"Mad2l2","Th0"
2,"Pfkp","Th0"
2,"4732479N06Rik","Th0"
1,"Galnt9","Th0"
1,"Bin1","Th0"
2,"Uevld","Th0"
1,"Rab31","Th0"
2,"Phlda3","Th0"
1,"Rasl11b","Th0"
2,"D10Ertd610e","Th0"
1,"Kifc2","Th0"
3,"Syncrip","Th0"
2,"Cercam","Th0"
2,"Impa2","Th0"
2,"Dhrs1","Th0"
3,"Lrrc59","Th0"
3,"Gna-rs1","Th0"
3,"Hisppd1","Th0"
1,"Axin1","Th0"
3,"Sesn2","Th0"
2,"Pfn2","Th0"
1,"Pcmtd1","Th0"
1,"Vamp1","Th0"
3,"Tymp","Th0"
3,"Ddx3x","Th0"
3,"Slc35a4","Th0"
1,"Ppm1b","Th0"
3,"Eftud2","Th0"
3,"Cct6a","Th0"
1,"1810015C04Rik","Th0"
2,"Pter","Th0"
2,"Maged2","Th0"
2,"Rfwd3","Th0"
2,"Ngfrap1","Th0"
3,"Gabpb1","Th0"
2,"Tubb5","Th0"
2,"Nrp1","Th0"
1,"Cxxc1","Th0"
3,"Hspa4","Th0"
2,"Cln6","Th0"
3,"Smyd5","Th0"
3,"Eif3eip","Th0"
3,"Bccip","Th0"
2,"Rab27a","Th0"
2,"Tnfsf9","Th0"
2,"Golt1b","Th0"
3,"Hexim1","Th0"
1,"Snapc3","Th0"
2,"Aurka","Th0"
1,"Vezf1","Th0"
3,"L2hgdh","Th0"
1,"Plcl2","Th0"
2,"Oip5","Th0"
1,"AI467606","Th0"
1,"Tbc1d10c","Th0"
3,"Stoml2","Th0"
1,"Osgin1","Th0"
2,"Tex2","Th0"
1,"Gprc5b","Th0"
3,"D330045A20Rik","Th0"
2,"Lgals9","Th0"
1,"Ly86","Th0"
2,"Psip1","Th0"
2,"Asah1","Th0"
3,"2010305A19Rik","Th0"
3,"Noc3l","Th0"
2,"Zfp219","Th0"
2,"Dstn","Th0"
2,"Il18rap","Th0"
3,"Nip7","Th0"
3,"Tnfaip3","Th0"
2,"Bcat1","Th0"
1,"Ppp1r13b","Th0"
1,"Rnase6","Th0"
1,"D030013I16Rik","Th0"
2,"Ifi202b","Th0"
3,"Sptlc1","Th0"
2,"Rilpl1","Th0"
1,"Tgfbi","Th0"
1,"Tsc22d4","Th0"
2,"Pddc1","Th0"
2,"Rgs1","Th0"
1,"Arid4a","Th0"
1,"Nfatc1","Th0"
2,"Pmpcb","Th0"
2,"Sept1","Th0"
1,"Bbc3","Th0"
2,"Psmd9","Th0"
2,"EG634650","Th0"
2,"BC006779","Th0"
2,"Gvin1","Th0"
1,"Tyrobp","Th0"
3,"Lzic","Th0"
2,"Slc2a3","Th0"
2,"Pitpnc1","Th0"
1,"Sephs1","Th0"
2,"Pde6d","Th0"
3,"Nmd3","Th0"
2,"Bbs5","Th0"
2,"Cbwd1","Th0"
2,"Thex1","Th0"
3,"Nus1","Th0"
1,"Pde2a","Th0"
2,"Pign","Th0"
1,"Aldh6a1","Th0"
3,"Alcam","Th0"
2,"1810015A11Rik","Th0"
1,"Fos","Th0"
1,"Usp53","Th0"
2,"Gins2","Th0"
2,"Lgals3","Th0"
2,"Krtcap2","Th0"
1,"Cyp4f13","Th0"
3,"Vrk1","Th0"
1,"Pacs2","Th0"
1,"Ulk2","Th0"
1,"Tgfbr3","Th0"
3,"Pdia6","Th0"
2,"AI451557","Th0"
1,"H2-Eb1","Th0"
2,"Rab6ip1","Th0"
1,"Pkd1","Th0"
2,"Lrp12","Th0"
2,"2610209M04Rik","Th0"
2,"Plk1","Th0"
2,"Aarsd1","Th0"
1,"Zc3hav1","Th0"
2,"Ctsa","Th0"
3,"Eif4a1","Th0"
2,"Ggt7","Th0"
2,"Cyp51","Th0"
2,"Slc37a4","Th0"
