"gene","celltype","annot"
"Gnaq","Th0",2
"Il6ra","Th0",3
"Depdc1b","Th0",2
"EG630499","Th0",3
"Dusp4","Th0",2
"Tmpo","Th0",2
"Ppme1","Th0",2
"Cdc14b","Th0",3
"C230052I12Rik","Th0",2
"Tacc1","Th0",3
"Insig1","Th0",2
"Armcx6","Th0",2
"Ankmy2","Th0",2
"Chek1","Th0",2
"Trim25","Th0",2
"Rb1","Th0",2
"Plcxd1","Th0",2
"Mrpl52","Th0",2
"Tmed10","Th0",2
"Rapgef2","Th0",3
"B9d2","Th0",2
"Ubl7","Th0",2
"Ehd3","Th0",3
"Gm2a","Th0",2
"Khk","Th0",2
"Capg","Th0",2
"Slc38a2","Th0",2
"Ptp4a1","Th0",1
"Nrbp1","Th0",3
"Midn","Th0",3
"Akap7","Th0",2
"Hat1","Th0",1
"Chmp5","Th0",2
"Phldb1","Th0",2
"Tmco3","Th0",2
"Srpk3","Th0",3
"Cep97","Th0",3
"Mycbp2","Th0",3
"4632419K20Rik","Th0",3
"Cenpp","Th0",2
"5730596K20Rik","Th0",1
"Bbs4","Th0",3
"Hist1h1c","Th0",3
"Cxcr5","Th0",3
"AB124611","Th0",3
"4833442J19Rik","Th0",3
"Cops7a","Th0",1
"Syngr2","Th0",2
"Zfp75","Th0",3
"Dgka","Th0",3
"Agpat3","Th0",2
"Nhsl1","Th0",3
"Arid4a","Th0",3
"Rbm5","Th0",3
"Pias1","Th0",3
"Ntan1","Th0",2
"Lonp1","Th0",2
"Mcoln3","Th0",2
"2210412D01Rik","Th0",2
"1810037I17Rik","Th0",2
"Nola3","Th0",1
"Il11ra1","Th0",3
"Mcl1","Th0",3
"Idh3a","Th0",1
"Cebpg","Th0",2
"Ggnbp1","Th0",3
"Carm1","Th0",1
"Cbx8","Th0",3
"Ticam2","Th0",2
"Cd2","Th0",3
"Dusp6","Th0",1
"Unc119","Th0",2
"Atp2a3","Th0",3
"Trp53inp1","Th0",2
"E2f1","Th0",2
"Gbp3","Th0",2
"Smarce1","Th0",3
"Prrg3","Th0",2
"Aco2","Th0",2
"Vbp1","Th0",2
"Cd86","Th0",3
"Akr1e1","Th0",2
"Slco3a1","Th0",2
"Wiz","Th0",1
"Elmo1","Th0",3
"Gprk6","Th0",3
"Ccm2","Th0",3
"Txnip","Th0",3
"Adar","Th0",2
"Bcl11b","Th0",3
"Epc1","Th0",3
"Hist1h2ag","Th0",2
"Cxxc1","Th0",3
"Alg3","Th0",1
"Cd96","Th0",3
"Cops5","Th0",1
"Abi2","Th0",2
"Ctnna1","Th0",2
"Hist2h2ab","Th0",2
"Sla","Th0",1
"Cd44","Th0",2
"Ctsb","Th0",2
"Pkig","Th0",2
"Qprt","Th0",3
"Pus7l","Th0",1
"Polr2d","Th0",1
"2310010M24Rik","Th0",3
"Phf10","Th0",2
"Rad50","Th0",2
"Suhw2","Th0",2
"Sec22c","Th0",3
"Adh1","Th0",3
"Rad51","Th0",2
"Nrbp2","Th0",3
"Tardbp","Th0",3
"Pex11c","Th0",2
"Ebpl","Th0",2
"Polr2h","Th0",1
"Acat2","Th0",2
"Ppic","Th0",3
"Ccdc88c","Th0",3
"Abcf2","Th0",1
"Il4ra","Th0",3
"Bcl2a1b","Th0",1
"Tagap","Th0",1
"Nudc","Th0",1
"Adamtsl4","Th0",3
"Nme7","Th0",3
"Cd164","Th0",3
"Wisp1","Th0",2
"Msrb2","Th0",3
"Mxd3","Th0",2
"Hist1h2bk","Th0",2
"Rcl1","Th0",1
"Oas1g","Th0",2
"Fut7","Th0",2
"Lag3","Th0",2
"Zfp768","Th0",2
"Ddit4","Th0",2
"Tmc8","Th0",3
"Arsb","Th0",2
"Hist1h2bk.1","Th0",2
"Nola1","Th0",1
"H2-DMa","Th0",3
"Hist1h2bf","Th0",2
"Ddx60","Th0",2
"Madd","Th0",3
"Hist1h4m","Th0",2
"2410127L17Rik","Th0",2
"Cacybp","Th0",1
"Rasl11b","Th0",3
"Rfc5","Th0",2
"Gimap1","Th0",3
"Trp53rk","Th0",1
"4933426M11Rik","Th0",3
"Efna5","Th0",3
"Hspa5","Th0",1
"Ak2","Th0",1
"Ing4","Th0",3
"Clk4","Th0",3
"Batf","Th0",2
"Nsun5","Th0",1
"Ccdc130","Th0",3
"Ndufab1","Th0",1
"Nubp2","Th0",1
"Scamp1","Th0",2
"Fermt3","Th0",2
"Bbs9","Th0",2
"Timp1","Th0",1
"Dusp11","Th0",3
"Mrpl3","Th0",1
"Il2ra","Th0",2
"Ltb","Th0",3
"D12Ertd647e","Th0",3
"Fzr1","Th0",2
"Lgals3bp","Th0",2
"Tmem65","Th0",1
"Arhgap1","Th0",3
"Rasgrp2","Th0",3
"Tsr1","Th0",1
"Timeless","Th0",2
"Mapk1ip1","Th0",3
"Stag3","Th0",2
"Rcbtb2","Th0",3
"Zbtb2","Th0",3
"Oasl1","Th0",2
"Dgcr6","Th0",2
"D2Ertd750e","Th0",2
"Lrrc59","Th0",2
"Bdh2","Th0",1
"Hist2h2ac","Th0",2
"Zfhx2","Th0",3
"Rab33a","Th0",2
"Eif4ebp1","Th0",2
"Ankrd13b","Th0",1
"Ppard","Th0",2
"Stat1","Th0",2
"Etv4","Th0",2
"Traf3","Th0",3
"Nfix","Th0",3
"Cd200","Th0",1
"Atp8a1","Th0",3
"Atp10a","Th0",2
"Nqo2","Th0",2
"4930570C03Rik","Th0",3
"Rpo1-4","Th0",1
"Fcho2","Th0",3
"Unc119.1","Th0",2
"Emb","Th0",3
"Mll3","Th0",3
"EG667977","Th0",3
"Mcm6","Th0",2
"Gab3","Th0",3
"Nob1","Th0",1
"S100pbp","Th0",1
"Slc30a7","Th0",2
"Plekha2","Th0",2
"Aplp2","Th0",3
"9530058B02Rik","Th0",1
"Coro1a","Th0",3
"Acads","Th0",2
"Msh5","Th0",2
"B4galnt1","Th0",3
"Dtx3l","Th0",2
"Mad2l2","Th0",1
"Pfkp","Th0",2
"Hmg20a","Th0",3
"Tnfrsf9","Th0",1
"Sqle","Th0",2
"4732479N06Rik","Th0",2
"Galnt9","Th0",3
"Bin1","Th0",3
"Uevld","Th0",2
"Rab31","Th0",2
"Phlda3","Th0",2
"Rasl11b.1","Th0",3
"D10Ertd610e","Th0",2
"Kifc2","Th0",3
"Syncrip","Th0",1
"Ogt","Th0",3
"Cercam","Th0",2
"Impa2","Th0",2
"Dhrs1","Th0",2
"Lrrc59.1","Th0",1
"Gna-rs1","Th0",1
"Hisppd1","Th0",1
"Axin1","Th0",3
"Tmco3.1","Th0",2
"Sesn2","Th0",2
"Pfn2","Th0",2
"Creld2","Th0",1
"Pcmtd1","Th0",3
"Plec1","Th0",3
"Ifit2","Th0",2
"Hdgf","Th0",2
"Vamp1","Th0",3
"Tymp","Th0",1
"Ddx3x","Th0",1
"Zbtb32","Th0",2
"Slc35a4","Th0",1
"Ppm1b","Th0",3
"Eftud2","Th0",1
"Cct6a","Th0",1
"1810015C04Rik","Th0",3
"Pter","Th0",2
"Maged2","Th0",2
"Rfwd3","Th0",2
"Ngfrap1","Th0",2
"2700038C09Rik","Th0",3
"Gabpb1","Th0",1
"Pcsk4","Th0",2
"Tubb5","Th0",2
"Nrp1","Th0",2
"Ahnak","Th0",2
"Sepp1","Th0",3
"Cxxc1.1","Th0",3
"Hspa4","Th0",1
"Cln6","Th0",2
"Smyd5","Th0",1
"Smarca2","Th0",3
"Eif3eip","Th0",1
"Bccip","Th0",1
"Rab27a","Th0",3
"Tnfsf9","Th0",2
"Napsa","Th0",3
"Golt1b","Th0",2
"Hexim1","Th0",3
"Snapc3","Th0",3
"Aurka","Th0",2
"Vezf1","Th0",3
"L2hgdh","Th0",1
"Plcl2","Th0",3
"Oip5","Th0",2
"AI467606","Th0",3
"Tbc1d10c","Th0",3
"Stoml2","Th0",1
"Osgin1","Th0",3
"Tex2","Th0",2
"Gprc5b","Th0",3
"D330045A20Rik","Th0",2
"Lgals9","Th0",2
"Noc4l","Th0",1
"Ly86","Th0",3
"Psip1","Th0",3
"Asah1.1","Th0",2
"2010305A19Rik","Th0",3
"Noc3l","Th0",1
"Zfp219","Th0",2
"Dstn","Th0",2
"Ncapg2","Th0",2
"Timm8b","Th0",1
"Il18rap","Th0",2
"Nip7","Th0",1
"Tnfaip3","Th0",1
"Bcat1","Th0",2
"Ppp1r13b","Th0",3
"Rnase6","Th0",3
"D030013I16Rik","Th0",3
"Sit1","Th0",3
"Gdi1","Th0",3
"Ifi202b","Th0",2
"Sptlc1","Th0",1
"Rilpl1","Th0",2
"Tgfbi","Th0",3
"1500032D16Rik","Th0",2
"Tsc22d4","Th0",3
"Pddc1","Th0",2
"Rab8b","Th0",1
"Aqr","Th0",3
"Rgs1","Th0",2
"Arid4a.1","Th0",3
"Nfatc1.1","Th0",3
"Rabgap1l","Th0",2
"Pmpcb","Th0",2
"Sept1","Th0",3
"Arfrp1.1","Th0",3
"Bbc3","Th0",3
"Psmd9","Th0",2
"1500001M20Rik","Th0",1
"EG634650","Th0",2
"BC006779","Th0",2
