annot,gene,celltype,annot_new
3,Il6ra,Th0,3
2,Depdc1b,Th0,2
3,EG630499,Th0,3
2,Dusp4,Th0,2
2,Ppme1,Th0,2
2,C230052I12Rik,Th0,2
3,Tacc1,Th0,3
2,Insig1,Th0,2
2,Armcx6,Th0,2
2,Ankmy2,Th0,2
2,Trim25,Th0,2
2,Rb1,Th0,2
2,Mrpl52,Th0,2
3,Rapgef2,Th0,3
2,B9d2,Th0,2
2,Ubl7,Th0,2
3,Ehd3,Th0,3
2,Gm2a,Th0,2
2,Capg,Th0,2
1,Ptp4a1,Th0,1
3,Nrbp1,Th0,3
2,Akap7,Th0,2
2,Hat1,Th0,2
2,Chmp5,Th0,2
2,Phldb1,Th0,2
2,Tmco3,Th0,2
3,Srpk3,Th0,3
2,Cep97,Th0,2
2,4632419K20Rik,Th0,2
2,Cenpp,Th0,2
1,5730596K20Rik,Th0,1
3,Bbs4,Th0,3
3,Hist1h1c,Th0,3
1,Cxcr5,Th0,1
2,AB124611,Th0,2
2,4833442J19Rik,Th0,2
1,Cops7a,Th0,1
2,Syngr2,Th0,2
2,Agpat3,Th0,2
3,Nhsl1,Th0,3
3,Rbm5,Th0,3
3,Pias1,Th0,3
2,Ntan1,Th0,2
2,Lonp1,Th0,2
3,Mcoln3,Th0,3
2,2210412D01Rik,Th0,2
2,1810037I17Rik,Th0,2
1,Nola3,Th0,1
3,Il11ra1,Th0,3
3,Mcl1,Th0,3
1,Idh3a,Th0,1
1,Cebpg,Th0,1
3,Ggnbp1,Th0,3
1,Carm1,Th0,1
2,Cbx8,Th0,2
2,Ticam2,Th0,2
3,Cd2,Th0,3
1,Dusp6,Th0,1
2,Unc119,Th0,2
2,E2f1,Th0,2
2,Prrg3,Th0,2
2,Aco2,Th0,2
2,Vbp1,Th0,2
2,Akr1e1,Th0,2
2,Slco3a1,Th0,2
1,Wiz,Th0,1
2,Gprk6,Th0,2
3,Ccm2,Th0,3
3,Txnip,Th0,3
3,Epc1,Th0,3
2,Hist1h2ag,Th0,2
3,Cd96,Th0,3
2,Cops5,Th0,2
2,Ctnna1,Th0,2
2,Hist2h2ab,Th0,2
1,Sla,Th0,1
2,Ctsb,Th0,2
2,Pkig,Th0,2
3,Qprt,Th0,3
1,Pus7l,Th0,1
1,Polr2d,Th0,1
3,2310010M24Rik,Th0,3
2,Rad50,Th0,2
2,Suhw2,Th0,2
3,Adh1,Th0,3
2,Nrbp2,Th0,2
3,Tardbp,Th0,3
2,Pex11c,Th0,2
2,Ebpl,Th0,2
2,Acat2,Th0,2
3,Il4ra,Th0,3
1,Bcl2a1b,Th0,1
1,Tagap,Th0,1
3,Adamtsl4,Th0,3
3,Cd164,Th0,3
2,Wisp1,Th0,2
3,Msrb2,Th0,3
2,Mxd3,Th0,2
1,Rcl1,Th0,1
2,Fut7,Th0,2
2,Lag3,Th0,2
2,Zfp768,Th0,2
2,Ddit4,Th0,2
3,Tmc8,Th0,3
2,Arsb,Th0,2
2,Hist1h2bk,Th0,2
1,Nola1,Th0,1
2,Hist1h2bf,Th0,2
2,Ddx60,Th0,2
3,Madd,Th0,3
1,2410127L17Rik,Th0,1
1,Cacybp,Th0,1
2,Rfc5,Th0,2
3,Gimap1,Th0,3
1,Trp53rk,Th0,1
3,4933426M11Rik,Th0,3
1,Efna5,Th0,1
1,Hspa5,Th0,1
1,Ak2,Th0,1
2,Batf,Th0,2
3,Ccdc130,Th0,3
1,Ndufab1,Th0,1
1,Nubp2,Th0,1
2,Scamp1,Th0,2
2,Fermt3,Th0,2
2,Bbs9,Th0,2
1,Timp1,Th0,1
3,Dusp11,Th0,3
2,Il2ra,Th0,2
3,Ltb,Th0,3
3,D12Ertd647e,Th0,3
2,Lgals3bp,Th0,2
