"gene","cor_th1_th2","cor_th1_th0","cor_th2_th0","cluster","new_cluster","category"
"D330045A20Rik.1",-0.482041492499301,-0.0775129666397477,0.544261761783411,12,1,"Ind"
"C730027P07Rik",0.530416850264513,0.13584930258676,0.551022805002944,12,1,"Ind"
"Hopx",-0.194051131391624,0.239271928931705,0.532582417661899,12,1,"Ind"
"St3gal1",0.0593847006625987,0.198989892138385,0.49211457272306,12,1,"Ind"
"Ffar2",0.399958549181314,0.200738314098821,0.514328801115826,12,1,"Ind"
"Ltbp1.4",0.301595601021348,0.223918448033974,0.957474785669935,18,2,"Th2like"
"Furin.2",0.318033341850915,0.350470976809153,0.947469184047763,18,2,"Th2like"
"Ttc27",0.160655686722394,0.307720339992737,0.904180457318388,18,2,"Th2like"
"Furin",0.389625199436586,0.299067761790009,0.916647345879127,18,2,"Th2like"
"Actr3b",0.593693730115968,0.524433222432963,0.983417831983892,8,3,"Th2like"
"Tnfsf13b",0.589983562865689,0.623997727740367,0.875173212084272,8,3,"Th2like"
"Nrp1.1",0.42487076494423,0.595889714437499,0.860672515399499,8,3,"Th2like"
"Lif.1",0.675456490859892,0.582705918347642,0.90771809803672,8,3,"Th2like"
"Ctsw",0.305526716600734,0.608199637254153,0.932806233821964,8,3,"Th2like"
"Tiam1",0.328774310993259,0.609869509347439,0.907738346101667,8,3,"Th2like"
"Prr15",0.564211147098995,0.402884125105474,0.816489465554371,8,3,"Th2like"
"Cxcr3",0.128235510240868,0.601287348622322,0.783781411820035,8,3,"Th2like"
"Ube2f.2",0.424502979630582,0.499899502532003,0.784185714804726,8,3,"Th2like"
"Nrp1",0.391414125905657,0.535749015796366,0.867515393058109,8,3,"Th2like"
"Ube2f.1",0.27130340911213,0.539570546014257,0.865717129435684,8,3,"Th2like"
"Klrd1",0.499969024515812,0.788746186120316,0.895582766148443,2,4,"Superpos"
"Rab33a",0.619838690291883,0.768325553135538,0.950052195625092,2,4,"Superpos"
"St3gal6",0.525111469715989,0.736655069833835,0.923399686259368,2,4,"Superpos"
"Cd79b.1",0.68958857056244,0.820820779810302,0.758594097984737,2,4,"Superpos"
"Ntrk3.2",0.581754245256774,0.802167492829778,0.77364325040443,2,4,"Superpos"
"Phldb1",0.589770578488469,0.811724859801179,0.819739803415309,2,4,"Superpos"
"Ldhd",0.613362840604065,0.784308475625885,0.848208712019697,2,4,"Superpos"
"Fscn1",0.474876474378801,0.772577854750011,0.843714650150985,2,4,"Superpos"
"Zbtb32.1",0.657165333520191,0.964647046277531,0.821599032588072,2,4,"Superpos"
"Sema3b",0.685973016796209,0.948727973327962,0.841738629061647,2,4,"Superpos"
"Matk.1",0.680320390873692,0.958117412452052,0.844955338028228,2,4,"Superpos"
"Zbtb32",0.657119711367786,0.939940152738722,0.830760425578516,2,4,"Superpos"
"Matk.2",0.633843862977089,0.927938377880268,0.831728698786949,2,4,"Superpos"
"Cuedc1",0.661395715665246,0.933304022142284,0.853615052907074,2,4,"Superpos"
"Vezf1",0.626289538492946,0.920608045942534,0.851827852372922,2,4,"Superpos"
"Cox7a1",0.623337579852323,0.911608224392423,0.852902812034961,2,4,"Superpos"
"Rhobtb1",0.655641631416571,0.870982965033799,0.91995286321655,2,4,"Superpos"
"Prdx5.1",0.652273070528999,0.862708785774287,0.82675703679653,2,4,"Superpos"
"Gpr83",0.691475374362001,0.855367325747843,0.873893542196706,2,4,"Superpos"
"Ptprk",0.696690060005673,0.883869342068924,0.874497435316616,2,4,"Superpos"
"Gramd3.1",0.692898100303426,0.896091932496398,0.863771169394621,2,4,"Superpos"
"Ifng",0.167204491460195,0.678391901267287,0.712227058972495,10,5,"Superpos"
"Ntrk3.1",0.384658244463451,0.745541217500891,0.737207240397434,10,5,"Superpos"
"Foxq1",0.631778824128109,0.71401210540736,0.725716043028738,10,5,"Superpos"
"Ptpn12",0.637458614555706,0.773201902832916,0.709807818915029,10,5,"Superpos"
"Fes",0.567087303602258,0.783371376962245,0.691494684164007,10,5,"Superpos"
"Enpp4",0.61994582450682,0.789819502522123,0.680824595003129,10,5,"Superpos"
"Nelf.1",0.533658466673877,0.841104511867952,0.693831041926898,10,5,"Superpos"
"Igtp",0.538547347732883,0.803570306534021,0.656826343969688,10,5,"Superpos"
"Slc17a6",0.543797890766818,0.810903327560544,0.604383126844938,10,5,"Superpos"
"Pim2.1",0.31380928844054,0.730708690879174,0.59170914663753,10,5,"Superpos"
"Ifng.1",0.0900221440434622,0.709826702007244,0.64062237296505,10,5,"Superpos"
"Pip5k1b",0.283863750267877,0.758610960488461,0.63503808787801,10,5,"Superpos"
"Tap2",0.649602297554445,0.743350715458291,0.668166398628522,10,5,"Superpos"
"Zfp768",0.679303014434376,0.880418082556844,0.559994916645465,3,6,"Th1like"
"Dusp14",0.534563641257589,0.888998974462659,0.559889866463075,3,6,"Th1like"
"Bzrap1",0.665146449069472,0.908049822478745,0.5719625103173,3,6,"Th1like"
"Smpdl3b",0.343948200307513,0.900975821557373,0.560734861480928,3,6,"Th1like"
"Irf9.1",0.652094176624118,0.891765347546838,0.569953734303907,3,6,"Th1like"
"Suhw2",0.675061894076846,0.89040652193729,0.618109083246825,3,6,"Th1like"
"5730469M10Rik",0.415367529715293,0.911649016870479,0.600871755219872,3,6,"Th1like"
"2510009E07Rik.2",0.530208118557852,0.930518607913079,0.608545304706181,3,6,"Th1like"
"Tec",0.661767836754724,0.961450419806302,0.58043224823914,3,6,"Th1like"
