"gene","cor_th1_th2","cor_th1_th0","cor_th2_th0","cluster","new_cluster.x","new_cluster.y","category"
"St3gal1.1",0.356910134729082,0.488971354556993,0.564084977699201,3,4,1,"Superpos"
"Plekhf1",0.916873136192833,0.590611022605946,0.621424232862129,3,4,1,"Superpos"
"Rab31",0.799955834874244,0.621019957408877,0.553966485241759,3,4,1,"Superpos"
"Igfbp7.1",0.753051369934863,0.559770933965033,0.543495237288697,3,4,1,"Superpos"
"Serpinf1",0.982698884422647,0.527640092203632,0.440551787727905,3,4,1,"Superpos"
"Tle6",0.708208667587768,0.576628948257176,0.409399493466076,3,4,1,"Superpos"
"Msr2",0.316814035480592,0.571198435569694,0.452459776005509,3,4,1,"Superpos"
"Tnfrsf8.1",0.927084447015808,0.46920824935983,0.338776502790904,3,4,1,"Superpos"
"Ccr5.2",-0.581729812681017,0.527595274919863,0.282215172429939,3,4,1,"Superpos"
"Myo1f",0.935436519151599,0.547010235016937,0.289514218262421,3,4,1,"Superpos"
"Fgl2",0.341095810333354,0.914009358471596,0.229751106429385,4,5,2,"Th1like"
"Cd86",0.493943466890948,0.887761509737005,0.185419785012709,4,5,2,"Th1like"
"Cd86.1",0.557221963820678,0.867675816753227,0.180528398633948,4,5,2,"Th1like"
"Kbtbd7.2",0.444611164824458,0.933725341375979,0.195008553588358,4,5,2,"Th1like"
"H28",0.376298348382705,0.947092245927503,0.1791358324299,4,5,2,"Th1like"
"Slfn1",0.251704977424626,0.976671862054786,0.182632162734516,4,5,2,"Th1like"
"Mitd1",0.30525874467588,0.976375355975715,0.205646865553854,4,5,2,"Th1like"
"Pik3ap1",-0.0112772049274521,0.955118163580262,0.203552413607831,4,5,2,"Th1like"
"Oasl2",0.105328004266397,0.957414452275603,0.215665151333895,4,5,2,"Th1like"
"Trim34",0.251855090178964,0.950195720359853,0.149350340590096,4,5,2,"Th1like"
"Trim25",0.28357283024283,0.950676772386421,0.129842944029414,4,5,2,"Th1like"
"Casp1",0.183999317882924,0.947737184842908,0.135259426448203,4,5,2,"Th1like"
"Emr1",-0.1030731144579,0.925200740387589,0.113280565426422,4,5,2,"Th1like"
"Cd86.2",0.469291177971209,0.903861595550208,0.141691347872885,4,5,2,"Th1like"
"Nqo2",0.222941942590944,0.983471673459191,0.264855477706541,4,5,2,"Th1like"
"Ly6c1",0.158315928639685,0.978942574416239,0.288455308140837,4,5,2,"Th1like"
"AI451557",0.478625127291502,0.93596106970958,0.279164070558689,4,5,2,"Th1like"
"Il12rb2",0.171674895866101,0.951316363425428,0.299309945218993,4,5,2,"Th1like"
"Tspan6.1",0.089296048664691,0.938926811657785,0.252856522389561,4,5,2,"Th1like"
"Trim34.1",0.27594983163936,0.966959521400083,0.262296150455427,4,5,2,"Th1like"
"Aqp9",0.216978481700895,0.960184433315378,0.257102253351977,4,5,2,"Th1like"
"Il18rap",0.281069919568461,0.92238986750893,0.342794716282377,4,5,2,"Th1like"
"P2ry14",0.0383055936509277,0.943265138434149,0.318667234401088,4,5,2,"Th1like"
"EG240327",0.13447136053202,0.952361960816174,0.329908535255715,4,5,2,"Th1like"
"P2ry14.2",0.0906199881283673,0.951426104675459,0.337458229577762,4,5,2,"Th1like"
"H2-T10.1",0.303093822550785,0.985535690156188,0.333858218638239,4,5,2,"Th1like"
