"gene","cor_th1_th2","cor_th1_thmix","cor_th2_thmix","cluster","new_cluster.x","new_cluster.y","category"
"Il12rb2",0.171674895866101,0.935425784103274,0.336579695880071,8,12,1,"Superpos"
"Itpr1",0.313445618035958,0.917745527509445,0.403558264291574,8,12,1,"Superpos"
"Ffar2",0.399958549181314,0.965422431889145,0.406276278851252,8,12,1,"Superpos"
"Cxcr3",0.128235510240868,0.941317654518649,0.054167902334328,8,12,1,"Superpos"
"Ly6c1",0.158315928639685,0.987423005332644,0.214268204891926,8,12,1,"Superpos"
"Trim25",0.28357283024283,0.880402011019876,0.149423865969439,8,12,1,"Superpos"
"EG240327",0.13447136053202,0.880313085726561,0.256482395896357,8,12,1,"Superpos"
"Ube2f.2",0.424502979630582,0.662755260375633,0.258967455951856,8,13,1,"Superpos"
"Igtp",0.538547347732883,0.550057763716691,0.486421997461444,8,13,1,"Superpos"
"Ttc27",0.160655686722394,0.606014757005518,0.437504122823917,8,13,1,"Superpos"
"Usp18.1",-0.14025639248958,0.573611478071015,0.455382705334564,8,13,1,"Superpos"
"Nuak2",0.795236584822833,0.534909005508535,0.358676186071682,8,13,1,"Superpos"
"Mx1",-0.0730123605197414,0.523688971023506,0.340228383283174,8,13,1,"Superpos"
"Usp18",-0.248626679326152,0.594059664120033,0.382686539272183,8,13,1,"Superpos"
"Serpina3f",0.160748682972547,0.628726101767058,0.385345059931469,8,13,1,"Superpos"
"Oasl1",0.118424986048947,0.710167936409822,0.601833387166585,8,13,1,"Superpos"
"Mov10",0.72068668686608,0.719556558324597,0.626087505854538,8,13,1,"Superpos"
"Iigp2",0.404097007181714,0.612368293435683,0.616140563929913,8,13,1,"Superpos"
"Oasl1.2",0.013331894939862,0.644474355672035,0.525291887192444,8,13,1,"Superpos"
"Nav1.1",0.952963306440244,0.789880095172131,0.682698781216356,8,13,1,"Superpos"
"Mapre2",0.501345928967765,0.752720185518848,0.680315723656828,8,13,1,"Superpos"
"Casp1",0.183999317882924,0.759887977519515,0.648731582236061,8,13,1,"Superpos"
"H2-DMb2",0.705028758145383,0.837396513024168,0.615509231455012,8,13,1,"Superpos"
"H2-T10.1",0.303093822550785,0.812961596127431,0.600991091732911,8,13,1,"Superpos"
"EG630499.1",0.756353413944422,0.834511368803792,0.674576560077394,8,13,1,"Superpos"
"Slc17a6",0.543797890766818,0.816812433995129,0.646033093331876,8,13,1,"Superpos"
"Tmem159.1",0.825544307377693,0.758613643160373,0.501847658634468,8,13,1,"Superpos"
"Pik3ap1",-0.0112772049274521,0.803607675322183,0.45091033613603,8,13,1,"Superpos"
"Tdrd7",-0.00563597428585329,0.804531312508262,0.493483039600606,8,13,1,"Superpos"
"Ube2f.1",0.27130340911213,0.913281756998361,0.511662216083851,8,13,1,"Superpos"
"4930539E08Rik",0.240341139763538,0.889731355962898,0.610838954700967,8,13,1,"Superpos"
