"contrast","category","gene"
"Th0","Th2like","Ltbp1.4"
"Th0","Th2like","Furin.2"
"Th0","Th2like","Ttc27"
"Th0","Th2like","Furin"
"Th0","Th2like","Ctsw"
"Th0","Th2like","Tiam1"
"Th0","Th2like","Nrp1.1"
"Th0","Th2like","Nrp1"
"Th0","Th2like","Ube2f.1"
"Th0","Th2like","Cxcr3"
"Th0","Th2like","Ube2f.2"
"Th0","Superpos","Il18r1"
"Th0","Superpos","Cd80"
"Th0","Superpos","Phf11"
"Th0","Superpos","Myo6.1"
"Th0","Superpos","5730469M10Rik"
"Th0","Superpos","Smpdl3b"
"Th0","Superpos","Sco1.1"
"Th0","Superpos","Itpr1"
"Th0","Superpos","Tap1"
"Th0","Superpos","Cdc42se1.1"
"Th0","Superpos","Pld4"
"Th0","Superpos","Id1"
"Th0","Superpos","Pon2"
"Th0","Superpos","2310004I24Rik"
"Th0","Superpos","Eomes"
"Th0","Superpos","Phf11.2"
"Th0","Superpos","4930539E08Rik"
"Th0","Superpos","Mef2c.2"
"Th0","Superpos","Nod1"
"Th0","Superpos","Inpp5a.1"
"Th0","Superpos","St3gal1.1"
"Th0","Superpos","Msr2"
"Th0","Superpos","Pim2.1"
"Th0","Superpos","Pip5k1b"
"Th0","Superpos","Ifng.1"
"Th0","Superpos","Ntrk3.1"
"Th0","Superpos","Ifng"
"Th0","Superpos","Fscn1"
"Th0","Superpos","Klrd1"
"Th0","Superpos","Akr1c18"
"Th0","Superpos","Adar"
"Th0","Superpos","Ociad2"
"Th0","Superpos","Muc13"
"Th0","Th1like","Oas2"
"Th0","Th1like","Snx10"
"Th0","Th1like","Oasl1.2"
"Th0","Th1like","Sema4b"
"Th0","Th1like","Ifi203"
"Th0","Th1like","Ube2l6"
"Th0","Th1like","Mx1"
"Th0","Th1like","Hsh2d"
"Th0","Th1like","9930111J21Rik"
"Th0","Th1like","Oasl1"
"Th0","Th1like","Rnf213"
"Th0","Th1like","Atp10a"
"Th0","Th1like","Clec2e"
"Th0","Th1like","Gbp5"
"Th0","Th1like","Ifi35"
"Th0","Th1like","Znfx1"
"Th0","Th1like","Serpina3f"
"Th0","Th1like","Tspan6"
"Th0","Th1like","Gbp5.1"
"Th0","Th1like","BC006779"
"Th0","Th1like","BC094916.1"
"Th0","Th1like","Tdrd7"
"Th0","Th1like","Csprs"
"Th0","Th1like","Zbp1.1"
"Th0","Th1like","Mtap6.2"
"Th0","Th1like","Ifih1"
"Th0","Th1like","Lrrk1.1"
"Th0","Th1like","Il4ra"
"Th0","Th1like","Ch25h"
"Th0","Th1like","Nqo2"
"Th0","Th1like","Ly6c1"
"Th0","Th1like","AI451557"
"Th0","Th1like","Il12rb2"
"Th0","Th1like","Tspan6.1"
"Th0","Th1like","Trim34.1"
"Th0","Th1like","Aqp9"
"Th0","Th1like","Il18rap"
"Th0","Th1like","P2ry14"
"Th0","Th1like","EG240327"
"Th0","Th1like","P2ry14.2"
"Th0","Th1like","H2-T10.1"
"Th0","Th1like","Tarbp2.1"
"Th0","Th1like","Gvin1"
"Th0","Th1like","Sco1"
"Th0","Th1like","Oas1b"
"Th0","Th1like","Ms4a6b"
"Th0","Th1like","Ube2q2.2"
"Th0","Th1like","Cd86"
"Th0","Th1like","Fgl2"
"Th0","Th1like","Kbtbd7.2"
"Th0","Th1like","H28"
"Th0","Th1like","Slfn1"
"Th0","Th1like","Mitd1"
"Th0","Th1like","Pik3ap1"
"Th0","Th1like","Oasl2"
"Th0","Th1like","Trim34"
"Th0","Th1like","Trim25"
"Th0","Th1like","Casp1"
"Th0","Th1like","Emr1"
"Th0","Th1like","Cd86.2"
"Th0","Th1like","Ccr5.2"
"Th0","Th1like","Pparg.2"
"Th0","Th1like","Timd2"
"Th0","Th1like","Fcrls"
"Th0","Th1like","Ccr5"
"Th0","Th1like","Mgll"
"Th0","Th1like","Ms4a6d.1"
"Th0","Th1like","Nkg7"
"Th0","Th1like","2010001M09Rik"
"Th0","Th1like","Klrk1.3"
"Th0","Th1like","Rexo2"
"Th0","Th1like","Clpx"
"Th0","Th1like","Nts"
"Th0","Th1like","Amica1"
"Th0","Th1like","Efna5"
"Th0","Th1like","Bst2"
"Th0","Th1like","Ly6a"
"Th0","Th1like","Rtp4"
"Th0","Th1like","Ccr5.1"
"Th0","Th1like","Parp12"
"Th0","Th1like","Tlr7"
"Th0","Th1like","Oas1g.3"
"Th0","Th1like","Ifit3.1"
"Th0","Th1like","Ifit3"
"Th0","Th1like","Ifi202b"
"Th0","Th1like","Ifi202b.1"
"Th0","Th1like","Gata3"
"Th0","Th1like","Gbp1"
"Th0","Th1like","Gbp3.1"
"Th0","Th1like","Gbp6.1"
"Th0","Th1like","Marcks"
"Th0","Th1like","Endod1"
"Th0","Th1like","Parp14"
"Th0","Th1like","Gbp6"
"Th0","Th1like","Rsad2"
"Th0","Th1like","Ddx60"
"Th0","Th1like","AI451617"
"Th0","Th1like","Oas1g"
"Th0","Th1like","LOC435565"
"Th0","Th1like","Ifit2.1"
"Th0","Th1like","Plac8"
"Th0","Th1like","Lgals3bp"
"Th0","Th1like","Irf7"
"Th0","Th1like","Ifit2"
"Th0","Th1like","BC094916"
"Th0","Th1like","Usp18"
"Th0","Th1like","Usp18.1"
"Th0","Ind","Sln"
"Th0","Ind","Irgm"
"Th0","Ind","Iigp2"
"Th0","Ind","D330045A20Rik"
"Th0","Ind","D330045A20Rik.2"
"Th0","Ind","D330045A20Rik.1"
"Th0","Ind","Hopx"
"Th0","Ind","St3gal1"
"Th0","Ind","Ffar2"
"Th1/2","Th1like","Ccr5.2"
"Th1/2","Th1like","LOC435565"
"Th1/2","Th1like","Ch25h"
"Th1/2","Th1like","Ccr5.1"
"Th1/2","Th1like","Ifi202b"
"Th1/2","Th1like","Ly6a"
"Th1/2","Th1like","Ccr5"
"Th1/2","Th1like","Plac8"
"Th1/2","Th1like","Il12rb2"
"Th1/2","Th1like","Itpr1"
"Th1/2","Th1like","Ffar2"
"Th1/2","Th1like","Ube2f.1"
"Th1/2","Th1like","Pik3ap1"
"Th1/2","Th1like","Tdrd7"
"Th1/2","Th1like","Cxcr3"
"Th1/2","Th1like","Ly6c1"
"Th1/2","Th1like","Trim25"
"Th1/2","Th1like","EG240327"
