"Symbol","cor_th1_th2","cor_th1_th0","cor_th2_th0","cluster"
"Epm2aip1.1",0.623249509824946,0.82633659290523,0.775941246722224,2
"B9d2",0.941832725988903,0.947524245425639,0.946120436016444,2
"Ifi44",0.480603687401056,0.846888071215364,0.756423464173745,2
"Arrb1.1",0.687700471959804,0.941939085011375,0.879833427942325,2
"Nod1",0.342314707999073,0.867841829616856,0.738870318694229,2
"A430107P09Rik",0.710346701194787,0.833189428065333,0.803104491252494,2
"Dync2li1",0.835823263880976,0.935813224344691,0.911610132212632,2
"Pfkp.1",0.881054095279973,0.971043472636747,0.949156148698836,2
"Pik3cg",0.714706271137803,0.933762999823317,0.880575956270463,2
"Snx27.2",0.853684585458025,0.928641384178249,0.910462831587065,2
"Oat",0.624671056367723,0.877685643545033,0.819345663506701,2
"Casp4",0.240803712005132,0.430227754436481,0.38714114200722,2
"Gm2a",0.931200323577991,0.979707106959651,0.968685287441166,2
"Cables1",0.386024182354387,0.784258778423013,0.693827772226627,2
"Stc2",0.953582998409006,0.992238805553781,0.98324557386637,2
"Stc1",0.94014715127455,0.979766263890302,0.970541194835364,2
"Fah",0.995380844449519,0.997966379850233,0.997360716679666,2
"Egln1",0.783034499354964,0.950017820519422,0.910986707615386,2
"Pard6g",0.355780368196173,0.818065550846283,0.709964745057334,2
"Oaz3",-0.237506906081286,0.298220722075697,0.172897724848856,2
"V1rd7",0.251662278441326,0.616130632407396,0.529222864230666,2
"Pdk1",0.717203234331866,0.944627760573223,0.890923693114811,2
"Cryz.2",0.641870987285089,0.851595245748913,0.802110251300999,2
"Cd79b",0.668368294623562,0.904672817683936,0.857243505455226,2
"Pabpc1.2",0.617086862157354,0.779585616556102,0.746761570440095,2
"E2f2",0.863515412001552,0.947180919071757,0.929903950655711,2
"Dgcr6",0.713222058317654,0.831309542224128,0.80687890252084,2
"Tcirg1",0.846366737400322,0.924025011949175,0.907969839000738,2
"Cdt1",0.796341993188403,0.920628839649542,0.895318459553315,2
"2210012G02Rik",0.62731401985495,0.79682258021074,0.762066151705689,2
"BC049806.2",0.812827771508987,0.856013948275419,0.847623994378673,2
"Cope.1",0.855352753851596,0.923958335819026,0.910656880331668,2
"Orc4l",-0.103849681880431,0.161049391987637,0.110094325536463,2
"Onecut3.2",-0.352585779343141,0.0171654257989362,-0.0541609891163515,2
"Nsdhl",0.965351134480994,0.975516367777414,0.973526927410675,2
"Cd99l2",0.770480616207631,0.922038619711058,0.892209141395703,2
"Fut8.1",0.157930382213761,0.652341541223299,0.555203539813362,2
"l7Rn6",0.575792732073139,0.892023987837281,0.829488633546154,2
"Dhrs7.2",0.799618679616772,0.871636536503862,0.857295938074021,2
"Gpi1",0.898490643831246,0.972383033838201,0.957620182895416,2
"Hnf4a",-0.295743707688897,0.026224722598576,-0.0458386603593415,2
"Hif1a",0.520143100556518,0.87817896060144,0.799233769032632,2
"Pfkm",0.824003642243043,0.965081725026311,0.93415251275994,2
"D17Wsu92e",0.509868266992442,0.860438980807294,0.783747359241448,2
"2700097O09Rik",0.705709806961093,0.845621369607979,0.815079628686281,2
"Gpr89",0.921527794739386,0.970278602757976,0.959978284991062,2
"Id3",0.583712267498429,0.807440026987703,0.760088400575682,2
"Abhd14b",0.908399004344742,0.935193949529383,0.929518759070927,2
"Slc25a42",0.395707893828713,0.710169837285517,0.644057802788781,2
"Cass4.1",-0.465644069710819,0.0394123299575553,-0.0662453242391004,2
"AW548124",0.0687422403713715,0.550777201050125,0.446616104057739,2
"V1rg11",0.339413614967434,0.716068334134929,0.634345932935837,2
"Acp6",0.759835604227763,0.919916716490571,0.885703937683113,2
"Gm414.1",-0.0533617575989871,0.557496023007821,0.42635691089539,2
"Ntrk3.1",0.077779111608119,0.656632896937445,0.505730954537724,2
"Pfkfb4",0.887023281799633,0.946080472890649,0.930656083804544,2
"2900011O08Rik.1",0.495765045388532,0.82094152916979,0.735549173017882,2
"Tctn3.2",0.325334390045065,0.514861580828576,0.464823920187101,2
"Eomes",0.093233838339147,0.767199655363421,0.589300724683779,2
"Zfp760",0.595272158926017,0.768909888342925,0.723931132503991,2
"Matk.2",0.598174739832648,0.918041003647811,0.835820525820495,2
"Trim33.3",0.93318851625432,0.947216655251473,0.943604955059377,2
"LOC545013.1",-0.163534172149821,0.599808554862695,0.407207737156124,2
"Dok1.2",0.578810108492592,0.848517890395468,0.779761311501442,2
"Slc30a10.2",-0.540703248880419,-0.180695639366007,-0.272985566023162,2
"Elovl4",0.306944594912729,0.658718363127254,0.568755855143548,2
"Mier3",0.843429036735653,0.954989651420996,0.926428973251813,2
"Ccdc109a",0.921576021170297,0.974865906379575,0.960353640819536,2
"Tulp3",0.882738650802501,0.950216095695068,0.931786937379825,2
"Tpst1",0.845496928487558,0.941768869981361,0.915487883234129,2
"EG667977",0.773962749497527,0.905490173815359,0.870136493218365,2
"1500032D16Rik.1",0.919475641545255,0.975652972209772,0.960538679667245,2
"Vldlr.3",0.819758924470954,0.946106302161809,0.911964552337351,2
"Wrn",0.83038388700836,0.93086054477352,0.903743518380397,2
"Ak3l1",0.836937449959331,0.968911254036159,0.932224098882299,2
