"Symbol","cor_th1_th2","cor_th1_thm","cor_th2_thm","cluster"
"Efna5",-0.783064957672897,-0.778413006571737,0.907834693037829,14
"Slc7a8.1",-0.392236259690011,-0.363170496740162,0.792005295816973,14
"Parp12",-0.475497934280283,-0.411672674374667,0.867009443936622,14
"Rtp4",-0.45751908798899,-0.34542157920936,0.859738852673488,14
"Tlr7",-0.289805045817244,-0.395879886540948,0.911230787246402,14
"Ifit3.1",-0.327202470099766,-0.491858237365155,0.949459824555744,14
"Hbs1l.1",-0.435148208464046,-0.493425338991423,0.907200798433856,14
"D330045A20Rik.1",-0.476480089592689,-0.450803183574773,0.994293350376052,14
"Sln",-0.387680213477989,-0.415928915330193,0.999080953694674,14
"Daxx",-0.578441914792102,-0.513037116453162,0.814019570369047,14
"Nkg7",-0.635212500806136,-0.575536264824102,0.882642085117853,14
"Sox5.1",-0.531102715665372,-0.597826604564902,0.89420224838291,14
"Rsad2",-0.575168596934895,-0.405668619501358,0.895619879176232,14
"Ms4a6d.1",-0.600028008678036,-0.266222775891322,0.895068616559525,14
"Gata3",-0.599089749872321,-0.309757530919945,0.871322936861719,14
"Zxdc.2",-0.415960117715433,-0.43365394256937,0.51104163376759,11
"EG545758",-0.404463192485304,-0.491546023227945,0.576808261543618,11
"Oas1g",-0.271392229253407,-0.436943216732327,0.546928266640207,11
"Mapk12.2",-0.27484324708263,-0.513334075835392,0.624296299586509,11
"Traf6",-0.189253421019815,-0.666894797946467,0.376835082966117,11
"Sox5.3",-0.0906904419986042,-0.555936600266055,0.605375035921874,11
"Ncam1",-0.512021385578668,-0.481502830407819,0.28493485978158,10
"Gldc.1",-0.632093893648424,-0.670665958990264,0.535248380840176,10
"Oas1g.3",-0.4809075792425,-0.28334297502252,0.549856765011536,10
"BC011487",-0.527071091637578,-0.286778831021134,0.699155540716677,10
"Slc30a10.2",-0.540703248880419,-0.194991230364662,0.695248924314193,10
"Etnk2",-0.690552882848706,-0.299184219036551,0.56135006597257,10
