"","gene","id","cell","cor","p_adj","rsq","cor_idx","sig","mincor","mincor_idx"
"1","Gnaq","13","Th1_ThMix",0.919674974493855,6.55335525572306e-17,0.93232117208182,0.0803250255061454,"ns",0.903300578078336,0.0966994219216637
"2","Gnaq","13","Th2_ThMix",0.978513581760679,6.55335525572306e-17,0.93232117208182,0.021486418239321,"ns",0.903300578078336,0.0966994219216637
"3","Gnaq","13","Th1_Th0",0.956641011513537,6.55335525572306e-17,0.93232117208182,0.0433589884864634,"ns",0.903300578078336,0.0966994219216637
"4","Gnaq","13","Th2_Th0",0.903300578078336,6.55335525572306e-17,0.93232117208182,0.0966994219216637,"ns",0.903300578078336,0.0966994219216637
"5","Limk2","20","Th1_ThMix",0.801541558302571,1.57127938221551e-09,0.819131437560028,0.198458441697429,"ns",0.801541558302571,0.198458441697429
"6","Limk2","20","Th2_ThMix",0.940237944365806,1.57127938221551e-09,0.819131437560028,0.0597620556341942,"ns",0.801541558302571,0.198458441697429
"7","Limk2","20","Th1_Th0",0.869974109823697,1.57127938221551e-09,0.819131437560028,0.130025890176303,"ns",0.801541558302571,0.198458441697429
"8","Limk2","20","Th2_Th0",0.863855493495871,1.57127938221551e-09,0.819131437560028,0.136144506504129,"ns",0.801541558302571,0.198458441697429
"9","Tarbp2","43","Th1_ThMix",0.0339748485410767,6.45469433381781e-08,0.767446675927429,0.966025151458923,"sig",0.0339748485410767,0.966025151458923
"10","Tarbp2","43","Th2_ThMix",0.849364626278385,6.45469433381781e-08,0.767446675927429,0.150635373721615,"sig",0.0339748485410767,0.966025151458923
"11","Tarbp2","43","Th1_Th0",0.757724474098086,6.45469433381781e-08,0.767446675927429,0.242275525901914,"sig",0.0339748485410767,0.966025151458923
"12","Tarbp2","43","Th2_Th0",0.151948150562985,6.45469433381781e-08,0.767446675927429,0.848051849437015,"sig",0.0339748485410767,0.966025151458923
"13","Brd7","45","Th1_ThMix",0.908041495425452,3.59740433735135e-12,0.864652414072048,0.091958504574548,"ns",0.879933688691636,0.120066311308364
"14","Brd7","45","Th2_ThMix",0.879933688691636,3.59740433735135e-12,0.864652414072048,0.120066311308364,"ns",0.879933688691636,0.120066311308364
"15","Brd7","45","Th1_Th0",0.905828565184309,3.59740433735135e-12,0.864652414072048,0.0941714348156909,"ns",0.879933688691636,0.120066311308364
"16","Brd7","45","Th2_Th0",0.880552837179638,3.59740433735135e-12,0.864652414072048,0.119447162820362,"ns",0.879933688691636,0.120066311308364
"17","Depdc1b","46","Th1_ThMix",0.986884845136083,1.856705065423e-23,0.969095980804389,0.0131151548639168,"ns",0.965453218431234,0.034546781568766
"18","Depdc1b","46","Th2_ThMix",0.976338613706327,1.856705065423e-23,0.969095980804389,0.023661386293673,"ns",0.965453218431234,0.034546781568766
"19","Depdc1b","46","Th1_Th0",0.973083832480263,1.856705065423e-23,0.969095980804389,0.0269161675197368,"ns",0.965453218431234,0.034546781568766
"20","Depdc1b","46","Th2_Th0",0.965453218431234,1.856705065423e-23,0.969095980804389,0.034546781568766,"ns",0.965453218431234,0.034546781568766
"21","EG630499","48","Th1_ThMix",0.855530976540611,3.53823625087968e-13,0.88327826837125,0.144469023459389,"ns",0.725720504211812,0.274279495788188
"22","EG630499","48","Th2_ThMix",0.852215226135467,3.53823625087968e-13,0.88327826837125,0.147784773864533,"ns",0.725720504211812,0.274279495788188
"23","EG630499","48","Th1_Th0",0.964188984693324,3.53823625087968e-13,0.88327826837125,0.0358110153066764,"ns",0.725720504211812,0.274279495788188
"24","EG630499","48","Th2_Th0",0.725720504211812,3.53823625087968e-13,0.88327826837125,0.274279495788188,"ns",0.725720504211812,0.274279495788188
"25","Ppme1","54","Th1_ThMix",0.848389544433239,2.46395360391833e-09,0.863918992591645,0.151610455566761,"ns",0.848389544433239,0.151610455566761
"26","Ppme1","54","Th2_ThMix",0.982281230763939,2.46395360391833e-09,0.863918992591645,0.0177187692360612,"ns",0.848389544433239,0.151610455566761
"27","Ppme1","54","Th1_Th0",0.887015025527672,2.46395360391833e-09,0.863918992591645,0.112984974472328,"ns",0.848389544433239,0.151610455566761
"28","Ppme1","54","Th2_Th0",0.895416514832745,2.46395360391833e-09,0.863918992591645,0.104583485167255,"ns",0.848389544433239,0.151610455566761
"29","Armcx6","108","Th1_ThMix",0.790783495572046,5.81661074879105e-16,0.932028444994776,0.209216504427954,"sig",0.307055057113314,0.692944942886687
"30","Armcx6","108","Th2_ThMix",0.985781480182106,5.81661074879105e-16,0.932028444994776,0.0142185198178943,"sig",0.307055057113314,0.692944942886687
"31","Armcx6","108","Th1_Th0",0.5976866439039,5.81661074879105e-16,0.932028444994776,0.4023133560961,"sig",0.307055057113314,0.692944942886687
"32","Armcx6","108","Th2_Th0",0.307055057113314,5.81661074879105e-16,0.932028444994776,0.692944942886687,"sig",0.307055057113314,0.692944942886687
"33","Trim25","112","Th1_ThMix",0.901749230483465,2.21655406924021e-12,0.868778493074686,0.0982507695165349,"sig",0.112856422096207,0.887143577903793
"34","Trim25","112","Th2_ThMix",0.170385422285068,2.21655406924021e-12,0.868778493074686,0.829614577714932,"sig",0.112856422096207,0.887143577903793
"35","Trim25","112","Th1_Th0",0.935174011332655,2.21655406924021e-12,0.868778493074686,0.0648259886673452,"sig",0.112856422096207,0.887143577903793
"36","Trim25","112","Th2_Th0",0.112856422096207,2.21655406924021e-12,0.868778493074686,0.887143577903793,"sig",0.112856422096207,0.887143577903793
