"gene","kinetic_th0","kinetic_th1","kinetic_th2","kinetic_thmix"
"Tnks",FALSE,FALSE,FALSE,FALSE
"Gnaq",TRUE,TRUE,FALSE,TRUE
"Otud7b",FALSE,FALSE,FALSE,FALSE
"Zfp607",FALSE,FALSE,FALSE,FALSE
"Limk2",TRUE,TRUE,TRUE,TRUE
"Rexo4",FALSE,FALSE,FALSE,FALSE
"Il6ra",TRUE,TRUE,TRUE,TRUE
"Rorb",FALSE,FALSE,FALSE,FALSE
"Tarbp2",FALSE,FALSE,TRUE,TRUE
"Brd7",FALSE,FALSE,FALSE,FALSE
"Depdc1b",TRUE,TRUE,TRUE,TRUE
"EG630499",TRUE,TRUE,TRUE,TRUE
"Dusp4",TRUE,TRUE,TRUE,TRUE
"Tmpo",TRUE,TRUE,TRUE,TRUE
"Ppme1",TRUE,TRUE,TRUE,TRUE
"Slc35c2",TRUE,TRUE,FALSE,FALSE
"Tmem161b",FALSE,FALSE,FALSE,FALSE
"ORF19",FALSE,FALSE,FALSE,FALSE
"Pdzd8",TRUE,FALSE,FALSE,TRUE
"Cdc14b",TRUE,TRUE,TRUE,TRUE
"Ppp1r16a",FALSE,TRUE,FALSE,FALSE
"5730410I19Rik",TRUE,TRUE,TRUE,TRUE
"Ccdc85b",TRUE,TRUE,TRUE,TRUE
"C230052I12Rik",TRUE,TRUE,FALSE,TRUE
"Tacc1",TRUE,TRUE,TRUE,TRUE
"Insig1",TRUE,TRUE,TRUE,TRUE
"Cry2",FALSE,FALSE,FALSE,FALSE
"Peo1",TRUE,TRUE,FALSE,TRUE
"Susd4",FALSE,FALSE,FALSE,FALSE
"Foxp4",TRUE,FALSE,FALSE,FALSE
"Reep6",FALSE,FALSE,TRUE,TRUE
"Pnpt1",FALSE,FALSE,FALSE,FALSE
"Xpnpep3",FALSE,FALSE,TRUE,TRUE
"Armcx6",FALSE,TRUE,TRUE,TRUE
"Ankmy2",TRUE,TRUE,TRUE,TRUE
"Chek1",TRUE,TRUE,TRUE,TRUE
"Trim25",TRUE,TRUE,FALSE,FALSE
"3110001K24Rik",FALSE,FALSE,FALSE,FALSE
"1200016B10Rik",TRUE,TRUE,FALSE,TRUE
"Rnf20",FALSE,FALSE,FALSE,FALSE
"Rb1",TRUE,TRUE,TRUE,TRUE
"Rnf38",TRUE,FALSE,TRUE,TRUE
"Dhx16",FALSE,FALSE,FALSE,FALSE
"Tmem120a",FALSE,FALSE,FALSE,FALSE
"Brp44",FALSE,FALSE,TRUE,FALSE
"Pik3c2a",FALSE,FALSE,FALSE,FALSE
"Plcxd1",TRUE,TRUE,TRUE,TRUE
"Cideb",FALSE,FALSE,FALSE,FALSE
"Zfp652",FALSE,FALSE,FALSE,FALSE
"Rnf139",FALSE,FALSE,FALSE,FALSE
"Cxcl9",FALSE,TRUE,FALSE,FALSE
"Cdh24",FALSE,FALSE,FALSE,FALSE
"Mrpl52",TRUE,TRUE,TRUE,TRUE
"Dyrk1b",FALSE,FALSE,FALSE,FALSE
"Tmed10",TRUE,TRUE,TRUE,TRUE
"Stxbp1",FALSE,FALSE,FALSE,FALSE
"Syvn1",FALSE,FALSE,FALSE,FALSE
"Mobkl2c",TRUE,TRUE,TRUE,TRUE
"Rapgef2",TRUE,TRUE,TRUE,TRUE
"B9d2",TRUE,TRUE,TRUE,TRUE
"Slc35f4",FALSE,FALSE,FALSE,FALSE
"Cbx6",TRUE,TRUE,TRUE,TRUE
"Npas2",FALSE,FALSE,TRUE,FALSE
"Slc25a36",FALSE,TRUE,TRUE,TRUE
"Rg9mtd1",FALSE,TRUE,TRUE,TRUE
"Ubl7",TRUE,TRUE,TRUE,TRUE
"Ehd3",TRUE,TRUE,TRUE,TRUE
"Gm2a",TRUE,TRUE,TRUE,TRUE
"Khk",TRUE,TRUE,TRUE,TRUE
"Pcgf6",TRUE,TRUE,TRUE,TRUE
"Arl6ip4",FALSE,FALSE,FALSE,FALSE
"Epor",FALSE,FALSE,FALSE,FALSE
"Nt5dc3",FALSE,FALSE,FALSE,TRUE
"Mbd3l2",FALSE,FALSE,FALSE,FALSE
"Olfr665",FALSE,FALSE,FALSE,FALSE
"Hap1",FALSE,FALSE,FALSE,FALSE
"Capg",TRUE,TRUE,TRUE,TRUE
"Slc38a2",TRUE,TRUE,TRUE,TRUE
"Ptp4a1",TRUE,TRUE,TRUE,TRUE
"Cxcl12",FALSE,FALSE,FALSE,FALSE
"Shf",FALSE,FALSE,FALSE,FALSE
"Cacnb1",FALSE,FALSE,FALSE,FALSE
"Ppp2r5b",FALSE,FALSE,FALSE,FALSE
"Irak2",TRUE,TRUE,FALSE,FALSE
"Mak10",FALSE,FALSE,FALSE,TRUE
"Kng2",FALSE,FALSE,FALSE,FALSE
"Cyp26b1",FALSE,FALSE,FALSE,FALSE
"Crygn",FALSE,FALSE,FALSE,FALSE
"Cfl2",FALSE,FALSE,FALSE,FALSE
"Nrbp1",TRUE,TRUE,TRUE,TRUE
"Atg3",FALSE,FALSE,FALSE,FALSE
"Midn",TRUE,TRUE,TRUE,TRUE
"Mtrf1",FALSE,FALSE,FALSE,FALSE
"Xkr7",FALSE,FALSE,FALSE,FALSE
"Med17",FALSE,FALSE,FALSE,FALSE
"Akap7",TRUE,TRUE,TRUE,TRUE
"Fbxl10",TRUE,TRUE,FALSE,FALSE
"C030003D03Rik",FALSE,FALSE,FALSE,FALSE
"Dhrs13",FALSE,TRUE,FALSE,TRUE
"Itga5",FALSE,FALSE,FALSE,FALSE
"Podxl2",FALSE,FALSE,FALSE,FALSE
"Hat1",TRUE,TRUE,TRUE,TRUE
"Chmp5",TRUE,TRUE,TRUE,TRUE
"Phldb1",TRUE,TRUE,TRUE,TRUE
"Lmf1",FALSE,FALSE,TRUE,TRUE
"G0s2",FALSE,FALSE,FALSE,TRUE
"Il17a",FALSE,FALSE,FALSE,FALSE
"BC017647",FALSE,FALSE,FALSE,FALSE
"Plcz1",FALSE,FALSE,FALSE,FALSE
"Tmco3",TRUE,TRUE,TRUE,TRUE
"Bxdc5",FALSE,FALSE,FALSE,FALSE
"4430402I18Rik",FALSE,FALSE,FALSE,FALSE
"Mtl5",FALSE,FALSE,FALSE,FALSE
"Gcc2",FALSE,FALSE,FALSE,TRUE
"A3galt2",FALSE,FALSE,FALSE,FALSE
"Olfr494",FALSE,FALSE,FALSE,FALSE
"Srpk3",TRUE,TRUE,TRUE,TRUE
"Per1",TRUE,TRUE,TRUE,FALSE
"Tyw1",TRUE,FALSE,FALSE,TRUE
"Coasy",FALSE,FALSE,TRUE,TRUE
"Suz12",FALSE,FALSE,FALSE,FALSE
"Tbxas1",FALSE,FALSE,FALSE,FALSE
"Pramel4",FALSE,TRUE,FALSE,TRUE
"Gabrp",FALSE,FALSE,FALSE,FALSE
"Cep97",TRUE,TRUE,TRUE,TRUE
"Mycbp2",TRUE,TRUE,TRUE,TRUE
"4632419K20Rik",TRUE,TRUE,TRUE,TRUE
"Cenpp",TRUE,TRUE,TRUE,TRUE
"Olfr924",FALSE,FALSE,FALSE,FALSE
"Slco1a5",FALSE,FALSE,FALSE,FALSE
"Olfr310",FALSE,FALSE,FALSE,FALSE
"Pdcl",FALSE,FALSE,FALSE,FALSE
"Acot10",TRUE,TRUE,FALSE,FALSE
"Wdr51b",FALSE,FALSE,TRUE,TRUE
"5730596K20Rik",TRUE,TRUE,TRUE,TRUE
"B230120H23Rik",FALSE,FALSE,FALSE,FALSE
"Raet1b.1",FALSE,FALSE,FALSE,FALSE
"Olfr799",FALSE,FALSE,FALSE,FALSE
"Bbs4",TRUE,TRUE,TRUE,TRUE
"Mterfd2",FALSE,FALSE,FALSE,TRUE
"Rer1",TRUE,TRUE,TRUE,TRUE
"Hist1h1c",TRUE,TRUE,TRUE,TRUE
"Mcrs1",FALSE,FALSE,FALSE,FALSE
"Cxcr5",TRUE,TRUE,TRUE,TRUE
"Trappc3",FALSE,FALSE,FALSE,FALSE
"Ppp1r11",FALSE,FALSE,FALSE,FALSE
"Herpud1",FALSE,FALSE,FALSE,FALSE
"AB124611",TRUE,TRUE,TRUE,TRUE
"4833442J19Rik",TRUE,TRUE,FALSE,TRUE
"Rasgrp4",FALSE,FALSE,FALSE,FALSE
"3110043J09Rik",FALSE,TRUE,FALSE,FALSE
"2400003C14Rik",FALSE,TRUE,TRUE,FALSE
"BC053749",FALSE,FALSE,FALSE,FALSE
"Zfp654",FALSE,FALSE,FALSE,FALSE
"4932431H17Rik",FALSE,FALSE,FALSE,FALSE
"Mutyh",FALSE,FALSE,TRUE,TRUE
"Rpl23",FALSE,FALSE,FALSE,FALSE
"Zfp287",FALSE,FALSE,FALSE,FALSE
"Fbxl8",TRUE,TRUE,TRUE,TRUE
"Lypla2",FALSE,FALSE,FALSE,TRUE
"Gzmm",FALSE,TRUE,FALSE,TRUE
"Cops7a",TRUE,TRUE,TRUE,TRUE
"Bat4",FALSE,FALSE,FALSE,FALSE
"Syngr2",TRUE,TRUE,TRUE,TRUE
"Zfp75",TRUE,TRUE,TRUE,TRUE
"Hbs1l",TRUE,TRUE,TRUE,TRUE
"Dgka",TRUE,TRUE,TRUE,TRUE
"Usp10",TRUE,TRUE,TRUE,FALSE
"BC061212",FALSE,FALSE,FALSE,FALSE
